,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"3,687","4,352","3,677","3,731","2,864","3,795","3,226","4,144","2,896","2,630","3,485","3,241","3,358","2,629","3,000","3,800","9,741","10,131","11,956","6,945","7,358","5,525","11,415","6,037","7,687","9,145","9,087","6,266","6,112","6,630","11,969","7,989","6,528","5,203","9,502","7,629","31,560","34,248","34,741","10,944"
Short-Term Investments,"16,115","21,836","24,398","23,295","24,254","26,198","27,894","27,238","31,844","32,404","34,495","34,844","35,040","36,598","38,351","37,878","22,431","19,264","17,965","22,359","18,943","16,233","9,438","2,874",325,"2,276","3,273","4,381","4,454","1,452",952,48,16,"1,980","1,976","1,676",1,0,0,0
Cash & Cash Equivalents,"19,802","26,188","28,075","27,026","27,118","29,993","31,120","31,382","34,740","35,034","37,980","38,085","38,398","39,227","41,351","41,678","32,172","29,395","29,921","29,304","26,301","21,758","20,853","8,911","8,012","11,421","12,360","10,647","10,566","8,082","12,921","8,037","6,544","7,183","11,478","9,305","31,561","34,248","34,741","10,944"
Cash Growth,-6.91%,18.94%,24.46%,39.30%,36.95%,14.53%,10.85%,16.12%,28.11%,16.81%,22.04%,21.36%,10.53%,11.97%,8.88%,9.43%,-16.21%,-25.06%,-27.64%,-29.69%,-18.25%,-25.98%,-30.31%,-69.59%,-69.54%,-47.51%,-40.73%,19.48%,31.88%,-29.24%,4.54%,-24.51%,-38.07%,-11.12%,-11.17%,15.78%,382.29%,376.79%,202.67%,17.61%
Receivables,"2,514","2,697","2,355","2,546","2,548","2,779","2,901","2,995","3,078","3,078","3,186","3,165","3,248","3,560","3,404","3,237","3,633","3,504","3,441","3,580","3,771","3,801","3,606","4,057","5,009","5,366","4,094","4,525","4,423","4,479","4,765","4,895","5,077","5,327","5,326","5,563","5,736","5,830","6,145","7,268"
Inventory,"2,966","2,954","2,885","2,647","2,686","2,567","2,531","2,435","2,572","2,671","2,681","2,745","2,871","2,961","2,927","2,834","2,952","3,063","3,017","2,940","3,016","3,176","3,243","3,584","3,682","3,840","3,942","3,893","4,017","4,115","4,152","4,086","4,411","4,554","4,757","4,930","5,011","4,978","5,026","9,518"
Other Current Assets,"3,020","2,489","2,733","2,494","2,712","2,397","2,292","1,703","1,816","2,164","1,997","2,015","1,939","2,694","2,070","1,727","1,932","2,008","1,941","1,794","2,063","2,011","3,349","1,888","2,110","2,268","2,265","2,079","2,293","2,423","2,542","2,367","2,488","2,258","2,501","2,388","2,395","2,324","2,565","2,602"
Total Current Assets,"28,302","34,328","36,048","34,713","35,064","37,736","38,844","38,515","42,206","42,947","45,844","46,010","46,456","48,442","49,752","49,476","40,689","37,970","38,320","37,618","35,151","30,746","31,051","18,440","18,813","22,895","22,661","21,144","21,299","19,099","24,380","19,385","18,520","19,322","24,062","22,186","44,703","47,380","48,477","30,332"
"Property, Plant & Equipment","5,365","5,371","5,267","5,223","5,123","5,050","4,988","4,907","4,885","4,884","4,912","4,961","4,960","4,980","4,914","4,989","4,943","4,922","4,899","4,958","4,892","4,882","4,901","4,928","4,879","4,843","4,816","4,889","4,855","4,906","4,982","5,184","5,142","5,158","5,188","5,427","5,460","5,532","5,563","5,941"
Long-Term Investments,"3,414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
