,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,1997-07-10,1997-10-27,1998-01-22,1998-04-27,1998-07-22,1998-10-28,1999-01-26,1999-04-28,1999-07-21,1999-10-27,2000-02-02,2000-04-26,2000-07-26,2000-10-24,2001-01-30,2001-04-24,2001-07-23,2001-10-23,2002-01-22,2002-04-23,2002-07-23,2002-10-24,2003-01-23,2003-04-24,2003-07-22,2003-10-21,2004-01-27,2004-04-22,2004-07-22,2004-10-21,2005-02-02,2005-04-26,2005-07-26,2005-10-25,2006-02-02,2006-04-25,2006-07-25,2006-10-24,2007-02-01,2007-04-24,2007-07-24,2007-10-23,2008-01-30,2008-04-23,2008-07-23,2008-10-22,2009-01-29,2009-04-23,2009-07-23,2009-10-22,2010-01-28,2010-04-22,2010-07-22,2010-10-21,2011-01-27,2011-04-26,2011-07-26,2011-10-25,2012-01-31,2012-04-26,2012-07-26,2012-10-25,2013-01-29,2013-04-25,2013-07-25,2013-10-24,2014-01-30,2014-04-24,2014-07-24,2014-10-23,2015-01-29,2015-04-23,2015-07-23,2015-10-22,2016-01-28,2016-04-28,2016-07-28,2016-10-27,2017-02-02,2017-04-27,2017-07-27,2017-10-26,2018-02-01,2018-04-26,2018-07-26,2018-10-25,2019-01-31,2019-04-25,2019-07-25,2019-10-24,2020-01-30,2020-04-30,2020-07-30,2020-10-29,2021-02-02,2021-04-29,2021-07-29,2021-10-28,2022-02-03,2022-04-28,2022-07-28,2022-10-27,2023-02-02,2023-04-27,2023-08-03,2023-10-26
reportedEPS,-0.02,-0.03,-0.03,-0.03,-0.07,-0.08,-0.07,-0.01,-0.01,-0.01,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.09,-0.01,-0.01,-0.0924,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.07,0.02,0.01,0.05,0.05,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.02,0.04,0.03,0.02,0.03,0.05,0.02,0.02,0.01,0.02,0.01,0.01,-0.01,0.01,0.01,-0.02,-0.09,0.03,0.01,-0.01,-0.05,0.02,-0.01,0.01,0.01,0.05,0.05,0.09,0.03,0.08,0.07,0.02,0.03,0.11,0.16,0.25,0.29,0.3,0.35,0.26,0.21,0.32,0.25,0.52,0.62,0.7,0.79,0.76,0.31,0.29,0.37,0.18,0.17,0.25,0.31,0.65,0.94
estimatedEPS,-0.03,-0.03,-0.04,-0.04,-0.07,-0.1,-0.09,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.07,-0.09,-0.06,-0.04,0.01,0.04,0.06,0.1,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.1,0.01,0.01,0.06,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.03,0.03,0.02,0.04,0.03,0.02,0.01,0.01,0.07,0.02,-0.08,0.01,0.08,0.05,-0.09,0.03,0.01,-0.01,-0.04,0.01,-0.01,-0.01,-0.01,0.08,0.03,0.06,0.04,0.07,0.05,0.07,0.03,0.09,0.06,0.13,0.16,0.28,0.24,0.28,0.23,0.2,0.31,0.07,0.37,0.36,0.48,0.62,0.45,0.18,0.42,0.14,0.22,0.18,0.21,0.35,0.58
surprise,0.01,0,0.01,0.01,0,0.02,0.02,0,0,0,-0.01,0,0,0,0,0,0,0,0.16,0.08,0.05,-0.0524,0,-0.03,-0.05,-0.09,0,0,0,0,0,0,0,-0.03,0.01,0,-0.01,0.02,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,-0.01,0.01,0.01,-0.01,0,0,0.01,-0.06,-0.01,0.07,0,-0.07,-0.07,0,0,0,0,-0.01,0.01,0,0.02,0.02,-0.03,0.02,0.03,-0.01,0.01,0.02,-0.05,0,0.02,0.1,0.12,0.13,0.02,0.11,-0.02,-0.02,0.12,-0.06,0.45,0.25,0.34,0.31,0.14,-0.14,0.11,-0.05,0.04,-0.05,0.07,0.1,0.3,0.36
surprisePercentage,33.3333,0,25,25,0,20,22.2222,0,0,0,-50,0,0,0,0,0,0,0,228.5714,88.8889,83.3333,-131,0,-75,-83.3333,-90,0,0,0,0,0,0,0,-30,100,0,-16.6667,66.6667,0,0,0,0,0,0,100,0,50,0,0,0,0,0,-33.3333,50,25,-33.3333,0,0,100,-85.7143,-50,87.5,0,-87.5,-140,0,0,0,0,-25,100,0,200,200,-37.5,66.6667,50,-25,14.2857,40,-71.4286,0,22.2222,166.6667,92.3077,81.25,7.1429,45.8333,-7.1429,-8.6957,60,-19.3548,642.8571,67.5676,94.4444,64.5833,22.5806,-31.1111,61.1111,-11.9048,28.5714,-22.7273,38.8889,47.619,85.7143,62.069
startPeriod,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31,1997-3-31
endPeriod,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,0.12,0.24,0.28,0.37,0.87,1.23,3.02,4.98,5.53,4.25,5.65,4.57,3.43,2.48,2.04,1.12,0.91,0.87,0.64,0.85,1.02,0.9,1.25,1.4,1.86,2.57,3.06,2.89,2.7,2.73,2.28,2.27,1.85,2.35,2.5,2.43,1.94,1.94,2.16,2.1,3.74,4.71,5.05,4.87,4.24,4.59,3.66,3.78,4.43,4.72,7.3,6.91,7.55,8.09,9.28,9.58,10.32,12.2,12.34,10.49,11.69,13.21,13.16,14.24,14.17,16.03,20.28,20.4,17.42,18.24,17.06,19.47,22.63,29.03,34.82,34.39,36.58,41.88,42.36,43.85,50.85,54.17,60.67,80.88,88.15,102.53,101.66,91.19,98.22,101.79,95.07,109.3,139.8,177.61,174.81,171.7,177.7,188.65,188.11,171.4,168.39,146.57,123.0,114.0,131.49,145.86
stockLow,0.07,0.07,0.18,0.21,0.32,0.54,0.67,2.11,2.24,2.05,3.05,2.92,1.62,1.39,0.74,0.48,0.41,0.28,0.28,0.45,0.63,0.61,0.79,0.93,1.21,1.7,2.35,1.96,2.03,1.74,1.65,1.64,1.53,1.64,1.94,1.76,1.58,1.29,1.53,1.82,1.98,3.4,3.83,3.06,3.48,3.07,1.73,2.38,3.59,3.77,4.41,5.69,5.3,5.29,7.57,8.03,8.77,8.85,8.35,8.6,9.18,10.63,10.91,12.14,12.29,13.86,14.82,16.54,14.22,15.23,14.2,14.26,18.42,21.28,25.08,23.7,29.26,35.63,35.51,37.38,43.83,46.59,47.52,58.53,67.64,83.9,65.35,73.05,83.6,85.69,84.25,81.3,94.46,133.75,147.51,144.05,153.12,158.79,158.81,133.57,101.26,102.52,81.69,81.43,97.71,123.04
