,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Total Long-Term Liabilities,"15,723","20,139","20,377","18,077","18,361","16,763","16,457","14,928","15,167","15,529","15,396","13,901","13,337","12,742","12,952","12,793","12,822","12,109","7,934","8,050","8,154","8,252","6,188","6,194","5,870","5,550","5,552","5,469","5,453","9,026","8,458","8,491","8,539","8,589","8,874","9,090","9,320","9,386","9,536","9,132"
Total Liabilities,"22,378","27,719","25,056","24,071","24,296","22,323","20,455","18,429","18,462","18,129","18,325","16,752","15,953","15,212","15,484","15,625","16,137","15,591","16,311","11,274","10,380","10,220","9,655","7,852","7,797","7,104","7,004","7,178","6,893","11,971","11,530","11,996","11,626","12,343","12,968","12,550","12,425","12,317","12,205","12,462"
Total Debt,"12,022","15,512","12,355","12,059","11,262","11,749","12,045","11,900","13,032","12,545","12,707","11,354","10,154","10,381","10,558","10,403","6,864","9,982","6,067","6,048","4,454","6,084","4,557","4,539","4,538","4,540","4,541","4,542","4,544","7,528","6,760","6,748","6,734","6,722","6,720","6,710","6,697","6,678","6,712","6,452"
Debt Growth,3.25%,27.65%,21.72%,19.78%,-6.32%,-24.26%,-2.51%,-1.32%,15.72%,6.78%,5.50%,-4.59%,-22.08%,-17.25%,-16.91%,-8.38%,-32.40%,-3.84%,-42.54%,-41.86%,-35.11%,-39.05%,-24.89%,-24.95%,1.89%,-25.38%,-0.35%,0.07%,0.13%,65.81%,48.87%,48.57%,48.20%,-10.71%,-0.59%,-0.56%,-0.55%,-0.65%,-0.12%,-3.85%
Common Stock,"3,821","3,877","3,984","4,045","4,129","4,583","4,777","4,814","5,038","7,553","7,552","7,539","7,289","7,260","7,264","7,260","7,386","7,310","6,917","5,229","4,509","3,513","3,373","2,846","2,773","2,739","2,758","2,788","2,804","8,239","8,257","8,274","7,702","7,418","7,113","7,021","6,986","6,380","6,195","6,217"
Retained Earnings,"15,410","15,644","16,220","17,138","16,631","12,933","10,018","6,413","1,781","-1,400","-2,970","-1,977",-69,"-1,081",-656,-428,702,473,6,"2,505","3,650","3,280","3,738","3,812","3,148","1,298",586,351,208,218,243,750,"1,692","2,013","3,107","3,981","4,297","4,712","4,940","5,535"
Comprehensive Income,"1,268",973,"1,270",993,779,481,528,321,230,257,265,278,"1,054",287,291,297,"1,166","1,122","1,091","1,164","1,027","1,064",-117,-116,-119,-118,-117,-116,-127,-104,-101,-100,-132,-131,-130,-129,-116,-115,-114,-113
Shareholders' Equity,"20,499","20,494","21,474","22,176","21,539","17,997","15,323","11,548","7,049","6,410","4,847","5,840","8,274","6,466","6,899","7,129","9,254","8,905","8,014","8,898","9,186","7,857","6,994","6,542","5,802","3,919","3,227","3,023","2,885","8,353","8,399","8,924","9,262","9,300","10,090","10,873","11,167","10,977","11,021","11,639"
Net Cash / Debt,"-5,956","-13,485","-10,649","-8,651","-9,782","-9,891","-10,320","-10,113","-10,722","-10,910","-10,984","-8,969","-8,195","-8,262","-8,189","-7,622","-4,222","-8,558","-4,607","-2,946","-2,040","-4,757",-717,"-2,884","-2,694","-2,813","-2,872","-2,645","-2,307","-5,650","-5,221","-4,427","-4,463","-4,097","-3,263","-5,400","-5,243","-5,791","-6,224","-5,691"
Working Capital,"1,350","-2,560",-287,-21,563,246,732,797,726,350,"1,053","1,600","1,156","1,305","1,554","1,790","1,476",153,"5,443","1,533","2,211",735,"1,700","1,188","1,924","2,501","1,926","1,768","1,820",522,4,722,"1,162","1,219","2,257",549,786,258,-64,-118
Book Value Per Share,50.49,50.30,52.65,54.21,52.65,43.78,37.27,28.10,17.15,14.53,9.25,11.15,15.80,12.33,13.12,13.56,17.61,16.93,15.31,17.49,19.62,17.93,16.84,16.18,15.11,10.23,8.43,7.90,7.54,12.41,12.41,13.18,13.68,14.00,15.29,16.61,17.08,16.78,17.18,18.19
