,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"41,281","46,464","47,564","46,262","48,006","48,549","49,539","45,813","48,399","42,378","40,640","44,271","56,901","58,455","60,425","64,583","68,653","71,323","63,429","63,233","53,945","55,640","61,973","62,407","69,945","41,038","44,636","46,657","63,131","74,377","81,046","83,146","84,748","77,184","65,251","61,281","63,700","50,800","50,268","48,894","59,293"
Market Cap Growth,33.86%,32.22%,23.21%,20.14%,16.29%,4.49%,4.15%,-0.97%,0.82%,-12.71%,-17.96%,-3.37%,17.57%,37.94%,48.68%,45.88%,20.65%,22.01%,4.97%,-2.09%,-21.42%,-21.99%,-2.30%,-1.31%,29.66%,-26.24%,-27.97%,-25.24%,-9.74%,81.24%,81.57%,78.21%,34.24%,3.77%,-19.49%,-26.30%,-24.84%,-34.18%,-22.96%,-20.21%,-
Enterprise Value,"71,450","73,898","75,094","68,429","68,894","70,263","69,680","64,683","68,581","63,499","64,568","64,533","79,318","80,942","89,614","92,991","94,194","96,182","95,543","96,428","95,148","95,456","107,511","99,358","101,734","86,958","35,091","11,179","8,136","13,791","34,688","32,296","33,278","47,407","64,249","69,088","88,050","71,817","71,202","68,277","78,676"
PE Ratio,10.45,11.57,12.01,11.65,12.16,12.49,12.77,11.74,12.47,11.13,10.87,12.06,15.43,15.38,15.46,16.01,13.53,13.54,11.47,10.90,10.66,10.93,12.13,12.24,13.64,8.59,6.32,6.48,8.67,9.07,14.35,14.82,15.59,15.32,12.07,11.05,11.11,8.49,8.48,8.41,10.34
PS Ratio,2.58,2.93,3.05,2.98,3.12,3.17,3.22,2.99,3.18,2.80,2.69,2.92,3.75,3.80,3.86,4.05,4.20,4.31,3.77,3.71,3.33,3.40,3.81,3.87,4.15,2.40,2.63,2.74,3.74,4.43,4.66,4.55,4.41,3.92,3.24,2.99,3.02,2.31,2.26,2.23,2.71
PB Ratio,0.98,1.07,1.08,1.04,1.08,1.08,1.11,1.02,1.08,0.94,0.89,0.97,1.25,1.28,1.31,1.39,1.45,1.52,1.35,1.34,1.13,1.15,1.26,1.26,1.42,0.83,0.84,0.88,1.17,1.38,1.48,1.48,1.52,1.57,1.37,1.31,1.39,1.04,1.02,0.99,1.20
P/FCF Ratio,7.43,7.19,6.58,10.91,8.60,12.37,13.14,9.88,8.76,7.65,8.78,10.57,16.26,12.14,12.18,10.91,12.31,10.32,8.03,9.63,6.88,8.81,8.92,9.77,9.50,7.79,7.38,7.99,13.55,12.12,17.92,14.70,11.75,14.18,9.79,7.18,7.01,4.25,4.00,5.26,6.38
P/OCF Ratio,7.43,7.19,6.58,10.91,8.60,12.37,13.14,9.88,8.76,7.65,8.78,10.57,16.26,12.14,12.18,10.91,12.31,10.32,8.03,9.63,6.88,8.81,8.92,9.77,9.50,7.79,7.38,7.99,13.55,12.12,17.92,14.70,11.75,14.18,9.79,7.18,7.01,4.25,4.00,5.26,6.38
Debt / Equity Ratio,1.09,1.09,1.12,1.18,1.28,1.27,1.31,1.27,1.23,1.21,1.20,1.13,1.16,1.21,1.23,1.25,1.25,1.24,1.27,1.24,1.21,1.24,1.40,1.25,1.22,1.49,0.89,0.79,0.69,0.61,0.64,0.59,0.55,0.54,0.76,1.17,1.28,1.24,1.33,1.34,1.34
Return on Capital (ROIC),Upgrade,5.28%,5.14%,4.83%,4.60%,4.34%,4.23%,4.16%,4.27%,4.35%,4.35%,4.32%,4.38%,4.35%,4.33%,4.34%,4.43%,5.49%,5.74%,5.92%,6.22%,4.71%,4.67%,4.23%,4.43%,5.04%,4.63%,5.95%,6.46%,6.62%,6.70%,6.20%,5.89%,5.88%,6.57%,6.15%,5.58%,6.21%,6.48%,6.29%,6.11%
Dividend Yield,2.20%,2.00%,2.00%,2.20%,2.10%,2.10%,2.00%,2.20%,2.10%,2.40%,2.50%,2.30%,1.80%,1.80%,1.80%,1.80%,1.80%,1.90%,2.20%,2.30%,2.90%,2.90%,2.80%,2.90%,2.60%,4.60%,4.40%,4.20%,3.10%,2.60%,2.40%,2.40%,2.40%,2.70%,3.30%,3.70%,3.60%,4.70%,4.80%,4.90%,4.17%
Payout Ratio,23.20%,23.70%,25.50%,26.40%,25.40%,26.80%,26.60%,26.40%,27.10%,30.00%,27.70%,29.40%,27.40%,27.60%,25.90%,34.40%,17.90%,30.60%,27.40%,33.50%,34.40%,36.30%,32.90%,39.00%,38.60%,58.70%,13.70%,33.80%,35.30%,28.00%,47.30%,37.80%,43.60%,38.70%,44.20%,39.70%,43.20%,37.70%,44.60%,43.10%,43.06%
