,1999-04-30,1999-07-31,1999-10-31,2000-01-31,2000-04-30,2000-07-31,2000-10-31,2001-01-31,2001-04-30,2001-07-31,2001-10-31,2002-01-31,2002-04-30,2002-07-31,2002-10-31,2003-01-31,2003-04-30,2003-07-31,2003-10-31,2004-01-31,2004-04-30,2004-07-31,2004-10-31,2005-01-31,2005-04-30,2005-07-31,2005-10-31,2006-01-31,2006-04-30,2006-07-31,2006-10-31,2007-01-31,2007-04-30,2007-07-31,2007-10-31,2008-01-31,2008-04-30,2008-07-31,2008-10-31,2009-01-31,2009-04-30,2009-07-31,2009-10-31,2010-01-31,2010-04-30,2010-07-31,2010-10-31,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31
reportedDate,1999-05-18,1999-08-18,1999-11-18,2000-02-15,2000-05-16,2000-08-21,2000-11-09,2001-02-15,2001-05-22,2001-08-14,2001-11-08,2002-02-14,2002-05-22,2002-08-15,2002-11-07,2003-02-13,2003-05-08,2003-08-07,2003-11-06,2004-02-12,2004-05-06,2004-08-05,2004-11-04,2005-02-17,2005-05-12,2005-08-11,2005-11-09,2006-02-16,2006-05-11,2006-08-10,2006-11-09,2007-02-13,2007-05-10,2007-08-09,2007-11-08,2008-02-13,2008-05-08,2008-08-12,2008-11-06,2009-02-10,2009-05-07,2009-08-06,2009-11-05,2010-02-17,2010-05-13,2010-08-12,2010-11-11,2011-02-16,2011-05-12,2011-08-11,2011-11-10,2012-02-15,2012-05-11,2012-08-09,2012-11-08,2013-02-13,2013-05-09,2013-08-08,2013-11-07,2014-02-12,2014-05-06,2014-08-07,2014-11-06,2015-02-11,2015-05-07,2015-08-06,2015-11-05,2016-02-17,2016-05-12,2016-08-11,2016-11-10,2017-02-09,2017-05-09,2017-08-10,2017-11-09,2018-02-08,2018-05-10,2018-08-16,2018-11-15,2019-02-14,2019-05-16,2019-08-15,2019-11-14,2020-02-13,2020-05-21,2020-08-19,2020-11-18,2021-02-24,2021-05-26,2021-08-18,2021-11-17,2022-02-16,2022-05-25,2022-08-24,2022-11-16,2023-02-22,2023-05-24,2023-08-23
reportedEPS,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.03,0.06,0.03,0.04,0.04,0.05,0.0375,0.07,0.09,0.07,0.09,0.11,0.12,0.09,0.03,0.05,-0.04,-0.02,0.02,0.05,0.06,0.06,0.01,0.04,0.06,0.06,0.06,0.07,0.05,0.03,0.06,0.08,0.07,0.03,0.04,0.05,0.06,0.05,0.06,0.08,0.09,0.06,0.04,0.11,0.09,0.08,0.1,0.21,0.25,0.2,0.23,0.33,0.39,0.51,0.49,0.46,0.2,0.22,0.31,0.45,0.47,0.45,0.55,0.73,0.78,0.92,1.04,1.17,1.32,1.36,0.51,0.58,0.88,1.09,2.7
estimatedEPS,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,,0.06,0.07,0.06,0.07,0.09,0.12,0.1,0.03,0.03,-0.02,-0.03,-0.01,0.03,0.05,0.05,0.03,0.04,0.04,0.05,0.06,0.06,0.05,0.02,0.04,0.07,0.06,0.02,0.03,0.05,0.05,0.04,0.05,0.07,0.07,0.06,0.03,0.06,0.08,0.08,0.09,0.14,0.21,0.16,0.17,0.24,0.29,0.4,0.44,0.47,0.19,0.2,0.29,0.39,0.42,0.42,0.49,0.64,0.7,0.82,1.01,1.11,1.22,1.29,1.26,0.69,0.81,0.92,2.09
surprise,0.01,0,-0.01,0,0,0,0,-0.01,0,0,0,0.01,0,0,0,-0.01,0,0,0,0.02,0.01,0.01,0.01,0.01,0.04,0,0.01,0,0,,0.01,0.02,0.01,0.02,0.02,0,-0.01,0,0.02,-0.02,0.01,0.03,0.02,0.01,0.01,-0.02,0,0.02,0.01,0,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.02,0,0.01,0.05,0.01,0,0.01,0.07,0.04,0.04,0.06,0.09,0.1,0.11,0.05,-0.01,0.01,0.02,0.02,0.06,0.05,0.03,0.06,0.09,0.08,0.1,0.03,0.06,0.1,0.07,-0.75,-0.11,0.07,0.17,0.61
surprisePercentage,100,0,-50,0,0,0,0,-50,0,0,0,33.3333,0,0,0,-50,0,0,0,200,100,100,100,50,200,0,33.3333,0,0,,16.6667,28.5714,16.6667,28.5714,22.2222,0,-10,0,66.6667,-100,33.3333,300,66.6667,20,20,-66.6667,0,50,20,0,16.6667,0,50,50,14.2857,16.6667,50,33.3333,0,20,25,20,14.2857,28.5714,0,33.3333,83.3333,12.5,0,11.1111,50,19.0476,25,35.2941,37.5,34.4828,27.5,11.3636,-2.1277,5.2632,10,6.8966,15.3846,11.9048,7.1429,12.2449,14.0625,11.4286,12.1951,2.9703,5.4054,8.1967,5.4264,-59.5238,-15.942,8.642,18.4783,29.1866
startPeriod,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31,1999-1-31
endPeriod,1999-04-30,1999-07-31,1999-10-31,2000-01-31,2000-04-30,2000-07-31,2000-10-31,2001-01-31,2001-04-30,2001-07-31,2001-10-31,2002-01-31,2002-04-30,2002-07-31,2002-10-31,2003-01-31,2003-04-30,2003-07-31,2003-10-31,2004-01-31,2004-04-30,2004-07-31,2004-10-31,2005-01-31,2005-04-30,2005-07-31,2005-10-31,2006-01-31,2006-04-30,2006-07-31,2006-10-31,2007-01-31,2007-04-30,2007-07-31,2007-10-31,2008-01-31,2008-04-30,2008-07-31,2008-10-31,2009-01-31,2009-04-30,2009-07-31,2009-10-31,2010-01-31,2010-04-30,2010-07-31,2010-10-31,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31
stockHigh,0.55,0.48,0.59,1.01,3.12,3.67,3.59,3.33,3.75,4.17,4.2,6.05,5.57,3.39,1.12,1.52,1.24,2.31,1.79,2.16,2.28,2.01,1.32,2.08,2.47,2.45,3.0,3.9,5.14,5.31,5.76,6.49,5.82,7.97,9.92,9.55,6.9,6.34,3.53,2.36,3.02,3.3,4.14,4.74,4.59,4.12,3.09,6.26,6.54,5.13,4.03,4.01,4.22,3.47,3.81,3.3,3.4,3.87,4.03,4.11,4.86,4.93,5.04,5.31,5.9,5.72,7.2,8.48,9.36,14.31,18.24,29.98,30.23,42.48,51.52,62.03,63.62,67.3,73.19,55.5,48.37,46.22,52.22,64.88,79.08,107.92,147.27,146.91,162.14,208.75,257.09,346.47,289.46,204.0,192.74,206.28,281.1,480.88
stockLow,0.33,0.34,0.35,0.45,0.73,1.57,2.19,1.15,1.67,2.8,1.89,3.52,2.53,1.19,0.6,0.8,0.78,1.18,1.27,1.45,1.72,1.15,0.77,1.21,1.74,1.79,2.25,2.71,3.57,2.86,3.47,4.99,4.67,5.37,6.75,5.58,4.33,2.67,1.49,1.44,1.8,2.08,2.97,2.89,3.83,2.23,2.16,2.98,4.21,3.4,2.87,3.28,3.19,2.91,2.96,2.79,3.01,3.38,3.28,3.63,3.83,4.36,4.19,4.76,4.74,4.77,4.96,6.61,6.19,8.6,13.88,16.65,23.79,25.58,38.23,45.15,51.0,55.55,44.0,31.11,34.1,33.15,36.85,49.45,45.17,70.21,104.33,123.95,115.67,134.59,187.62,208.88,182.9,140.55,108.13,129.56,189.5,272.4
