,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Debt,"5,409","5,402","5,402","5,402","5,402","5,402","5,402","5,302","9,153","9,355","8,822","7,121","7,117","7,115","6,506","6,503","6,439","6,435","6,432","6,646","6,703","6,595","6,590","6,377","7,426","6,299","5,974","5,475","5,475","5,250","5,250","5,099","5,053","5,053","5,053","5,053","5,053","5,797","5,679","5,069"
Debt Growth,30.81%,16.65%,-11.24%,-0.04%,-0.13%,-,-,-1.85%,69.44%,73.18%,63.31%,34.31%,-22.24%,-23.94%,-26.25%,-8.68%,-9.53%,-9.56%,-1.14%,2.20%,4.10%,2.49%,2.46%,-4.05%,10.79%,-4.49%,-9.35%,-14.14%,-26.27%,-16.65%,-12.12%,-6.87%,-7.71%,-3.75%,-3.75%,-0.90%,-,14.72%,12.39%,0.32%
Common Stock,"7,209","7,260","5,219","5,189","4,961","4,820","4,742","4,732","10,267","9,457","9,199","9,218","9,279","9,315","9,332","9,383","9,412","9,443","9,170","9,105","9,052","9,061","9,071","9,084","9,092","9,099","9,111","9,142","9,158","9,195","9,178","9,115","9,008","8,881","8,746","8,607","8,578","8,538","8,522","8,520"
Retained Earnings,344,495,"1,494","1,508","1,445","1,428","1,449","1,349","1,177","1,106","1,101","1,421","1,364","1,154","1,050","1,078","1,365","1,441","1,439","1,093",543,418,264,-3,-109,-37,246,411,962,"1,861","1,842","2,131","1,679","2,333","2,510","2,389","1,738","1,828","1,929","2,009"
Comprehensive Income,-701,-663,-857,"-1,393","-1,379","-1,323","-1,313","-1,212","-1,163","-1,133","-1,110","-1,459","-1,428","-1,379","-1,337","-1,562","-1,786","-1,603","-1,552","-1,152",-794,-755,-736,-904,-901,-860,-830,-822,-792,-656,-651,-479,-450,-398,-418,-247,-240,-225,-223,-293
Shareholders' Equity,"6,852","7,092","5,856","5,304","5,027","4,925","4,878","4,869","10,281","9,430","9,190","9,180","9,215","9,090","9,045","8,899","8,991","9,281","9,057","9,046","8,801","8,724","8,599","8,177","8,082","8,202","8,527","8,731","9,328","10,400","10,369","10,767","10,237","10,816","10,838","10,749","10,076","10,141","10,228","10,236"
Net Cash / Debt,"-4,629","-4,557","-3,782","-3,822","-4,244","-4,281","-4,354","-4,291","-8,738","-8,870","-8,053","-6,445","-6,662","-6,414","-6,009","-5,679","-5,588","-5,281","-5,831","-6,059","-6,082","-6,021","-6,075","-5,876","-5,968","-5,656","-5,187","-4,980","-4,459","-3,473","-2,924","-3,220","-3,848","-3,330","-3,133","-3,472","-4,256","-4,037","-3,838","-3,905"
Net Cash Per Share,-7.85,-7.73,-7.06,-7.22,-8.05,-8.24,-8.42,-8.35,-13.76,-11.86,-10.68,-8.56,-8.83,-8.48,-7.94,-7.49,-7.36,-6.94,-7.70,-8.08,-8.15,-8.07,-8.14,-7.88,-7.99,-7.57,-6.93,-6.65,-5.95,-4.62,-3.89,-4.29,-5.14,-4.47,-4.23,-4.71,-5.80,-5.51,-5.25,-5.34
Working Capital,"1,243","2,221","2,055","1,887","1,800","1,598","1,604","2,314",846,"1,771",29,416,443,564,494,550,"1,008","1,206",441,-337,573,473,648,605,677,927,"1,214",659,"1,323","2,177","2,016","2,181","1,791","2,071","1,994","1,006",403,"1,260","1,330","1,525"
Book Value Per Share,11.71,12.10,11.01,10.11,9.60,9.53,9.48,9.53,16.27,12.69,12.26,12.26,12.28,12.08,12.00,11.78,11.88,12.25,12.00,12.08,11.79,11.70,11.53,10.96,10.83,10.98,11.41,11.68,12.46,13.86,13.82,14.38,13.70,14.53,14.64,14.61,13.74,13.85,13.99,14.01
