,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"2,799","2,744","3,671","2,826","2,078","1,635","3,999","2,453","7,686","3,310","3,128","2,267","1,223","2,412","2,392","2,671","2,464","2,468","1,624","2,575",866,"2,289","1,135","1,177",898.5,"5,380","3,256","3,684","3,449","3,020","3,049","4,306","4,709","2,336","1,873","2,828","2,584","3,708","1,626","3,496"
Short-Term Investments,0,0,0,407.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"2,799","2,744","3,671","3,233","2,078","1,635","3,999","2,453","7,686","3,310","3,128","2,267","1,223","2,412","2,392","2,671","2,464","2,468","1,624","2,575",866,"2,289","1,135","1,177",898.5,"5,380","3,256","3,684","3,449","3,020","3,049","4,306","4,709","2,336","1,873","2,828","2,584","3,708","1,626","3,496"
Cash Growth,19.80%,46.78%,61.10%,27.08%,-25.75%,-40.42%,8.93%,-24.15%,269.87%,102.48%,-21.77%,-7.58%,-84.08%,-27.13%,-23.52%,17.85%,101.39%,2.31%,-32.14%,-3.62%,-64.85%,-7.25%,-30.12%,-54.27%,3.75%,135.02%,186.97%,212.90%,283.87%,-43.87%,-6.34%,16.88%,36.53%,-22.65%,-38.59%,-34.31%,-45.13%,58.76%,-13.19%,23.62%
Receivables,"1,320","1,230","1,295","1,227","1,214","1,092","1,179","1,136","1,299","1,162","1,267","1,350","1,474","1,337","1,457","1,569","1,976","1,952","2,217","2,267","2,442","1,993","2,055","2,005","2,224","1,695","2,853","2,392","2,110","1,734","1,808","1,829","1,872","1,674","1,837","1,890","2,115","2,076","2,194","2,247"
Inventory,123.7,106.2,110.7,105,110,98.8,102.3,99.3,100.1,93.7,87.4,90.5,58.9,56.8,56.7,54.2,58.8,53.8,49.6,41.9,51.1,40.8,44.2,42.6,50.2,39.1,42.6,44.2,51.1,45.3,47.8,50.1,55.6,49.6,43.3,43.4,52,51.5,52.4,47.6
Other Current Assets,807.9,756.6,837.9,645.4,783.2,767.4,692.8,804.6,558.7,485.7,564.1,595.1,"2,092","2,102","1,986",495.9,828.4,435.9,465.3,669.9,694.6,641.8,681.7,379.7,385,442.7,458.5,616.3,632.7,669.2,795.7,611.5,511.3,597,"1,167",979.2,673.4,963.6,"1,074","1,059"
Total Current Assets,"5,050","4,836","5,914","5,210","4,186","3,593","5,972","4,493","9,643","5,052","5,047","4,302","4,849","5,907","5,893","4,790","5,327","4,909","4,356","5,553","4,053","4,964","3,915","3,605","3,558","7,557","6,609","6,736","6,243","5,468","5,701","6,796","7,149","4,656","4,919","5,741","5,424","6,799","4,945","6,850"
"Property, Plant & Equipment","25,747","25,650","25,877","24,985","24,558","23,302","23,691","23,239","23,118","23,422","22,850","22,986","21,258","21,214","21,689","21,979","22,448","22,704","22,361","22,614","22,843","35,609","36,027","35,791","37,421","36,626","36,832","37,495","38,786","38,179","38,328","37,958","38,273","37,813","36,129","34,891","36,339","36,403","36,620","36,174"
Long-Term Investments,"1,209","1,224","1,232","1,106","1,005",900.5,860.3,846.7,792.7,820.1,852.1,878,725.9,766.5,779.7,999.8,"1,086","1,147","1,128","1,136","1,203","1,190","1,227","1,245","1,270","1,277","1,278","1,283","1,297","1,211","1,197","1,171","1,201","1,177","1,074",963.8,"1,065","1,088","1,039","1,038"
Goodwill and Intangibles,"2,873","2,892","2,902","2,811","2,735","2,594","2,628","2,582","2,516","2,570","2,499","2,505","2,337","2,299","2,345","2,373","2,380","2,405","2,347","2,345","2,332","2,318","2,581","2,542","2,677","2,627","2,672","2,716","2,773","2,746","2,778","2,744","2,783","2,814","2,722","2,651","2,900","2,931","2,969","2,965"
Other Long-Term Assets,"1,747","1,768","1,856","1,908","1,745","1,767","1,797","1,799","1,869","1,932","1,899","1,816","1,855","1,933","2,079","2,418","2,563","2,557","2,517","2,407","2,381","2,386","2,450","2,622","2,584","2,481","2,547","2,470","3,527","3,499","3,890","4,058","4,450","4,417","4,403","4,255","4,707","4,795","4,869","5,063"
