,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Total Long-Term Liabilities,"32,753","32,234","30,039","30,918","30,277","30,869","30,457","29,590","29,462","29,501","27,666","27,072","23,795","22,147","22,106","21,580","21,092","20,367","20,387","20,444","20,995","19,971","19,983","20,020","20,152","20,113","20,169","20,441","20,059","19,459","18,974","18,863","19,111","18,336","20,134","19,747","19,877","19,980","20,092","20,111"
Total Liabilities,"37,526","37,617","37,597","37,261","35,449","35,279","35,196","34,417","33,769","33,927","32,206","31,560","28,060","26,989","27,050","27,097","26,006","24,711","24,186","24,295","24,324","23,218","23,269","23,401","23,361","23,256","23,075","23,537","23,476","24,070","24,501","24,386","25,003","24,790","26,066","25,746","26,222","25,261","24,880","24,971"
Total Debt,"20,706","20,850","20,296","19,737","18,849","20,312","20,902","20,698","20,324","20,777","19,319","18,982","16,027","15,363","15,354","14,782","13,229","11,606","11,127","11,127","11,141","9,905","9,916","9,919","9,826","10,074","9,914","10,030","9,711","9,809","9,695","9,665","9,450","9,621","11,092","10,690","10,620","9,635","9,495","9,405"
Debt Growth,487.07%,106.60%,-4.33%,-6.56%,-8.97%,-2.58%,2.99%,4.87%,7.83%,2.29%,-7.57%,-8.29%,-21.14%,-26.06%,-20.52%,-22.13%,-17.46%,-24.45%,-27.53%,-24.73%,-15.78%,-14.66%,-10.88%,-10.86%,-11.80%,1.71%,-0.02%,1.12%,-1.17%,-2.63%,-2.21%,-3.64%,-2.69%,-1.92%,14.41%,10.61%,12.38%,0.15%,-14.40%,-12.02%
Common Stock,"18,597","18,626","18,652","18,679","18,703","18,723","18,745","19,760","20,718","20,765","21,540","22,040","23,139","23,166","23,172","23,179","23,186","23,161","23,099","23,035","22,444","22,387","22,373","22,303","22,254","22,294","22,324","22,353","22,438","22,463","22,467","22,406","21,743","21,101","20,283","19,943","19,782","19,620","19,421","19,223"
Retained Earnings,"2,742","2,926","3,081","3,306",128,"-2,398","-4,417","-8,305","-12,387","-16,570","-17,049","-16,832","-16,540","-16,311","-16,043","-15,763","-14,722","-14,030","-13,161","-12,526","-12,041","-12,010","-12,082","-12,289","-12,280","-12,771","-12,718","-12,389","-11,681","-10,963","-9,880","-8,481","-7,375","-5,848","-5,008","-4,604","-3,907","-3,244","-2,901","-2,447"
Comprehensive Income,-405,-402,-401,-394,-544,-532,-523,-509,-503,-503,-488,-476,-548,-537,-456,-443,-487,-475,-464,-532,-605,-594,-582,-570,-676,-668,-652,-728,-583,-580,-576,-572,-388,-387,-386,-385,-320,-319,-318,-317
Shareholders' Equity,"20,934","21,150","21,332","21,591","18,287","15,793","13,805","10,946","7,828","3,692","4,003","4,732","6,051","6,318","6,673","6,973","7,977","8,656","9,474","9,977","9,798","9,783","9,709","9,444","9,298","8,855","8,954","9,236","10,174","10,920","12,011","13,353","13,980","14,866","14,889","14,954","15,555","16,057","16,202","16,459"
Net Cash / Debt,"-18,721","-19,508","-18,838","-19,079","-18,385","-19,763","-20,436","-20,360","-20,147","-20,446","-18,967","-17,874","-11,782","-11,362","-10,687","-9,825","-8,703","-7,904","-7,268","-6,571","-6,924","-7,072","-7,293","-7,672","-7,806","-8,472","-8,449","-7,627","-6,054","-5,229","-3,382","-1,993","-1,382","-1,283","-1,600","-2,112","-2,363","-2,783","-2,812","-2,963"
Net Cash Per Share,-17.91,-18.69,-18.03,-18.24,-18.01,-19.00,-19.65,-19.01,-17.10,-16.34,-14.95,-13.23,-8.39,-7.81,-7.36,-6.76,-5.97,-5.42,-4.98,-4.51,-4.75,-4.85,-5.03,-5.28,-5.38,-5.83,-5.79,-5.22,-4.08,-3.54,-2.28,-1.34,-0.93,-0.87,-1.10,-1.47,-1.64,-1.93,-1.95,-2.05
Working Capital,"5,199","4,047","2,696","2,688","3,873","4,444","3,958","3,328","3,155","2,807","6,160","7,017","6,170","4,925","5,473","5,633","5,712","5,762","6,544","7,070","7,135","5,798","5,444","4,966","4,706","4,214","4,249","4,975","5,886","6,245","7,072","8,268","8,938","8,848","10,250","9,374","9,268","9,465","9,269","9,217"
Book Value Per Share,20.11,20.38,20.53,20.78,17.60,15.19,13.27,10.22,6.64,2.95,3.15,3.52,4.31,4.37,4.61,4.82,5.51,5.97,6.54,6.88,6.76,6.74,6.69,6.50,6.41,6.10,6.16,6.36,7.00,7.47,8.19,9.09,9.54,10.22,10.29,10.45,10.86,11.21,11.30,11.47
