,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,318","1,667","1,230","1,481","2,087","2,127","1,367",742.69,718.51,668.48,779.72,"1,049","1,600","1,547","1,649",846.14,834.23,816.09,"1,008","1,274","1,556","1,136","1,160","1,583","2,028","2,907","2,417","3,066","3,329","3,388","3,880","4,293","5,209","4,009","3,073","5,272","5,972","5,018","4,764","5,326"
Cash & Cash Equivalents,"1,318","1,667","1,230","1,481","2,087","2,127","1,367",742.69,718.51,668.48,779.72,"1,049","1,600","1,547","1,649",846.14,834.23,816.09,"1,008","1,274","1,556","1,136","1,160","1,583","2,028","2,907","2,417","3,066","3,329","3,388","3,880","4,293","5,209","4,009","3,073","5,272","5,972","5,018","4,764","5,326"
Cash Growth,50.41%,50.47%,0.17%,12.31%,58.34%,27.60%,11.16%,-49.86%,-65.58%,-68.58%,-42.98%,41.21%,122.67%,131.36%,111.54%,-19.32%,-47.86%,-47.23%,-38.88%,50.58%,86.48%,39.18%,15.10%,24.25%,30.36%,155.93%,108.23%,93.64%,64.15%,16.55%,60.56%,40.04%,56.47%,18.33%,-20.80%,22.80%,14.65%,25.17%,55.03%,1.02%
Receivables,"1,659","1,802","1,902","2,009","1,779","1,267","1,305","1,123",930.61,780.63,935.59,920.19,"1,216","1,187","1,114","1,244","1,597","1,702","1,908","2,151","1,915","2,203","2,002","1,928","2,002","1,450",943.35,"1,134","1,522","1,828","2,015","2,154","2,335","3,213","3,735","3,343","2,774","2,455","2,263","2,927"
Inventory,563.27,635.42,667.11,672.9,706.6,764.21,661.16,660.25,598.94,538.93,495.83,429.67,350.02,314.19,336.2,344.02,483.87,584.73,670.99,766.96,859.36,860.76,853.13,778.12,767.3,662.4,676.58,668.54,629,562,516,521,584,586,739,872,"1,058","1,131","1,355","1,379"
Other Current Assets,531.69,718.18,925.25,721.58,842.9,635.16,404.31,298.91,344.19,377.78,238.98,339.18,218.98,346.2,283.28,330.27,363.52,482.17,644.65,624.75,727.18,707.87,479.96,530.51,476.41,"1,472",560.96,226.61,382,413,524,381,456,671,606,714,671,580,524,626
Total Current Assets,"4,072","4,822","4,725","4,885","5,416","4,793","3,738","2,825","2,592","2,366","2,450","2,738","3,385","3,394","3,383","2,764","3,279","3,585","4,232","4,817","5,057","4,908","4,496","4,820","5,273","6,491","4,597","5,095","5,862","6,191","6,935","7,349","8,584","8,479","8,153","10,201","10,475","9,184","8,906","10,258"
"Property, Plant & Equipment","26,149","26,998","28,195","29,217","29,173","29,722","29,975","24,275","24,211","23,801","23,213","22,644","25,707","25,606","25,580","25,725","25,665","26,376","27,154","27,948","28,076","29,129","29,724","30,204","30,365","29,694","29,233","28,633","28,599","28,666","28,659","28,545","28,426","28,462","28,847","29,101","29,429","30,223","30,910","31,723"
Other Long-Term Assets,353.39,320.38,382.26,399.33,174.02,177.37,171.2,176.96,167.51,171.18,167.54,172.77,206.91,211.44,300.08,316.75,888.93,779.77,706.73,872.9,801.57,"1,627","1,532","1,518","1,487","1,449","1,391","1,346","1,344","1,314","1,291","1,278","1,226","1,156","1,139","1,185","1,467","1,618","1,671","1,666"
Total Long-Term Assets,"26,502","27,319","28,578","29,616","29,347","29,899","30,146","24,452","24,378","23,973","23,380","22,817","25,914","25,818","25,880","26,041","26,554","27,155","27,861","28,821","28,877","30,756","31,256","31,723","31,851","31,143","30,624","29,979","29,943","29,980","29,950","29,823","29,652","29,618","29,986","30,286","30,896","31,841","32,581","33,389"
