,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"16,719","15,815","16,603","19,175","18,484","17,858","17,002","20,407","22,467","25,174","27,901","24,572","29,729","34,460","38,855","40,891","46,360","54,209","65,291","54,693","65,325","60,559","62,229","68,321","57,436","66,452","83,035","96,172","86,987","108,897","118,053","128,355","107,924","72,046","66,937","93,771","89,514","119,815","102,697","118,775","133,401"
Market Cap Growth,-15.18%,-22.20%,11.12%,31.16%,10.56%,12.92%,2.40%,6.43%,21.55%,40.97%,64.11%,20.41%,32.32%,36.89%,39.26%,66.41%,55.94%,57.31%,68.04%,33.75%,40.91%,11.71%,-4.69%,24.92%,-12.08%,9.73%,33.43%,40.76%,51.45%,63.87%,42.17%,33.46%,24.07%,-33.84%,-43.30%,-26.94%,-17.06%,66.30%,53.42%,26.67%,-
Enterprise Value,"15,159","14,836","15,589","17,943","17,122","16,296","15,262","18,848","20,659","22,990","25,686","22,018","28,264","32,636","36,709","38,930","43,843","51,277","62,155","51,630","62,516","57,840","59,331","65,100","54,183","61,964","78,316","91,061","82,429","104,458","113,965","124,151","103,939","67,609","62,623","89,653","84,822","114,016","96,222","113,552","128,178"
PE Ratio,31.76,33.56,37.89,45.79,39.20,35.57,31.16,34.66,35.77,37.12,38.65,33.28,37.98,41.96,42.76,60.95,59.61,66.93,81.22,48.49,56.96,50.06,47.36,49.53,41.43,58.50,78.85,90.68,74.13,67.11,69.89,75.30,65.65,50.22,48.58,70.92,68.23,84.08,67.71,66.06,75.27
PS Ratio,7.89,7.71,7.89,8.99,8.40,7.86,7.35,8.56,9.18,9.95,10.63,9.08,10.65,11.96,12.93,13.03,14.02,15.68,18.29,14.69,16.97,14.99,14.65,15.26,12.48,15.25,19.28,22.07,19.11,21.09,21.51,22.48,18.27,12.08,10.94,15.07,13.92,17.98,14.99,16.67,18.73
PB Ratio,4.57,5.60,5.38,5.67,5.16,4.71,4.13,4.72,4.73,4.86,5.04,4.25,7.20,7.62,7.84,8.56,8.43,9.25,10.40,8.19,9.30,8.34,8.02,8.27,6.75,7.60,8.97,9.88,8.57,10.05,10.35,10.79,8.92,5.99,5.81,8.49,7.98,10.09,8.19,8.93,10.02
P/FCF Ratio,24.15,23.83,26.32,34.27,36.54,32.96,30.57,28.14,26.81,27.46,27.38,23.78,29.60,37.65,40.30,42.90,46.14,52.62,65.25,55.68,68.01,60.10,59.58,58.26,47.79,61.09,84.01,84.12,66.16,65.53,62.64,73.35,73.91,55.02,61.38,97.84,88.95,101.75,81.80,158.45,177.96
P/OCF Ratio,21.21,21.00,23.72,28.83,29.69,27.32,24.90,25.31,24.71,25.53,25.95,22.61,26.98,32.62,34.04,35.75,39.20,45.27,56.12,46.76,53.43,46.33,44.98,42.75,35.50,43.38,58.89,64.77,54.04,56.65,54.93,61.43,58.82,41.43,41.30,62.90,54.61,64.48,50.75,65.48,73.55
Quick Ratio,3.91,2.52,2.65,3.09,3.62,3.97,4.33,3.97,4.71,5.29,5.01,5.00,3.36,3.84,4.25,3.72,5.15,5.20,5.28,4.56,4.53,4.15,3.80,3.75,4.00,5.40,5.93,5.96,5.76,5.12,4.66,4.34,4.40,4.49,4.19,3.56,4.30,4.36,4.44,3.83,3.83
Current Ratio,4.52,3.09,3.31,3.62,4.29,4.56,5.01,4.46,5.31,5.78,5.51,5.45,3.88,4.41,4.76,4.24,5.82,5.98,6.05,5.28,5.44,5.04,4.64,4.53,4.96,6.38,7.04,6.87,6.71,5.99,5.58,5.08,5.22,5.36,5.10,4.40,5.26,5.22,5.31,4.76,4.76
Return on Capital (ROIC),Upgrade,14.01%,16.32%,13.93%,12.30%,13.06%,13.05%,13.05%,13.30%,12.90%,12.75%,12.62%,12.32%,18.23%,17.43%,17.61%,13.49%,13.57%,13.15%,12.03%,15.81%,15.03%,15.23%,15.45%,15.28%,15.04%,11.92%,9.90%,9.56%,10.28%,13.84%,14.28%,13.96%,13.49%,11.89%,11.98%,11.93%,11.35%,11.47%,11.29%,12.27%
Buyback Yield / Dilution,5.56%,7.84%,6.11%,4.63%,3.58%,-0.53%,-2.98%,-2.96%,-2.12%,-3.70%,-4.47%,-3.66%,1.06%,2.04%,1.93%,1.09%,-2.16%,-2.86%,-2.05%,-1.62%,-1.36%,-0.68%,-0.08%,-0.22%,-0.17%,-0.34%,-1.12%,-1.31%,-1.28%,-1.62%,-1.35%,-1.15%,-0.74%,0.27%,1.72%,2.99%,2.92%,1.81%,0.64%,-0.39%,1.27%
Total Shareholder Return,5.56%,7.84%,6.11%,4.63%,3.58%,-0.53%,-2.98%,-2.96%,-2.12%,-3.70%,-4.47%,-3.66%,1.06%,2.04%,1.93%,1.09%,-2.16%,-2.86%,-2.05%,-1.62%,-1.36%,-0.68%,-0.08%,-0.22%,-0.17%,-0.34%,-1.12%,-1.31%,-1.28%,-1.62%,-1.35%,-1.15%,-0.74%,0.27%,1.72%,2.99%,2.92%,1.81%,0.64%,-0.39%,1.27%
