,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,107.14,132.31,99.54,137.87,79.61,133.04,135.6,404.41,84.94,101.49,76.71,353.39,85,73.99,61.38,167.84,83,116,332,213,147,94,353,864,248,244,"1,625",885,129,"1,039",538,631,166,90,335,117,111,114,275,594
Short-Term Investments,91.71,70.28,154.94,120.65,85.72,38.91,63.6,48.11,33.84,23.29,46.95,42.86,38,20.89,78.49,74.53,44,28,75,76,87,56,86,61,55,45,72,69,49,44,148,228,123,125,534,456,279,97,233,146
Cash & Cash Equivalents,198.85,202.59,254.48,258.52,165.33,171.95,199.2,452.52,118.78,124.78,123.66,396.25,123,94.87,139.87,242.37,127,144,407,289,234,150,439,925,303,289,"1,697",954,178,"1,083",686,859,289,215,869,573,390,211,508,740
Cash Growth,31.40%,17.43%,60.01%,32.90%,-16.86%,-15.12%,-21.72%,75.04%,-28.16%,-27.43%,-37.92%,-12.44%,3.55%,-23.97%,13.10%,-38.83%,3.25%,51.79%,190.99%,19.24%,84.25%,4.17%,7.86%,220.07%,29.49%,92.67%,286.56%,3.14%,-41.25%,274.74%,-59.58%,-9.96%,62.36%,-80.15%,26.68%,-33.29%,34.95%,-1.86%,-41.54%,29.14%
Receivables,"1,431","1,461","1,352","1,335","1,555","1,371","1,259","1,287","1,379","1,255","1,279","1,322","1,506","1,337","1,368","1,433","1,561","1,473","1,456","1,506","1,615","1,636","1,376","1,444","1,550","1,400","1,412","1,485","1,630","1,550","1,647","1,678","1,880","1,906","1,876","1,989","2,478","2,077","1,852","1,951"
Inventory,576.54,436.24,501.27,634.26,597.18,505.21,532.7,644.96,608.58,520.05,526.79,614.91,604,519.08,542.04,616.68,610,492,511,528,548,445,483,544,544,488,487,512,535,469,500,587,631,505,645,870,803,580,625,688
Other Current Assets,"1,011","1,030","1,016",968.77,"1,047","1,009","1,058",959.64,663.39,832.97,774.38,742.91,609,682.51,706.76,606.55,675,673,682,680,697,678,641,687,716,806,794,886,932,"1,213","1,314","1,363","1,439","1,396","1,452","1,658","1,473","1,385","1,216","1,023"
Total Current Assets,"3,218","3,129","3,124","3,197","3,364","3,057","3,049","3,344","2,770","2,733","2,704","3,076","2,842","2,633","2,757","2,899","2,973","2,782","3,056","3,003","3,094","2,909","2,939","3,600","3,113","2,983","4,390","3,837","3,275","4,315","4,147","4,487","4,239","4,022","4,842","5,090","5,144","4,253","4,201","4,402"
"Property, Plant & Equipment","26,122","26,541","27,070","27,630","28,757","28,967","29,350","29,829","31,206","31,433","31,823","32,207","32,842","33,158","33,544","33,950","34,329","34,679","35,289","35,879","36,944","38,733","39,414","40,421","41,155","42,036","42,353","43,761","44,440","45,022","45,531","46,072","46,748","47,076","47,737","48,442","49,457","50,090","50,807","51,727"
Long-Term Investments,"1,841","1,861","1,898","1,871","1,886","1,919","1,933","1,862","1,954","1,973","2,038","2,100","2,142","2,237","2,282","2,349","2,445","2,453","2,445","2,515","2,351","2,529","2,596","2,621","2,753","2,468","2,721","2,844","3,126","3,213","3,481","3,518","3,695","3,586","3,334","3,173","3,327","3,470","3,536","3,465"
Other Long-Term Assets,"2,726","2,667","2,625","2,666","2,950","2,935","2,936","2,994","2,891","2,931","2,925","2,942","3,329","3,257","3,279","3,271","3,283","3,245","3,450","3,438","3,598","3,679","3,635","3,598","3,427","3,646","3,992","3,266","3,116","3,961","3,620","3,440","3,169","3,301","3,404","3,270","3,260","3,132","3,114","3,276"
Total Long-Term Assets,"30,689","31,069","31,594","32,167","33,594","33,821","34,220","34,685","36,051","36,337","36,786","37,249","38,313","38,652","39,104","39,570","40,057","40,377","41,184","41,832","42,893","44,941","45,645","46,640","47,335","48,150","49,066","49,871","50,682","52,196","52,632","53,030","53,612","53,963","54,475","54,885","56,044","56,692","57,457","58,468"
