,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,2012-05-30,2012-07-26,2012-10-23,2013-01-30,2013-05-01,2013-07-24,2013-10-30,2014-01-29,2014-04-23,2014-07-23,2014-10-28,2015-01-28,2015-04-22,2015-07-29,2015-11-04,2016-01-27,2016-04-27,2016-07-27,2016-11-02,2017-02-01,2017-05-03,2017-07-26,2017-11-01,2018-01-31,2018-04-25,2018-07-25,2018-10-30,2019-01-30,2019-04-24,2019-07-24,2019-10-30,2020-01-29,2020-04-29,2020-07-30,2020-10-29,2021-01-27,2021-04-28,2021-07-28,2021-10-25,2022-02-02,2022-04-27,2022-07-27,2022-10-26,2023-02-01,2023-04-26,2023-07-26,2023-10-25
reportedEPS,0.0645,0.12,0.12,0.17,0.12,0.19,0.25,0.31,0.34,0.42,0.43,0.54,0.42,0.5,0.57,0.79,0.77,0.97,1.09,1.41,1.3,1.32,1.59,2.21,1.69,1.74,1.76,2.38,1.89,1.99,2.12,2.56,1.71,1.8,2.4,3.88,3.3,3.61,3.22,3.67,2.72,2.46,1.64,1.76,2.2,2.98,4.39
estimatedEPS,,0.12,0.11,0.15,0.13,0.14,0.19,0.27,0.24,0.32,0.4,0.49,0.4,0.47,0.52,0.68,0.62,0.82,0.97,1.31,1.12,1.13,1.28,1.95,1.35,1.72,1.47,2.19,1.63,1.88,1.91,2.53,1.75,1.39,1.91,3.22,2.37,3.03,3.19,3.84,2.56,2.59,1.89,2.22,2.03,2.92,3.63
surprise,,0,0.01,0.02,-0.01,0.05,0.06,0.04,0.1,0.1,0.03,0.05,0.02,0.03,0.05,0.11,0.15,0.15,0.12,0.1,0.18,0.19,0.31,0.26,0.34,0.02,0.29,0.19,0.26,0.11,0.21,0.03,-0.04,0.41,0.49,0.66,0.93,0.58,0.03,-0.17,0.16,-0.13,-0.25,-0.46,0.17,0.06,0.76
surprisePercentage,,0,9.0909,13.3333,-7.6923,35.7143,31.5789,14.8148,41.6667,31.25,7.5,10.2041,5,6.383,9.6154,16.1765,24.1935,18.2927,12.3711,7.6336,16.0714,16.8142,24.2188,13.3333,25.1852,1.1628,19.7279,8.6758,15.9509,5.8511,10.9948,1.1858,-2.2857,29.4964,25.6545,20.4969,39.2405,19.1419,0.9404,-4.4271,6.25,-5.0193,-13.2275,-20.7207,8.3744,2.0548,20.9366
startPeriod,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31,2012-12-31
endPeriod,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,45.0,32.88,28.88,32.51,29.07,51.28,58.58,72.59,68.0,79.2,82.17,86.07,89.4,99.24,110.65,117.59,121.08,131.98,133.5,142.95,156.5,175.49,184.25,195.32,203.55,218.62,165.88,174.3,198.88,208.66,208.93,224.2,245.19,304.67,297.38,299.71,358.14,384.33,353.83,343.44,236.86,183.85,142.39,208.09,289.79,326.2
stockLow,,25.52,17.55,18.8,24.72,22.67,24.15,43.55,51.85,54.66,62.21,70.32,73.45,76.79,72.0,88.01,89.37,106.31,112.97,113.55,115.51,138.81,147.8,168.29,149.02,150.51,158.87,123.02,128.56,160.84,175.66,173.09,137.1,150.83,218.47,254.82,244.61,288.61,334.5,299.5,185.82,154.25,134.12,88.09,122.28,206.77,274.38
stockAverage,,30.24,23.19,23.44,28.42,25.62,37.01,50.14,63.28,61.4,73.17,76.46,78.27,81.6,91.7,102.5,105.36,115.22,123.92,122.9,133.5,148.54,166.63,176.74,179.55,180.7,181.03,145.09,158.58,182.71,190.26,193.27,196.4,207.82,257.34,273.96,268.91,319.96,360.3,332.04,251.76,193.9,162.48,117.71,169.62,245.55,301.08
