,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"33,045",-,"88,089",-,"110,490","104,064","96,747","110,301","106,818","82,246","103,684","133,989","143,736","145,144","148,746","212,196","199,309","167,895","164,375","189,204","189,976","210,539","234,177","350,575","330,503","309,267","301,509","312,137","321,262","291,809","272,206","293,113","189,898","176,732","206,711","195,249","193,086","226,405","243,716","254,804"
Short-Term Investments,"25,188",-,"42,904",-,"17,806","14,106","11,218","10,081","8,878","9,842","7,324","7,807","7,065","7,470","16,264","11,936","10,901","17,256","17,162","11,387","13,189","10,081","6,833","6,635","32,712","77,291","109,194","150,024","162,183","191,543","186,999","201,820","265,187","286,551","280,399","323,964","331,384","318,024","330,644","359,595"
Cash & Cash Equivalents,"58,233",0,"130,993",0,"128,296","118,170","107,965","120,382","115,696","92,088","111,008","141,796","150,801","152,614","165,010","224,132","210,210","185,151","181,537","200,591","203,165","220,620","241,010","357,210","363,215","386,558","410,703","462,161","483,445","483,352","459,205","494,933","455,085","463,283","487,110","519,213","524,470","544,429","574,360","614,399"
Cash Growth,-,-,247.08%,-,120.31%,-,-17.58%,-,-9.82%,-22.07%,2.82%,17.79%,30.34%,65.73%,48.65%,58.07%,39.40%,21.32%,10.02%,-10.50%,-3.35%,19.16%,32.76%,78.08%,78.78%,75.21%,70.41%,29.38%,33.10%,25.04%,11.81%,7.09%,-5.87%,-4.15%,6.08%,4.91%,15.25%,17.52%,17.91%,18.33%
Receivables,"6,766",-,"12,479",-,"17,898","18,832","19,031","23,289","22,830","25,488","31,253","33,592","37,111","41,696","49,870","55,527","69,502","69,432","74,624","78,541","86,608","109,531","129,881","136,002","142,214","148,780","160,373","216,491","223,140","227,962","249,240","253,004","259,142","254,040","262,118","281,741","247,998","253,023","256,101","267,753"
Other Current Assets,"2,834",-,"-2,058",-,"-4,085","-2,105","-5,005","-7,039","-4,942","-4,488","-5,935","-6,860","-6,048","-7,916","-10,232","-11,369","-22,857","-17,589","-18,278","-17,452","-19,500","-39,519","-35,204","-33,766","-42,506","-44,026","-48,141","-80,926","-63,225","-64,177","-70,398","-72,799","-75,692","-72,359","-71,519","-72,578","-74,502","-67,017","-72,505","-74,910"
Total Current Assets,"67,833",-,"141,414",-,"142,109","134,897","121,991","136,632","133,584","113,088","136,326","168,528","181,864","186,394","204,648","268,290","256,855","236,994","237,883","261,680","270,273","290,632","335,687","459,446","462,923","491,312","522,935","597,726","643,360","647,137","638,047","675,138","638,535","644,964","677,709","728,376","697,966","730,435","757,956","807,242"
"Property, Plant & Equipment","5,581",-,"8,561",-,"9,139","9,967","11,428","13,844","13,629","15,791","16,400","19,899","20,206","43,922","49,587","64,973","66,489","78,659","87,025","90,814","92,030","94,184","100,907","101,520","103,387","111,461","118,037","147,082","147,412","152,606","157,066","165,056","171,806","177,812","179,567","177,796","176,031","175,859","179,436","181,608"
Long-Term Investments,"20,689",-,"35,317",-,"48,488","91,873","95,735","115,326","120,853","142,875","157,432","154,396","151,820","149,859","159,899","164,360","177,892","197,839","219,290","227,831","241,544","254,305","330,951","362,037","350,961","373,776","398,583","425,768","437,410","454,543","461,374","476,341","443,253","446,782","418,161","436,113","453,117","451,660","456,109","429,204"
Goodwill and Intangibles,"15,359",-,"42,515",-,"51,613","41,303","91,680","90,518","89,891","133,220","140,106","140,179","144,219","152,412","151,517","199,059","189,614","259,239","254,413","312,255","333,211","332,913","342,733","341,777","337,729","334,476","332,550","367,333","363,604","359,921","359,776","331,172","328,812","327,264","325,449","317,073","315,004","311,144","308,305","287,877"
Other Long-Term Assets,"2,087",-,"4,535",-,"4,085","4,020","6,924","8,351","6,288","4,996","6,138","7,864","8,703","11,127","13,173","14,750","26,274","23,931","26,156","25,363","28,018","46,820","49,299","54,715","57,985","58,152","61,521","97,357","98,432","101,005","109,411","112,860","113,147","111,546","111,658","112,766","110,926","107,706","109,784","115,035"
Total Long-Term Assets,"43,716",-,"90,928",-,"113,325","147,163","205,767","228,039","230,661","296,882","320,076","322,338","324,948","357,320","374,176","443,142","460,269","559,668","586,884","656,263","694,803","728,222","823,890","860,049","850,062","877,865","910,691","1,037,540","1,046,858","1,068,075","1,087,627","1,085,429","1,057,018","1,063,404","1,034,835","1,043,748","1,055,078","1,046,369","1,053,634","1,013,724"
Total Assets,"111,549",-,"232,342",-,"255,434","282,060","327,758","364,671","364,245","409,970","456,402","490,866","506,812","543,714","578,824","711,432","717,124","796,662","824,767","917,943","965,076","1,018,854","1,159,577","1,319,495","1,312,985","1,369,177","1,433,626","1,635,266","1,690,218","1,715,212","1,725,674","1,760,567","1,695,553","1,708,368","1,712,544","1,772,124","1,753,044","1,776,804","1,811,590","1,820,966"
Deferred Revenue,"6,924",-,"7,546",-,"8,359","8,837","9,572","10,265","10,715","13,032","13,860","15,012","15,693","18,124","20,465","22,926","23,290","25,529","27,830","30,245","32,262","33,574","37,204","39,852","40,363","42,938","48,100","64,072","65,647","65,001","69,287","69,443","70,473","68,284","72,598","71,834","74,855","74,677","77,680","76,288"
Current Debt,"10,364",-,"14,351",-,"1,990","2,265","1,440","2,950","4,304","4,684","5,520","13,679","14,897","16,455","16,361","6,447","6,028","13,693","9,022","22,812","22,466","23,019","24,155","4,215","5,154","4,543","4,903","15,047","13,437","17,013","18,846","7,906","8,841","13,549","11,602","11,565","12,266","8,236","8,187","26,354"
Other Current Liabilities,"20,096",-,"25,134",-,"29,323","28,595","32,075","40,787","37,011","43,122","48,051","63,905","62,974","72,427","82,708","107,065","106,492","124,974","131,244","155,715","152,941","154,107","182,590","218,391","196,355","200,612","209,939","279,041","298,274","286,185","299,730","333,158","304,470","293,751","298,661","334,436","298,230","297,326","303,943","346,112"
Total Current Liabilities,"37,384",-,"47,031",-,"39,672","39,697","43,087","54,002","52,030","60,838","67,431","92,596","93,564","107,006","119,534","136,438","135,810","164,196","168,096","208,772","207,669","210,700","243,949","262,458","241,872","248,093","262,942","358,160","377,358","368,199","387,863","410,507","383,784","375,584","382,861","417,835","385,351","380,239","389,810","448,754"
Long-Term Debt,"30,711",-,"49,542",-,"50,603","50,465","52,723","53,566","53,262","74,510","82,575","77,146","76,835","76,863","75,373","122,884","119,525","124,400","129,194","113,241","111,834","116,370","121,522","118,172","120,276","120,894","116,885","102,652","135,716","133,599","132,907","131,731","132,503","138,462","149,838","148,260","149,088","157,307","158,557","139,572"
Other Long-Term Liabilities,"2,636",-,"5,985",-,"7,088","7,249","8,029","9,173","9,064","11,526","13,324","11,565","12,292","15,440","15,918","22,160","22,350","32,317","26,129","27,843","30,171","46,727","66,369","71,755","71,186","71,708","72,576","92,100","93,510","94,797","96,587","98,175","97,073","97,992","97,373","96,246","95,684","92,217","93,177","90,210"
Total Long-Term Liabilities,"33,347",-,"55,527",-,"57,691","57,714","60,752","62,739","62,326","86,036","95,899","88,711","89,127","92,303","91,291","145,044","141,875","156,717","155,323","141,084","142,005","163,097","187,891","189,927","191,462","192,602","189,461","194,752","229,226","228,396","229,494","229,906","229,576","236,454","247,211","244,506","244,772","249,524","251,734","229,782"
Total Liabilities,"70,731",-,"102,558",-,"97,363","97,411","103,839","116,741","114,356","146,874","163,330","181,307","182,691","199,309","210,825","281,482","277,685","320,913","323,419","349,856","349,674","373,797","431,840","452,385","433,334","440,695","452,403","552,912","606,584","596,595","617,357","640,413","613,360","612,038","630,072","662,341","630,123","629,763","641,544","678,536"
Total Debt,"41,075",-,"63,893",-,"52,593","52,730","54,163","56,516","57,566","79,194","88,095","90,825","91,732","93,318","91,734","129,331","125,553","138,093","138,216","136,053","134,300","139,389","145,677","122,387","125,430","125,437","121,788","117,699","149,153","150,612","151,753","139,637","141,344","152,011","161,440","159,825","161,354","165,543","166,744","165,926"
Debt Growth,-,-,128.93%,-,28.04%,-,-15.23%,-,9.46%,50.19%,62.65%,60.71%,59.35%,17.83%,4.13%,42.40%,36.87%,47.98%,50.67%,5.20%,6.97%,0.94%,5.40%,-10.04%,-6.60%,-10.01%,-16.40%,-3.83%,18.91%,20.07%,24.60%,18.64%,-5.24%,0.93%,6.38%,14.46%,14.16%,8.90%,3.29%,3.82%
Common Stock,"28,978",-,"109,003",-,"118,295","123,290","124,901","129,779","134,391","150,159","154,720","158,806","165,156","171,217","175,826","181,047","188,386","206,017","215,398","229,162","236,706","243,110","251,604","342,966","349,757","356,084","384,597","395,086","401,609","404,725","416,117","423,375","418,079","415,795","406,927","397,984","401,046","393,020","393,610","393,166"
Retained Earnings,"1,183",-,"16,206",-,"24,842","55,700","63,120","75,618","78,752","72,992","80,484","97,969","108,558","123,271","140,872","164,879","172,353","189,119","207,847","232,850","257,886","279,236","351,412","403,198","406,287","453,528","481,920","561,181","554,924","593,311","569,720","581,634","563,557","567,447","546,322","585,270","599,028","617,638","635,663","617,021"
Comprehensive Income,-823,-,-553,-,"2,302","3,884","3,002","9,598","3,844","2,096","11,212","6,910","5,085","4,132","5,474","4,035","5,083","-2,047","-1,685","-1,119","-2,335","-1,313",-217,"-2,048",-643,-909,"-9,114","-19,206","-19,063","-22,533","-23,013","-30,710","-33,157","-20,002","-5,312","-7,300","-10,417","2,846","5,809",403
Shareholders' Equity,"29,338",-,"124,656",-,"145,439","182,874","191,023","214,995","216,987","225,247","246,416","263,685","278,799","298,620","322,172","349,961","365,822","393,089","421,560","460,893","492,257","521,033","602,799","744,116","755,401","808,703","857,403","937,061","937,470","975,503","962,824","974,299","948,479","963,240","947,937","975,954","989,657","1,013,504","1,035,082","1,010,590"
Net Cash / Debt,"17,158",0,"67,100",0,"75,703","65,440","53,802","63,866","58,130","12,894","22,913","50,971","59,069","59,296","73,276","94,801","84,657","47,058","43,321","64,538","68,865","81,231","95,333","234,823","237,785","261,121","288,915","344,462","334,292","332,740","307,452","355,296","313,741","311,272","325,670","359,388","363,116","378,886","407,616","448,473"
Net Cash / Debt Growth,-,-,582.53%,-,341.21%,-,-19.82%,-,-23.21%,-80.30%,-57.41%,-20.19%,1.62%,359.87%,219.80%,85.99%,43.32%,-20.64%,-40.88%,-31.92%,-18.65%,72.62%,120.06%,263.85%,245.29%,221.45%,203.06%,46.69%,40.59%,27.43%,6.42%,3.15%,-6.15%,-6.45%,5.93%,1.15%,15.74%,21.72%,25.16%,24.79%
Net Cash Per Share,-,-,3.44,-,3.64,3.16,2.62,3.13,2.85,0.63,1.12,2.48,2.86,2.85,3.51,4.53,4.04,2.24,2.06,3.09,3.28,3.85,4.52,10.98,10.90,11.91,13.16,15.64,15.18,15.10,14.11,16.36,14.52,14.56,15.39,17.19,17.39,18.39,19.86,22.07
Working Capital,"30,449",-,"94,383",-,"102,437","95,200","78,904","82,630","81,554","52,250","68,895","75,932","88,300","79,388","85,114","131,852","121,045","72,798","69,787","52,908","62,604","79,932","91,738","196,988","221,051","243,219","259,993","239,566","266,002","278,938","250,184","264,631","254,751","269,380","294,848","310,541","312,615","350,196","368,146","358,488"
Book Value Per Share,13.49,-,55.70,-,59.05,73.83,77.62,87.90,88.60,91.08,99.44,106.11,110.05,117.43,126.24,136.86,142.93,152.30,163.17,178.92,190.85,200.63,231.85,282.69,281.94,299.78,317.53,346.37,346.38,358.74,357.23,362.26,354.54,361.80,358.32,375.28,383.35,395.65,407.21,401.47
