,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Long-Term Debt,"1,766","1,755","1,742","2,930","2,935","2,623","2,620","2,616","2,578","2,576","2,573","2,571","2,353","2,354","2,354","2,351","2,353","2,354","2,352","2,352","2,352","2,354","2,356","2,355","2,645","2,646","2,637","2,637","3,016","3,016","3,016","3,019","3,009","3,010","3,011","3,012","3,013","3,014","3,011","3,009"
Other Long-Term Liabilities,695.93,694.9,694.82,695.1,651.66,697.31,709.87,719.42,417.37,561.9,579,597.25,469.02,474.14,480.42,481.7,327.76,334.99,394.05,410.65,444.71,510.26,527.98,538.37,559.22,561.25,576.27,606.51,642.77,715.31,788.25,839.59,974.99,977.71,949.34,968.98,"1,019","1,078","1,117","1,143"
Total Long-Term Liabilities,"2,462","2,450","2,437","3,625","3,587","3,321","3,329","3,335","2,995","3,137","3,152","3,168","2,822","2,828","2,835","2,833","2,681","2,689","2,746","2,763","2,797","2,865","2,884","2,894","3,204","3,207","3,213","3,243","3,659","3,732","3,805","3,859","3,984","3,988","3,960","3,981","4,032","4,093","4,127","4,152"
Total Liabilities,"3,437","3,401","3,150","4,667","4,438","3,939","4,028","4,013","3,531","3,810","3,931","3,962","3,535","3,709","3,631","3,900","3,549","3,549","3,805","3,812","3,816","3,868","3,810","3,899","4,211","4,239","4,328","4,419","4,917","5,393","5,657","5,913","6,211","6,078","6,162","6,112","6,064","5,913","5,886","6,071"
Total Debt,"2,108","2,099","1,804","3,062","2,982","2,654","2,655","2,647","2,595","2,598","2,591","2,587","2,357","2,357","2,374","2,534","2,382","2,363","2,370","2,367","2,377","2,435","2,428","2,437","2,734","2,716","2,711","2,719","3,103","3,097","3,110","3,074","3,106","3,078","3,048","3,035","3,071","3,061","3,068","3,095"
Debt Growth,-4.30%,-8.78%,-14.04%,45.18%,41.48%,26.46%,47.16%,-13.54%,-12.98%,-2.11%,-2.39%,-2.28%,-9.17%,-9.30%,-8.37%,-2.04%,1.07%,0.28%,-0.16%,-6.61%,-0.22%,3.05%,2.43%,2.98%,15.05%,11.53%,11.64%,11.55%,13.47%,14.04%,14.73%,13.07%,0.10%,-0.61%,-1.99%,-1.27%,-1.14%,-0.57%,0.64%,1.98%
Common Stock,367.81,376.38,660.75,677.42,685.17,692.72,703.81,709,714.44,723.3,734.11,740.95,716.56,661.46,590.57,497.89,476.88,412.82,370.92,303.15,-23.55,-101.05,-186.01,-292.92,-343.46,-440.39,-431.6,-422.93,-415.71,-411.27,-795.41,"-1,124.39","-1,454.69","-1,845.83","-2,352.36","-2,825.96","-3,246.3","-3,605.78","-3,974.94","-4,295.44"
Retained Earnings,"2,180","2,192","2,237","2,301","2,228","2,225","2,224","2,251","1,965","1,994","2,102","2,225","2,210","2,374","2,490","2,607","2,875","3,058","3,376","3,731","3,958","4,109","4,250","4,350","4,419","4,554","4,577","4,624","4,759","5,134","5,783","6,722","7,761","8,801","9,946","10,800","11,376","11,941","12,682","13,189"
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-0.04,0.3,0.13,0.08,0.04,-0.01,0.03,0.22,0.1,1.9,5.67,32.34,10.58,-2.09,9.3,-5,-2.75,0.89,1.8,1.03,-0.49
Shareholders' Equity,"2,547","2,569","2,898","2,978","2,913","2,918","2,927","2,960","2,680","2,717","2,836","2,966","2,927","3,035","3,081","3,105","3,352","3,471","3,747","4,034","3,935","4,008","4,064","4,057","4,076","4,114","4,145","4,201","4,345","4,729","5,020","5,608","6,305","6,964","7,588","7,971","8,130","8,337","8,708","8,894"
Net Cash / Debt,"-1,688.61","-1,737.24","-1,427.94","-2,884","-2,601.17","-2,473.95","-2,215.68","-2,153.99","-1,848.06","-1,601.74","-1,519.01","-1,515.93","-1,497.28","-1,372.04","-1,448.09","-1,415.09","-1,353.29","-1,337.53","-1,559.95","-1,367.44","-1,319.72","-1,470.22","-1,341.33","-1,221.86","-1,090.71","-1,261.45","-1,144.64","-1,451.23","-1,734.06","-1,852.26","-1,996.25","-1,978.53","-1,862.01","-1,888.97","-1,690.16","-1,031.36",-813.94,-741.1,-980.64,-828.76
Net Cash Per Share,-7.02,-7.20,-5.90,-11.91,-10.72,-10.19,-9.10,-8.83,-7.77,-6.55,-6.19,-6.17,-6.10,-5.61,-5.96,-5.87,-5.67,-5.63,-6.58,-5.80,-5.73,-6.54,-6.03,-5.58,-5.04,-5.89,-5.42,-6.85,-8.18,-8.73,-9.45,-9.69,-9.37,-9.78,-9.00,-5.68,-4.63,-4.30,-5.81,-4.99
Working Capital,"1,498","1,577","1,917","1,889","2,088","1,834","1,893","1,974","2,003","2,101","2,271","2,343","2,217","2,364","2,456","2,506","2,640","2,792","2,759","3,082","3,014","3,026","3,098","3,015","3,246","3,111","2,901","2,679","3,000","3,236","3,413","3,933","4,674","5,059","5,554","5,682","5,606","5,742","5,637","5,310"
Book Value Per Share,11.46,11.52,12.81,12.40,12.09,12.08,12.10,12.23,11.05,11.17,11.64,12.17,12.01,12.49,12.77,12.99,14.13,14.67,15.90,17.22,17.17,17.89,18.35,18.62,18.95,19.29,19.71,19.97,20.63,22.41,23.95,27.70,31.95,36.24,40.70,44.22,46.54,48.58,51.83,53.84
