Date,Open,High,Low,Close,Adj Close,Volume,Close_Pct_Change,Price Change,RSI,MACD,Signal_Line,MACD_Histogram
1992-02-26,7.125,8.25,6.875,7.875,7.875,11616800,,,,0.0,0.0,0.0
1992-02-27,8.0625,8.0625,7.6875,7.78125,7.78125,1918400,-1.1904761904761862,-0.09375,,-0.007478632478632008,-0.0014957264957264017,-0.005982905982905606
1992-02-28,7.8125,7.9375,7.5625,7.6875,7.6875,1387200,-1.2048192771084376,-0.09375,,-0.02073136581683599,-0.00534285435994832,-0.01538851145688767
1992-03-02,7.625,8.0625,7.5625,7.9375,7.9375,1206000,3.2520325203251987,0.25,,-0.010935286628057206,-0.006461340813570096,-0.00447394581448711
1992-03-03,7.9375,8.0625,7.875,8.0,8.0,222800,0.7874015748031482,0.0625,,0.0018500778261492101,-0.004799057085626236,0.006649134911775446
1992-03-04,8.0,8.0,7.6875,7.75,7.75,596000,-3.125,-0.25,,-0.008097002192078762,-0.005458646106916741,-0.0026383560851620204
1992-03-05,7.6875,7.75,7.5625,7.6875,7.6875,1759200,-0.8064516129032251,-0.0625,,-0.020783779959157478,-0.008523672877364889,-0.01226010708179259
1992-03-06,7.625,7.9375,7.625,7.75,7.75,297200,0.8130081300812941,0.0625,,-0.025500955930980673,-0.011919129488088046,-0.013581826442892627
1992-03-09,7.8125,8.1875,7.8125,8.0,8.0,659600,3.2258064516129004,0.25,,-0.00896311994387844,-0.011327927579246127,0.0023648076353676873
1992-03-10,8.0,8.25,7.9375,8.1875,8.1875,698400,2.34375,0.1875,,0.019053282837399266,-0.005251685495917048,0.024304968333316315
1992-03-11,8.3125,8.3125,8.0625,8.0625,8.0625,274400,-1.526717557251911,-0.125,,0.030814814556777037,0.0019616145146217692,0.028853200042155268
1992-03-12,8.0625,8.3125,8.0625,8.1875,8.1875,519600,1.5503875968992276,0.125,,0.04965003382914723,0.011499298377526862,0.03815073545162037
1992-03-13,8.125,8.5,8.125,8.4375,8.4375,233200,3.053435114503822,0.25,,0.08378417959719542,0.025956274621460575,0.05782790497573484
1992-03-16,8.375,8.4375,8.125,8.125,8.125,372800,-3.703703703703709,-0.3125,55.88235294117647,0.08464387580182287,0.03769379485753303,0.04695008094428983
1992-03-17,8.1875,8.28125,8.1875,8.1875,8.1875,172000,0.7692307692307665,0.0625,57.142857142857146,0.08933857937181067,0.04802275176038856,0.04131582761142211
1992-03-18,8.1875,8.4375,8.1875,8.3125,8.3125,147600,1.526717557251911,0.125,61.971830985915496,0.10197017243237916,0.05881223589478668,0.04315793653759248
1992-03-19,8.5,8.6875,8.375,8.5625,8.5625,613600,3.007518796992481,0.25,68.42105263157895,0.13064768639798174,0.0731793259954257,0.05746836040255604
1992-03-20,8.6875,8.8125,8.625,8.75,8.75,181200,2.1897810218978186,0.1875,67.56756756756758,0.1665842265545301,0.09186030610724659,0.0747239204472835
1992-03-23,8.8125,8.8125,8.5625,8.75,8.75,51600,0.0,0.0,66.66666666666666,0.19284123976487955,0.1120564928387732,0.08078474692610635
1992-03-24,8.625,8.6875,8.5625,8.625,8.625,88000,-1.4285714285714235,-0.125,70.58823529411765,0.20124384282410013,0.1298939628358386,0.07134987998826153
1992-03-25,8.5625,8.6875,8.5625,8.65625,8.65625,230000,0.36231884057971175,0.03125,73.13432835820896,0.20802657920583734,0.14552048610983837,0.06250609309599897
