,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,2010-08-05,2010-11-09,2011-02-15,2011-05-04,2011-08-03,2011-11-02,2012-02-15,2012-05-09,2012-07-25,2012-11-05,2013-02-20,2013-05-08,2013-08-07,2013-11-05,2014-02-19,2014-05-07,2014-07-31,2014-11-05,2015-02-11,2015-05-06,2015-08-05,2015-11-03,2016-02-10,2016-05-04,2016-08-03,2016-10-26,2017-02-22,2017-05-03,2017-08-02,2017-11-01,2018-02-07,2018-05-02,2018-08-01,2018-10-24,2019-01-30,2019-04-24,2019-07-24,2019-10-23,2020-01-29,2020-04-29,2020-07-22,2020-10-21,2021-01-27,2021-04-26,2021-07-26,2021-10-20,2022-01-26,2022-04-20,2022-07-20,2022-10-19,2023-01-25,2023-04-19,2023-07-19,2023-10-18
reportedEPS,-0.0271,-0.02,-0.03,-0.03,-0.04,-0.04,-0.05,-0.05,-0.06,-0.06,-0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.02,-0.01,-0.36,-0.03,-0.04,-0.87,-0.04,-0.07,0.14,-0.14,-0.09,-0.09,-0.19,-0.2,-0.22,-0.16,0.19,0.13,-0.12,-0.07,0.12,0.14,0.08,0.15,0.25,0.27,0.31,0.48,0.62,0.85,1.07,0.76,1.05,1.19,0.85,0.91,0.66
estimatedEPS,,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.05,-0.06,-0.06,-0.04,0.04,-0.01,0.01,0.01,0.1,0.04,-0.01,0.02,-0.5,-0.6,-0.04,0.1,-0.05,-0.04,-0.08,-0.21,-0.09,-0.12,-0.15,-0.21,-0.24,-0.2,0.03,0.08,-0.05,-0.02,-0.03,0.11,-0.02,-0.01,0.19,0.34,0.26,0.33,0.53,0.79,0.75,0.6,0.99,1.13,0.85,0.82,0.72
surprise,,0.01,0,0,-0.01,0,-0.01,0,0,0,0,-0.03,0.02,0,0.01,-0.09,-0.03,0.03,-0.03,0.14,0.57,0,-0.97,0.01,-0.03,0.22,0.07,0,0.03,-0.04,0.01,0.02,0.04,0.16,0.05,-0.07,-0.05,0.15,0.03,0.1,0.16,0.06,-0.07,0.05,0.15,0.09,0.06,0.32,0.16,0.06,0.06,0,0.09,-0.06
surprisePercentage,,33.3333,0,0,-33.3333,0,-25,0,0,0,0,-75,200,0,100,-90,-75,300,-150,28,95,0,-970,20,-75,275,33.3333,0,25,-26.6667,4.7619,8.3333,20,533.3333,62.5,-140,-250,500,27.2727,500,1600,31.5789,-20.5882,19.2308,45.4545,16.9811,7.5949,42.6667,26.6667,6.0606,5.3097,0,10.9756,-8.3333
startPeriod,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31,2010-3-31
endPeriod,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,1.67,2.03,2.43,1.91,2.1,2.03,2.33,2.66,2.56,2.4,2.39,2.67,7.66,12.75,12.97,17.67,16.13,19.43,17.7,15.05,18.09,19.11,16.83,16.23,17.96,15.78,14.92,19.16,25.8,25.97,24.2,24.03,24.92,25.83,25.3,23.47,19.74,17.74,29.02,64.6,68.5,167.5,232.2,300.13,260.26,266.33,414.5,402.67,384.29,314.67,275.57,217.65,276.99,299.29
stockLow,1.17,1.0,1.33,1.41,1.61,1.43,1.53,1.51,1.79,1.7,1.79,2.14,2.68,6.97,7.74,9.11,11.81,14.24,12.84,12.09,12.4,13.0,13.47,9.4,12.52,12.9,11.88,14.06,18.42,20.21,19.51,16.55,16.31,16.82,16.52,16.96,11.8,14.07,14.95,23.37,29.76,66.92,126.37,179.83,182.33,206.82,254.53,233.33,206.86,216.17,108.24,101.81,152.37,212.36
