,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Total Current Liabilities,"3,266","2,163","1,922","1,550","1,597","1,621","1,883","1,872","2,047","1,814","1,903","1,939","1,477","1,633","1,872","1,898","2,031","2,221","2,595","2,502","2,484","2,397","2,527","2,725","2,592","3,269","3,113","2,866","3,147","3,355","4,138","3,495","4,787","5,052","5,632","5,130","5,534","5,168","4,839","4,696"
Long-Term Debt,"3,009","3,009","3,013","3,774","3,778","3,775","3,762","3,738","3,770","3,774","3,773","3,450","3,779","3,787","3,800","3,722","4,878","4,823","4,737","4,523","4,492","4,533","4,542","4,533","4,526","4,525","4,528","4,520","4,074","3,971","3,968","3,948","3,382","3,378","3,352","3,329","2,412","2,409","2,423","2,402"
Other Long-Term Liabilities,"1,959","2,089","2,094","2,169","2,188","2,029","1,980","1,881","2,008","2,008","2,015","1,999","1,962","2,016","1,978","2,028","2,085","2,729","2,651","2,736","2,539","2,708","2,893","2,871","2,814","2,621","2,716","2,762","2,814","2,779","2,852","3,058","3,118","3,203","3,093","3,243","3,246","3,225","3,322","3,349"
Total Long-Term Liabilities,"4,968","5,098","5,107","5,943","5,966","5,805","5,742","5,619","5,778","5,782","5,788","5,450","5,741","5,803","5,778","5,750","6,963","7,552","7,387","7,259","7,031","7,241","7,435","7,404","7,339","7,147","7,244","7,282","6,888","6,750","6,820","7,006","6,501","6,581","6,445","6,572","5,658","5,633","5,745","5,751"
Total Liabilities,"8,233","7,261","7,029","7,493","7,562","7,425","7,625","7,491","7,825","7,596","7,691","7,389","7,218","7,436","7,650","7,648","8,994","9,773","9,982","9,761","9,515","9,638","9,962","10,129","9,931","10,416","10,357","10,147","10,035","10,105","10,958","10,500","11,288","11,632","12,077","11,702","11,192","10,801","10,585","10,447"
Total Debt,"3,032","3,051","3,026","3,816","3,833","3,827","3,846","3,798","3,837","3,858","3,869","3,877","3,818","3,952","3,908","3,915","5,228","5,146","5,018","4,610","4,529","4,741","4,680","4,664","4,614","5,580","5,197","4,793","4,578","4,485","4,463","3,995","4,282","4,458","3,977","4,160","3,622","4,244","3,622","3,657"
Debt Growth,193.65%,-,180.41%,271.60%,26.41%,25.43%,27.09%,-0.45%,0.11%,0.82%,0.60%,2.06%,-0.48%,2.43%,1.00%,0.99%,36.92%,30.22%,28.42%,17.75%,-13.37%,-7.86%,-6.74%,1.17%,1.88%,17.69%,11.06%,2.77%,-0.78%,-19.63%,-14.13%,-16.66%,-6.48%,-0.60%,-10.90%,4.14%,-15.40%,-4.80%,-8.92%,-12.10%
Common Stock,5.9,36.3,46.1,4.2,7.9,16.9,12.8,4.5,9.9,16.3,23,22.8,33.4,31.1,37.8,43.3,48,981,985.5,987.6,989.7,"1,000","1,007",885.1,862.2,851.5,859.2,865,876.6,880,886.4,869.8,481.7,60.2,3.5,3.4,3.4,3.3,11.4,3.3
Retained Earnings,"11,182","10,917","11,069","11,153","11,169","11,259","11,065","11,059","11,015","11,206","11,103","11,045","10,863","10,861","10,905","11,080","10,631","10,676","10,734","10,972","11,065","11,197","10,944","10,881","9,922","9,719","9,747","9,722","10,511","10,668","11,076","11,419","12,014","13,197","13,635","13,858","14,203","13,997","14,365","14,157"
Comprehensive Income,114.3,-120.7,130.6,-212.8,-473.7,"-1,083.2",-941.4,"-1,448.7","-1,492.9","-1,225.6","-1,168.3","-1,231.5","-1,312.2","-1,270.3","-1,187.1","-1,008.9","-1,061.6","-1,201.6","-1,523.2","-1,517.7","-1,657.1","-1,595.6","-1,477.9","-1,665.4","-1,598.2","-2,184","-2,113.2","-2,053.8","-1,806.2","-1,923.5","-1,624.3","-1,868.5","-1,891.8","-1,618.3","-1,887.1","-2,280.8","-2,152.2","-2,106","-1,971.2","-2,109.5"
Shareholders' Equity,"11,302","10,832","11,246","10,945","10,703","10,192","10,137","9,614","9,532","9,997","9,958","9,837","9,585","9,622","9,756","10,114","9,618","10,455","10,196","10,442","10,397","10,601","10,473","10,100","9,186","8,386","8,493","8,533","9,581","9,624","10,338","10,420","10,604","11,638","11,751","11,581","12,055","11,894","12,405","12,050"
Net Cash / Debt,"2,261",-560.1,-659.2,-845,"-1,457.9","-1,309.2","-1,636","-2,513.4","-2,560.4","-2,800.1","-2,809.6","-3,223.2","-3,145.1","-3,276.3","-3,246.9","-3,229.4","-3,074.2","-4,486.3","-3,982.6","-3,580.1","-3,681.3","-4,356.7","-4,277.6","-4,023","-4,095.2","-4,510.9","-4,123.8","-3,870.3","-4,004.1","-3,792.6","-3,045.3","-3,152","-3,512.1","-3,575.9","-3,137.5","-3,457.2","-2,886.7","-3,779.1","-2,995.8","-3,065.6"
Net Cash / Debt Growth,-5.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,5.36,-1.48,-1.75,-2.25,-3.93,-3.56,-4.50,-7.06,-7.23,-7.93,-8.03,-9.17,-8.94,-9.35,-9.22,-9.17,-8.84,-11.68,-10.29,-9.24,-9.51,-11.25,-11.09,-10.45,-10.81,-11.91,-10.82,-10.21,-10.31,-9.91,-7.94,-8.23,-9.31,-9.66,-8.64,-9.94,-8.40,-11.16,-8.98,-9.25
Working Capital,"4,840","3,192","3,266","4,109","3,619","3,631","3,217","2,392","2,096","2,143","1,890","1,510","1,581","1,583","1,465","1,478","2,585","1,621","1,576","1,676","1,753","1,749","1,702","1,401","1,127",952.1,942.7,883.1,374.7,372.3,849.7,"1,105",537.9,"1,174","1,667","1,769","1,023",685.8,872.3,460.5
Book Value Per Share,26.86,28.64,30.05,29.26,28.93,27.85,28.06,27.14,27.04,28.46,28.47,28.10,27.35,27.45,27.80,28.81,27.41,27.33,26.46,27.09,26.96,27.50,27.15,26.23,24.25,22.14,22.40,22.51,25.28,25.38,27.22,27.44,28.38,31.79,32.69,33.65,35.44,35.46,37.34,36.35
