,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"8,045","8,439","8,797","9,626","8,292","8,657","8,222","6,824","7,278","7,625","8,252","9,453","9,237","8,221","7,661","8,214","8,943","10,539","12,128","9,823","9,328","8,693","8,443","8,490","6,484","8,494","7,510","10,838","12,862","11,128","11,989","14,983","12,691","9,255","8,620","8,663","8,759","8,844","9,557","10,686","10,723"
Market Cap Growth,14.91%,55.66%,30.92%,36.51%,3.07%,2.59%,-6.53%,-29.11%,-12.23%,-11.92%,0.36%,38.52%,26.92%,7.82%,-7.16%,-13.11%,-3.18%,28.20%,58.31%,19.60%,4.30%,-17.51%,-30.38%,-13.58%,-30.49%,-2.30%,-11.05%,27.66%,98.37%,31.01%,59.63%,38.24%,-1.32%,-16.83%,-28.10%,-42.18%,-30.98%,-4.44%,10.86%,23.35%,-
Enterprise Value,"7,421","7,827","8,151","8,972","7,625","7,859","7,448","6,032","6,503","6,814","7,369","8,479","8,222","7,207","6,644","7,209","7,919","9,455","11,089","8,691","8,014","7,707","7,471","7,670","6,418","8,139","7,027","10,177","12,917","11,042","11,744","14,776","12,440","9,136","8,358","8,271","8,264","8,404","8,993","10,096","10,132"
PE Ratio,28.52,28.76,28.27,28.98,23.81,23.92,22.53,18.66,20.48,21.54,22.56,25.52,23.80,20.87,18.21,19.79,20.73,23.08,26.73,19.80,18.56,18.66,19.74,21.47,19.03,26.17,24.43,36.54,46.19,37.32,36.19,44.45,36.25,26.94,26.76,28.78,26.85,26.63,24.20,23.19,23.77
PS Ratio,5.05,5.08,5.08,5.38,4.51,4.60,4.28,3.51,3.72,3.87,4.14,4.68,4.49,3.96,3.67,3.92,4.23,4.93,5.61,4.50,4.25,3.93,3.77,3.74,2.81,3.65,3.20,4.51,5.21,4.39,4.61,5.62,4.78,3.46,3.20,3.20,3.15,3.15,3.40,3.81,3.82
PB Ratio,5.69,6.03,6.42,7.10,6.28,6.52,6.24,5.41,6.16,6.42,6.96,7.91,7.80,6.83,6.23,6.69,7.29,8.32,9.44,6.97,6.36,5.35,4.79,4.40,3.25,3.94,3.36,4.51,6.41,5.08,5.08,6.23,5.29,3.98,3.49,3.36,3.21,3.33,3.41,3.74,3.75
P/FCF Ratio,16.31,16.67,16.72,17.55,13.73,13.91,13.17,10.68,11.68,12.17,12.73,14.94,13.55,12.05,10.92,11.55,12.42,14.49,17.12,14.01,13.51,13.46,13.10,14.41,10.93,13.64,12.50,17.71,22.87,18.91,19.51,26.68,22.51,20.43,21.08,18.29,18.15,15.50,15.95,17.49,17.55
P/OCF Ratio,15.62,16.01,16.02,16.70,13.02,12.90,12.01,9.72,10.50,11.04,11.60,13.56,12.50,11.24,10.35,11.09,11.92,13.69,15.94,12.77,11.99,11.65,11.29,12.23,9.50,12.29,11.36,16.57,21.40,17.83,18.58,25.05,21.29,19.07,19.48,16.99,16.71,14.31,14.63,16.16,16.22
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,0.38,0.34,0.33,0.30,0.35,0.31,0.28,0.27,0.27,0.27,0.25,0.10,0.10,0.09,0.09,0.08,0.08
Quick Ratio,1.42,1.40,1.39,1.31,1.33,1.48,1.40,1.33,1.30,1.34,1.36,1.40,1.43,1.44,1.40,1.37,1.37,1.46,1.40,1.39,1.52,1.22,1.17,1.32,0.93,1.11,1.17,1.30,0.77,0.85,0.90,0.89,0.73,0.68,0.74,0.75,0.81,0.76,0.85,0.88,0.88
Current Ratio,1.59,1.55,1.57,1.48,1.51,1.65,1.57,1.51,1.49,1.51,1.53,1.55,1.58,1.59,1.51,1.46,1.46,1.56,1.49,1.55,1.68,1.40,1.37,1.51,1.13,1.32,1.39,1.54,1.01,1.08,1.16,1.18,0.98,0.96,1.04,1.12,1.20,1.15,1.25,1.29,1.29
Return on Capital (ROIC),Upgrade,19.76%,20.85%,22.55%,24.21%,25.91%,26.85%,27.31%,28.60%,29.87%,29.59%,30.73%,30.77%,32.47%,32.32%,33.50%,33.13%,34.39%,35.30%,34.52%,34.20%,33.03%,27.46%,23.27%,16.69%,11.99%,10.99%,10.28%,9.57%,10.38%,10.53%,11.15%,11.28%,11.81%,12.06%,10.93%,10.91%,11.14%,11.39%,12.64%,14.40%
Buyback Yield / Dilution,3.63%,4.43%,5.45%,5.09%,4.63%,4.53%,4.35%,5.39%,6.75%,6.56%,6.62%,6.06%,4.09%,4.27%,4.35%,4.71%,4.57%,4.24%,3.67%,3.05%,3.27%,2.33%,1.14%,-0.28%,-1.76%,-2.03%,-2.07%,-2.41%,-1.76%,0.10%,-0.11%,0.64%,1.21%,1.45%,2.71%,2.42%,1.16%,0.24%,1.10%,1.22%,1.22%
Total Shareholder Return,3.63%,4.43%,5.45%,5.09%,4.63%,4.53%,4.35%,5.39%,6.75%,6.56%,6.62%,6.06%,4.09%,4.27%,4.35%,4.71%,4.57%,4.24%,3.67%,3.05%,3.27%,2.33%,1.14%,-0.28%,-1.76%,-2.03%,-2.07%,-2.41%,-1.76%,0.10%,-0.11%,0.64%,1.21%,1.45%,2.71%,2.42%,1.16%,0.24%,1.10%,1.22%,1.22%
