,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"3,530","2,194","2,651","1,997","1,779",809.9,943.2,286,"2,689","2,008","1,554","1,164","1,312","2,001","1,992",835,936,728,"1,022",682,671,858,"1,019",287,753,563,553,683,804,777,757,"1,628","2,617","2,370","2,192","2,323","2,825","3,219","3,254","2,032"
Cash & Cash Equivalents,"3,530","2,194","2,651","1,997","1,779",809.9,943.2,286,"2,689","2,008","1,554","1,164","1,312","2,001","1,992",835,936,728,"1,022",682,671,858,"1,019",287,753,563,553,683,804,777,757,"1,628","2,617","2,370","2,192","2,323","2,825","3,219","3,254","2,032"
Cash Growth,59.72%,13.44%,15.97%,16.71%,-49.61%,-63.09%,-64.42%,-85.68%,51.17%,147.93%,64.76%,306.99%,-51.21%,-0.35%,28.19%,-28.26%,-28.66%,-63.62%,-48.69%,-18.32%,-28.31%,17.86%,-0.29%,-57.92%,12.22%,-34.38%,-45.73%,137.98%,6.77%,38.01%,36.89%,138.36%,225.50%,205.02%,189.56%,42.69%,7.95%,35.82%,48.45%,-12.53%
Receivables,215.7,258.3,156.9,191.5,167.1,194.9,251.9,267.2,262,239,207,236,252,282,279,307,247,338,273,235,264,313,311,242,251,250,234,265,271,401,386,497,679,724,721,582,482,388,417,505
Inventory,384.4,205,254.8,202.9,267.7,205.3,329.8,321.2,304,231,312,339,364,325,316,275,401,257,264,309,446,290,296,351,379,273,298,287,379,290,418,408,488,497,500,474,430,319,318,299
Other Current Assets,780.8,748.3,275.8,223.5,166.1,156.3,239.3,252.7,265,896,858,916,877,67,64,48,76,25,38,48,31,27,43,94,97,50,86,132,35,101,253,60,42,147,267,294,111,146,201,214
Total Current Assets,"4,911","3,406","3,339","2,615","2,380","1,366","1,764","1,127","3,520","3,374","2,931","2,655","2,805","2,675","2,651","1,465","1,660","1,348","1,597","1,274","1,412","1,488","1,669",974,"1,480","1,136","1,171","1,367","1,489","1,569","1,814","2,593","3,826","3,738","3,680","3,673","3,848","4,072","4,190","3,050"
"Property, Plant & Equipment","4,282","4,605","5,050","5,526","5,925","6,466","7,940","8,539","9,052","9,413","9,725","9,652","9,552","9,441","9,372","9,175","9,031","8,841","8,772","8,623","8,756","8,617","8,511","8,450","8,225","8,070","8,008","7,891","7,741","7,665","7,471","7,324","7,142","6,849","6,774","6,691","6,582","6,496","6,433","7,400"
Long-Term Investments,933.5,943,925.2,861.5,853.5,808.7,359.8,297.8,298,289,287,139,141,120,109,108,100,94,96,93,100,101,87,88,91,94,86,80,91,82,92,82,84,79,86,74,81,72,32,0
Goodwill,"2,095","2,096","2,094","2,093","2,090","2,091","2,407","2,390","2,384","2,363","2,359","2,345","2,350","2,360","2,369","2,371","2,381","2,364","2,361","2,353","2,360","2,353","2,344","2,365","2,346","2,346","2,357","2,374","2,377","2,378","2,116","2,091","2,091","2,090","2,088","2,089","2,089","2,089","2,089","2,495"
