,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"9,890","7,941","8,057","8,048","8,521","7,772","9,200","8,648","9,052","9,777","9,722","10,890","9,425","9,015","10,158","11,116","12,569","11,748","9,880","10,074","7,551","8,933","8,355","9,693","10,941","6,300","7,964","8,438","10,725","12,839","14,872","14,788","17,498","12,942","13,884","12,937","14,270","15,159","15,575","13,247","13,391"
Market Cap Growth,57.71%,22.32%,4.78%,-15.86%,-13.84%,-2.13%,14.19%,7.45%,6.22%,25.79%,5.67%,25.93%,4.13%,-7.79%,4.49%,2.07%,33.35%,30.32%,-2.74%,-9.38%,-39.92%,-23.96%,-15.43%,-3.78%,44.89%,-29.48%,-4.68%,-12.95%,-1.97%,103.81%,86.75%,75.25%,63.15%,0.80%,-6.64%,-12.51%,-18.45%,17.12%,12.18%,2.39%,-
Enterprise Value,"11,046","9,559","9,898","9,701","10,253","9,332","10,748","10,118","10,549","12,366","12,784","13,882","12,540","11,776","12,842","13,989","15,693","14,816","13,973","14,101","11,530","14,172","13,374","14,480","15,819","11,054","12,067","12,465","14,704","16,381","18,411","18,162","21,448","16,679","17,301","16,355","17,927","18,846","19,001","18,537","18,681"
PE Ratio,31.74,23.94,22.33,21.24,22.34,20.24,23.07,21.16,21.39,22.83,21.54,23.04,20.31,18.47,20.47,22.42,23.55,21.34,17.75,17.73,15.73,21.01,19.95,22.19,20.21,10.71,14.31,14.12,16.81,16.92,15.74,14.28,16.04,11.79,11.45,10.86,12.42,13.23,15.47,13.90,13.98
PS Ratio,1.95,1.45,1.35,1.26,1.26,1.13,1.31,1.21,1.26,1.33,1.25,1.33,1.10,1.00,1.11,1.18,1.29,1.16,0.92,0.89,0.64,0.73,0.67,0.78,0.88,0.51,0.68,0.72,0.92,1.09,1.18,1.15,1.34,0.98,1.05,1.00,1.12,1.19,1.21,0.99,1.00
PB Ratio,4.21,3.21,3.10,3.02,3.13,2.80,3.11,2.85,2.91,3.02,2.94,3.18,2.74,2.50,2.63,2.75,2.99,2.67,2.09,2.08,1.58,1.86,1.73,2.01,2.18,1.27,1.56,1.57,1.90,2.20,2.53,2.51,3.03,2.24,2.48,2.46,2.62,2.66,2.62,2.22,2.25
P/FCF Ratio,29.27,25.15,31.95,28.84,34.39,22.96,24.29,20.08,24.22,32.14,23.29,32.05,21.85,18.98,22.96,29.74,36.06,38.70,33.93,26.22,15.46,16.83,10.26,10.26,13.43,7.46,7.13,8.07,8.33,7.92,11.41,9.89,15.99,13.52,15.81,18.07,13.76,18.02,16.07,12.16,12.30
P/OCF Ratio,23.11,18.97,21.73,19.64,21.92,16.47,17.72,15.14,16.63,19.59,15.59,19.33,14.84,13.41,15.99,19.85,24.22,23.89,20.35,17.05,10.62,12.03,8.19,8.39,10.28,5.83,5.95,6.84,7.43,7.24,10.16,8.85,12.80,10.33,11.86,12.75,11.42,14.25,12.81,9.57,9.68
Debt / Equity Ratio,0.56,0.70,0.75,0.71,0.68,0.62,0.57,0.53,0.51,0.87,1.01,0.95,0.97,0.84,0.77,0.78,0.81,0.75,0.94,0.90,0.90,1.16,1.11,1.08,1.08,1.03,0.89,0.83,0.76,0.71,0.66,0.64,0.73,0.70,0.66,0.70,0.72,0.71,0.90,0.96,0.96
Quick Ratio,0.90,0.89,0.98,1.11,0.96,1.06,1.09,0.96,0.90,1.06,1.09,1.07,0.90,1.07,1.07,1.00,0.99,0.99,0.92,0.92,0.88,0.85,0.79,0.81,0.76,0.77,0.82,0.83,0.70,0.76,0.68,0.68,0.62,0.63,0.57,0.56,0.56,0.66,1.04,0.48,0.48
Current Ratio,2.66,2.70,2.99,3.04,3.00,3.03,3.27,2.99,3.11,2.85,2.82,2.87,2.95,2.86,2.87,2.82,2.89,2.74,2.57,2.65,2.68,2.36,2.20,2.18,2.15,2.29,2.11,2.13,2.03,1.83,1.83,1.83,1.97,1.88,1.74,1.79,1.88,1.92,2.03,1.49,1.49
Interest Coverage,8.96,10.84,11.19,9.48,8.85,12.22,13.61,11.45,11.10,12.33,9.64,7.97,6.51,9.69,10.22,8.16,6.52,8.10,6.69,5.41,2.83,5.15,6.75,7.54,6.54,8.93,7.27,11.80,10.16,15.96,26.81,24.31,18.31,23.63,35.19,19.42,9.59,11.11,8.50,5.32,8.13
Return on Capital (ROIC),Upgrade,9.50%,8.83%,8.78%,9.19%,9.27%,9.47%,9.54%,9.70%,9.87%,7.78%,7.47%,7.73%,7.62%,8.22%,8.06%,7.74%,7.71%,7.81%,6.83%,7.22%,6.76%,5.69%,5.63%,5.67%,6.13%,6.60%,6.44%,6.78%,7.12%,8.15%,10.33%,11.20%,11.30%,11.52%,12.04%,12.22%,11.31%,10.83%,9.18%,8.67%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,1.10%,1.50%,2.10%,1.90%,1.80%,1.80%,2.20%,2.40%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.50%,26.00%,16.80%,26.00%,37.20%,27.20%,26.20%,35.30%,33.52%
Buyback Yield / Dilution,-1.14%,-1.01%,-1.09%,-0.85%,-0.80%,-0.90%,-0.77%,-0.75%,-0.81%,-0.70%,-0.82%,-0.72%,-0.66%,-0.59%,-0.52%,-0.57%,-0.50%,-0.51%,-0.46%,-2.99%,-2.96%,-1.68%,-1.38%,3.11%,3.69%,2.42%,3.19%,1.27%,0.69%,1.25%,0.59%,3.42%,4.22%,6.03%,6.40%,6.63%,8.34%,6.30%,5.50%,2.49%,2.49%
Total Shareholder Return,-1.14%,-1.01%,-1.09%,-0.85%,-0.80%,-0.90%,-0.77%,-0.75%,-0.81%,-0.70%,-0.82%,-0.72%,-0.66%,-0.59%,-0.52%,-0.57%,-0.50%,-0.51%,-0.46%,-2.99%,-2.96%,-1.68%,-1.38%,3.11%,3.69%,2.42%,3.19%,1.27%,0.69%,1.25%,0.59%,3.42%,4.62%,7.13%,7.90%,8.73%,10.24%,8.10%,7.30%,4.69%,4.89%
