,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,936","1,992","2,618","2,010","1,271","1,089","1,477","2,125","1,524","1,685","1,550","2,034","1,308","1,157","1,577","1,925","1,599",901,"1,339","1,161",950,"1,660","2,343","2,645","3,886","4,422","4,436","2,680","1,973","1,368","1,664","1,792","2,192","1,768","2,042","2,191","2,458","2,055","2,204","2,621"
Short-Term Investments,"1,929","2,137","2,001","1,765","2,078","2,477","2,574","2,824","2,928","2,797","3,308","3,135","2,966","3,221","3,136","3,131","3,390","3,346","3,424","3,350","2,718","1,343",734,779,396,160,139,44,185,482,749,927,127,552,689,310,23,40,164,14
Cash & Cash Equivalents,"3,865","4,129","4,618","3,775","3,350","3,567","4,051","4,949","4,452","4,481","4,859","5,169","4,274","4,378","4,713","5,056","4,989","4,247","4,763","4,511","3,668","3,003","3,077","3,424","4,282","4,582","4,575","2,724","2,158","1,850","2,413","2,719","2,319","2,320","2,731","2,501","2,481","2,095","2,368","2,635"
Cash Growth,40.83%,42.36%,37.43%,0.73%,-13.33%,-13.63%,-12.29%,31.11%,32.89%,25.65%,19.94%,4.45%,-3.99%,-2.30%,-3.00%,-2.19%,16.73%,-2.99%,1.06%,-10.78%,-26.48%,-29.29%,-35.40%,-24.10%,16.74%,52.58%,48.68%,-20.44%,-49.60%,-59.62%,-47.26%,-0.18%,7.46%,25.41%,13.18%,-8.02%,6.99%,-9.70%,-13.29%,5.36%
Receivables,"1,971","2,121","2,147","2,293","2,448","2,549","2,557","2,622","2,751","2,879","2,916","2,905","3,039","3,089","3,292","3,222","3,145","3,204","3,187","3,190","3,377","3,386","3,438","3,256","3,220","3,208","3,118","3,087","3,232","3,419","3,510","3,557","3,663","3,785","3,686","3,796","3,718","3,755","3,807","3,849"
Other Current Assets,454.8,490.89,494.42,352.6,608.6,656.2,630.6,338,367.9,399.2,425.5,526,529,632,552,833,856,852,777,909,838,817,876,931,823,741,926,"1,040","1,205","1,182","1,072","1,066","1,095",918,900,969,"1,029","1,101",952,"1,022"
Total Current Assets,"6,291","6,741","7,260","6,421","6,407","6,771","7,238","7,909","7,571","7,759","8,200","8,600","7,842","8,099","8,557","9,111","8,990","8,303","8,727","8,610","7,883","7,206","7,391","7,611","8,325","8,531","8,619","6,851","6,595","6,451","6,995","7,342","7,077","7,023","7,317","7,266","7,228","6,951","7,127","7,506"
"Property, Plant & Equipment","1,091","1,086","1,101","1,247","1,268","1,277","1,279","1,271","1,270","1,287","1,323","1,311","1,306","1,284","1,304","1,324","1,333","1,345","1,362","1,394","2,123","2,184","2,223","2,235","2,249","2,347","2,317","2,264","2,230","2,229","2,135","2,104","2,086","2,028","1,978","1,977","1,944","1,875","1,766","1,659"
Long-Term Investments,0,0,0,0,0,0,0,0,0,59.6,60.6,62,110,198,262,235,83,80,93,80,79,80,79,17,433,429,441,440,439,433,466,463,458,443,431,427,424,425,432,435
Goodwill and Intangibles,569.92,570.49,547.47,"3,367","3,332","3,311","3,285","3,269","3,324","3,419","3,419","3,505","3,486","3,470","3,565","3,685","3,668","4,096","4,058","4,631","4,823","4,812","4,886","5,020","5,019","5,417","6,018","6,077","6,329","6,676","6,649","6,838","6,772","6,618","6,463","6,878","7,302","7,293","7,187","7,234"
