,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"13,624","15,771","14,645","13,840","14,536","12,690","13,886","11,937","12,532","10,109","10,780","12,389","17,677","17,512","17,598","18,201","20,044","20,857","19,970","20,230","13,833","14,401","15,138","15,785","16,553","8,588","10,672","11,071","15,482","19,848","19,399","20,341","20,782","20,861","17,522","18,753","20,147","17,345","16,721","16,140","17,188"
Market Cap Growth,35.23%,36.24%,8.73%,7.08%,6.69%,-19.53%,-5.18%,-13.75%,-13.78%,-20.34%,-22.37%,3.78%,41.05%,73.23%,63.25%,46.92%,13.39%,19.10%,13.48%,11.15%,-30.99%,-30.96%,-24.20%,-21.97%,19.66%,-40.37%,-29.50%,-29.86%,-6.47%,131.12%,81.78%,83.74%,34.23%,5.11%,-9.68%,-7.81%,-3.06%,-16.85%,-4.57%,-13.93%,-
Enterprise Value,"15,363","16,782","15,468","14,763","16,247","11,957","15,579","14,293","15,577","13,570","15,513","14,205","19,989","19,148","20,832","21,142","24,695","25,621","26,974","31,163","24,319","25,151","24,113","25,247","22,368","16,588","3,882","2,517","1,095","-2,156","-3,325","-4,715","-6,222","-4,741",-659,"5,361","11,204","12,819","14,128","13,414","14,462"
PE Ratio,12.87,15.18,13.71,12.78,13.27,12.62,14.07,12.85,12.56,9.75,10.50,11.38,16.08,15.54,15.07,15.70,16.72,15.90,14.57,12.46,8.16,8.60,8.96,10.34,11.01,6.79,16.34,14.40,15.62,13.54,7.92,7.90,8.66,9.03,8.27,9.87,9.39,7.85,7.57,7.11,7.70
PS Ratio,2.61,3.03,2.82,2.67,2.84,2.50,2.69,2.32,2.44,1.96,2.11,2.36,3.43,3.40,3.40,3.59,3.75,3.78,3.59,3.59,2.50,2.64,2.79,2.91,3.02,1.67,2.38,2.40,3.12,3.50,2.80,2.84,2.99,3.05,2.65,2.85,2.90,2.43,2.30,2.22,2.37
PB Ratio,0.86,0.98,0.86,0.81,0.86,0.74,0.82,0.70,0.74,0.59,0.62,0.71,1.06,1.05,1.04,1.10,1.24,1.32,1.27,1.37,0.92,0.93,0.91,0.95,1.02,0.50,0.61,0.62,0.86,1.11,1.06,1.09,1.13,1.23,1.06,1.24,1.26,1.03,1.00,1.00,1.07
P/FCF Ratio,3.83,5.54,6.94,7.33,7.79,7.26,7.67,6.90,10.19,5.96,6.20,7.47,9.65,9.62,9.59,8.63,9.34,13.67,12.28,14.81,6.51,5.61,5.40,5.37,6.89,3.30,3.96,4.14,7.07,9.28,9.58,9.35,7.07,7.45,5.82,7.54,6.69,6.61,8.08,6.24,6.65
P/OCF Ratio,3.64,5.19,6.31,6.54,6.90,6.34,6.84,5.97,7.84,4.88,5.19,6.38,8.68,8.84,8.61,7.96,8.73,12.13,11.06,12.93,6.08,5.34,5.16,5.11,6.41,3.08,3.67,3.92,6.66,8.80,9.20,8.97,6.86,7.21,5.64,7.25,6.49,6.39,7.64,5.91,6.30
Debt / Equity Ratio,0.44,0.38,0.33,0.33,0.34,0.31,0.32,0.43,0.50,0.46,0.52,0.35,0.47,0.36,0.44,0.40,0.53,0.50,0.72,0.98,0.93,0.94,0.81,0.88,0.61,0.76,0.36,0.27,0.20,0.16,0.16,0.13,0.13,0.14,0.14,0.15,0.14,0.26,0.44,0.39,0.39
Return on Capital (ROIC),Upgrade,4.77%,4.74%,4.79%,4.84%,4.96%,4.69%,4.64%,4.04%,4.17%,4.34%,4.07%,4.83%,4.65%,5.10%,4.96%,5.12%,4.95%,5.66%,5.21%,5.13%,5.43%,5.19%,5.24%,5.09%,5.97%,4.35%,2.85%,3.53%,4.76%,7.27%,12.08%,12.69%,12.03%,12.42%,11.68%,11.33%,12.19%,10.79%,9.55%,10.48%
Dividend Yield,1.00%,1.10%,1.30%,1.60%,1.70%,2.10%,2.00%,2.40%,2.40%,3.10%,2.90%,2.50%,1.80%,1.80%,1.80%,1.90%,1.80%,1.80%,2.00%,2.20%,3.40%,3.60%,3.70%,3.60%,3.40%,6.70%,5.60%,5.40%,3.80%,3.00%,3.10%,3.00%,3.00%,3.00%,3.60%,3.50%,3.40%,4.10%,4.50%,4.90%,5.20%
Payout Ratio,21.40%,13.60%,23.80%,22.70%,33.30%,31.20%,30.00%,33.30%,30.00%,30.00%,32.50%,27.10%,29.50%,27.10%,28.00%,36.00%,33.30%,25.70%,28.10%,28.00%,37.80%,37.80%,37.80%,39.70%,40.80%,103.30%,-62.00%,29.80%,25.40%,24.20%,19.90%,26.20%,38.60%,30.40%,28.30%,46.50%,28.60%,31.70%,33.90%,49.00%,40.00%
