,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Long-Term Debt,"15,353","15,244","15,205","15,651","16,043","17,638","17,152","18,849","18,330","19,134","21,131","21,545","22,489","22,829","22,525","22,217","22,511","21,946","21,863","22,274","29,081","28,445","29,609","29,160","28,875","28,803","35,670","36,759","36,573","43,985","43,912","42,615","42,181","41,990","41,276","40,466","38,948","37,911","37,278","36,051"
Other Long-Term Liabilities,"15,850","12,319","10,432","9,663","11,757","12,119","12,035","11,943","10,845","10,788","10,691","10,639","11,128","11,055","10,984","10,929","15,696","15,344","14,959","14,581","13,572","13,129","12,257","12,295","12,927","13,200","14,043","14,958","15,733","15,276","14,698","14,321","12,620","12,485","12,339","12,109","10,071","10,056","10,051","10,416"
Total Long-Term Liabilities,"31,203","27,563","25,637","25,314","27,800","29,757","29,187","30,792","29,175","29,922","31,822","32,184","33,617","33,884","33,509","33,146","38,207","37,290","36,822","36,855","42,653","41,574","41,866","41,455","41,802","42,003","49,713","51,717","52,306","59,261","58,610","56,936","54,801","54,475","53,615","52,575","49,019","47,967","47,329","46,467"
Total Liabilities,"45,009","42,642","40,725","39,202","41,204","43,990","44,232","44,953","42,780","45,199","46,739","46,717","47,489","49,170","49,621","48,453","53,565","54,298","53,491","53,203","60,749","61,423","61,989","61,015","60,113","61,216","67,713","68,301","68,875","76,594","80,131","75,874","73,807","76,341","76,385","74,545","70,515","72,557","71,645","70,847"
Total Debt,"16,799","16,685","16,728","17,090","17,720","18,922","18,794","20,561","20,561","21,744","22,846","23,343","24,344","24,543","24,859","24,684","25,065","24,739","24,076","24,767","34,029","33,444","34,748","34,440","33,444","34,073","40,049","41,205","41,021","48,024","48,297","46,655","46,177","45,862","44,865","44,682","43,687","42,929","42,583","41,205"
Debt Growth,10.95%,-,-,-,5.48%,13.41%,12.35%,20.31%,16.03%,14.91%,21.56%,13.53%,18.40%,12.87%,8.81%,5.74%,2.96%,0.80%,-3.15%,0.34%,35.76%,35.19%,44.33%,39.06%,-1.72%,1.88%,15.26%,19.64%,22.66%,40.94%,20.59%,13.23%,12.57%,-4.50%,-7.11%,-4.23%,-5.39%,-6.40%,-5.09%,-7.78%
Common Stock,"10,597","14,046","15,885","15,950","15,142","15,056","14,326","12,858","11,597","10,050","8,356","7,766","7,228","6,731","6,250","5,923","5,719","5,284","4,928","4,951","4,969","4,376","4,391","4,212","3,949","3,865","5,382","5,435","6,900","6,986","7,206","7,227","7,240","7,249","7,265","7,283","7,297","7,297","7,328","7,360"
Retained Earnings,"-11,296","-10,816","-9,953","-9,086","-8,562","-7,702","-6,070","-4,445","-1,230",-591,719,"1,403","1,640","1,823","2,577","3,152","-1,345","-1,130",-610,-316,758,897,"1,514","1,894","2,264",-21,"-2,088","-4,487","-6,664","-7,895","-7,876","-7,707","-8,638","-10,273","-9,797","-9,314","-8,511","-8,501","-7,163","-7,708"
Comprehensive Income,"-2,032","-2,135","-1,846","-1,893","-4,559","-4,590","-4,620","-4,651","-4,732","-4,749","-4,763","-4,778","-5,083","-5,097","-5,112","-5,127","-5,154","-5,172","-5,187","-5,203","-5,896","-5,909","-5,927","-5,946","-6,331","-6,480","-6,463","-6,476","-7,103","-7,036","-6,997","-6,957","-5,942","-5,916","-5,890","-5,862","-4,585","-4,567","-4,550","-4,788"
Shareholders' Equity,"-2,731","1,095","4,086","4,971","2,021","2,764","3,636","3,762","5,635","4,710","4,312","4,391","3,785","3,457","3,715","3,948",-780,"-1,018",-869,-568,-169,-636,-22,160,-118,"-2,636","-3,169","-5,528","-6,867","-7,945","-7,667","-7,437","-7,340","-8,940","-8,422","-7,893","-5,799","-5,771","-4,385","-5,136"
Net Cash / Debt,"-6,513","-6,074","-6,387","-8,316","-9,643","-8,992","-9,128","-10,978","-13,612","-14,123","-15,088","-15,953","-17,347","-17,324","-17,419","-18,523","-19,681","-19,154","-19,219","-19,758","-29,115","-28,939","-29,184","-29,114","-29,460","-30,340","-29,697","-32,413","-33,548","-33,179","-29,348","-31,196","-32,756","-32,426","-31,346","-32,497","-33,727","-30,481","-29,538","-29,698"
Net Cash Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-71.27,-,-,-,-52.28,-,-,-,-49.92,-,-,-,-,-,-
Working Capital,517,114,-122,-438,"-1,654",-104,-936,-455,"-3,620","-4,475","-3,733","-3,485","-3,548","-4,660","-5,096","-5,305","-6,212","-7,335","-7,493","-6,850","-9,459","-11,195","-10,273","-9,988","-10,105","-12,038","-4,211","-4,244","-5,474",756,"1,126",257,"-1,670","-4,104","-4,245","-4,593","-6,227","-6,938","-6,096","-7,672"
Book Value Per Share,-5.79,2.32,5.67,6.90,2.82,3.97,5.25,5.60,8.94,7.81,7.46,8.29,7.30,6.86,7.54,8.11,-1.63,-2.15,-1.86,-1.23,-0.37,-1.42,-0.05,0.36,-0.27,-6.19,-7.49,-10.87,-13.50,-12.52,-11.95,-11.49,-11.34,-13.76,-12.97,-12.15,-8.92,-8.86,-6.72,-7.86
