,2014-02-01,2014-05-24,2014-08-16,2014-11-08,2015-01-31,2015-05-23,2015-08-15,2015-11-07,2016-01-30,2016-05-21,2016-08-13,2016-11-05,2017-01-28,2017-05-20,2017-08-12,2017-11-04,2018-02-03,2018-05-26,2018-08-18,2018-11-10,2019-02-02,2019-05-25,2019-08-17,2019-11-09,2020-02-01,2020-05-23,2020-08-15,2020-11-07,2021-01-30,2021-05-22,2021-08-14,2021-11-06,2022-01-29,2022-05-21,2022-08-13,2022-11-05,2023-01-28,2023-05-20,2023-08-12,2023-11-04
Cash & Equivalents,401,265,248,264,268,252,268,274,277,391,319,374,322,356,819,352,347,691,361,429,429,409,629,545,399,"2,726","2,820","2,180","1,687","2,309","2,225","2,288","1,821","1,382","1,102",916,"1,015","2,632","2,420","1,725"
Cash & Cash Equivalents,401,265,248,264,268,252,268,274,277,391,319,374,322,356,819,352,347,691,361,429,429,409,629,545,399,"2,726","2,820","2,180","1,687","2,309","2,225","2,288","1,821","1,382","1,102",916,"1,015","2,632","2,420","1,725"
Cash Growth,68.49%,7.29%,-43.64%,-23.26%,-33.17%,-4.91%,8.06%,3.79%,3.36%,55.16%,19.03%,36.50%,16.25%,-8.95%,156.74%,-5.88%,7.76%,94.10%,-55.92%,21.88%,23.63%,-40.81%,74.24%,27.04%,-6.99%,566.50%,348.33%,300.00%,322.81%,-15.30%,-21.10%,4.95%,7.94%,-40.15%,-50.47%,-59.97%,-44.26%,90.45%,119.60%,88.32%
Receivables,"1,116","1,108","1,174","1,154","1,266","1,218","1,319","1,253","1,734","1,314","1,316","1,488","1,649","1,394","1,536","1,452","1,637","1,583","1,488","1,510","1,589","1,560","1,567","1,600","1,706","1,552","1,526","1,610","1,781","1,936","1,961","1,914","1,828","1,887","1,869","2,019","2,234","1,766","1,820","1,938"
Inventory,"5,651","5,648","5,495","6,130","5,688","5,722","5,548","6,324","6,168","6,066","6,120","6,976","6,561","6,359","6,363","6,917","6,533","6,387","6,241","7,083","6,846","6,707","6,526","7,412","7,084","6,297","6,344","7,478","7,063","6,767","6,541","7,520","6,783","7,358","7,315","8,666","7,560","7,030","6,828","7,931"
Other Current Assets,"1,662","1,347","1,378","1,338","1,689","1,391","1,391","1,426","1,713","1,445","1,489","1,565","1,808","1,429","1,429","2,204","2,600","1,625","1,656","1,731","1,939","1,486","1,418","1,468","1,701","1,600","1,596","1,678","1,972","1,533","1,605","1,658","1,742","1,649","1,623","1,802","1,861","1,776","1,783","1,845"
Total Current Assets,"8,830","8,368","8,295","8,886","8,911","8,583","8,526","9,277","9,892","9,216","9,244","10,403","10,340","9,538","10,147","10,925","11,117","10,286","9,746","10,753","10,803","10,162","10,140","11,025","10,890","12,175","12,286","12,946","12,503","12,545","12,332","13,380","12,174","12,276","11,909","13,403","12,670","13,204","12,851","13,439"
"Property, Plant & Equipment","16,893","17,030","17,263","17,586","17,912","18,212","18,573","18,926","19,619","20,161","20,687","20,966","21,016","21,133","21,308","20,966","21,071","21,195","21,316","21,515","21,635","28,480","28,681","28,648","28,685","28,621","28,703","28,745","29,182","29,720","29,690","29,971","30,484","30,969","30,889","30,785","31,388","31,594","31,591","31,634"
Goodwill and Intangibles,"2,837","2,833","2,830","3,061","3,061","3,047","3,043","3,044","3,777","3,787","3,788","4,199","4,184","4,172","4,183","4,148","4,025","4,025","4,305","4,288","4,345","4,210","4,198","4,162","4,142","4,120","4,105","4,088","4,073","4,054","4,042","4,030","4,018","4,004","3,993","3,982","3,815","3,809","3,801","3,806"
Other Long-Term Assets,721,682,691,689,613,626,639,660,609,637,943,939,965,956,962,989,984,"1,055","1,590","1,585","1,335","1,467","1,443","1,558","1,539","2,026","2,449","2,686","2,904","2,492","2,397","2,448","2,410","1,842","1,950","1,817","1,750","1,586","1,959","2,142"
Total Long-Term Assets,"20,451","20,545","20,784","21,336","21,586","21,885","22,255","22,630","24,005","24,585","25,418","26,104","26,165","26,261","26,453","26,103","26,080","26,275","27,211","27,388","27,315","34,157","34,322","34,368","34,366","34,767","35,257","35,519","36,159","36,266","36,129","36,449","36,912","36,815","36,832","36,584","36,953","36,989","37,351","37,582"
Total Assets,"29,281","28,913","29,079","30,222","30,497","30,468","30,781","31,907","33,897","33,801","34,662","36,507","36,505","35,799","36,600","37,028","37,197","36,561","36,957","38,141","38,118","44,319","44,462","45,393","45,256","46,942","47,543","48,465","48,662","48,811","48,461","49,829","49,086","49,091","48,741","49,987","49,623","50,193","50,202","51,021"
Accounts Payable,"4,881","5,257","5,076","5,400","5,052","5,431","5,261","5,866","5,728","5,846","5,723","6,310","5,818","6,078","6,003","6,307","5,858","6,202","5,933","6,505","6,059","6,423","6,268","6,867","6,349","7,132","6,871","7,355","6,679","7,015","6,772","7,879","7,117","7,556","7,446","8,219","7,119","7,353","7,597","8,149"
Current Debt,"1,657","1,652","1,494","1,801","1,874","1,591","1,527","2,295","2,370","2,676","2,779","3,019","2,252","1,854",948,"1,729","3,560","2,242","2,411","3,371","3,157","2,135","2,028","2,090","2,562","1,764","1,762","2,264","1,578","1,794","2,191","1,690","1,205","1,239","1,445","1,442","1,972","1,983","1,385","1,392"
Other Current Liabilities,"4,167","4,015","4,270","4,479","4,466","4,296","4,575","4,791","4,873","4,623","5,019","4,795","4,790","4,583","4,667","4,854","4,779","5,032","5,005","4,920","5,058","5,017","5,054","5,161","5,332","5,775","5,945","5,898","7,109","6,401","6,640","7,229","8,001","7,443","7,675","8,077","8,147","7,794","7,555","7,244"
Total Current Liabilities,"10,705","10,924","10,840","11,680","11,392","11,318","11,363","12,952","12,971","13,145","13,521","14,124","12,860","12,515","11,618","12,890","14,197","13,476","13,349","14,796","14,274","13,575","13,350","14,118","14,243","14,671","14,578","15,517","15,366","15,210","15,603","16,798","16,323","16,238","16,566","17,738","17,238","17,130","16,537","16,785"
Long-Term Debt,"9,653","9,664","9,706","9,735","9,723","9,716","9,743","8,964","9,709","9,710","9,641","10,817","11,825","11,590","13,100","13,118","12,029","12,059","12,121","11,647","12,072","18,436","18,593","18,676","18,616","18,879","18,864","18,407","19,009","19,359","19,016","19,016","19,235","19,512","18,937","18,812","18,440","18,467","18,444","18,447"
Other Long-Term Liabilities,"3,528","3,555","3,511","3,463","3,940","3,898","3,793","3,746","4,419","4,498","4,899","4,936","5,110","5,559","5,738","4,809","4,066","4,085","4,149","4,088","3,937","3,776","3,866","3,871","3,824","4,064","4,308","4,497","4,737","5,013","4,584","4,524","4,099","3,948","3,599","3,508","3,931","3,716","4,617","4,598"
Total Long-Term Liabilities,"13,181","13,219","13,217","13,198","13,663","13,614","13,536","12,710","14,128","14,208","14,540","15,753","16,935","17,149","18,838","17,927","16,095","16,144","16,270","15,735","16,009","22,212","22,459","22,547","22,440","22,943","23,172","22,904","23,746","24,372","23,600","23,540","23,334","23,460","22,536","22,320","22,371","22,183","23,061","23,045"
