,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"95,663","100,430","91,617","96,266","79,618","78,948","74,225","68,454","59,192","57,785","59,159","67,802","71,300","75,292","79,965","86,201","80,247","84,315","91,694","81,428","92,180","103,082","98,134","101,867","69,176","76,633","80,717","97,357","113,943","132,730","133,091","126,717","141,999","104,389","101,148","110,404","122,755","129,473","109,872","136,523","154,902"
Market Cap Growth,28.37%,22.28%,12.45%,-0.96%,-16.77%,-21.39%,-18.98%,-28.89%,-25.65%,-26.81%,-20.30%,-0.95%,20.45%,30.30%,35.17%,27.14%,12.55%,11.98%,14.67%,-5.54%,14.87%,22.26%,7.02%,25.10%,-24.96%,-25.66%,-17.75%,-4.43%,64.71%,73.20%,64.89%,30.16%,24.62%,-21.35%,-24.00%,-12.87%,-13.55%,24.03%,8.62%,23.66%,-
Enterprise Value,"131,839","140,272","129,447","135,413","113,119","115,103","106,100","98,565","84,054","77,010","80,394","95,165","97,181","100,221","104,911","112,356","103,468","112,427","119,055","115,506","119,449","136,776","135,160","141,698","89,166","85,500","94,180","109,222","117,260","141,161","141,911","145,607","154,780","120,591","113,874","120,411","124,781","134,823","114,024","139,086","157,465"
PE Ratio,17.36,17.82,15.94,16.36,13.32,13.33,13.00,13.26,11.69,10.31,10.79,12.61,13.71,16.62,16.85,31.37,25.63,24.73,24.75,11.77,13.48,14.78,13.87,15.07,12.41,18.82,23.81,31.06,22.78,18.89,17.11,15.72,17.92,13.72,13.20,14.69,16.98,17.40,13.71,16.30,18.96
PS Ratio,3.06,3.17,2.90,3.00,2.49,2.49,2.36,2.22,1.91,1.87,1.94,2.03,2.10,2.17,2.22,2.53,2.30,2.37,2.52,2.20,2.45,2.69,2.51,2.55,1.82,2.24,2.50,3.11,3.41,3.48,3.23,2.89,3.10,2.18,2.04,2.18,2.35,2.44,2.02,2.46,2.79
PB Ratio,4.79,4.97,4.53,4.66,3.65,3.61,3.48,3.31,2.86,2.79,2.82,3.31,3.41,3.56,3.79,4.72,4.09,4.04,4.27,3.65,4.15,4.46,4.26,4.42,3.29,3.64,3.69,4.24,4.66,5.20,5.45,5.71,6.34,4.49,4.22,4.47,4.72,4.85,4.02,4.87,5.52
P/FCF Ratio,29.37,47.24,11.89,9.83,9.25,8.62,8.24,7.31,6.09,7.03,9.25,9.80,12.80,9.28,7.47,6.91,5.98,6.34,6.54,10.69,6.59,7.53,13.03,8.50,56.06,133.97,21.16,23.67,13.21,13.62,11.45,9.68,9.75,6.74,6.38,5.74,8.15,8.75,5.92,8.03,9.11
P/OCF Ratio,22.33,31.35,10.26,8.76,8.10,7.64,7.26,6.39,5.33,5.98,7.55,8.18,10.30,8.03,6.71,6.37,5.56,5.87,6.06,9.12,5.98,6.73,10.69,7.47,24.14,37.09,15.27,17.41,11.29,11.91,10.13,8.65,8.74,6.03,5.73,5.24,7.30,7.85,5.43,7.36,8.35
Debt / Equity Ratio,2.85,2.88,2.92,2.97,2.61,2.61,2.43,2.56,2.41,2.56,2.27,2.56,2.64,2.61,2.42,3.24,2.77,2.77,2.68,2.76,2.72,2.62,2.66,2.79,2.67,2.39,2.13,1.95,1.78,1.54,1.50,1.85,1.81,1.83,1.83,1.78,1.65,1.81,1.76,1.75,1.75
Return on Capital (ROIC),Upgrade,7.17%,7.18%,7.24%,7.17%,7.58%,7.49%,7.81%,7.02%,7.17%,7.61%,7.97%,7.36%,6.83%,5.92%,6.57%,3.55%,4.24%,4.33%,4.69%,8.26%,8.27%,8.34%,8.39%,7.74%,7.23%,5.70%,4.96%,4.62%,7.35%,10.85%,12.72%,12.77%,12.61%,11.58%,11.29%,10.95%,10.50%,9.92%,10.63%,10.84%
Dividend Yield,1.00%,1.00%,1.10%,1.10%,1.60%,1.70%,1.40%,1.60%,1.40%,1.90%,1.80%,1.60%,1.50%,1.10%,1.40%,1.30%,1.40%,1.40%,1.30%,1.50%,1.40%,1.20%,1.30%,1.30%,1.90%,1.80%,1.70%,1.40%,1.50%,1.00%,1.00%,1.10%,0.70%,1.70%,1.40%,1.30%,1.30%,0.90%,1.50%,1.20%,1.13%
Payout Ratio,17.20%,16.00%,18.40%,18.70%,34.90%,20.30%,0.00%,31.90%,20.00%,27.50%,0.00%,37.20%,23.50%,21.60%,21.20%,-25.90%,18.80%,18.90%,18.50%,16.70%,21.50%,18.80%,18.70%,21.20%,104.90%,148.30%,32.80%,24.40%,31.40%,0.00%,18.90%,19.40%,15.80%,40.50%,0.00%,24.90%,21.60%,20.80%,18.20%,22.80%,21.41%
Buyback Yield / Dilution,3.53%,3.56%,3.15%,3.49%,4.12%,4.25%,4.78%,4.57%,5.87%,7.11%,7.42%,6.78%,6.23%,5.10%,4.55%,5.24%,4.65%,3.47%,2.38%,3.05%,2.09%,3.02%,3.84%,3.38%,4.15%,3.71%,2.66%,2.89%,0.37%,0.37%,2.24%,1.99%,5.84%,6.11%,4.83%,4.81%,1.85%,1.59%,2.14%,2.13%,2.13%
