,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Long-Term Liabilities,255.57,264.03,275.53,347.8,363.7,382,369.9,358.4,530,518.5,503.6,504.9,510.9,522.5,506.1,839.6,761.7,688.7,677.8,723,833.7,808.5,804.5,883.2,870.3,854.6,847.7,934.9,953.6,"1,074","1,082","1,056","1,064","1,029","1,044",981,"1,008",968.5,975.5,963.7
Total Long-Term Liabilities,"1,778","1,807","2,299","3,002","3,121","3,141","3,223","3,172","3,396","3,353","3,102","3,140","3,373","3,543","4,066","4,381","3,251","3,357","3,146","3,529","4,389","4,378","4,350","4,087","5,462","4,618","4,434","4,571","5,064","5,784","6,032","5,852","5,973","5,864","5,794","5,556","5,569","4,936","4,912","4,947"
Total Liabilities,"3,334","3,519","3,854","4,048","4,046","4,126","4,304","4,180","4,466","4,453","4,615","4,776","4,956","5,257","5,500","5,961","5,436","5,698","5,689","5,981","6,038","6,431","6,473","6,219","7,632","6,404","6,649","6,875","7,612","8,781","8,917","8,299","8,370","8,444","8,449","8,232","7,995","7,646","7,821","8,100"
Total Debt,"2,224","2,344","2,624","2,656","2,759","2,760","2,853","2,814","2,867","2,835","2,973","3,011","3,237","3,397","3,561","3,543","3,239","3,437","3,259","3,571","3,561","3,973","3,949","3,607","5,092","3,766","3,815","3,867","4,637","5,236","5,249","4,800","4,933","4,862","4,753","4,578","4,564","4,319","4,292","4,337"
Debt Growth,31.71%,31.47%,40.36%,24.54%,24.06%,17.75%,8.74%,5.92%,3.91%,2.73%,4.17%,7.01%,12.93%,19.81%,19.79%,17.67%,0.06%,1.18%,-8.49%,0.79%,9.92%,15.59%,21.19%,1.01%,43.01%,-5.20%,-3.39%,7.20%,-8.95%,39.04%,37.57%,24.14%,6.38%,-7.14%,-9.44%,-4.63%,-7.47%,-11.17%,-9.70%,-5.25%
Common Stock,514.68,584.58,635.97,659.7,689.1,729.9,746.2,783.6,814.8,890.5,972.5,"1,021","1,057","1,115","1,188","1,249","1,283","1,327","1,410","1,379","1,366","1,441","1,490","1,613","1,662","1,814","1,842","1,958","1,989","2,099","2,201","2,310","2,338","2,386","2,468","2,571","2,679","2,811","2,845","2,959"
Retained Earnings,"2,430","2,445","2,437","2,454","2,532","2,591","2,701","2,804","2,869","2,973","3,033","3,123","3,050","3,101","3,165","2,942","2,771","2,723","2,936","3,029","3,142","3,105","3,159","3,348","3,249","3,419","3,587","3,705","3,807","3,916","4,081","4,279","4,392","4,554","4,775","4,979","5,121","5,295","5,670","5,921"
Comprehensive Income,-69.54,-52.11,-97.09,-205.8,-271.5,-256.1,-303.6,-349.5,-297.4,-328.8,-297.3,-469,-402.3,-341,-286.2,-201,-139.7,-288.7,-337.3,-390.2,-384.8,-396.9,-493.7,-430.9,-525.1,-494.6,-388.4,-278.1,-335,-300.3,-335.5,-286.5,-303.5,-475.9,-672.4,-535,-492.6,-592.5,-657.9,-533.6
Shareholders' Equity,"2,875","2,977","2,976","2,907","2,950","3,065","3,143","3,239","3,386","3,535","3,708","3,675","3,704","3,875","4,067","3,990","3,914","3,761","4,009","4,017","4,123","4,148","4,155","4,530","4,386","4,739","5,040","5,385","5,461","5,716","5,946","6,302","6,426","6,464","6,571","7,016","7,308","7,514","7,857","8,347"
Net Cash / Debt,-924.16,-899.66,"-1,379.36","-1,326.6","-1,407.5","-1,362.4","-1,255.7","-1,053.1","-2,152.9","-2,010.2","-1,955.6","-1,837.5","-1,957.5","-2,036.5","-2,071.2","-1,788.9","-2,215","-2,445.5","-2,238.7","-2,279","-2,573.2","-2,975.2","-2,962.4","-2,698.1","-2,708.8","-2,452.1","-2,359","-2,128.4","-2,275.5","-3,993.7","-3,946.2","-3,558.5","-3,632.9","-3,527.9","-3,501.2","-3,143.5","-3,065.2","-2,816.2","-2,558","-2,677.1"
Net Cash Per Share,-1.43,-1.40,-2.15,-2.09,-2.21,-2.15,-1.99,-1.67,-3.43,-3.19,-3.10,-2.91,-3.09,-3.22,-3.28,-2.82,-3.50,-3.92,-3.58,-3.68,-4.17,-4.82,-4.84,-4.37,-4.42,-4.03,-3.83,-3.42,-3.65,-6.40,-6.31,-5.66,-5.81,-5.69,-5.65,-5.07,-4.94,-4.56,-4.11,-4.30
Working Capital,"1,648","1,751","1,817","2,407","2,608","2,608","2,781","2,842","1,920","2,058","1,892","1,956","2,139","2,279","2,919","3,077","1,752","1,681","1,738","2,120","2,478","2,169","2,110","2,079","3,347","2,833","2,822","3,187","3,639","3,495","4,035","3,511","3,712","3,730","3,672","3,803","3,968","3,612","3,865","3,683"
Book Value Per Share,4.56,4.74,4.75,4.69,4.76,4.96,5.09,5.25,5.50,5.73,6.00,5.96,6.04,6.34,6.67,6.53,6.44,6.25,6.67,6.70,6.92,6.96,7.00,7.62,7.37,7.99,8.44,8.99,9.12,9.57,9.95,10.54,10.74,10.84,11.04,11.79,12.28,12.63,13.14,13.95
