,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,"4,078","4,090","3,421","5,077","3,745","4,475","4,269","4,301","5,015","5,227","4,610","3,736","3,800","4,336","4,017","4,677","4,179","4,326","4,150","4,455","10,108","6,728","5,418","6,833","14,339","23,115","17,914","17,068","15,890","16,070","15,959","14,444","13,272","12,959","11,615","8,470","10,399","11,458","14,182","7,192"
Cash & Cash Equivalents,"4,078","4,090","3,421","5,077","3,745","4,475","4,269","4,301","5,015","5,227","4,610","3,736","3,800","4,336","4,017","4,677","4,179","4,326","4,150","4,455","10,108","6,728","5,418","6,833","14,339","23,115","17,914","17,068","15,890","16,070","15,959","14,444","13,272","12,959","11,615","8,470","10,399","11,458","14,182","7,192"
Cash Growth,3.19%,4.02%,-12.97%,15.47%,-8.17%,9.41%,24.79%,-15.28%,33.91%,16.80%,7.99%,-13.14%,-24.23%,-17.05%,-12.86%,25.19%,9.97%,-0.23%,3.31%,-4.75%,141.88%,55.52%,30.55%,53.38%,41.86%,243.56%,230.64%,149.79%,10.82%,-30.48%,-10.91%,-15.37%,-16.48%,-19.36%,-27.22%,-41.36%,-21.65%,-11.58%,22.10%,-15.09%
Receivables,"7,588","7,543","7,822","8,591","8,161","8,012","8,019","10,298","8,874","8,958","9,065","9,878","9,293","9,636","8,633","9,886","9,678","10,071","9,334","10,123","14,593","15,673","15,481","17,100","14,532","12,622","12,708","14,051","12,533","13,355","13,367","14,882","13,746","13,685","12,652","13,993","12,770","13,112","12,330","14,115"
Inventory,"1,343","1,425","1,574","1,476","1,432","1,513","1,571","1,434","1,352","1,354","1,390","1,299","1,304","1,300","1,373","1,307","1,301","1,322","1,392","1,357","1,445","1,516","1,649","1,571","1,531","1,559","1,583","1,480","1,406","1,344","1,331","1,345","1,428","1,590","1,742","1,830","1,848","1,900","1,963","1,954"
Other Current Assets,"2,037","2,147","2,352","2,096","2,308","2,512","2,899","1,735","1,758","2,078","1,901","1,752","1,873","1,879","1,866","1,404","1,650","2,010","1,949","1,602","8,131","7,453","5,576","2,272","2,872","4,034","3,046","2,275","3,048","3,197","3,000","2,242","2,981","3,188","3,089","2,619","3,246","3,704","4,288","2,710"
Total Current Assets,"15,046","15,205","15,169","17,240","15,646","16,512","16,758","17,768","16,999","17,617","16,966","16,665","16,270","17,151","15,889","17,274","16,808","17,729","16,825","17,537","34,277","31,370","28,124","27,776","33,274","41,330","35,251","34,874","32,877","33,966","33,657","32,913","31,427","31,422","29,098","26,912","28,263","30,174","32,763","25,971"
"Property, Plant & Equipment","22,681","23,013","23,332","23,660","23,762","24,436","25,179","25,487","26,421","26,865","27,349","27,054","27,399","27,733","28,406","28,584","29,200","29,373","29,540","29,797","31,017","31,392","31,603","31,895","32,151","31,891","32,078","32,263","32,137","32,377","32,624","32,681","32,917","33,583","33,596","34,200","34,579","34,577","34,941","35,321"
Long-Term Investments,"2,750","2,858","2,696","2,642","2,575","2,694","2,643","3,268","3,247","3,228","4,280","4,220","4,155","4,141","3,202","3,206","3,148","3,155","2,899","2,970","4,080","3,872","3,224","3,312","3,180","3,611","3,903","4,037","4,309","4,045","3,935","3,549","3,356","3,236","3,218","3,169","3,387","3,062","3,080","3,084"
Goodwill and Intangibles,"34,612","35,192","35,315","35,218","35,157","35,085","34,998","34,922","34,869","34,797","34,759","34,685","34,676","34,632","38,421","38,360","38,312","38,198","38,081","38,036","102,042","102,915","126,318","129,522","129,114","122,382","121,884","122,371","122,842","123,325","124,735","125,295","126,243","127,356","128,511","128,480","128,714","125,966","123,719","122,430"
