,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"8,182","8,558","7,486","8,204","8,374","6,836","7,705","9,403","7,895","7,102","9,326","6,051","5,817","5,569","5,024","7,432","5,326","2,569","2,545","3,696","2,738","4,239","9,304","6,279","15,393","16,181","13,392","11,941","10,007","10,288","10,370","11,544","8,526","7,214","6,710","6,854","7,596","8,246","9,733","7,890"
Short-Term Investments,"1,570","2,128","3,360","4,047","4,786","4,767","4,901","4,874","5,924","6,246","6,615","7,403","8,510","9,568","10,983","11,326","10,208","9,281","8,708","8,421","7,085","6,048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"9,752","10,686","10,846","12,251","13,160","11,603","12,606","14,277","13,819","13,348","15,941","13,454","14,327","15,137","16,007","18,758","15,534","11,850","11,253","12,117","9,823","10,287","9,304","6,279","15,393","16,181","13,392","11,941","10,007","10,288","10,370","11,544","8,526","7,214","6,710","6,854","7,596","8,246","9,733","7,890"
Cash Growth,65.96%,79.69%,40.82%,44.08%,34.95%,8.58%,16.23%,16.54%,5.01%,15.04%,26.46%,-5.76%,3.68%,13.40%,0.41%,39.42%,8.42%,-21.72%,-29.70%,-35.40%,-36.76%,-13.19%,-17.32%,-48.18%,56.70%,57.30%,43.94%,90.17%,-34.99%,-36.42%,-22.57%,-3.32%,-14.80%,-29.88%,-35.29%,-40.63%,-10.91%,14.31%,45.05%,15.12%
Receivables,"6,353","6,386","6,197","5,802","4,990","4,568","4,724","4,721","4,591","4,373","4,713","4,729","4,358","4,594","4,942","5,182","5,149","4,686","5,035","5,055","5,198","4,951","5,143","5,196","4,640","4,178","5,043","4,819","4,861","4,725","5,662","5,241","5,513","5,143","5,720","5,767","5,471","5,471","6,215","6,334"
Inventory,"7,227","6,759","7,100","6,477","5,893","4,979","5,239","5,125","4,957","4,716","4,999","4,787","4,754","4,624","5,023","5,131","5,207","4,738","5,182","5,281","5,358","5,017","5,465","5,521","5,330","5,498","5,707","5,957","6,002","5,983","6,307","6,673","7,101","6,924","7,590","7,541","7,483","7,073","7,117","7,151"
Other Current Assets,"4,794","7,786","4,964","8,648","7,519","8,496","13,051","12,224","10,950","11,345","9,518","2,602","2,446","2,139","2,124","2,143","2,070","2,046","1,876","1,978","1,933","2,218","2,013","1,921","1,777","2,130","1,884","1,938","1,738","2,095","1,997","2,087","2,276","2,372","2,501","1,704","1,755","1,858","1,875","1,736"
Total Current Assets,"28,126","31,617","29,107","33,178","31,562","29,646","35,620","36,347","34,317","33,782","35,171","25,572","25,885","26,494","28,096","31,214","27,960","23,320","23,346","24,431","22,312","22,473","21,925","18,917","27,140","27,987","26,026","24,655","22,608","23,091","24,336","25,545","23,416","21,653","22,521","21,866","22,305","22,648","24,940","23,111"
"Property, Plant & Equipment","22,274","22,304","21,799","20,745","20,043","19,655","19,081","18,910","19,186","19,385","19,310","18,778","19,219","19,893","20,108","20,420","20,925","20,600","20,590","20,822","20,993","21,271","20,901","21,250","20,459","20,692","20,876","21,416","21,103","21,686","21,392","21,357","21,323","21,195","20,593","21,167","21,564","21,909","21,636","22,132"
Goodwill and Intangibles,"87,532","84,547","81,571","76,442","73,764","69,632","69,327","68,652","69,308","68,877","68,887","67,643","67,835","68,886","69,451","69,848","70,304","69,077","69,144","72,879","72,589","64,488","63,607","63,978","63,451","63,693","64,383","65,245","64,270","64,566","63,997","63,853","64,623","63,379","62,226","63,545","64,550","64,442","63,876","63,218"
Other Long-Term Assets,"5,265","5,798","5,706","5,898","5,568","10,562","5,237","5,234","4,697","5,092","5,675","5,040","5,152","5,133","5,196","5,162","5,180","5,313","5,360","5,555","5,779","6,863","7,625","7,578","7,510","8,328","8,614","8,796","8,797","9,964","9,944","10,661","10,855","10,981","10,942","11,137","11,432","11,830","12,079","12,248"
Total Long-Term Assets,"115,071","112,649","109,076","103,085","99,375","99,849","93,645","92,796","93,191","93,354","93,872","91,461","92,206","93,912","94,755","95,430","96,409","94,990","95,094","99,256","99,361","92,622","92,133","92,806","91,420","92,713","93,873","95,457","94,170","96,216","95,333","95,871","96,801","95,555","93,761","95,849","97,546","98,181","97,591","97,598"
Total Assets,"143,197","144,266","138,183","136,263","130,937","129,495","129,265","129,143","127,508","127,136","129,043","117,033","118,091","120,406","122,851","126,644","124,369","118,310","118,440","123,687","121,673","115,095","114,058","111,723","118,560","120,700","119,899","120,112","116,778","119,307","119,669","121,416","120,217","117,208","116,282","117,715","119,851","120,829","122,531","120,709"
Accounts Payable,"7,512","8,461","8,280","7,733","7,285","8,138","7,758","7,717","7,795","9,325","9,024","8,300","8,076","9,632","9,458","9,740","9,716","10,344","10,243","10,266","10,207","11,260","10,951","10,781","10,464","12,071","11,935","12,027","12,134","13,720","14,223","14,154","14,175","14,882","14,845","14,153","13,790","14,598","14,435","14,234"
Current Debt,"15,528","15,606","14,228","16,329","15,075","12,018","13,093","13,931","13,681","11,653","12,215","13,007","13,781","13,554","14,026","15,547","12,862","10,423","10,508","12,113","8,911","9,697","9,352","9,153","12,701","11,183","7,707","8,586","8,773","8,889","11,989","13,331","9,902","8,645","11,717","14,300","13,717","10,229","11,811","10,616"
Other Current Liabilities,"9,078","9,659","9,563","10,090","9,521","9,634","10,716","10,405","9,881","9,792","11,162","7,584","7,225","7,024","7,240","7,820","8,133","7,470","8,469","8,868","9,252","9,054","9,950","10,230","9,731","9,722","10,366","11,131","11,109","10,523","10,377","10,542","10,324","9,554","10,056","10,293","10,523","10,929","10,912","11,100"
