,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"6,727","7,155","7,451","7,421","7,842","9,955","10,487","9,422","10,760","10,224","11,438","12,154","11,393","12,634","13,560","13,268","14,005","14,160","15,717","15,137","10,878","13,112","14,751","14,087","14,127","10,554","13,886","15,753","17,050","21,384","23,082","23,284","25,725","21,111","18,584","15,871","17,904","17,424","18,328","17,411","18,393"
Market Cap Growth,-3.32%,-0.98%,-4.41%,-0.76%,16.57%,39.14%,40.74%,26.96%,37.20%,2.71%,9.07%,29.00%,5.88%,23.57%,18.55%,9.17%,22.93%,12.08%,15.91%,14.09%,-22.33%,-7.40%,-6.14%,-6.94%,29.87%,-19.51%,-5.87%,11.83%,20.69%,102.62%,66.23%,47.80%,50.88%,-1.28%,-19.49%,-31.84%,-30.40%,-17.47%,-1.38%,9.70%,-
Enterprise Value,"9,309","9,806","9,979","9,860","10,292","16,455","16,655","15,390","16,461","15,923","16,854","17,757","16,809","18,190","19,388","20,077","20,451","20,575","21,953","20,707","16,511","19,583","22,065","21,154","20,872","17,348","20,443","21,770","22,485","25,854","27,476","27,583","30,595","26,169","23,831","21,732","23,768","23,321","22,608","23,013","23,810"
PE Ratio,13.32,15.81,13.18,13.52,16.39,3555.22,15.57,15.41,23.56,15.96,14.43,16.93,15.45,16.43,17.97,18.37,4.95,20.44,16.81,9.68,17.22,17.66,19.37,15.96,15.55,-8.32,14.99,5.60,4.54,6.95,12.35,9.91,11.63,10.74,12.96,11.25,58.82,20.46,24.26,23.75,46.39
PS Ratio,1.16,1.22,1.26,1.23,1.23,1.40,1.33,1.09,1.16,1.09,1.20,1.26,1.17,1.28,1.35,1.27,1.29,1.27,1.39,1.34,0.96,1.16,1.30,1.22,1.22,0.92,1.12,1.13,1.11,1.30,1.39,1.44,1.62,1.34,1.22,1.07,1.21,1.24,1.35,1.35,1.43
PB Ratio,2.71,2.86,2.80,2.68,2.78,2.20,2.20,1.92,2.15,1.98,2.15,2.20,2.07,2.24,2.31,2.17,2.05,2.03,2.23,2.09,1.56,1.84,2.06,1.95,1.87,1.50,1.89,1.91,1.82,2.13,2.25,2.21,2.50,1.97,1.79,1.57,1.77,1.68,2.09,2.21,2.34
P/FCF Ratio,12.33,11.61,13.37,13.86,23.84,20.02,17.64,12.97,11.97,12.06,14.10,13.71,11.45,13.17,12.90,11.60,13.14,12.81,15.97,17.19,12.51,17.30,15.25,13.49,13.20,8.99,9.14,8.98,6.27,7.54,8.31,8.79,14.09,11.32,12.51,10.77,14.18,16.10,18.66,20.22,21.36
P/OCF Ratio,8.82,8.59,9.63,10.04,15.38,14.24,12.92,9.59,9.02,8.97,10.39,10.43,8.93,10.16,10.09,9.09,10.15,9.86,11.75,12.01,8.56,11.33,10.84,9.75,9.53,6.60,7.19,7.38,5.52,6.67,7.24,7.49,11.15,8.82,9.29,8.11,10.40,11.62,13.08,13.11,13.85
Debt / Equity Ratio,1.25,1.24,1.13,1.09,1.07,1.54,1.42,1.36,1.28,1.24,1.14,1.12,1.06,1.05,1.04,1.18,0.99,0.97,0.92,0.89,0.87,0.96,1.06,1.03,0.94,1.01,0.97,0.81,0.72,0.63,0.62,0.60,0.62,0.59,0.61,0.62,0.62,0.61,0.71,0.80,0.80
Quick Ratio,1.62,1.54,1.77,1.89,1.43,1.27,1.09,1.14,1.23,1.34,1.70,1.11,1.07,1.11,1.07,1.45,0.99,1.10,0.99,1.31,1.22,0.92,0.92,0.95,0.89,0.93,0.91,1.12,1.41,1.42,1.80,1.76,1.60,1.62,1.56,1.35,1.12,1.19,1.82,0.96,0.96
