,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Long-Term Liabilities,"1,340","1,350","1,283","1,427","1,310","1,323","1,292","1,357","1,381","1,319","1,322","1,428","1,465","1,542","1,525",980,991,"1,053","1,047","1,078","1,025","1,038","1,015","1,094","1,087","1,056","1,082","1,065","1,016","1,024","1,017",876,852,840,800,"1,104","1,108","1,132","1,104","1,118"
Total Long-Term Liabilities,"3,758","3,770","3,700","3,819","3,983","4,016","3,990","5,313","5,366","5,288","5,360","5,381","5,456","5,601","6,409","5,112","5,154","5,120","5,131","5,116","5,370","5,385","5,283","5,394","7,359","5,295","5,311","5,376","5,238","5,350","5,318","5,239","7,658","7,607","7,461","7,925","7,936","7,987","7,942","7,775"
Total Liabilities,"7,688","7,768","7,544","7,708","7,801","7,788","8,018","9,240","9,427","9,187","9,201","9,529","9,548","9,771","10,552","8,652","8,862","8,558","8,518","8,810","9,384","9,376","9,158","9,448","11,014","8,154","8,890","9,422","9,200","9,255","9,152","9,446","11,804","11,626","11,590","12,790","12,444","12,576","12,638","12,583"
Total Debt,"2,449","2,452","2,454","2,426","2,717","2,736","3,122","4,008","4,353","4,066","4,074","3,963","3,999","4,072","4,899","4,149","4,223","4,089","4,108","4,344","4,887","4,864","4,712","4,693","6,532","4,439","4,328","4,401","4,300","4,342","4,309","4,371","6,841","6,784","6,677","6,852","6,873","6,892","6,881","6,666"
Debt Growth,-1.17%,1.07%,1.49%,0.58%,10.94%,11.58%,27.22%,65.21%,60.21%,48.61%,30.49%,-1.12%,-8.13%,0.15%,20.25%,4.69%,5.60%,0.42%,-16.15%,4.70%,15.72%,18.95%,14.70%,8.03%,33.66%,-8.74%,-8.15%,-6.22%,-34.17%,-2.19%,-0.44%,-0.68%,59.09%,56.24%,54.95%,56.76%,0.47%,1.59%,3.06%,-2.71%
Common Stock,"1,696","1,698","1,698","1,703","1,645","1,648","1,638","1,656","1,605","1,611","1,623","1,636","1,609","1,620","1,631","1,652","1,625","1,635","1,636","1,642","1,609","1,621","1,626","1,648","1,609","3,852","3,864","3,900","3,884","3,912","3,931","3,942","3,911","3,952","3,971","3,992","3,975","4,004","4,035","4,031"
Retained Earnings,"1,544","1,646","1,602","1,548","1,460","1,739","1,693","1,627","1,629","1,749","1,870","1,980","2,057","2,257","2,485","2,118","2,278","2,510","2,610","2,511","2,491","2,597","2,745","2,890","4,353","3,984","4,267","4,550","4,829","4,976","5,062","5,077","5,150","5,089","5,375","5,608","5,690","5,893","7,522","8,162"
Comprehensive Income,-279,-219,-406,-741,-950,-897,"-1,015","-1,033",-969,-979,-941,"-1,215","-1,087",-982,-913,-471,-436,-622,-638,-694,-682,-699,-806,-719,-991,-894,-768,-545,-636,-566,-699,-672,-665,-942,"-1,151",-791,-682,-665,-779,-645
Shareholders' Equity,"2,961","3,125","2,894","2,510","2,155","2,490","2,316","2,250","2,265","2,381","2,552","2,401","2,579","2,895","3,203","3,299","3,467","3,523","3,608","3,459","3,418","3,519","3,565","3,819","4,971","6,942","7,363","7,905","8,077","8,322","8,294","8,347","8,396","8,099","8,195","8,809","8,983","9,232","10,778","11,548"
Net Cash / Debt,"-1,464","-1,281","-1,426","-1,566","-2,158","-1,564","-2,686","-3,472","-3,889","-3,628","-3,677","-3,225","-3,451","-3,279","-3,545","-2,552","-2,877","-3,118","-3,336","-3,776","-4,565","-4,483","-4,355","-4,265","-4,445","-2,522","-2,174","-1,548","-1,418","-1,364","-1,516","-1,232","-1,964","-2,114","-1,823","-5,321","-5,773","-5,590","-5,073","-5,026"
Net Cash Per Share,-4.77,-4.22,-4.75,-5.27,-7.40,-5.41,-9.44,-12.33,-14.04,-13.27,-13.48,-11.87,-12.80,-12.23,-13.27,-9.54,-10.80,-11.74,-12.57,-14.32,-17.59,-17.43,-16.98,-16.64,-17.37,-9.77,-8.04,-5.50,-5.23,-5.03,-5.59,-4.54,-7.24,-7.80,-6.72,-19.60,-21.29,-20.49,-17.93,-17.87
Working Capital,"1,950","2,084","1,838","1,335","1,869","2,162","1,026","1,194","1,021","1,152","1,306","1,271","1,395","1,679","2,567","2,101","2,218","1,902","1,817","1,083",805,863,"1,510","1,265","2,535","2,553","3,010","3,419","3,839","4,150","4,270","4,229","6,628","6,539","6,854","2,919","3,217","3,483","3,794","3,439"
Book Value Per Share,9.68,10.32,9.69,8.54,7.41,8.65,8.19,8.06,8.19,8.72,9.38,8.88,9.58,10.83,12.03,12.41,13.05,13.30,13.64,13.17,13.19,13.69,13.93,14.96,19.45,26.90,27.27,29.27,29.88,30.77,30.66,30.86,31.01,29.89,30.25,32.51,33.15,33.85,38.11,41.10
