,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"7,520","6,142","5,408","5,062","2,664","3,813","2,413","2,368","4,866","2,863","4,090","3,610","3,109","7,534","6,911","6,325","4,984","3,234","3,716","5,915","6,218","5,941","7,193","5,088","3,908","2,907","2,490","2,991","2,831","6,608","9,833","5,028","6,414","6,909","8,010","6,458","6,974","5,735","8,830","5,635"
Short-Term Investments,210,288,374,0,0,0,0,0,307,"1,289",234,50,252,"4,266","4,780","3,772","2,064","2,771","2,961","1,710","2,054","2,567","2,859","5,139","4,286","4,956","4,841","4,865","5,668","4,053","2,094","1,563",730,"1,272","2,412","2,785","1,635","1,080",616,971
Cash & Cash Equivalents,"7,730","6,430","5,782","5,062","2,664","3,813","2,413","2,368","5,173","4,152","4,324","3,660","3,361","11,800","11,691","10,097","7,048","6,005","6,677","7,625","8,272","8,508","10,052","10,227","8,194","7,863","7,331","7,856","8,499","10,661","11,927","6,591","7,144","8,181","10,422","9,243","8,609","6,815","9,446","6,606"
Cash Growth,41.97%,61.40%,48.91%,-22.34%,-65.54%,-40.70%,-58.27%,-53.22%,94.18%,8.89%,79.20%,54.56%,-35.03%,184.20%,170.37%,175.87%,109.70%,-49.11%,-42.89%,-24.48%,17.37%,41.68%,50.55%,34.12%,-0.94%,-7.58%,-27.07%,-23.18%,3.72%,35.58%,62.69%,-16.10%,-15.94%,-23.26%,-12.62%,40.24%,20.51%,-16.70%,-9.36%,-28.53%
Receivables,"8,651","8,204","7,453","6,807","5,379","5,179","4,464","4,514","3,954","3,316","3,320","3,414","3,359","3,163","3,364","4,320","4,192","3,930","4,499","4,067","3,869","3,651","3,616","3,401","2,264","1,532","2,119","2,754","4,481","4,524","5,465","6,670","7,879","8,153","7,354","7,088","5,296","4,531","5,671","5,474"
Inventory,"1,221","1,291","1,330","1,331","1,233","1,277","1,143","1,124","1,072","1,150","1,108","1,018","1,097","1,019","1,023","1,060","1,053","1,093","1,239","1,007","1,014","1,089",955,"1,026",726,982,"1,034","1,002","1,098","1,138","1,043","1,208","1,174","1,234","1,226","1,219","1,258","1,236","1,326","1,398"
Other Current Assets,"2,798","2,911","1,688","1,868","1,564","1,675","1,644",783,735,641,889,517,"2,911","3,897",876,"1,035",894,580,"2,308",575,528,"2,552",594,"2,259","1,960",676,575,454,536,849,"1,746","1,581","1,389","1,292","1,451","1,199",953,919,738,852
Total Current Assets,"20,400","18,836","16,253","15,068","10,840","11,944","9,664","8,789","10,934","9,259","9,641","8,609","10,728","19,879","16,954","16,512","13,187","11,608","14,723","13,274","13,683","15,800","15,217","16,913","13,144","11,053","11,059","12,066","14,614","17,172","20,181","16,050","17,586","18,860","20,453","18,749","16,116","13,501","17,181","14,330"
"Property, Plant & Equipment","74,025","75,424","75,790","75,444","74,220","74,387","71,828","66,446","66,000","63,685","61,649","58,331","54,440","46,846","46,669","45,683","45,997","46,306","44,736","45,698","45,942","44,334","43,814","42,269","40,645","41,120","41,269","39,893","58,270","57,717","56,689","64,911","64,642","64,008","63,673","64,866","65,090","65,452","65,561","70,044"
Long-Term Investments,"24,550","26,215","25,817","25,139","23,974","24,652","23,502","21,186","21,806","22,024","21,864","21,672","21,675","10,203","10,157","10,060","9,971","9,834","9,888","9,664","9,570","9,016","9,135","8,906","8,874","8,501","8,409","8,131","8,345","8,072","8,058","7,113","8,309","8,203","8,204","8,225","8,197","8,618","8,731","9,130"
Other Long-Term Assets,"1,050","1,173","1,126",888,"1,008","1,020",955,"1,063","1,094","1,086","1,130","1,160","1,130","1,076","1,081","1,107","1,572","1,188","1,209","1,344","2,303","2,111","2,174","2,426","2,370","2,372","2,420","2,528","2,464","2,442","2,376","2,587","2,771","2,622","2,507","1,989","2,038","2,034","2,178","2,420"
Total Long-Term Assets,"99,625","102,812","102,733","101,471","99,202","100,059","96,285","88,695","88,900","86,795","84,643","81,163","77,245","58,125","57,907","56,850","57,540","57,328","55,833","56,706","57,815","55,461","55,123","53,601","51,889","51,993","52,098","50,552","69,079","68,231","67,123","74,611","75,722","74,833","74,384","75,080","75,325","76,104","76,470","81,594"
Total Assets,"120,025","121,648","118,986","116,539","110,042","112,003","105,949","97,484","99,834","96,054","94,284","89,772","87,973","78,004","74,861","73,362","70,727","68,936","70,556","69,980","71,498","71,261","70,340","70,514","65,033","63,046","63,157","62,618","83,693","85,403","87,304","90,661","93,308","93,693","94,837","93,829","91,441","89,605","93,651","95,924"
Accounts Payable,"9,604","9,254","8,692","8,026","6,750","5,869","5,211","4,933","4,165","3,818","3,751","3,653","3,531","3,434","3,416","4,030","3,886","3,666","3,918","3,895","3,846","3,635","3,171","3,200","2,921","2,080","2,239","2,698","3,801","3,613","4,131","5,025","4,897","5,873","6,268","6,163","5,100","4,626","5,143","5,117"
Current Debt,"1,712","1,664","1,688",182,193,138,175,"1,427","2,079","1,331","1,336","1,089","1,095","3,798","1,331","2,575",337,89,95,112,113,114,121,105,126,146,482,619,689,"1,205",920,"1,200","1,160",676,664,417,"1,317",879,881,"1,074"
Other Current Liabilities,"5,801","5,273","3,761","3,329","2,620","2,727","2,901","2,896","2,581","2,199","2,450","2,167","2,900","2,694","2,384","2,792","2,886","2,883","3,388","3,388","3,411","5,247","2,650","3,738","3,028","1,879","1,919","2,049","2,694","3,332","5,398","5,796","5,567","5,667","7,065","6,267","5,136","4,043","4,314","3,814"
Total Current Liabilities,"17,117","16,191","14,141","11,537","9,563","8,734","8,287","9,256","8,825","7,348","7,537","6,909","7,526","9,926","7,131","9,397","7,109","6,638","7,401","7,395","7,370","8,996","5,942","7,043","6,075","4,105","4,640","5,366","7,184","8,150","10,449","12,021","11,624","12,216","13,997","12,847","11,553","9,548","10,338","10,005"
Long-Term Debt,"19,494","19,570","19,499","22,383","22,318","24,787","24,716","23,453","27,376","27,346","27,353","26,186","25,340","19,670","19,673","17,128","16,709","14,885","14,902","14,856","14,832","14,809","14,799","14,790","14,847","14,852","14,905","14,750","19,338","18,805","18,748","18,734","17,586","16,295","16,297","16,226","15,266","15,565","18,182","17,863"
Other Long-Term Liabilities,"29,793","30,201","29,685","30,346","29,153","29,513","28,391","24,693","24,226","23,529","22,938","21,451","19,506","17,909","17,345","16,036","16,191","16,191","16,174","15,665","16,315","14,382","14,360","13,631","12,724","12,596","12,829","12,653","14,016","14,172","13,992","14,500","14,880","14,980","15,464","16,753","16,839","16,961","17,386","18,777"
Total Long-Term Liabilities,"49,287","49,771","49,184","52,729","51,471","54,300","53,107","48,146","51,602","50,875","50,291","47,637","44,846","37,579","37,018","33,164","32,900","31,076","31,076","30,521","31,147","29,191","29,159","28,421","27,571","27,448","27,734","27,403","33,354","32,977","32,740","33,234","32,466","31,275","31,761","32,979","32,105","32,526","35,568","36,640"
Total Liabilities,"66,404","65,962","63,325","64,266","61,034","63,034","61,394","57,402","60,427","58,223","57,828","54,546","52,372","47,505","44,149","42,561","40,009","37,714","38,477","37,916","38,517","38,187","35,101","35,464","33,646","31,553","32,374","32,769","40,538","41,127","43,189","45,255","44,090","43,491","45,758","45,826","43,658","42,074","45,906","46,645"
Total Debt,"21,206","21,234","21,187","22,565","22,511","24,925","24,891","24,880","29,455","28,677","28,689","27,275","26,435","23,468","21,004","19,703","17,046","14,974","14,997","14,968","14,945","14,923","14,920","14,895","14,973","14,998","15,387","15,369","20,027","20,010","19,668","19,934","18,746","16,971","16,961","16,643","16,583","16,444","19,063","18,937"
Debt Growth,-2.14%,-2.24%,-2.22%,4.17%,6.15%,17.38%,17.48%,10.26%,30.85%,15.05%,15.26%,9.63%,-10.25%,-18.16%,-26.79%,-27.76%,-35.52%,-36.19%,-28.60%,-24.03%,-12.33%,-0.34%,-0.51%,-0.49%,0.19%,0.50%,3.13%,3.18%,33.75%,33.42%,27.82%,29.70%,-6.40%,-15.19%,-13.76%,-16.51%,-11.54%,-3.11%,12.39%,13.78%
Common Stock,"8,992","9,164","9,238","9,309","9,374","9,482","9,549","9,595","9,603","9,667","9,718","9,619","9,510","8,595","7,662","6,734","6,254","5,712","4,897","3,992","3,239","2,034","1,316",596,-85,-33,1,-146,"12,627","12,080","10,931","9,682","8,584","6,422","3,666",974,-783,"-2,027","-3,246","-4,316"
Retained Earnings,"42,428","43,653","45,451","44,504","43,867","42,779","40,786","36,414","34,632","33,248","31,896","31,548","31,804","28,033","28,130","29,391","29,663","30,967","32,495","34,010","35,534","36,769","39,484","39,742","37,545","37,351","36,448","35,213","35,608","37,116","38,307","40,674","45,442","49,093","51,278","53,029","54,593","55,483","56,952","59,268"
Comprehensive Income,"1,802","2,498",585,"-1,902","-4,589","-3,641","-6,125","-6,247","-5,146","-5,371","-5,444","-6,193","-5,961","-6,342","-5,292","-5,518","-5,371","-5,637","-5,442","-6,063","-5,914","-5,827","-5,654","-5,357","-6,145","-5,825","-5,666","-5,218","-5,080","-4,920","-5,123","-4,950","-4,808","-5,313","-5,865","-6,000","-6,027","-5,925","-5,961","-5,673"
Shareholders' Equity,"53,222","55,315","55,274","51,911","48,652","48,620","44,210","39,762","39,089","37,544","36,170","34,974","35,353","30,286","30,500","30,607","30,546","31,042","31,950","31,939","32,859","32,976","35,146","34,981","31,315","31,493","30,783","29,849","43,155","44,276","44,115","45,406","49,218","50,202","49,079","48,003","47,783","47,531","47,745","49,279"
Net Cash / Debt,"-13,476","-14,804","-15,405","-17,503","-19,847","-21,112","-22,478","-22,512","-24,282","-24,525","-24,365","-23,615","-23,074","-11,668","-9,313","-9,606","-9,998","-8,969","-8,320","-7,343","-6,673","-6,415","-4,868","-4,668","-6,779","-7,135","-8,056","-7,513","-11,528","-9,349","-7,741","-13,343","-11,602","-8,790","-6,539","-7,400","-7,974","-9,629","-9,617","-12,331"
Net Cash Per Share,-10.84,-11.89,-12.35,-14.08,-15.93,-17.01,-18.10,-18.10,-19.51,-19.70,-19.56,-18.95,-18.48,-9.43,-7.66,-8.06,-8.43,-7.59,-7.09,-6.33,-5.82,-5.67,-4.37,-4.24,-6.25,-6.62,-7.48,-7.00,-8.85,-6.91,-5.79,-10.10,-8.87,-6.78,-5.15,-5.95,-6.52,-7.96,-8.02,-10.37
