,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Total Current Liabilities,"7,728","7,351","8,567","8,431","8,762","7,374","6,526","7,847","9,118","13,770","11,894","12,158","13,457","14,437","13,965","12,395","10,798","10,153","9,626","10,140","11,404","12,229","12,934","13,085","14,185","11,774","11,065","11,262","12,771","13,580","13,919","15,826","16,111","8,635","8,031","8,717","10,611","8,092","7,936","8,800"
Long-Term Debt,"18,271","19,195","18,781","19,848","19,853","21,167","25,868","25,189","24,286","29,955","32,182","32,972","32,216","31,685","30,956","32,090","32,565","33,294","33,568","34,909","34,465","33,350","32,299","32,446","31,719","35,198","36,502","35,902","35,483","36,638","35,467","35,659","56,815","35,398","36,179","35,673","35,662","39,122","39,882","39,821"
Other Long-Term Liabilities,"30,985","30,144","32,079","31,935","33,668","34,212","34,750","34,803","34,658","40,812","41,380","41,919","41,619","42,655","42,893","43,671","41,220","41,006","41,216","41,048","40,718","42,310","42,456","42,855","44,500","43,089","43,875","45,500","46,195","45,469","45,510","46,877","25,292","25,174","24,429","24,483","24,332","24,645","25,183","25,168"
Total Long-Term Liabilities,"49,256","49,339","50,860","51,783","53,521","55,379","60,618","59,992","58,944","70,767","73,562","74,891","73,835","74,340","73,849","75,761","73,785","74,300","74,784","75,957","75,183","75,660","74,755","75,301","76,219","78,287","80,377","81,402","81,678","82,107","80,977","82,536","82,107","60,572","60,608","60,156","59,994","63,767","65,065","64,989"
Total Liabilities,"56,984","56,690","59,427","60,214","62,283","62,753","67,144","67,839","68,062","84,537","85,456","87,049","87,292","88,777","87,814","88,156","84,583","84,453","84,410","86,097","86,587","87,889","87,689","88,386","90,404","90,061","91,442","92,664","94,449","95,687","94,896","98,362","98,218","69,207","68,639","68,873","70,605","71,859","73,001","73,789"
Total Debt,"20,121","20,548","21,449","22,474","22,115","22,736","26,637","26,761","26,319","35,653","35,826","36,051","35,913","37,378","36,332","35,964","35,582","36,151","35,978","36,514","36,528","37,112","37,134","37,713","37,799","40,025","40,135","39,160","39,333","42,047","40,965","41,701","60,216","39,452","38,687","38,663","40,050","41,784","42,623","43,195"
Debt Growth,2.64%,2.94%,6.60%,10.02%,9.91%,10.65%,24.19%,19.08%,19.01%,56.81%,34.50%,34.71%,36.45%,4.84%,1.41%,-0.24%,-0.92%,-3.28%,-0.97%,1.53%,2.66%,2.66%,3.21%,3.28%,3.48%,7.85%,8.08%,3.84%,4.06%,5.05%,2.07%,6.49%,53.09%,-6.17%,-5.56%,-7.29%,-33.49%,5.91%,10.17%,11.72%
Common Stock,"14,414","14,424","14,324","14,352","14,382","14,404","14,428","16,320","16,349","16,359","16,395","16,429","16,467","16,480","18,737","18,739","18,841","18,850","18,885","18,940","18,993","19,048","19,086","19,115","19,151","19,180","19,213","19,239","19,250","19,289","19,331","20,148","20,201","20,176","20,196","20,772","20,785","20,798","20,818","20,833"
Retained Earnings,"10,358","10,180","10,435","11,160","10,910","11,334","11,704","12,046","12,068","11,954","11,926","12,121","12,030","12,720","11,442","11,950","14,081","14,346","14,551","14,949","14,743","15,321","15,452","15,871","16,267","16,475","16,622","16,749","16,735","16,072","16,098","16,926","16,942","4,028","4,161","4,502","4,597","4,907","4,891","5,233"
Comprehensive Income,"-2,040","-2,036","-1,906","-1,917","-2,684","-2,673","-2,626","-2,596","-2,624","-2,596","-2,565","-2,523","-2,660","-2,670","-2,633","-2,589","-3,026","-2,965","-2,921","-2,869","-2,995","-3,012","-2,990","-2,963","-3,194","-3,173","-3,132","-3,104","-3,400","-3,346","-3,289","-3,223","-2,750",-713,-701,-692,-638,-639,-630,-596
Shareholders' Equity,"22,732","22,568","22,853","23,595","22,608","23,065","23,506","25,770","25,793","25,717","25,756","26,027","25,837","26,530","27,546","28,100","29,896","30,231","30,515","31,020","30,741","31,357","31,548","32,023","32,224","32,482","32,703","32,884","32,585","32,015","32,140","33,851","34,393","23,491","23,656","24,582","24,744","25,066","25,079","25,470"
Net Cash / Debt,"-17,618","-18,671","-19,251","-18,649","-18,687","-19,497","-18,944","-18,039","-18,247","-33,290","-33,219","-33,079","-34,108","-35,668","-34,711","-33,742","-33,501","-34,177","-34,279","-33,660","-34,128","-35,357","-35,621","-35,120","-36,175","-37,498","-37,060","-36,345","-37,588","-39,197","-38,259","-36,764","-59,223","-36,546","-36,910","-37,473","-39,077","-40,881","-41,789","-42,460"
Net Cash Per Share,-20.49,-21.69,-22.28,-21.61,-21.55,-22.49,-21.88,-19.71,-19.77,-35.99,-35.87,-35.68,-36.68,-38.35,-37.08,-34.97,-34.64,-35.31,-35.38,-34.70,-35.22,-36.38,-36.57,-36.06,-37.03,-38.42,-37.97,-37.20,-38.36,-40.08,-39.08,-37.51,-60.25,-37.25,-37.59,-37.89,-39.23,-41.05,-41.96,-42.59
Working Capital,"2,409","2,324","1,256","3,406","3,091","3,983","8,899","9,020","6,216","-2,406",-399,50,"-1,045","-2,243","-1,733",329,"1,098","1,380","1,863","3,333","1,924",247,"-1,279",-879,"-2,148",702,"1,468","1,050",-209,-583,"-1,571",-949,"-2,154",-490,-689,"-1,662","-3,275",-315,-394,"-1,281"
Book Value Per Share,26.56,26.30,26.57,27.40,26.29,26.76,27.24,28.23,27.95,27.86,27.87,28.14,27.96,28.59,29.49,29.21,30.98,31.30,31.56,32.05,31.79,32.29,32.46,32.91,33.02,33.31,33.51,33.69,33.39,32.77,32.86,34.58,35.02,23.95,24.11,24.88,24.87,25.19,25.20,25.57
