,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,604",-,-,"2,201",-,"2,562","1,880","1,393","2,583","2,018","1,369","1,590","1,240","1,271","2,330","2,883","2,879","2,840","8,147","7,575","4,515","4,909","6,877","7,349","7,854","6,353","6,112","4,794","5,717","5,745","7,782","5,197","4,861","4,583","6,659","7,776","7,101","5,504","6,816","9,081"
Short-Term Investments,"3,110",-,-,"3,615",-,"4,998","6,021","6,202","6,408","7,446","8,534","8,733","8,169","8,572","8,912","10,524","11,543","10,798","3,552","4,066","6,190","6,672","7,062","7,384","6,044","9,830","10,643","11,058","10,100","9,933","9,223","9,149","8,327","10,472","10,192","10,523","11,054","11,848","11,962","10,975"
Cash & Cash Equivalents,"4,714",0,0,"5,816",0,"7,560","7,901","7,595","8,991","9,464","9,903","10,323","9,409","9,843","11,242","13,407","14,422","13,638","11,699","11,641","10,705","11,581","13,939","14,733","13,898","16,183","16,755","15,852","15,817","15,678","17,005","14,346","13,188","15,055","16,851","18,299","18,155","17,352","18,778","20,056"
Cash Growth,-,-,-,-,-,-,-,30.59%,-,25.19%,25.34%,35.92%,4.65%,4.00%,13.52%,29.88%,53.28%,38.56%,4.07%,-13.17%,-25.77%,-15.08%,19.15%,26.56%,29.83%,39.74%,20.20%,7.60%,13.81%,-3.12%,1.49%,-9.50%,-16.62%,-3.97%,-0.91%,27.55%,37.66%,15.26%,11.44%,9.60%
Receivables,"9,639",-,-,"11,371",-,"11,570","11,975","12,398","12,391","13,201","13,507","14,577","15,119","16,354","17,476","18,525","19,420","19,471","21,363","20,375","23,147","23,952","22,928","22,962","23,229","29,477","31,012","33,995","36,297","36,363","35,840","36,941","37,896","38,088","35,713","37,227","36,243","34,571","35,629","40,004"
Other Current Assets,267,-,-,378,-,583,678,655,586,792,751,833,897,838,719,713,900,"1,075",928,947,"1,039",902,881,800,"1,057",840,937,"1,148","1,318","1,190","1,285","1,287","1,298","2,109","2,541","1,898","2,162","2,202","2,228","2,509"
Total Current Assets,"14,620",-,-,"17,565",-,"19,713","20,554","20,648","21,968","23,457","24,161","25,733","25,425","27,035","29,437","32,645","34,742","34,184","33,990","32,963","34,891","36,435","37,748","38,495","38,184","46,500","48,704","50,995","53,432","53,231","54,130","52,574","52,382","55,252","55,105","57,424","56,560","54,125","56,635","62,569"
"Property, Plant & Equipment",858,-,-,922,-,"1,291","1,298","1,344","1,345","1,412","1,451","1,482","1,448","1,479","1,485","1,528","1,523","1,567","1,646","1,724","1,731","1,720","1,701","1,693","1,646","1,717","1,757","1,807","1,806","1,848","1,900","1,909","1,861","1,832","1,773","1,730","1,633","1,589","1,529","1,488"
Long-Term Investments,196,-,-,31,-,"2,258","2,392","2,348","1,661","1,315","1,339","1,539","2,325","2,511","2,217","1,961","1,487","1,369",946,971,"1,695","2,278","2,771","2,863","2,366","3,175","3,439","6,089","5,994","6,968","6,753","6,797","7,145","6,270","5,215","5,018","4,632","4,543","3,855","3,273"
Goodwill and Intangibles,"3,445",-,-,"3,345",-,"3,595","3,589","4,427","4,391","4,350","4,313","4,270","4,244","4,205","4,552","4,507","4,476","4,456","6,738","7,109","6,984","6,935","6,807","6,990","10,493","10,372","10,265","10,183","10,055","10,484","10,358","12,786","12,555","12,147","11,908","11,997","11,925","11,707","11,499","11,563"
Other Long-Term Assets,41,-,-,54,-,54,63,114,105,97,92,79,51,60,70,133,94,101,404,565,979,"1,023","1,196","1,292","1,577","1,402","1,417","1,305","1,230","1,285","1,393","1,737","1,862","2,309","2,434","2,455","2,436","2,615","2,922","3,273"
Total Long-Term Assets,"4,540",-,-,"4,352",-,"7,198","7,342","8,233","7,502","7,174","7,195","7,370","8,068","8,255","8,324","8,129","7,580","7,493","9,734","10,369","11,389","11,956","12,475","12,838","16,082","16,666","16,878","19,384","19,085","20,585","20,404","23,229","23,423","22,558","21,330","21,200","20,626","20,454","19,805","19,597"
Total Assets,"19,160",-,-,"21,917",-,"26,911","27,896","28,881","29,470","30,631","31,356","33,103","33,493","35,290","37,761","40,774","42,322","41,677","43,724","43,332","46,280","48,391","50,223","51,333","54,266","63,166","65,582","70,379","72,517","73,816","74,534","75,803","75,805","77,810","76,435","78,624","77,186","74,579","76,440","82,166"
Accounts Payable,"10,453",-,-,"10,727",-,"11,676","11,916","12,406","13,190","14,003","14,294","15,355","15,905","17,149","18,949","19,999","20,849","20,889","22,698","21,843","24,464","25,272","24,204","24,759","25,034","31,283","32,689","35,670","38,514","38,630","37,990","39,038","39,886","40,377","37,938","40,140","39,168","37,530","38,772","42,074"
Current Debt,0,-,-,"1,093",-,0,0,0,0,0,0,0,0,0,0,"1,000","3,000","2,000","2,000","1,998","1,999","2,499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Current Liabilities,808,-,-,"1,463",-,908,"1,156","1,211","1,172","1,220","1,322","1,523","1,381","1,492","1,754","1,864","1,865","1,920","1,942","2,063","2,172","2,076","2,136","2,160","2,415","2,446","2,557","2,777","2,826","2,638","3,705","3,991","4,081","4,718","5,290","4,868","4,741","4,224","4,670","6,392"
Total Current Liabilities,"11,261",-,-,"13,283",-,"12,584","13,072","13,617","14,362","15,223","15,616","16,878","17,286","18,641","20,703","22,863","25,714","24,809","26,640","25,904","28,635","29,847","26,340","26,919","27,449","33,729","35,246","38,447","41,340","41,268","41,695","43,029","43,967","45,095","43,228","45,008","43,909","41,754","43,442","48,466"
Long-Term Debt,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,964","4,965","7,967","8,934","8,937","8,939","8,942","8,945","7,949","8,049","8,222","10,198","10,241","10,417","10,481","10,549","10,640","9,676"
Other Long-Term Liabilities,509,-,-,386,-,"1,587","1,610","1,505","1,510","1,591","1,548","1,513","1,581","1,651","1,626","1,917","1,967","1,849","1,969","2,042","2,488","2,405","2,436","2,520","2,839","2,819","2,872","2,930","2,794","2,698","2,800","2,998","3,013","2,750","2,702","2,925","2,938","2,615","2,618","2,973"
Total Long-Term Liabilities,509,-,-,386,-,"1,587","1,610","1,505","1,510","1,591","1,548","1,513","1,581","1,651","1,626","1,917","1,967","1,849","1,969","2,042","2,488","2,405","7,400","7,485","10,806","11,753","11,809","11,869","11,736","11,643","10,749","11,047","11,235","12,948","12,943","13,342","13,419","13,164","13,258","12,649"
Total Liabilities,"11,770",-,-,"13,669",-,"14,171","14,682","15,122","15,872","16,814","17,164","18,391","18,867","20,292","22,329","24,780","27,681","26,658","28,609","27,946","31,123","32,252","33,740","34,404","38,255","45,482","47,055","50,316","53,076","52,911","52,444","54,076","55,202","58,043","56,171","58,350","57,328","54,918","56,700","61,115"
Total Debt,0,-,-,"1,093",-,0,0,0,0,0,0,0,0,0,0,"1,000","3,000","2,000","2,000","1,998","1,999","2,499","4,964","4,965","7,967","8,934","8,937","8,939","8,942","8,945","7,949","8,049","8,222","10,198","10,241","10,417","10,481","10,549","10,640","9,676"
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.80%,-33.37%,24.95%,148.20%,148.50%,298.55%,257.50%,80.04%,80.04%,12.24%,0.12%,-11.06%,-9.96%,-8.05%,14.01%,28.83%,29.42%,27.48%,3.44%,3.90%,-7.11%
