,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"8,696","9,431","9,113","9,016","8,417","8,049","9,135","7,313","7,393","6,623","7,203","8,229","11,733","12,060","12,959","13,415","15,098","16,578","15,632","15,460","11,107","11,658","11,198","9,856","10,343","4,147","5,297","5,318","7,769","9,992","9,960","10,781","11,410","11,853","9,595","9,301","8,754","5,703","5,578","5,475","6,638"
Market Cap Growth,50.57%,39.79%,22.58%,24.00%,-3.21%,-14.65%,0.25%,-18.89%,-12.16%,-17.72%,-21.15%,12.53%,58.71%,82.11%,79.90%,63.02%,28.68%,37.46%,20.63%,15.25%,-26.43%,-29.68%,-28.36%,-36.25%,-6.88%,-64.43%,-52.70%,-46.04%,-24.88%,140.95%,88.02%,102.71%,46.86%,18.62%,-3.66%,-13.72%,-23.28%,-51.88%,-41.87%,-41.13%,-
Enterprise Value,"6,041","7,505","8,015","4,100","5,137","4,853","6,067","3,322","4,327","7,244","9,026","6,091","9,700","8,935","13,012","12,357","13,885","15,384","15,613","16,123","13,053","15,960","15,908","13,101","11,865","8,989",-741,-59,"-2,270","-2,027","-3,687","-9,971","-8,473",985,"4,692","6,855","8,707","13,069","11,874","8,224","9,406"
PE Ratio,16.31,17.53,16.69,16.30,14.36,13.85,16.14,13.35,14.36,14.98,17.53,19.36,24.81,19.64,18.18,17.00,20.46,20.29,16.65,15.00,9.05,9.07,8.90,8.00,8.65,5.19,8.56,9.89,16.12,11.30,9.15,9.51,10.01,12.11,10.51,9.29,7.80,4.54,4.40,4.68,5.70
PS Ratio,3.47,3.77,3.64,3.61,3.39,3.19,3.61,2.85,2.87,2.68,2.88,3.23,4.51,4.34,4.50,4.52,4.88,5.26,4.80,4.69,3.34,3.42,3.35,2.97,3.16,1.50,2.10,2.19,3.27,3.41,3.08,3.24,3.41,3.74,3.09,2.85,2.52,1.53,1.47,1.47,1.79
PB Ratio,1.22,1.30,1.24,1.21,1.14,1.07,1.21,0.96,0.98,0.87,0.94,1.07,1.51,1.52,1.62,1.67,1.90,2.07,1.94,1.99,1.48,1.57,1.53,1.37,1.41,0.56,0.68,0.68,0.97,1.23,1.26,1.38,1.45,1.69,1.49,1.84,1.69,0.95,1.00,1.10,1.34
P/FCF Ratio,11.85,13.63,10.91,9.79,14.79,11.77,15.38,11.66,9.91,10.13,12.09,16.73,30.01,21.46,15.73,15.47,14.86,17.23,16.18,13.92,7.28,9.62,8.30,6.89,10.30,2.49,4.00,6.14,9.15,32.65,97.65,32.18,20.23,-38.99,47.27,23.73,15.74,3.31,4.64,8.99,10.93
P/OCF Ratio,10.40,11.92,9.84,9.10,13.17,10.55,13.30,9.92,8.55,8.55,10.07,13.62,24.14,18.79,14.53,14.36,13.91,15.96,14.90,12.86,6.87,8.98,7.85,6.49,9.49,2.37,3.76,5.65,8.37,25.75,53.26,26.10,18.00,-50.44,34.39,19.79,13.72,3.15,4.30,7.54,9.17
Debt / Equity Ratio,0.53,0.51,0.38,0.39,0.38,0.37,0.39,0.42,0.41,0.47,0.77,0.76,0.67,0.65,0.71,0.64,0.58,0.71,0.70,0.84,0.87,1.05,1.13,1.02,1.00,1.31,0.93,0.73,0.71,0.35,0.36,0.36,0.35,0.38,0.41,0.70,1.20,3.02,2.95,2.18,2.18
Return on Capital (ROIC),Upgrade,4.94%,4.97%,5.45%,5.23%,5.60%,5.52%,5.28%,5.11%,4.90%,3.97%,3.05%,3.15%,3.67%,4.72%,5.25%,6.03%,5.90%,6.03%,6.89%,7.26%,8.81%,8.51%,8.10%,8.51%,8.20%,4.59%,4.01%,3.89%,3.47%,8.23%,10.35%,10.91%,10.92%,10.36%,10.37%,11.97%,10.08%,5.34%,5.87%,7.57%
Dividend Yield,1.40%,1.40%,1.50%,1.50%,1.70%,1.80%,1.60%,2.00%,2.00%,2.20%,2.10%,1.80%,1.30%,1.30%,1.30%,1.30%,1.30%,1.20%,1.40%,1.70%,2.70%,3.00%,3.50%,4.00%,3.70%,9.20%,7.10%,7.10%,4.90%,3.80%,3.80%,3.40%,3.10%,3.00%,3.70%,3.80%,4.10%,6.30%,6.60%,6.80%,5.64%
Payout Ratio,26.60%,25.00%,24.10%,23.50%,23.80%,26.70%,27.60%,27.60%,31.80%,61.80%,36.70%,26.40%,24.50%,20.00%,22.60%,23.30%,46.20%,18.50%,17.90%,31.70%,31.60%,31.30%,34.40%,33.80%,35.30%,-161.90%,80.00%,45.60%,44.20%,27.60%,28.90%,35.40%,40.00%,48.90%,35.10%,25.90%,26.20%,29.50%,35.10%,38.40%,32.16%
Buyback Yield / Dilution,3.91%,2.98%,2.66%,2.24%,1.76%,2.04%,2.02%,1.60%,1.64%,1.95%,1.62%,2.26%,2.53%,-0.56%,-1.03%,-1.15%,-0.96%,1.73%,2.83%,2.56%,7.02%,7.99%,10.34%,12.86%,10.85%,11.10%,9.81%,6.91%,3.51%,1.46%,-0.42%,3.68%,5.71%,5.89%,6.34%,2.32%,0.15%,-0.21%,-0.70%,-0.73%,-0.73%
Total Shareholder Return,5.31%,4.38%,4.16%,3.74%,3.46%,3.84%,3.62%,3.60%,3.64%,4.15%,3.72%,4.06%,3.83%,0.74%,0.27%,0.15%,0.34%,2.93%,4.23%,4.26%,9.72%,10.99%,13.84%,16.86%,14.55%,20.30%,16.91%,14.01%,8.41%,5.26%,3.38%,7.08%,8.81%,8.89%,10.04%,6.12%,4.25%,6.09%,5.90%,6.07%,4.90%
