,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Deferred Revenue,-734.09,-770.49,-711.1,-827.53,-702.13,-764.52,"-1,320.33","-1,484.12","-1,351.06","-1,381.8","-1,365.53","-1,446.44","-1,320.58","-1,427.4","-1,505.86","-1,674.29",88.08,76.22,86.77,82.23,115.14,109.51,110.91,108.67,107,128.42,132.5,162.05,174.41,197.4,195.15,280.66,295.64,281.99,314.3,276.33,262.19,263.7,263.09,0
Current Debt,306.61,731.46,631.81,506.03,"1,176",743.59,978.95,"1,751",994.38,995.3,"1,702","1,255",791.45,"1,055","1,416",910.77,"1,148","2,070","1,721","1,329","1,561","1,580","1,569",977.18,"1,449","1,205","1,388","1,384",889.07,"1,102","1,618","1,277","1,382","1,328","1,694",625.84,"2,425","2,016","1,911","8,641"
Other Current Liabilities,"1,607","1,724","1,791","2,301","1,759","1,835","2,573","3,209","2,662","2,705","2,820","3,271","2,682","2,743","3,135","3,696","1,665","1,592","2,000","2,469","1,976","1,958","2,262","2,739","2,145","1,990","2,203","2,690","2,240","2,390","3,018","3,679","2,979","2,926","3,026","3,561","2,772","2,738","2,791",0
Total Current Liabilities,"1,914","2,456","2,423","2,808","2,934","2,578","3,552","4,960","3,656","3,700","4,522","4,525","3,473","3,798","4,551","4,607","4,407","5,380","5,482","5,800","5,486","5,711","6,028","6,261","6,065","5,652","6,152","6,929","5,773","6,174","7,436","8,154","7,538","7,361","7,756","7,542","8,468","7,904","7,867","8,641"
Long-Term Debt,"2,322","2,252","2,338","1,918","1,773","1,751","2,736","2,680","2,675","2,668","2,660","2,548","2,549","2,550","2,552","2,000","2,221","1,764","1,764","1,770","3,253","2,939","2,788","2,995","2,800","3,082","2,908","2,712","2,939","3,149","2,873","2,920","2,883","2,861","2,543","2,866","2,389","3,360","3,855",0
Other Long-Term Liabilities,579.01,589.89,585.89,657.89,613.36,627.61,677.96,619.61,636.97,651.18,613.51,648.79,646.44,675.24,697.23,798.03,860.93,874.57,958.94,876.25,749.31,678.36,665.86,668.63,645.07,680.88,692.29,"1,278",881.06,"1,414","1,021","1,641","1,439","1,321","1,277","1,500","1,531","1,574","1,504","4,840"
Total Long-Term Liabilities,"2,901","2,842","2,924","2,576","2,386","2,378","3,414","3,299","3,312","3,319","3,273","3,197","3,196","3,226","3,249","2,798","3,082","2,639","2,723","2,647","4,003","3,617","3,454","3,663","3,445","3,763","3,601","3,990","3,820","4,563","3,894","4,561","4,322","4,183","3,820","4,366","3,920","4,934","5,360","4,840"
Total Liabilities,"4,815","5,297","5,347","5,383","5,321","4,957","6,966","8,259","6,968","7,019","7,795","7,722","6,669","7,023","7,800","7,404","7,489","8,019","8,205","8,447","9,489","9,329","9,482","9,924","9,511","9,415","9,753","10,919","9,593","10,738","11,330","12,714","11,860","11,544","11,576","11,908","12,388","12,838","13,227","13,481"
Total Debt,"2,629","2,983","2,970","2,424","2,949","2,494","3,715","4,430","3,670","3,663","4,362","3,803","3,341","3,605","3,968","2,910","3,369","3,834","3,485","3,099","4,815","4,519","4,358","3,972","4,249","4,287","4,296","4,096","3,828","4,252","4,490","4,197","4,265","4,189","4,237","3,492","4,814","5,377","5,766","8,641"
Debt Growth,-17.90%,10.79%,27.90%,-2.58%,12.17%,-16.39%,25.07%,82.76%,24.44%,46.84%,17.42%,-14.16%,-8.96%,-1.57%,-9.04%,-23.47%,0.85%,6.34%,-12.18%,6.49%,42.90%,17.87%,25.05%,28.16%,-11.75%,-5.13%,-1.41%,3.13%,-9.91%,-0.83%,4.52%,2.46%,11.40%,-1.47%,-5.64%,-16.80%,12.87%,28.35%,36.09%,147.43%
Common Stock,3.32,3.32,3.33,3.33,3.33,3.33,3.34,3.34,3.35,3.36,3.37,3.37,3.38,3.38,3.4,3.4,3.4,3.4,3.41,3.37,3.36,3.36,3.36,3.35,3.35,3.35,3.35,3.36,3.36,3.36,3.35,3.33,3.3,3.22,3.17,3.11,3.11,3.11,3.05,0
Retained Earnings,"1,124","1,230","1,337","1,541","1,634","1,759","1,908","2,088","2,170","2,292","2,393","2,657","2,787","2,984","3,180","3,348","3,592","3,820","4,111","4,505","4,675","4,899","5,156","5,793","5,950","6,032","6,216","6,530","6,796","7,239","7,675","8,367","8,759","9,084","9,156","8,833","8,810","9,011","8,725",0
Comprehensive Income,-133.55,-111.1,-217.2,-324.02,-430.55,-370.73,-446.45,-485.68,-471.36,-572.18,-585.34,-791.02,-737.23,-646.91,-580.77,-552.86,-483.77,-648.49,-678.97,-718.27,-716.17,-717.66,-787.08,-679.75,-851.04,-838.52,-731.4,-529.73,-582.54,-564.56,-654.18,-640.66,-701.44,-951.57,"-1,223.08",-982.78,-953.1,-928.79,"-1,043.69",0
Shareholders' Equity,"1,990","2,133","2,146","2,260","2,259","2,460","2,546","2,713","2,818","2,855","2,935","3,014","3,212","3,540","3,795","4,019","4,358","4,454","4,713","4,939","5,089","5,347","5,512","6,233","6,129","6,244","6,553","7,078","7,230","7,680","7,963","8,528","8,470","8,136","7,936","7,853","7,860","8,098","7,684","9,067"
Total Liabilities and Equity,"6,843","7,472","7,530","7,685","7,626","7,460","9,555","11,018","9,835","9,923","10,777","10,780","9,927","10,606","11,652","11,484","11,907","12,535","12,977","13,457","14,693","14,719","15,041","16,197","15,680","15,700","16,347","18,039","17,249","18,458","19,730","22,073","21,143","20,439","20,215","20,513","21,030","21,732","21,687","22,548"
Net Cash / Debt,"-2,137.79","-2,530.22","-2,284.59","-1,619.75","-2,504.75","-2,088.25","-3,210.59","-3,889.93","-3,180.27","-3,231.07","-3,915.69","-3,040.23","-2,807.46","-3,069.72","-3,012.24","-2,158.62","-2,726.41","-3,302.48","-2,934.28","-2,321.95","-4,209.68","-3,983.32","-3,780.1","-3,000.06","-3,620.69","-3,072.79","-2,814.32","-2,200.14","-1,917.83","-2,108.78","-1,722.46",-570.19,"-2,607.37","-1,794.58","-3,112.18",-856.24,"-2,287.27","-4,115.43","-4,514.2","-7,376"
Net Cash Per Share,-6.41,-7.58,-6.83,-4.83,-7.46,-6.21,-9.54,-11.54,-9.42,-9.56,-11.57,-8.97,-8.26,-9.01,-8.83,-6.32,-7.96,-9.61,-8.54,-6.78,-12.38,-11.70,-11.08,-8.82,-10.66,-9.11,-8.33,-6.49,-5.65,-6.21,-5.06,-1.68,-7.73,-5.44,-9.58,-2.68,-7.04,-13.09,-14.46,-
Working Capital,189.08,419.65,437.83,566.24,249.58,166.28,216.49,-140.06,-107.7,-34.41,23.05,36.84,187.66,303.42,536.11,767.08,353.52,598.41,36.54,154.93,74.77,551.34,268.86,"1,031","1,056","1,198","1,177","1,619","1,526","2,133","2,221","2,640","1,392","1,090",681.31,834.3,307.86,-163.84,784.17,"1,460"
Book Value Per Share,6.03,6.46,6.49,6.81,6.81,7.41,7.65,8.13,8.44,8.52,8.74,8.95,9.53,10.50,11.23,11.86,12.86,13.13,13.88,14.53,15.15,15.90,16.39,18.62,18.30,18.63,19.54,21.10,21.53,22.88,23.74,25.53,25.52,25.00,24.81,24.99,24.58,26.05,24.96,-
