,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"12,983","11,573","13,320","10,757","12,368","12,897","14,686","14,272","15,917","17,063","13,340","15,905","17,823","16,223","17,589","18,492","17,940","16,828","18,562","16,718","20,848","22,117","20,523","17,504","25,971","30,989","24,263","25,243","21,826","22,955","27,429","20,540","21,013","19,516","21,548","25,134","22,144","26,406","26,427","24,862"
Short-Term Investments,-,-,-,-,-,-,-,"66,041",-,"70,094","66,375","69,188","70,771","72,774","70,033","72,645","76,811","71,002","68,598","71,586","72,326","69,687","67,991","70,798","75,288","68,861","62,415","67,119","64,945","52,420","51,597","61,596","52,990","47,900","52,527","57,656","57,719","58,972","57,260","61,734"
Cash & Cash Equivalents,"12,983","11,573","13,320","10,757","12,368","12,897","14,686","80,313","15,917","87,157","79,715","85,093","88,594","88,997","87,622","91,137","94,751","87,830","87,160","88,304","93,174","91,804","88,514","88,302","101,259","99,850","86,678","92,362","86,771","75,375","79,026","82,136","74,003","67,416","74,075","82,790","79,863","85,378","83,687","86,596"
Cash Growth,-6.06%,-13.39%,-9.71%,-25.65%,-4.74%,11.44%,10.26%,646.61%,28.70%,575.79%,442.80%,5.95%,456.60%,2.11%,9.92%,7.10%,6.95%,-1.31%,-0.53%,-3.11%,-1.66%,4.52%,1.55%,-0.00%,8.68%,8.76%,-2.07%,4.60%,-14.31%,-24.51%,-8.83%,-11.07%,-14.71%,-10.56%,-6.27%,0.80%,7.92%,26.64%,12.98%,4.60%
Receivables,"12,088","12,853","11,143","11,708","13,005","12,666","13,373","11,042","11,252","10,728","10,029","11,102","10,685","10,159","10,277","10,599","12,386","11,026","11,244","11,195","12,016","10,941","10,621","9,237","6,625","9,107","10,114","9,993","10,448","8,750","10,851","11,370","13,031","15,037","14,764","15,729","14,920","14,482","15,129","15,601"
Inventory,"8,874","9,365","9,296","7,870","9,519","9,438","9,496","8,319","9,770","9,829","10,219","8,898","10,535","11,092","11,263","11,176","12,371","12,565","12,810","11,220","12,333","12,437","12,451","10,786","11,312","10,220","10,583","10,808","12,742","13,593","13,508","12,065","14,647","13,976","15,213","14,080","16,212","17,703","18,326","15,651"
Other Current Assets,-,-,-,-,-,-,-,"2,913",-,"3,053","3,552","3,368","3,414","3,291","3,570","3,889","3,756","3,604","3,629","3,930","3,672","3,169","4,168","5,722","5,080","4,934","4,390","3,581","3,971","3,557","3,583","3,425","4,461","4,040","4,036","3,877","4,128","4,149","4,219","3,633"
Total Current Assets,-,-,-,-,-,-,-,"102,587",-,"110,767","103,515","108,461","113,228","113,539","112,732","116,801","123,264","115,025","114,843","114,649","121,195","118,351","115,754","114,047","124,276","124,111","111,765","116,744","113,932","101,275","106,968","108,996","106,142","100,469","108,088","116,476","115,123","121,712","121,361","121,481"
"Property, Plant & Equipment","28,447","29,294","30,048","30,126","29,612","30,750","30,137","30,163","31,164","31,940","32,257","32,072","32,668","33,794","34,760","35,327","36,118","35,580","35,762","36,178","36,145","36,581","35,404","36,469","35,294","35,276","36,118","37,083","36,361","36,723","36,597","37,139","36,625","36,162","35,529","37,265","37,970","38,503","39,370","40,821"
Long-Term Investments,-,-,-,-,-,-,-,"75,871",-,"80,244","82,605","82,057","82,250","83,389","86,381","87,502","88,665","88,803","89,441","87,372","86,166","86,310","85,605","85,452","81,930","86,354","88,295","88,129","85,075","83,980","82,207","82,162","79,852","78,472","73,794","75,473","76,540","77,807","79,252","82,582"
Other Long-Term Assets,-,-,-,-,-,-,-,"16,304",-,"16,727","16,586","15,361","15,948","16,747","17,400","18,866","19,183","18,671","18,920","18,341","19,775","20,942","21,394","22,569","22,650","23,625","23,765","25,305","25,451","26,554","26,905","28,738","30,367","30,652","29,508","26,670","27,167","27,969","28,090","28,426"
Total Long-Term Assets,-,-,-,-,-,-,-,"122,338",-,"128,911","131,448","129,490","130,866","133,930","138,541","141,695","143,966","143,054","144,123","141,891","142,086","143,833","142,403","144,490","139,874","145,255","148,178","150,517","146,887","147,257","145,709","148,039","146,844","145,286","138,831","139,408","141,677","144,279","146,712","151,829"
Total Assets,"207,082","210,945","208,835","208,615","212,374","216,045","219,431","224,925","237,288","239,678","234,963","237,951","244,094","247,469","251,273","258,496","267,230","258,079","258,966","256,540","263,281","262,184","258,157","258,537","264,150","269,366","259,943","267,261","260,819","248,532","252,677","257,035","252,986","245,755","246,919","255,884","256,800","265,991","268,073","273,310"
Accounts Payable,"22,209","22,062","21,155","20,035","22,366","21,844","22,386","20,272","22,072","23,084","22,384","21,296","23,257","23,568","23,566","23,282","25,480","22,743","23,273","21,520","23,325","22,980","22,228","20,673","18,439","16,360","21,466","22,204","23,492","18,593","22,923","22,349","23,256","23,378","27,051","25,605","26,028","27,749","27,813","25,992"
Current Debt,-,-,-,-,-,-,-,"42,975",-,"44,861","47,273","49,669","49,257","50,773","51,174","51,621","52,983","50,884","50,763","53,493","54,548","52,851","54,604","53,946","52,912","55,344","50,995","51,343","49,471","46,012","47,323","49,692","48,286","43,819","44,050","50,164","48,050","49,341","48,638","49,669"
Other Current Liabilities,-,-,-,-,-,-,-,"19,089",-,"21,463","19,531","19,316","18,790","19,958","19,612","19,697","21,415","21,234","20,714","20,556","21,364","22,503","22,255","23,513","23,143","21,076","20,698","23,645","21,286","18,869","18,787","18,686","18,810","19,255","19,066","21,097","21,827","23,925","23,817","25,870"
Total Current Liabilities,-,-,-,-,-,-,-,"82,336",-,"89,408","89,188","90,281","91,304","94,299","94,352","94,600","99,878","94,861","94,750","95,569","99,237","98,334","99,087","98,132","94,494","92,780","93,159","97,192","94,249","83,474","89,033","90,727","90,352","86,452","90,167","96,866","95,905","101,015","100,268","101,531"
Long-Term Debt,-,-,-,-,-,-,-,"89,879",-,"95,053","89,951","93,301","96,720","95,236","97,938","102,666","105,351","101,959","102,668","100,720","102,612","103,213","99,507","101,361","114,414","119,886","106,280","110,341","103,201","100,905","97,249","88,400","87,315","85,008","84,279","88,805","91,242","93,895","94,024","99,562"
Other Long-Term Liabilities,-,-,-,-,-,-,-,"23,959",-,"23,968","24,229","25,086","25,332","25,575","25,623","25,526","25,467","24,691","24,830","24,185","24,863","24,501","24,176","25,814","25,544","25,845","27,343","28,917","29,395","29,369","29,691","29,286","30,235","30,058","30,384","27,046","27,456","27,475","29,505","29,419"
Total Long-Term Liabilities,-,-,-,-,-,-,-,"113,838",-,"119,021","114,180","118,387","122,052","120,811","123,561","128,192","130,818","126,650","127,498","124,905","127,475","127,714","123,683","127,175","139,958","145,731","133,623","139,258","132,596","130,274","126,940","117,686","117,550","115,066","114,663","115,851","118,698","121,370","123,529","128,981"
Total Liabilities,"179,944","183,801","182,331","183,808","187,311","189,597","191,853","196,174","207,572","208,429","203,368","208,668","213,356","215,110","217,913","222,792","230,696","221,511","222,248","220,474","226,712","226,048","222,770","225,307","234,452","238,511","226,782","236,450","226,845","213,748","215,973","208,413","207,902","201,518","204,830","212,717","214,603","222,385","223,797","230,512"
Total Debt,"117,004","118,707","119,193","119,171","122,776","123,526","126,425","132,854","140,995","139,914","137,224","142,970","145,977","146,009","149,112","154,287","158,334","152,843","153,431","154,213","157,160","156,064","154,111","155,307","167,326","175,230","157,275","161,684","152,672","146,917","144,572","138,092","135,601","128,827","128,329","138,969","139,292","143,236","142,662","149,231"
Debt Growth,8.99%,10.06%,7.75%,3.91%,4.93%,4.06%,6.07%,11.48%,14.84%,13.27%,8.54%,7.61%,3.53%,4.36%,8.66%,7.92%,8.47%,4.68%,2.90%,-0.05%,-0.74%,2.11%,0.44%,0.71%,6.47%,12.28%,2.05%,4.11%,-8.76%,-16.16%,-8.08%,-14.59%,-11.18%,-12.31%,-11.24%,0.64%,2.72%,11.18%,11.17%,7.38%
