,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Current Liabilities,"97,210","97,206","98,925","104,714","111,170","114,391","120,643","131,728","137,752","139,187","151,602","165,853","169,117","164,385","167,575","172,527","192,711","202,387","216,160","234,429","223,058","216,577","214,606","225,630","286,736","311,008",0,0,"-101,339",0,0,"-125,671","-125,307","-114,880","-110,012",0,"-133,153","-125,795","-112,071",0
Total Current Liabilities,"131,436","130,415","134,155","141,023","145,197","148,389","154,390","167,501","173,682","180,258","191,061","204,154","206,627","199,658","209,482","220,057","224,921","236,053","245,533","268,986","254,361","247,577","250,206","264,830","335,987","361,143","52,006","104,201","2,500","108,512","116,052","4,855","4,234","1,350",500,"114,488","7,071","7,831",97,95
Long-Term Debt,"1,902","1,901","1,900","1,899","2,895","2,894","2,893","2,890","2,877","2,876","2,876","2,876","3,518","3,518","3,268","4,753","4,128","5,789","5,790","6,878","6,829","7,424","7,427","7,430","8,522","8,526","7,836","13,632","17,698","18,708","19,530","18,914","21,873","21,112","20,844","20,828","20,016","22,482","24,803",226
Other Long-Term Liabilities,-87,-85,-84,-83,-81,-79,-77,-88,-74,-72,-70,-68,-66,-64,-63,-61,-59,-57,-55,-52,0,0,0,0,0,0,-7,0,0,0,0,"587,240","606,745","570,582","519,178","93,660","472,118","444,045","-23,156","1,460"
Total Long-Term Liabilities,"1,815","1,816","1,816","1,816","2,814","2,815","2,816","2,802","2,803","2,804","2,806","2,808","3,452","3,454","3,205","4,692","4,069","5,732","5,735","6,826","6,829","7,424","7,427","7,430","8,522","8,526","7,829","13,632","17,698","18,708","19,530","606,154","628,618","591,694","540,022","114,488","492,134","466,527","1,647","1,686"
Total Liabilities,"133,251","132,231","135,971","142,839","148,011","151,204","157,206","170,316","176,485","183,062","193,867","206,962","210,079","203,112","212,687","224,749","228,990","241,785","251,268","275,812","261,190","255,000","257,600","272,300","344,509","369,669","388,024","492,949","507,863","517,082","550,106","611,009","632,852","593,044","540,522","515,164","499,205","474,358","437,420","1,781"
Total Debt,"1,902","1,901","1,900","1,899","2,895","2,894","2,893","2,890","3,677","7,876","5,877","2,876","4,118","3,818","8,268","19,753","4,128","5,789","5,790","6,878","6,829","7,424","7,427","7,430","8,522","8,526","7,836","13,632","20,198","22,208","22,530","23,769","26,107","22,462","21,344","37,878","72,687","71,313","64,153",321
Debt Growth,16.62%,16.63%,-0.21%,-0.21%,52.21%,52.24%,52.26%,52.19%,27.01%,172.15%,103.15%,-0.48%,11.99%,-51.52%,40.68%,586.82%,0.24%,51.62%,-29.97%,-65.18%,65.43%,28.24%,28.27%,8.03%,24.79%,14.84%,5.51%,83.47%,137.01%,160.47%,187.52%,74.36%,29.26%,1.14%,-5.26%,59.36%,178.42%,217.48%,200.57%,-99.15%
Common Stock,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,21,0
Retained Earnings,"9,492","9,715","9,949","10,198","10,412","10,664","10,952","11,253","11,567","11,882","12,261","12,649","13,069","13,495","13,963","14,408","15,222","15,903","16,615","17,329","18,017","18,680","19,374","19,960","20,487","20,876","21,261","21,975","23,029","23,809","24,880","25,992","26,895","28,174","29,651","31,066","32,144","32,865","33,429",0
Comprehensive Income,108,186,163,165,231,174,19,-134,-120,-17,31,-163,-132,-112,-106,-152,-260,-278,-304,-252,-71,99,144,88,"3,995","5,611","5,686","5,394",878,"2,408","1,253","-1,109","-11,045","-16,022","-23,152","-22,621","-20,690","-20,730","-20,752",0
Shareholders' Equity,"10,815","11,170","11,473","11,803","12,158","12,423","13,196","13,402","14,513","14,990","15,470","16,421","16,982","17,489","18,027","18,525","19,330","20,097","20,834","20,670","21,625","21,300","21,400","21,700","26,270","30,815","31,331","56,060","55,594","57,450","57,442","56,261","48,098","44,513","37,041","36,608","36,347","37,147","37,784","2,052"
Total Liabilities and Equity,"144,066","143,401","147,444","154,642","160,169","163,627","170,402","183,718","190,998","198,052","209,337","223,383","227,061","220,601","230,714","243,274","248,320","261,882","272,102","296,482","282,815","276,300","279,000","294,000","370,779","400,484","419,355","549,009","563,457","574,532","607,548","667,270","680,950","637,557","577,563","551,772","535,552","511,505","475,204","3,833"
Net Cash / Debt,"58,351","58,134","58,889","64,247","67,482","69,538","73,827","74,734","78,296","79,328","80,345","85,317","55,945","51,391","52,047","44,459","61,844","62,983","73,598","87,638","85,734","71,424","69,356","83,292","281,168","306,264","323,387","364,116","369,990","367,751","388,761","429,260","337,068","307,365","261,659","150,188","117,809","102,107","77,597",468
Net Cash / Debt Growth,7.84%,9.65%,2.73%,11.84%,15.65%,19.62%,25.37%,16.32%,16.03%,14.08%,8.83%,14.16%,-28.55%,-35.22%,-35.22%,-47.89%,10.54%,22.56%,41.41%,97.12%,38.63%,13.40%,-5.76%,-4.96%,227.95%,328.80%,366.27%,337.16%,31.59%,20.08%,20.22%,17.89%,-8.90%,-16.42%,-32.69%,-65.01%,-65.05%,-66.78%,-70.34%,-99.69%
Net Cash Per Share,44.51,44.28,44.75,48.67,51.01,52.44,55.59,56.19,58.87,59.51,60.23,63.62,41.41,38.04,38.47,32.74,45.41,46.18,53.96,64.73,63.79,53.42,53.02,64.42,217.29,236.68,249.91,196.29,195.55,193.96,204.83,225.69,176.94,161.43,138.08,80.19,63.96,55.95,42.47,0.26
Working Capital,"-71,183","-70,380","-73,366","-74,518","-74,820","-75,957","-77,670","-89,489","-91,709","-93,054","-104,839","-115,510","-146,564","-144,449","-149,167","-155,384","-158,949","-167,281","-166,145","-174,060","-161,798","-168,730","-173,471","-173,275","31,274","34,016","58,250","79,939","112,634","81,624","89,880","139,659","134,281","128,246","117,477","144,819","136,315","130,065",647,694
Book Value Per Share,8.33,8.58,8.80,8.97,9.27,9.45,10.03,10.16,10.99,11.34,11.68,12.36,12.71,13.07,13.46,13.79,14.35,14.89,15.42,15.39,16.22,16.04,16.46,16.90,20.41,23.92,24.31,30.34,29.54,30.46,30.42,29.74,25.39,23.48,19.63,19.64,19.82,20.41,20.75,1.13
