,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"8,797","8,222","8,252","7,661","12,128","8,443","7,510","11,989","8,620","9,557","10,723"
Market Cap Growth,30.92%,-6.53%,0.36%,-7.16%,58.31%,-30.38%,-11.05%,59.63%,-28.10%,10.86%,-
Enterprise Value,"8,151","7,448","7,369","6,644","11,089","7,471","7,027","11,744","8,358","8,993","10,132"
PE Ratio,28.27,22.53,22.56,18.21,26.73,19.74,24.43,36.19,26.76,24.20,23.77
PS Ratio,5.08,4.28,4.14,3.67,5.61,3.77,3.20,4.61,3.20,3.40,3.82
PB Ratio,6.42,6.24,6.96,6.23,9.44,4.79,3.36,5.08,3.49,3.41,3.75
P/FCF Ratio,16.72,13.17,12.73,10.92,17.12,13.10,12.50,19.51,21.08,15.95,17.55
P/OCF Ratio,16.02,12.01,11.60,10.35,15.94,11.29,11.36,18.58,19.48,14.63,16.22
EV/Sales Ratio,4.71,3.88,3.69,3.18,5.13,3.33,2.99,4.51,3.10,3.20,3.61
EV/EBITDA Ratio,15.00,12.13,12.15,10.44,16.72,12.26,13.22,21.72,15.49,14.11,14.16
EV/EBIT Ratio,16.39,13.27,13.40,11.54,18.37,13.81,17.73,30.35,21.69,18.50,17.95
EV/FCF Ratio,15.49,11.93,11.37,9.47,15.65,11.60,11.69,19.11,20.43,15.01,16.58
Debt / Equity Ratio,-,-,-,-,-,-,0.33,0.28,0.25,0.09,0.08
Debt / EBITDA Ratio,-,-,-,-,-,-,1.37,1.23,1.15,0.38,0.33
Debt / FCF Ratio,-,-,-,-,-,-,1.21,1.08,1.52,0.40,0.38
Quick Ratio,1.39,1.40,1.36,1.40,1.40,1.17,1.17,0.90,0.74,0.85,0.88
Current Ratio,1.57,1.57,1.53,1.51,1.49,1.37,1.39,1.16,1.04,1.25,1.29
Asset Turnover,0.79,0.85,0.88,0.86,0.85,0.72,0.54,0.54,0.53,0.54,0.54
Return on Equity (ROE),22.10%,27.40%,30.40%,35.00%,36.30%,27.30%,14.80%,14.80%,13.40%,14.70%,16.70%
Return on Assets (ROA),14.20%,16.20%,16.00%,17.40%,17.80%,13.70%,7.00%,6.90%,6.30%,7.60%,8.80%
Return on Capital (ROIC),22.55%,27.30%,30.73%,33.54%,34.54%,23.27%,10.28%,11.15%,10.92%,12.63%,14.40%
Earnings Yield,3.54%,4.44%,4.43%,5.49%,3.74%,5.07%,4.09%,2.76%,3.74%,4.13%,4.30%
FCF Yield,5.98%,7.59%,7.85%,9.16%,5.84%,7.63%,8.00%,5.13%,4.74%,6.27%,5.70%
Buyback Yield / Dilution,3.85%,4.66%,6.29%,4.72%,4.26%,2.51%,-1.53%,-1.11%,1.55%,1.35%,1.22%
Total Shareholder Return,3.85%,4.66%,6.29%,4.72%,4.26%,2.51%,-1.53%,-1.11%,1.55%,1.35%,1.22%
