,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,291.3,243,193.9,199.6,225.5,277.2,439.7,587,"1,236","1,199","6,362","1,257",998.8,723.8,612.8,614.9,292.1,367.4,330.2,449.2,388.1,229.8,211.5,358.9,475.6,572.4,323.6,664.5,844.4,806.9,673.9,756.6,701.2,752.4,664.7,646.7,"1,260",506.6,629.2,"1,310"
Cash & Cash Equivalents,291.3,243,193.9,199.6,225.5,277.2,439.7,587,"1,236","1,199","6,362","1,257",998.8,723.8,612.8,614.9,292.1,367.4,330.2,449.2,388.1,229.8,211.5,358.9,475.6,572.4,323.6,664.5,844.4,806.9,673.9,756.6,701.2,752.4,664.7,646.7,"1,260",506.6,629.2,"1,310"
Cash Growth,-16.76%,-17.47%,-30.10%,-45.30%,-22.59%,14.07%,126.77%,194.09%,448.12%,332.68%,1346.87%,114.07%,-19.19%,-39.65%,-90.37%,-51.07%,-70.75%,-49.24%,-46.12%,-26.95%,32.87%,-37.45%,-35.95%,-20.10%,22.55%,149.09%,53.00%,85.15%,77.54%,40.97%,108.25%,13.86%,-16.96%,-6.75%,-1.37%,-14.53%,79.68%,-32.67%,-5.34%,102.51%
Receivables,"1,820","1,679","1,762","1,733","2,269","2,265","2,861","2,917","2,689","2,587","2,917","3,099","3,311","2,872","2,951","3,220","3,612","3,025","2,818","2,949","2,881","2,779","2,704","2,948","3,059","2,775","2,753","2,964","4,844","4,529","4,479","4,346","4,266","4,094","3,736","3,334","3,815","3,498","3,607","3,739"
Inventory,"1,657","1,738","1,791","1,708","1,651","1,908","1,934","1,944","1,951","2,144","2,191","2,688","2,456","2,548","2,610","2,548","2,543","2,641","2,561","2,561","2,580","2,709","2,776","2,764","2,671","2,640","2,786","3,022","5,472","4,942","4,488","4,082","3,978","3,797","3,613","3,380","3,520","3,664","3,642","3,672"
Other Current Assets,703,682.7,730.5,"2,177","2,296","2,976","2,656","1,038",596.6,696.7,716.1,922.1,756.4,921.9,791.9,883.4,766.1,728,588.4,583.2,518.4,545.2,573.9,574.7,552,613.9,602.1,684.1,"1,707","2,040","2,110","2,124","1,958","3,101","3,163","3,127","2,042","1,962","1,900","2,212"
Total Current Assets,"4,471","4,342","4,477","5,818","6,441","7,426","7,891","6,486","6,473","6,628","12,187","7,965","7,523","7,066","6,966","7,267","7,213","6,761","6,298","6,542","6,368","6,262","6,265","6,645","6,757","6,601","6,465","7,335","12,868","12,319","11,750","11,308","10,903","11,744","11,177","10,488","10,635","9,630","9,778","10,932"
"Property, Plant & Equipment","1,666","1,705","1,756","1,738","1,786","1,872","1,899","1,885","1,984","1,999","2,058","2,284","2,322","2,338","2,366","2,310","2,339","2,275","2,186","2,120","2,170","2,151","2,146","2,124","2,150","2,067","2,038","2,058","3,460","3,247","3,171","3,114","3,189","3,150","3,084","3,039","3,025","3,008","2,983","2,927"
Goodwill and Intangibles,"6,858","6,822","6,809","6,730","6,396","11,886","12,039","12,014","12,602","12,845","13,547","25,247","23,680","23,764","25,003","25,255","25,452","25,366","24,033","24,036","23,412","22,563","22,424","21,211","21,241","20,374","20,479","20,783","42,030","40,397","39,854","39,157","38,248","36,231","34,624","33,068","33,033","33,275","32,617","31,559"
Other Long-Term Assets,"2,300","2,486","2,561",888.4,"1,197",938.7,965.1,932.4,"1,209","1,172","1,045","1,043","1,202","1,105","1,171",987.1,802.4,782.1,754.1,758.7,784.6,929.5,981.9,"1,073","1,108","1,105","1,174","1,067","3,195","3,017","3,209","2,492","2,503","2,342","2,241","2,068","3,329","3,377","3,317","3,325"
