,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26,2016-09-25,2016-12-25,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26,2022-09-25,2022-12-25,2023-04-02,2023-07-02,2023-10-01
Long-Term Debt,959.9,959.9,"1,560","1,560","1,546","1,546","1,546","1,547","1,547","1,547","1,548","1,198","1,199","1,199","1,199","1,693","1,694","1,694","1,694","1,695","1,695","1,695","1,696","1,696","4,046","5,156","4,803","4,778","4,660","4,674","4,389","3,977","3,824","3,738","3,739","3,725","3,711","3,682","3,669","3,655"
Other Long-Term Liabilities,351.3,337.22,357.77,392.37,392.17,396.14,400.43,396.77,404.88,402.35,402.61,364.38,389.39,393.52,408.89,410.38,514.72,611.21,600.31,591.4,539.09,636.06,554.21,550.78,556.56,739,771.7,778.5,794,777.7,753,722.5,670.7,633.6,570,545.1,533.1,585.2,520.6,438.2
Total Long-Term Liabilities,"1,311","1,297","1,918","1,952","1,938","1,942","1,947","1,944","1,952","1,950","1,950","1,563","1,588","1,592","1,608","2,104","2,208","2,305","2,295","2,286","2,234","2,332","2,250","2,247","4,603","5,895","5,574","5,556","5,454","5,452","5,142","4,700","4,495","4,372","4,309","4,270","4,244","4,268","4,189","4,093"
Total Liabilities,"2,674","2,391","2,642","2,966","3,010","2,759","2,748","2,983","3,017","2,718","2,695","3,179","3,206","2,794","3,080","3,588","3,460","3,158","3,347","3,608","3,509","3,280","3,323","3,714","5,860","7,634","7,556","7,872","7,857","7,205","7,187","7,150","6,951","6,415","6,467","6,627","6,434","6,165","6,140","6,117"
Total Debt,"1,397","1,399","1,569","1,638","1,798","1,778","1,714","1,661","1,712","1,636","1,553","1,727","1,721","1,614","1,736","1,882","1,849","1,716","1,714","1,715","1,705","1,709","1,709","1,704","4,047","5,230","5,188","5,157","5,099","4,832","4,579","4,166","4,025","3,998","3,974","3,970","3,967","3,926","3,886","3,715"
Debt Growth,-13.83%,-10.10%,-1.02%,2.16%,28.76%,27.09%,9.26%,1.39%,-4.82%,-7.97%,-9.40%,3.97%,0.54%,-1.37%,11.77%,9.01%,7.41%,6.29%,-1.23%,-8.89%,-7.78%,-0.39%,-0.34%,-0.64%,137.38%,206.06%,203.61%,202.63%,26.00%,-7.62%,-11.73%,-19.22%,-21.06%,-17.26%,-13.21%,-4.70%,-1.45%,-1.80%,-2.21%,-6.43%
Common Stock,"-1,715.7","-1,765.27","-1,883.17","-1,978.18","-2,068.95","-2,067.07","-2,051.82","-2,064.97","-2,042.42","-2,065.63","-2,038.46","-2,073.62","-2,091.42","-2,096.65","-2,082.8","-2,145.38","-2,190.84","-2,226.88","-2,008.84","-2,070.9","-2,135.37","-2,188.82","-2,164.22","-2,154.05","-1,174.87","-1,132.5","-1,114.5","-1,103.7","-1,072.5","-1,060.5","-1,036.4","-1,003.8",-959.4,-893.3,-993.5,-973.9,-954.6,-955.7,-934.4,-916.7
Retained Earnings,"3,432","3,408","3,387","3,514","3,630","3,600","3,584","3,734","3,852","3,837","3,825","4,019","4,149","4,145","4,142","4,336","4,260","4,091","4,071","4,255","4,184","4,126","4,053","4,180","4,355","4,192","4,065","4,192","4,204","4,227","4,110","4,270","4,258","4,221","4,266","4,298","4,071","3,952","3,618","3,348"
Comprehensive Income,-34.14,-48.57,-51.78,-36.81,-95.45,-87,-103.48,-126.19,-146,-164.35,-174.3,-203.99,-194.57,-197.17,-226.61,-234.79,-239.43,-292.4,-295.08,-296.74,-294.51,-282.34,-173.18,-185.38,-184.22,-294.8,-308.1,-280.3,-195,-206.4,-183.5,-208.6,-235.3,-246.9,-259.6,-324.9,-254.9,-237.4,-213.5,-208.4
Shareholders' Equity,"1,682","1,594","1,452","1,499","1,466","1,446","1,429","1,543","1,664","1,607","1,613","1,742","1,863","1,852","1,832","1,956","1,830","1,571","1,767","1,887","1,754","1,655","1,716","1,841","2,996","2,765","2,642","2,808","2,937","2,960","2,890","3,057","3,063","3,081","3,013","2,999","2,862","2,759","2,470","2,223"
Net Cash / Debt,-714.17,-606.86,-982.93,"-1,185.73",-905.17,-696.69,-855.9,"-1,109.47",-734.93,-540.55,-629.06,-896.37,-438.69,-150.92,-302.39,-637.5,-267.33,-116.64,-555.4,-807.92,-522.46,-512.24,-557.58,-643.68,533.41,"-3,992.3","-4,149.5","-4,024.7","-3,649.5","-3,401.4","-3,350.9","-2,984.7","-3,005.9","-2,939.9","-3,345.8","-3,418.4","-3,453.7","-3,539.7","-3,669.5","-3,529.1"
Working Capital,"1,117","1,048","1,480","1,632","1,572","1,515","1,531","1,670","1,801","1,756","1,778","1,531","1,610","1,598","1,623","2,277","2,382","2,169","1,775","1,871","1,808","1,683","1,757","1,946","5,490","1,580","1,204","1,443","1,443","1,483","1,571","1,280","1,272","1,212",927.2,903.6,809.4,641.8,558.6,"1,216"
Book Value Per Share,12.97,12.18,11.19,11.76,11.66,11.63,11.48,12.35,13.35,12.88,12.93,13.89,14.93,14.90,14.66,15.64,14.69,12.65,14.14,14.87,13.87,13.15,13.63,14.59,23.73,20.20,19.29,20.50,21.43,21.55,21.01,22.20,22.20,22.17,21.61,21.72,20.72,19.96,17.82,16.02
