,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Long-Term Liabilities,"3,406","3,619","3,394","4,614","3,819","3,628","2,555","2,425","2,439","1,655","1,691","1,743","1,762","1,786","1,925","1,665","1,605","1,585","1,545","1,559","1,483","1,464","1,514","1,732","1,827","1,882","1,824","1,673","1,636","1,624","1,621","2,493","2,434","2,264","2,071","1,968","1,854","1,745","1,778","1,737"
Total Long-Term Liabilities,"10,923","11,147","11,147","11,945","11,499","15,682","6,346","6,347","4,507","3,749","4,525","4,522","4,546","5,240","5,420","5,174","5,155","5,080","5,030","5,040","5,354","7,111","7,071","7,051","8,309","8,425","8,074","7,960","7,789","7,803","7,551","20,164","19,707","19,012","18,678","17,647","17,590","16,489","16,281","13,305"
Total Liabilities,"16,568","16,942","17,137","17,982","17,573","21,994","12,327","12,097","8,330","7,472","7,131","7,266","6,984","7,798","8,082","7,995","7,797","7,709","7,734","7,854","8,681","9,708","9,682","10,281","11,345","11,305","11,496","11,293","10,976","11,147","10,992","24,400","23,597","22,928","22,386","22,392","22,350","22,254","22,490","19,808"
Total Debt,"8,694","8,839","9,268","9,029","10,005","14,218","6,729","6,507","3,357","3,168","2,840","2,782","2,787","3,457","3,498","3,512","3,553","3,498","3,488","3,485","4,669","5,651","5,559","5,860","7,018","6,862","6,977","6,693","6,560","6,636","6,440","18,182","17,682","17,156","16,886","17,083","16,889","16,921","16,929","14,236"
Debt Growth,48.18%,-2.17%,2.23%,-1.49%,15.08%,60.86%,-27.40%,-27.93%,-66.45%,-77.72%,-57.79%,-57.25%,-16.98%,9.12%,23.17%,26.24%,27.48%,1.19%,-0.29%,-0.77%,31.41%,61.55%,59.38%,68.15%,50.31%,21.43%,25.51%,14.22%,-6.53%,-3.29%,-7.70%,171.66%,169.54%,158.53%,162.20%,-6.04%,-4.48%,-1.37%,0.25%,-16.67%
Common Stock,"-1,525","-1,571","-1,505","-1,457","-1,385","-1,255","-1,137","-1,061",-869,"-1,324","-1,200","-1,354","-1,219","-1,129","-1,155","-1,358","-1,759","-1,886","-2,025","-3,408","-3,762","-3,733","-3,973","-4,126","-4,059","-3,939","-3,879","-4,325","-4,570","-4,788","-4,715","-4,608","-4,532","-4,473","-4,426","-4,384","-4,329","-4,272","-4,198","-4,158"
Retained Earnings,"12,142","12,378","12,563","13,227","13,352","13,389","9,578","9,683","12,923","14,037","14,049","14,200","14,323","14,480","14,615","14,483","14,734","14,966","15,394","15,075","15,970","16,184","15,849","15,718","15,935","16,055","16,285","16,328","16,502","16,658","16,967","17,065","16,994","17,099","14,015","14,050","13,947","13,655","16,015","16,114"
Comprehensive Income,"-1,946","-2,145","-2,654","-3,650","-4,709","-4,146",-617,224,"-3,035","-4,204","-4,172","-4,556","-4,418","-4,176","-3,994","-4,001","-3,876","-4,199","-4,239","-3,823","-4,562","-4,639","-4,288","-3,710","-4,177","-3,988","-3,839","-3,314","-3,480","-3,376","-3,482","-3,380","-3,387","-3,767","-4,054","-3,833","-3,739","-3,814","-3,716","-3,554"
Shareholders' Equity,"8,671","8,662","8,404","8,120","7,258","7,988","7,824","8,846","9,019","8,509","8,677","8,290","8,686","9,175","9,466","9,124","9,099","8,881","9,130","7,844","7,646","7,812","7,588","7,882","7,699","8,128","8,567","8,689","8,452","8,494","8,770","9,077","9,075","8,859","5,535","5,833","5,879","5,569","8,101","8,402"
Net Cash / Debt,"-6,645","-6,973","-7,190","-6,104","-7,475","-7,538",-603,854,86,-538,-243,19,71,360,19,-118,-606,-641,-628,"-1,647","-2,761","-2,726","-2,550","-2,525","-2,908","-2,777","-2,618","-2,963","-3,378","-3,500","-3,182","-15,231","-15,388","-15,304","-15,285","-15,365","-15,216","-15,199","-11,141","-11,042"
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-97.78%,-17.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-12.13,-12.72,-13.14,-11.22,-13.64,-13.73,-1.10,1.55,0.16,-0.97,-0.44,0.03,0.13,0.65,0.03,-0.21,-1.10,-1.17,-1.15,-3.05,-5.29,-5.25,-4.90,-4.89,-5.64,-5.37,-5.05,-5.73,-6.61,-6.88,-6.29,-30.16,-30.23,-30.13,-30.33,-30.31,-30.01,-30.04,-21.89,-21.82
Working Capital,"3,743","3,692","3,641","4,125","3,660","8,185","5,157","6,046","4,194","3,100","3,983","3,830","4,195","5,146","4,786","4,442","4,314","4,261","4,324","3,145","2,760","4,621","4,599","4,273","5,297","5,686","5,611","5,078","4,669","4,660","4,726","4,636","4,283","3,966","4,102","3,266","3,339","2,440","5,825","3,097"
Book Value Per Share,16.00,15.98,15.51,14.98,13.37,14.68,14.33,16.14,16.43,15.53,15.95,15.27,16.05,16.87,17.37,16.80,16.88,16.60,17.10,14.86,14.93,15.32,14.85,15.58,15.19,15.97,16.77,17.07,16.74,16.89,17.54,18.19,18.04,17.58,10.98,11.51,11.64,11.01,15.98,16.61
