,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,17.24,16.26,14.73,39.71,32.07,35.08,42.46,39.52,61.23,54.59,56.27,61.74,33.75,62.97,66.45,65.42,74.42,73.05,76.89,83.72,105.22,62.73,61.3,58.91,61.27,54.62,539.62,"1,101","1,224",764.5,199.02,189.74,115.3,106,132.66,74.57,102.82,109.97,79.45,80.77
Cash & Cash Equivalents,17.24,16.26,14.73,39.71,32.07,35.08,42.46,39.52,61.23,54.59,56.27,61.74,33.75,62.97,66.45,65.42,74.42,73.05,76.89,83.72,105.22,62.73,61.3,58.91,61.27,54.62,539.62,"1,101","1,224",764.5,199.02,189.74,115.3,106,132.66,74.57,102.82,109.97,79.45,80.77
Cash Growth,-26.56%,-6.52%,17.31%,227.59%,86.04%,115.72%,188.24%,-0.47%,90.93%,55.62%,32.52%,56.22%,-44.88%,15.36%,18.08%,5.96%,120.53%,16.01%,15.71%,27.97%,41.38%,-14.14%,-20.28%,-29.64%,-41.77%,-12.92%,780.34%,1769.50%,1898.58%,1299.70%,-63.12%,-82.77%,-90.58%,-86.13%,-33.34%,-60.70%,-10.83%,3.75%,-40.11%,8.31%
Receivables,"1,117","1,213","1,186","1,239","1,283","1,384","1,361","1,328","1,302","1,375","1,345","1,316","1,440","1,448","1,457","1,452","1,501","1,570","1,557","1,543","1,510","1,602","1,601","1,544","1,561","1,487","1,439","1,541","1,729","1,669","1,788","1,764","1,747","1,755","1,835","1,902","2,018","2,032","2,103","2,234"
Inventory,101.78,102.28,104.28,104.39,108.12,108.27,109.12,112.72,116.04,116.73,117.71,121.62,125.37,126.48,130.7,135.85,136.18,137.25,140.8,144.47,148.21,149.93,153.57,156.29,159.89,162.6,167.63,176.11,190.42,193.96,195.14,202.82,206.84,208.3,209.57,217.82,218.52,216.24,215.38,214.59
Other Current Assets,196.35,211.98,224.86,238.52,192.22,189.93,196.41,216.01,238.61,89.39,87.85,88.71,82.71,94.82,109.02,101.9,86.5,104.62,105.55,169.71,174.47,145.38,148.81,171.36,133.93,130.3,150.84,143.07,138.03,157.05,183.22,186.52,194.78,232.72,258.76,261.7,198.28,200.71,226.41,223.3
Total Current Assets,"1,432","1,543","1,530","1,622","1,615","1,717","1,709","1,697","1,718","1,635","1,607","1,588","1,681","1,732","1,763","1,755","1,798","1,885","1,881","1,941","1,938","1,960","1,965","1,931","1,916","1,834","2,297","2,961","3,282","2,784","2,365","2,343","2,264","2,302","2,436","2,457","2,537","2,559","2,625","2,753"
"Property, Plant & Equipment","3,442","3,468","3,515","3,649","3,680","3,691","3,686","3,776","3,836","3,881","3,902","4,028","4,331","4,397","4,442","4,516","4,572","4,701","4,753","4,837","4,848","5,257","5,277","5,288","5,343","5,384","5,440","5,579","5,710","5,822","5,947","5,997","6,242","6,287","6,332","6,394","6,373","6,412","6,474","6,531"
Goodwill and Intangibles,"3,049","3,054","3,089","3,296","3,291","3,297","3,317","3,388","3,596","3,595","3,586","3,615","3,784","3,788","3,803","3,822","3,825","3,843","3,815","3,853","3,845","3,857","3,843","3,828","3,870","3,837","3,836","3,854","3,883","3,887","3,903","3,889","3,963","3,950","3,912","3,874","3,909","3,914","3,930","3,912"
Other Long-Term Assets,388.21,366.43,414.34,394.17,388.4,378.9,366.62,345.85,465.05,454.12,445.81,442.49,521.37,532.13,544.07,546.42,566.83,595.11,620.59,642.86,635.11,647.3,667.36,548.17,539.34,565.96,575.76,581.33,602.66,602.89,596.94,617.46,625.61,605.37,615.99,654.71,674.28,670.62,703.54,677.37
