,2014-03-29,2014-06-28,2014-09-27,2014-12-31,2015-04-04,2015-07-04,2015-10-03,2015-12-31,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-29,2018-12-31,2019-03-30,2019-06-29,2019-09-28,2019-12-31,2020-03-28,2020-06-27,2020-09-26,2020-12-31,2021-04-03,2021-07-03,2021-10-02,2021-12-31,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-31
Cash & Equivalents,72.65,70.04,105.57,97.88,107.04,171.09,110.72,81.69,98.31,112.05,112.11,121.67,188.44,130.24,84.5,84.88,114.84,518.23,91.35,119.05,105.67,128.1,111.3,134.79,263.09,737.71,781.24,768.63,557.26,753.68,"1,128",268.9,230.56,223.99,326.97,509.62,572.86,570.93,518.45,642.55
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.78,571.74,782.27,662.36,0,323,310,265,110,158,150,0,0,0
Cash & Cash Equivalents,72.65,70.04,105.57,97.88,107.04,171.09,110.72,81.69,98.31,112.05,112.11,121.67,188.44,130.24,84.5,84.88,114.84,518.23,91.35,119.05,105.67,128.1,111.3,134.79,263.09,737.71,"1,189","1,340","1,340","1,416","1,128",591.9,540.56,488.99,436.97,667.62,722.86,570.93,518.45,642.55
Cash Growth,-93.51%,-58.49%,66.04%,81.03%,47.35%,144.26%,4.88%,-16.54%,-8.16%,-34.51%,1.26%,48.93%,91.69%,16.23%,-24.62%,-30.23%,-39.05%,297.91%,8.11%,40.25%,-7.99%,-75.28%,21.84%,13.22%,148.97%,475.91%,968.27%,894.45%,409.16%,91.95%,-5.13%,-55.84%,-59.65%,-65.47%,-61.26%,12.79%,33.72%,16.76%,18.65%,-3.76%
Receivables,"1,175","1,262","1,210","1,082","1,159","1,388","1,341","1,258","1,407","1,449","1,506","1,376","1,498","1,640","1,656","1,558","1,690","1,738","1,756","1,606","1,744","1,819","1,787","1,527","1,645","1,586","1,711","1,709","1,814","2,018","1,880","1,840","2,045","2,106","2,003","1,905","2,052","2,087","1,943","1,875"
Inventory,"1,632","1,645","1,640","1,543","1,506","1,592","1,621","1,607","1,652","1,660","1,673","1,676","1,741","1,866","1,911","1,949","2,045","2,061","2,214","2,288","2,338","2,368","2,338","2,282","2,195","1,922","1,842","1,913","1,997","2,082","2,216","2,392","2,513","2,826","2,900","2,794","2,730","2,619","2,520","2,552"
Other Current Assets,383.5,402.47,413.2,409.12,432.29,457.45,426.67,303.52,313.49,298.13,284.65,297.95,307.76,374.93,345.52,481.26,447.32,456.32,487.11,496.47,501.59,493.12,491.37,485.73,509.76,499.84,410.03,400.78,416,434.93,421.94,414.81,466.24,519.9,513.98,528.93,556.04,574.61,523.02,535.16
Total Current Assets,"3,263","3,379","3,369","3,132","3,204","3,609","3,499","3,250","3,471","3,519","3,576","3,472","3,735","4,011","3,997","4,073","4,297","4,774","4,548","4,509","4,689","4,808","4,728","4,429","4,613","4,746","5,152","5,364","5,566","5,951","5,646","5,238","5,565","5,941","5,854","5,895","6,061","5,851","5,504","5,604"
"Property, Plant & Equipment","2,745","2,830","2,773","2,703","2,619","3,015","3,046","3,147","3,224","3,244","3,341","3,370","3,506","3,892","4,090","4,271","4,461","4,421","4,586","4,700","4,995","5,058","4,935","5,022","4,804","4,753","4,708","4,914","4,770","4,843","4,828","5,027","4,937","4,987","4,925","5,049","5,342","5,358","5,193","5,422"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-195.79,-177.77,-176.44,-390.63,-444.78,-457.23,-170.63,0
Goodwill,"1,722","1,731","1,669","1,604","1,553","2,294","2,281","2,293","2,340","2,323","2,332","2,274","2,293","2,417","2,454","2,471","2,513","2,447","2,522","2,521","2,549","2,566","2,519","2,570","2,520","2,542","2,575","2,651","2,595","2,609","2,612","2,608","2,579","2,536","1,828","1,928","2,022","2,031","1,125","1,160"
Intangible Assets,796.9,792.26,746.3,702.01,661.85,931.3,918.66,936.54,950.98,930.32,876.72,834.61,835.76,878.3,890.3,891.77,899.99,858.53,944.66,961.81,950.56,950.62,916.95,928.88,904.02,910.84,918.78,951.61,921.85,922.7,911.27,899.98,883.53,856.4,823.1,857.95,893.06,887.93,854.43,875.38
Other Long-Term Assets,154.47,149.42,145.1,143.7,247.17,316.79,319.42,315.37,306.94,296.73,294.85,279.7,357.51,391.16,390.95,387.87,389.94,393.71,399.42,407.15,421.31,423.44,294.1,436.4,415.67,418.07,430.52,447.29,437.61,467.64,452.81,451.44,617.51,547.01,547.13,781.26,889.56,914.46,631.63,498.85
Total Long-Term Assets,"5,418","5,503","5,333","5,153","5,081","6,557","6,565","6,692","6,822","6,794","6,844","6,759","6,993","7,579","7,826","8,022","8,263","8,120","8,452","8,590","8,916","8,998","8,665","8,957","8,644","8,623","8,632","8,964","8,724","8,842","8,804","8,986","8,822","8,749","7,947","8,225","8,702","8,734","7,634","7,956"
Total Assets,"8,681","8,882","8,701","8,286","8,285","10,166","10,064","9,942","10,292","10,313","10,421","10,231","10,728","11,589","11,823","12,095","12,560","12,894","13,001","13,099","13,605","13,806","13,393","13,387","13,257","13,369","13,784","14,328","14,290","14,793","14,450","14,225","14,387","14,689","13,801","14,120","14,763","14,585","13,138","13,560"
Accounts Payable,"1,189","1,253","1,248","1,105","1,086","1,303","1,372","1,256","1,247","1,334","1,435","1,336","1,330","1,467","1,524","1,452","1,464","1,590","1,623","1,524","1,571","1,714","1,739","1,559","1,554",845.26,"1,933","1,896","1,065","1,131","1,147","1,229","1,296","1,359","1,218","1,094","1,212","1,184","1,082",0
Deferred Revenue,-491.28,-541.48,-532.76,151.78,-451.54,-575.81,-600.96,-559.05,-496.22,-552.1,-667.82,-606.17,-549.87,-595.22,-664.32,387.87,-566.47,-638.36,-698.18,407.15,-657.07,-737.7,-774.76,436.4,-654.91,0,-943.33,447.29,0,0,0,0,0,369.24,370.69,0,0,"-1,184.1","-1,082.4",0
Current Debt,654.87,619.23,583.5,851.31,"1,806","1,698","1,928","2,003","2,076","1,796","1,548","1,383","1,498","1,754","1,173","1,204","1,332","1,147","1,334","1,742","1,863","1,992","1,376","1,153","1,317",253.65,453.91,475.3,"1,053","1,060",691.8,728.94,"1,651","1,607","1,649",945.84,"1,163","1,144","1,029","1,111"
Other Current Liabilities,491.28,541.48,532.76,-151.78,451.54,575.81,600.96,559.05,496.22,552.1,667.82,606.17,549.87,595.22,664.32,-387.87,566.47,638.36,698.18,-407.15,657.07,737.7,774.76,-436.4,654.91,773.33,943.33,-447.29,889.61,987.99,"1,063",988.8,924.28,588.53,667.68,"1,030",943.76,"2,144","2,159","2,035"
Total Current Liabilities,"1,844","1,873","1,831","1,956","2,892","3,002","3,300","3,259","3,324","3,130","2,983","2,718","2,828","3,221","2,697","2,655","2,796","2,736","2,957","3,266","3,434","3,706","3,115","2,713","2,871","1,872","2,387","2,371","3,007","3,179","2,902","2,946","3,872","3,924","3,905","3,070","3,318","3,288","3,189","3,146"
Long-Term Debt,"1,812","1,808","1,807","1,402",606.08,"1,778","1,263","1,197","1,174","1,161","1,166","1,129","1,132","1,174","1,545","1,560","1,586","1,884","1,529","1,516","1,726","1,419","1,722","1,747","1,753","2,800","2,497","2,592","1,967","2,015","2,003","1,998","1,382","1,361","1,327","2,275","2,569","2,324","1,991","2,039"
Other Long-Term Liabilities,532.74,528.25,486.76,504.78,562.77,771.43,745.64,625.55,638.47,636.81,599.01,600.04,702.1,739.82,783.53,812.59,832.8,900.51,943.33,877.22,868.21,859.39,790.64,801.11,785.19,772.6,732.6,823.73,816.61,824.57,793.1,852.27,845.84,796.85,744.63,757.53,770.12,761.26,687.96,745.53
Total Long-Term Liabilities,"2,345","2,336","2,294","1,907","1,169","2,549","2,009","1,822","1,812","1,798","1,765","1,729","1,834","1,914","2,328","2,372","2,418","2,785","2,472","2,393","2,594","2,279","2,513","2,548","2,538","3,572","3,230","3,415","2,784","2,840","2,796","2,850","2,227","2,158","2,071","3,032","3,339","3,085","2,679","2,785"
Total Liabilities,"4,188","4,208","4,125","3,863","4,061","5,551","5,309","5,082","5,136","4,927","4,748","4,447","4,663","5,135","5,025","5,028","5,214","5,521","5,429","5,659","6,028","5,985","5,627","5,260","5,409","5,445","5,617","5,787","5,791","6,019","5,698","5,796","6,099","6,083","5,976","6,103","6,658","6,373","5,867","5,931"
Total Debt,"2,467","2,427","2,390","2,253","2,412","3,476","3,191","3,200","3,250","2,956","2,714","2,511","2,630","2,929","2,717","2,764","2,918","3,031","2,862","3,258","3,589","3,411","3,098","2,900","3,070","3,053","2,951","3,067","3,020","3,075","2,695","2,727","3,033","2,969","2,975","3,221","3,732","3,468","3,020","3,150"
Debt Growth,6.94%,-4.22%,1.87%,-0.29%,-2.21%,43.23%,33.50%,42.00%,34.72%,-14.95%,-14.95%,-21.51%,-19.06%,-0.94%,0.13%,10.04%,10.92%,3.48%,5.33%,17.89%,23.00%,12.56%,8.23%,-10.99%,-14.45%,-10.49%,-4.73%,5.76%,-1.63%,0.71%,-8.69%,-11.10%,0.43%,-3.46%,10.41%,18.12%,23.06%,16.82%,1.49%,-2.19%
Common Stock,0.81,0.81,0.81,0.81,0.81,0.82,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.78,0.77,0.76,0.75,0.73,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0
Retained Earnings,"3,035","3,188","3,340","3,487","3,510","3,696","3,911","4,103","4,274","4,529","4,799","5,033","5,233","5,494","5,764","6,005","6,213","6,410","6,636","6,588","6,710","6,903","6,991","7,232","7,274","7,226","7,431","7,559","7,673","7,868","7,930","7,692","7,631","7,911","7,376","7,410","7,490","7,591","6,831",0
Comprehensive Income,115.61,135.38,-122.89,-429.32,-655.39,-625.57,-698.3,-793.57,-672.82,-715.86,-704.12,-833.03,-749.99,-636.79,-571.37,-558.53,-487.17,-671.13,-704.38,-791.61,-777.55,-732.52,-882.29,-765.82,"-1,087.85",-966.78,-935.42,-695.15,-855.46,-781.51,-872.62,-966.95,"-1,048.6","-1,015","-1,268.66","-1,114.26","-1,107.83","-1,107.74","-1,293.13",0
Shareholders' Equity,"4,493","4,673","4,577","4,423","4,224","4,615","4,756","4,861","5,157","5,386","5,673","5,783","6,065","6,454","6,798","7,067","7,346","7,373","7,572","7,440","7,577","7,822","7,765","8,126","7,848","7,919","8,167","8,541","8,499","8,774","8,752","8,428","8,288","8,601","7,825","8,018","8,106","8,212","7,271","7,629"
Total Liabilities and Equity,"8,681","8,882","8,701","8,286","8,285","10,166","10,064","9,942","10,292","10,313","10,421","10,231","10,728","11,589","11,823","12,095","12,560","12,894","13,001","13,099","13,605","13,806","13,393","13,387","13,257","13,369","13,784","14,328","14,290","14,793","14,450","14,225","14,387","14,689","13,801","14,120","14,763","14,585","13,138","13,560"
Net Cash / Debt,"-2,394.02","-2,356.79","-2,284.75","-2,155.56","-2,305.21","-3,304.79","-3,080.28","-3,118.24","-3,151.47","-2,844.24","-2,601.72","-2,389.82","-2,441.82","-2,798.28","-2,632.94","-2,678.69","-2,802.73","-2,512.31","-2,771.05","-3,138.92","-3,482.88","-3,283.09","-2,986.68","-2,765.2","-2,806.94","-2,315.64","-1,762.32","-1,726.54","-1,680.5","-1,659.09","-1,566.79","-2,134.71","-2,492.37","-2,479.74","-2,538.28","-2,552.91","-3,009.36","-2,897.14","-2,501.2","-2,507.32"
Net Cash Per Share,-32.67,-32.15,-31.14,-29.35,-31.35,-44.81,-41.38,-41.87,-42.31,-38.14,-34.87,-32.02,-32.66,-37.41,-35.18,-35.76,-37.41,-33.53,-36.97,-42.31,-47.94,-45.17,-41.26,-38.43,-39.11,-32.53,-24.69,-24.25,-23.85,-23.79,-22.75,-31.61,-38.36,-38.87,-39.95,-40.02,-47.13,-45.34,-39.28,-39.21
Working Capital,"1,420","1,507","1,537","1,176",311.84,607.09,199.41,-9.06,146.88,389.47,592.99,753.19,906.66,789.99,"1,300","1,418","1,501","2,038","1,591","1,243","1,255","1,103","1,613","1,717","1,742","2,874","2,765","2,992","2,559","2,772","2,744","2,292","1,693","2,016","1,950","2,825","2,743","2,563","2,316","2,458"
Book Value Per Share,61.77,64.17,62.81,60.67,57.87,62.99,64.34,65.75,69.71,72.66,76.50,77.98,81.72,86.84,91.44,94.97,98.67,98.84,101.49,100.74,104.74,108.03,107.69,113.43,109.69,111.24,114.71,120.38,121.11,126.37,127.70,125.40,128.12,135.36,123.16,126.20,127.48,128.96,114.18,119.80
