,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"26,308","28,557","28,330","26,776","28,012","28,104","29,151","26,112","29,497","25,966","27,861","30,723","38,153","36,135","36,844","37,932","39,225","40,502","39,331","37,592","33,383","35,530","37,630","40,882","43,158","41,411","50,597","51,277","64,615","78,569","74,639","78,288","78,158","75,304","63,149","57,751","57,091","45,282","40,424","38,108","48,145"
Market Cap Growth,29.17%,29.99%,19.17%,12.71%,6.48%,-1.58%,2.90%,-2.48%,5.30%,-7.61%,-4.43%,17.66%,29.34%,39.17%,32.25%,23.46%,2.81%,12.09%,6.75%,-0.90%,-14.89%,-12.28%,-4.32%,8.75%,29.28%,16.55%,34.46%,25.43%,49.72%,89.73%,47.52%,52.68%,20.96%,-4.15%,-15.39%,-26.23%,-26.95%,-39.87%,-35.99%,-34.01%,-
Enterprise Value,"49,500","52,787","51,637","50,348","52,499","52,381","53,495","50,345","52,845","49,642","50,454","54,129","57,100","55,309","61,296","63,584","64,728","65,122","63,935","67,327","58,426","63,592","67,913","73,789","83,650","83,421","57,233","61,421","91,436","90,079","91,703","101,524","99,068","85,102","84,091","92,385","102,295","101,259","79,619","72,993","83,030"
PE Ratio,16.83,15.44,16.41,13.59,14.13,14.23,14.54,13.16,15.24,13.15,13.51,14.17,16.89,17.13,16.75,17.26,17.67,15.66,14.40,12.86,10.90,11.59,12.01,13.27,14.25,12.68,15.22,14.02,15.44,17.34,14.38,13.65,12.96,12.50,10.67,9.89,9.63,7.53,6.98,7.16,9.07
PS Ratio,2.90,3.13,3.13,2.95,3.12,3.13,3.25,2.88,3.21,2.78,2.86,3.07,3.73,3.44,3.48,3.57,3.64,3.75,3.63,3.44,3.04,3.21,3.36,3.62,3.61,2.97,3.15,2.79,3.17,3.73,3.37,3.42,3.38,3.26,2.81,2.60,2.57,2.02,1.81,1.74,2.20
PB Ratio,1.15,1.21,1.18,1.10,1.15,1.14,1.16,0.96,1.08,0.92,0.94,1.02,1.27,1.20,1.21,1.27,1.32,1.37,1.32,1.25,1.11,1.15,1.19,1.27,0.65,0.63,0.74,0.73,0.91,1.16,1.09,1.14,1.13,1.16,1.00,0.95,0.94,0.73,0.64,0.62,0.78
P/FCF Ratio,4.96,5.18,7.31,5.29,8.73,14.16,12.38,7.24,9.42,7.22,7.02,16.46,12.25,10.62,9.85,6.98,8.46,8.46,8.60,8.08,8.38,12.26,14.02,14.31,33.30,6.64,9.75,13.63,9.76,32.40,12.64,14.51,10.49,10.32,7.97,4.85,5.43,4.18,3.82,4.13,5.22
P/OCF Ratio,4.96,5.18,7.31,5.29,8.73,14.16,12.38,7.24,9.42,7.22,7.02,16.46,12.25,10.62,9.85,6.98,8.46,8.46,8.60,8.08,7.68,10.78,12.10,12.26,28.39,6.01,8.53,11.18,8.69,28.30,12.16,14.25,9.90,9.73,7.55,4.67,5.15,3.98,3.62,3.89,4.92
Debt / Equity Ratio,1.12,1.13,1.08,1.06,1.11,1.07,1.08,1.01,1.00,0.95,0.87,0.89,0.78,0.79,0.92,0.96,0.96,0.93,0.93,1.10,0.96,1.00,1.04,1.11,0.89,1.19,0.69,0.68,0.64,0.64,0.64,0.63,0.59,0.60,0.70,0.94,1.10,1.50,1.09,1.04,1.04
Return on Capital (ROIC),Upgrade,3.52%,4.02%,3.85%,4.52%,4.43%,4.40%,4.65%,4.23%,4.13%,4.15%,4.00%,4.10%,4.57%,4.86%,4.63%,4.60%,4.67%,4.84%,5.08%,4.95%,5.51%,5.26%,5.13%,4.86%,2.56%,2.42%,3.23%,3.48%,3.86%,4.40%,4.83%,5.33%,5.83%,6.14%,5.84%,5.26%,4.95%,4.10%,4.67%,4.54%
Dividend Yield,3.00%,2.30%,2.40%,2.50%,2.40%,2.50%,2.50%,2.90%,2.80%,3.20%,3.10%,3.00%,2.40%,2.60%,2.60%,2.60%,2.50%,2.60%,2.80%,3.10%,3.60%,3.40%,3.30%,3.10%,3.00%,5.70%,4.80%,4.70%,3.80%,3.10%,3.20%,3.10%,3.20%,3.30%,4.00%,4.50%,4.60%,6.00%,6.90%,7.30%,5.76%
Payout Ratio,30.30%,32.90%,40.70%,33.80%,31.60%,35.30%,42.90%,42.20%,42.20%,40.30%,41.80%,40.50%,41.10%,63.80%,38.50%,44.00%,42.30%,39.10%,37.50%,39.70%,41.30%,41.30%,36.80%,46.90%,62.50%,61.60%,67.20%,57.00%,49.50%,45.50%,38.80%,39.70%,42.10%,48.00%,44.00%,44.80%,43.00%,49.10%,55.90%,65.00%,52.26%
