,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Current Debt,45.77,35.88,27.38,15,11,7,4,2,"1,745",700,700,"-1,408","-1,189",0,"1,747","2,747","2,497","2,998","2,747","2,748","2,498","1,999","2,498","2,499","1,999","2,999","1,498","2,757","2,259","2,261","2,511","1,516","1,025","1,021","2,270","2,273","2,283","4,037","1,793",0
Other Current Liabilities,"4,523","4,904","4,728","4,514","6,215","6,846","7,761","8,271","7,691","8,277","8,960","9,219","8,282","7,673","9,597","11,635","10,670","10,912","10,116","10,605","9,397","8,961","9,567","6,547","6,290","7,033","7,484","7,796","6,876","7,345","7,149","9,389","6,950","7,634","7,539","8,059","7,618","13,964","7,478","11,280"
Total Current Liabilities,"5,915","6,228","6,055","5,618","7,428","8,925","9,360","9,891","10,910","10,444","11,073","9,219","8,282","8,492","9,597","11,635","10,670","10,912","10,116","10,605","9,397","8,961","9,567","9,759","8,879","10,564","9,509","11,397","9,705","10,214","10,245","11,610","8,558","9,220","10,423","11,237","10,528","13,964","11,945","11,280"
Long-Term Debt,"7,932","7,933","7,933","11,921","11,921","11,922","21,894","21,195","21,077","21,427","26,371","26,346","26,321","26,296","27,515","30,795","26,557","26,062","24,570","24,574","24,080","24,084","22,090","22,094","22,098","21,103","27,792","28,645","27,907","27,914","25,175","25,179","25,183","25,195","22,953","22,957","24,233","22,563","24,113",0
Other Long-Term Liabilities,528.69,616.29,992.79,"1,306","1,384","1,686","1,439","1,640","1,759","1,994","1,805","2,049","2,181","2,384","2,296","7,352","7,503","6,647","6,612","6,962","7,269","7,414","6,753","7,124","6,585","6,125","6,106","10,144","10,916","10,146","10,207","10,099","9,424","8,240","8,124","7,768","6,176","4,716","4,073",0
Total Long-Term Liabilities,"8,461","8,549","8,926","13,227","13,305","13,608","23,333","22,835","22,836","23,421","28,176","28,395","28,502","28,680","29,811","38,147","34,060","32,709","31,182","31,536","31,349","31,498","28,843","29,218","28,683","27,228","33,898","38,789","38,823","38,060","35,382","35,278","34,607","33,435","31,077","30,725","30,409","27,279","28,186",0
Total Liabilities,"14,375","14,777","14,981","18,845","20,733","22,533","32,693","32,726","33,746","33,865","39,249","37,614","36,784","37,172","39,408","49,782","44,730","43,621","41,298","42,141","40,746","40,459","38,410","38,977","37,562","37,792","43,407","50,186","48,528","48,274","45,627","46,888","43,165","42,655","41,500","41,962","40,937","41,243","40,131","11,280"
Total Debt,45.77,35.88,27.38,15,11,7,4,2,"22,822","22,127","27,071","26,346","26,321","26,296","29,262","33,542","29,054","29,060","27,317","27,322","26,578","26,083","24,588","24,593","24,097","24,102","29,290","31,402","30,166","30,175","27,686","26,695","26,208","26,216","25,223","25,230","26,516","26,600","25,906",0
Debt Growth,-99.43%,-99.51%,-99.63%,-76.50%,-75.97%,-80.49%,-85.39%,-86.67%,207372.73%,316000.00%,676675.00%,1317200.00%,15.33%,18.84%,8.09%,27.31%,10.38%,10.51%,-6.65%,-18.54%,-8.52%,-10.24%,-9.99%,-9.99%,-9.33%,-7.59%,19.12%,27.69%,25.19%,25.20%,-5.48%,-14.99%,-13.12%,-13.12%,-8.90%,-5.49%,1.18%,1.46%,2.71%,-
Common Stock,1.54,1.53,1.51,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Retained Earnings,"7,735","10,200","11,248","12,732","13,916","16,038","16,961","18,001","13,045","14,949","16,654","18,154","19,564","21,823","23,689","19,012","19,196","19,825","20,706","19,024","19,326","19,829","17,616","19,388","18,709","14,445","13,709","14,381","14,821","15,392","16,903","16,324","14,986","15,117","15,756","15,687","15,223","15,138","16,002",0
Comprehensive Income,-95.77,-41.46,173.96,301,539,247,167,88,-164,-46,-108,278,260,120,249,165,-170,2,36,80,130,102,117,85,46,70,23,-60,38,39,74,83,73,87,98,2,-20,10,31,0
Shareholders' Equity,"13,702","16,429","13,864","15,819","17,588","16,634","17,944","19,113","14,019","16,115","17,360","19,363","20,917","23,091","25,254","20,501","20,651","21,734","23,007","21,534","22,091","22,751","20,736","22,650","22,179","18,142","17,471","18,221","18,964","19,710","21,471","21,064","19,915","20,215","21,057","21,209","20,939","21,094","22,242",0
Total Liabilities and Equity,"28,078","31,206","28,844","34,664","38,321","39,167","50,637","51,839","47,765","49,980","56,609","56,977","57,701","60,263","64,662","70,283","65,381","65,355","64,305","63,675","62,837","63,210","59,146","61,627","59,741","55,934","60,878","68,407","67,492","67,984","67,098","67,952","63,080","62,870","62,557","63,171","61,876","62,337","62,373","62,125"
Net Cash / Debt,"6,423","8,763","6,289","10,113","11,283","8,604","15,710","14,605","-14,503","-13,375","-14,805","-14,451","-12,206","-5,200",-875,"-8,032","-5,056","-3,143","1,149","2,767","1,326","1,100","-1,732",-241,"-3,312","-5,188","-5,315","-23,994","-24,500","-23,650","-21,948","-20,175","-20,883","-20,553","-19,563","-18,845","-20,644","-12,895","-19,042","8,428"
Net Cash / Debt Growth,-,-,-,389.09%,75.66%,-1.82%,149.80%,44.42%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,3.82,5.27,3.84,6.33,7.19,5.59,10.45,9.92,-10.27,-9.87,-11.06,-10.89,-9.25,-3.95,-0.66,-6.15,-3.83,-2.40,0.88,2.13,1.03,0.86,-1.37,-0.19,-2.61,-4.13,-4.21,-19.06,-19.41,-18.77,-17.39,-15.99,-16.55,-16.31,-15.51,-14.91,-16.37,-10.25,-15.15,6.71
Working Capital,"6,321","8,859","6,397","12,129","13,829","13,112","23,847","24,126","18,455","21,786","27,513","29,262","31,243","33,970","37,029","29,711","26,092","25,144","25,009","25,048","24,909","25,553","19,681","21,730","21,363","15,787","22,406","4,419","3,461","4,284","3,955","3,446","4,656","4,485","3,475","3,990","3,844","1,447","4,068","5,174"
Book Value Per Share,8.92,10.72,9.16,10.50,11.82,11.30,12.27,13.31,10.14,12.07,13.13,14.71,15.99,17.67,19.34,15.69,15.80,16.74,17.75,16.69,17.31,17.91,16.37,17.89,17.57,14.46,13.92,14.52,15.10,15.71,17.09,16.77,15.87,16.09,16.78,16.94,16.78,16.89,17.82,-
