,2014-03-22,2014-06-14,2014-09-06,2014-12-27,2015-03-21,2015-06-13,2015-09-05,2015-12-26,2016-03-19,2016-06-11,2016-09-03,2016-12-31,2017-03-25,2017-06-17,2017-09-09,2017-12-30,2018-03-24,2018-06-16,2018-09-08,2018-12-29,2019-03-23,2019-06-15,2019-09-07,2019-12-28,2020-03-21,2020-06-13,2020-09-05,2020-12-26,2021-03-20,2021-06-12,2021-09-04,2021-12-25,2022-03-19,2022-06-11,2022-09-03,2022-12-31,2023-03-25,2023-06-17,2023-09-09,2023-12-30
Cash & Equivalents,"9,839","7,607","7,282","6,134","6,410","7,562","8,698","9,096","8,124","9,646","10,256","9,158","9,528","10,282","10,243","10,610","13,443","13,858","11,991","10,718","5,262","3,443","5,621","5,509","11,089","8,927","9,094","8,185","5,661","5,449","6,506","5,596","6,561","5,405","6,415","4,954","4,770","6,116","10,017","9,711"
Short-Term Investments,247,"3,692","5,624","2,592","2,085","2,017","1,981","2,913","4,020","3,733","4,524","6,967","6,461","6,878","8,035","8,900","7,167","4,271","1,907",272,289,291,287,229,158,196,611,"1,366",964,328,344,392,343,287,327,394,434,338,266,292
Cash & Cash Equivalents,"10,086","11,299","12,906","8,726","8,495","9,579","10,679","12,009","12,144","13,379","14,780","16,125","15,989","17,160","18,278","19,510","20,610","18,129","13,898","10,990","5,551","3,734","5,908","5,738","11,247","9,123","9,705","9,551","6,625","5,777","6,850","5,988","6,904","5,692","6,742","5,348","5,204","6,454","10,283","10,003"
Cash Growth,43.86%,38.83%,35.01%,-9.84%,-15.77%,-15.22%,-17.26%,37.62%,42.95%,39.67%,38.40%,34.27%,31.66%,28.26%,23.67%,20.99%,28.90%,5.65%,-23.96%,-43.67%,-73.07%,-79.40%,-57.49%,-47.79%,102.61%,144.32%,64.27%,66.45%,-41.10%,-36.68%,-29.42%,-37.30%,4.21%,-1.47%,-1.58%,-10.69%,-24.62%,13.39%,52.52%,87.04%
Receivables,"7,262","8,470","8,376","6,651","6,963","7,826","7,666","6,437","6,707","7,495","7,745","6,694","6,848","7,543","7,923","7,024","7,171","7,841","7,975","7,142","7,604","8,502","8,735","7,822","8,477","8,780","9,295","8,404","8,885","9,722","9,545","8,680","9,424","10,498","10,739","10,163","10,469","11,456","11,782","10,815"
Inventory,"3,748","4,194","3,784","3,143","3,462","3,931","3,124","2,720","3,219","3,487","3,120","2,723","3,282","3,612","3,251","2,947","3,335","3,491","3,142","3,128","3,554","3,988","3,667","3,338","3,600","4,314","4,135","4,172","4,556","5,006","4,364","4,347","4,762","5,287","5,019","5,222","5,697","5,969","5,558","5,334"
Other Current Assets,"2,189","1,832","1,524","2,143","2,002","1,733","1,345","1,865","1,896","1,517","1,454",908,"1,031",933,745,"1,546","1,931",909,827,633,"1,208",988,888,747,944,972,925,874,"1,130","1,092","2,951","2,768","1,252","1,156","1,043",806,"1,057","1,075","1,026",798
Total Current Assets,"23,285","25,795","26,590","20,663","20,922","23,069","22,814","23,031","23,966","25,878","27,099","26,450","27,150","29,248","30,197","31,027","33,047","30,370","25,842","21,893","17,917","17,212","19,198","17,645","24,268","23,189","24,060","23,001","21,196","21,597","23,710","21,783","22,342","22,633","23,543","21,539","22,427","24,954","28,649","26,950"
"Property, Plant & Equipment","18,129","18,174","17,929","17,244","16,678","16,736","16,131","16,317","16,105","16,219","16,305","16,591","16,649","16,742","16,960","17,240","17,141","16,762","16,541","17,589","17,550","17,442","17,586","19,305","18,980","19,187","19,726","21,369","21,249","21,619","21,257","22,407","22,017","22,694","22,800","24,291","24,228","24,500","24,853","27,039"
Long-Term Investments,"1,890","1,902","1,946","2,689","2,626","2,626","2,285","2,311","1,935","2,002","1,975","1,950","2,003","1,962","1,950","2,042","2,115","2,401","2,394","2,409","2,476","2,510","2,690","2,683","2,719","2,715","2,752","2,792","2,777","2,774","2,791","2,350","3,595","3,519","3,224","3,073","3,123","3,038","2,955","2,714"
Goodwill and Intangibles,"31,956","32,247","31,725","29,053","28,439","28,943","27,800","27,258","27,181","27,745","27,675","27,863","28,181","28,383","28,585","28,582","28,638","28,221","27,798","30,633","30,920","31,213","31,150","31,544","31,444","36,840","37,789","38,072","38,110","38,317","37,406","37,046","36,212","35,638","35,540","33,788","33,612","33,559","33,393","32,657"
Other Long-Term Assets,"2,233","2,315","2,276",860,960,888,872,750,832,867,843,636,639,608,771,913,946,977,"1,057","5,124","6,603","6,707","6,820","7,370","7,651","7,594","7,714","7,684","7,892","8,078","8,090","8,791","8,796","8,619","9,354","9,496","9,652","9,855","10,103","11,135"
Total Long-Term Assets,"54,208","54,638","53,876","49,846","48,703","49,193","47,088","46,636","46,053","46,833","46,798","47,040","47,472","47,695","48,266","48,777","48,840","48,361","47,790","55,755","57,549","57,872","58,246","60,902","60,794","66,336","67,981","69,917","70,028","70,788","69,544","70,594","70,620","70,470","70,918","70,648","70,615","70,952","71,304","73,545"
Total Assets,"77,493","80,433","80,466","70,509","69,625","72,262","69,902","69,667","70,019","72,711","73,897","73,490","74,622","76,943","78,463","79,804","81,887","78,731","73,632","77,648","75,466","75,084","77,444","78,547","85,062","89,525","92,041","92,918","91,224","92,385","93,254","92,377","92,962","93,103","94,461","92,187","93,042","95,906","99,953","100,495"
Accounts Payable,"11,625","12,986","13,591","13,016","12,165","13,163","13,546","13,507","12,824","13,685","14,305","14,243","13,067","13,834","14,641","15,017","14,285","14,603","15,230","18,112","15,799","16,455","17,207","17,541","16,196","17,220","19,317","19,592","18,019","19,359","20,060","21,159","20,365","21,191","22,544","23,371","21,556","22,005","23,723","25,137"
Current Debt,"7,832","7,242","9,253","5,076","7,962","8,383","5,525","4,071","4,018","4,774","6,284","6,892","8,577","8,279","7,717","5,485","11,600","9,955","4,474","4,026","3,291","3,473","2,924","2,920","5,882","6,607","6,692","3,780","4,674","4,264","4,234","4,308","5,459","6,032","3,109","3,414","4,281","7,613","8,937","6,510"
Other Current Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,753,0,0,0,0,0,0,0,0
Total Current Liabilities,"19,457","20,228","22,844","18,092","20,127","21,546","19,071","17,578","16,842","18,459","20,589","21,135","21,644","22,113","22,358","20,502","25,885","24,558","19,704","22,138","19,090","19,928","20,131","20,461","22,078","23,827","26,009","23,372","22,693","23,623","25,077","26,220","25,824","27,223","25,653","26,785","25,837","29,618","32,660","31,647"
Long-Term Debt,"24,240","25,606","23,489","23,821","22,403","23,075","26,318","29,213","31,068","30,847","29,322","30,053","30,081","31,205","31,452","33,796","31,931","30,638","30,643","28,295","28,458","27,712","29,630","29,148","35,361","38,371","37,879","40,370","38,991","38,034","37,023","36,026","34,590","33,247","36,136","35,657","37,486","36,008","35,837","37,595"
Other Long-Term Liabilities,"10,903","10,999","10,946","11,048","11,106","11,177","10,934","10,846","10,878","11,029","11,268","11,103","11,214","11,095","11,242","14,525","13,086","13,314","12,896","12,613","13,622","13,407","13,459","14,070","14,064","14,740","14,558","15,624","15,487","15,330","15,164","13,980","14,228","13,959","13,537","12,472","12,544","12,455","12,486","12,616"
Total Long-Term Liabilities,"35,143","36,605","34,435","34,869","33,509","34,252","37,252","40,059","41,946","41,876","40,590","41,156","41,295","42,300","42,694","48,321","45,017","43,952","43,539","40,908","42,080","41,119","43,089","43,218","49,425","53,111","52,437","55,994","54,478","53,364","52,187","50,006","48,818","47,206","49,673","48,129","50,030","48,463","48,323","50,211"
Total Liabilities,"54,600","56,833","57,279","52,961","53,636","55,798","56,323","57,637","58,788","60,335","61,179","62,291","62,939","64,413","65,052","68,823","70,902","68,510","63,243","63,046","61,170","61,047","63,220","63,679","71,503","76,938","78,446","79,366","77,171","76,987","77,264","76,226","74,642","74,429","75,326","74,914","75,867","78,081","80,983","81,858"
Total Debt,"32,072","32,848","32,742","28,897","30,365","31,458","31,843","33,284","35,086","35,621","35,606","36,945","38,658","39,484","39,169","39,281","43,531","40,593","35,117","32,321","31,749","31,185","32,554","32,068","41,243","44,978","44,571","44,150","43,665","42,298","41,257","40,334","40,049","39,279","39,245","39,071","41,767","43,621","44,774","44,105"
Debt Growth,9.09%,11.31%,10.81%,-2.50%,-5.32%,-4.23%,-2.75%,15.18%,15.55%,13.23%,11.82%,11.00%,10.18%,10.84%,10.01%,6.32%,12.61%,2.81%,-10.34%,-17.72%,-27.07%,-23.18%,-7.30%,-0.78%,29.90%,44.23%,36.91%,37.68%,5.87%,-5.96%,-7.44%,-8.64%,-8.28%,-7.14%,-4.88%,-3.13%,4.29%,11.05%,14.09%,12.88%
Common Stock,"-17,925","-18,663","-19,410","-20,845","-21,759","-22,693","-23,649","-25,085","-25,557","-26,087","-26,621","-27,353","-27,618","-27,975","-28,373","-28,737","-29,126","-29,532","-29,865","-30,310","-31,202","-31,816","-32,259","-32,860","-33,398","-33,876","-34,173","-34,513","-34,547","-34,447","-34,339","-34,224","-34,389","-34,794","-35,152","-35,349","-35,499","-35,670","-35,879","-35,998"
Retained Earnings,"46,770","47,748","48,764","49,092","49,335","50,268","49,767","50,472","50,383","51,295","52,200","52,518","52,756","53,706","54,698","52,839","52,726","53,223","54,404","59,947","60,060","60,752","61,514","61,946","61,920","62,145","63,013","63,443","63,740","64,605","65,336","65,165","67,934","67,763","68,872","67,800","68,142","69,135","70,479","70,035"
Comprehensive Income,"-5,940","-5,481","-6,146","-10,669","-11,566","-11,101","-12,514","-13,319","-13,569","-12,813","-12,829","-13,919","-13,416","-13,174","-12,875","-13,057","-12,717","-13,580","-14,253","-15,119","-14,656","-14,984","-15,126","-14,300","-15,057","-15,778","-15,357","-15,476","-15,246","-14,859","-15,125","-14,898","-15,343","-14,416","-14,743","-15,302","-15,601","-15,780","-15,794","-15,534"
Shareholders' Equity,"22,905","23,604","23,208","17,578","16,010","16,474","13,604","12,068","11,257","12,395","12,750","11,246","11,722","12,557","13,450","11,045","10,883","10,111","10,286","14,518","14,202","13,952","14,129","14,786","13,465","12,491","13,483","13,454","13,947","15,299","15,872","16,043","18,202","18,553","18,977","17,149","17,042","17,685","18,806","18,503"
Net Cash / Debt,"-21,986","-21,549","-19,836","-20,171","-21,870","-21,879","-21,164","-21,275","-22,942","-22,242","-20,826","-20,820","-22,669","-22,324","-20,891","-19,771","-22,921","-22,464","-21,219","-21,331","-26,198","-27,451","-26,646","-26,330","-29,996","-35,855","-34,866","-34,599","-37,040","-36,521","-34,407","-34,346","-33,145","-33,587","-32,503","-33,723","-36,563","-37,167","-34,491","-34,102"
Net Cash Per Share,-14.28,-14.07,-13.01,-13.30,-14.55,-14.67,-14.27,-14.46,-15.72,-15.28,-14.34,-14.42,-15.74,-15.49,-14.53,-13.79,-16.03,-15.75,-14.90,-15.01,-18.54,-19.48,-18.97,-18.77,-21.49,-25.74,-25.08,-24.89,-26.71,-26.31,-24.77,-24.69,-23.83,-24.18,-23.43,-24.38,-26.42,-26.85,-24.94,-24.69
Working Capital,"3,828","5,567","3,746","2,571",795,"1,523","3,743","5,453","7,124","7,419","6,510","5,315","5,506","7,135","7,839","10,525","7,162","5,812","6,138",-245,"-1,173","-2,716",-933,"-2,816","2,190",-638,"-1,949",-371,"-1,497","-2,026","-1,367","-4,437","-3,482","-4,590","-2,110","-5,246","-3,410","-4,664","-4,011","-4,697"
Book Value Per Share,15.03,15.58,15.40,11.74,10.79,11.16,9.27,8.28,7.79,8.59,8.87,7.86,8.21,8.79,9.44,7.77,7.66,7.13,7.27,10.29,10.10,9.96,10.11,10.60,9.69,9.01,9.74,9.74,10.11,11.07,11.48,11.59,13.16,13.43,13.75,12.46,12.37,12.83,13.67,13.47
