,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,53.05,39.02,50.15,38.57,37.56,29.54,25.9,25.04,27.54,24.7,25.69,24.53,22.11,22.22,21.01,22.2,21.83,20.85,30.91,28.08,208.89,24.15,24.02,23.54,33.29,22.93,22.88,24.2,24.17,34.6,36.07,29.23,28.42,26.93,28.69,29.9,30.19,29.21,30.38,32.46
Cash & Cash Equivalents,53.05,39.02,50.15,38.57,37.56,29.54,25.9,25.04,27.54,24.7,25.69,24.53,22.11,22.22,21.01,22.2,21.83,20.85,30.91,28.08,208.89,24.15,24.02,23.54,33.29,22.93,22.88,24.2,24.17,34.6,36.07,29.23,28.42,26.93,28.69,29.9,30.19,29.21,30.38,32.46
Cash Growth,48.69%,22.91%,48.03%,12.89%,-29.18%,-24.30%,-48.35%,-35.08%,-26.69%,-16.39%,-0.81%,-2.03%,-19.73%,-10.05%,-18.21%,-9.51%,-1.25%,-6.14%,47.11%,26.48%,856.90%,15.83%,-22.29%,-16.16%,-84.06%,-5.07%,-4.77%,2.80%,-27.39%,50.90%,57.68%,20.80%,17.57%,-22.18%,-20.46%,2.26%,6.25%,8.48%,5.90%,8.56%
"Property, Plant & Equipment","5,999","6,035","5,998","6,049","5,948","5,932","5,867","5,825","6,543","6,485","6,470","6,480","6,692","6,761","6,757","6,753","6,847","6,796","6,758","6,701","6,542","7,011","7,227","7,700","8,675","8,749","8,606","8,550","8,667","8,566","8,940","9,488","9,801","9,740","10,024","10,057","10,002","9,909","9,690","9,993"
Total Assets,"6,808","6,834","6,932","6,898","6,829","6,859","6,940","6,923","7,664","7,602","7,610","7,651","7,680","7,736","7,768","7,761","7,733","7,709","7,707","7,679","7,712","7,956","8,197","8,698","9,636","9,691","9,564","9,551","9,638","9,567","9,919","10,401","10,775","10,685","10,997","11,098","11,038","10,968","11,086","11,420"
Accounts Payable,180.59,144.55,158.12,151.72,160.74,138.99,147.18,132.34,161.72,164.64,178.23,178.56,190.77,166.04,183.61,187.46,194.41,178.18,169.48,169.18,174.01,170.88,168.86,181.62,199.41,197.51,226.52,217.25,226.79,220.91,236.09,235.43,261.68,247.61,269.89,269.25,287.43,260.2,272.86,275.59
Total Liabilities,"3,778","3,851","3,982","3,869","3,810","3,736","3,791","3,735","3,817","3,657","3,731","3,824","3,673","3,791","3,902","3,965","3,950","3,947","4,016","4,079","3,816","3,942","4,229","4,354","5,228","5,394","5,315","5,458","5,523","5,560","6,010","6,084","6,001","6,030","6,114","6,227","6,100","6,145","6,030","6,362"
Total Debt,"3,524","3,628","3,748","3,628","3,565","3,517","3,564","3,513","3,571","3,412","3,465","3,544","3,401","3,537","3,635","3,679","3,672","3,681","3,752","3,811","3,548","3,678","3,959","4,066","4,906","5,083","4,964","5,114","5,172","5,236","5,646","5,716","5,605","5,671","5,708","5,816","5,677","5,765","5,615","5,940"
Debt Growth,3.35%,3.69%,10.40%,4.76%,1.18%,-3.08%,-4.89%,-3.17%,0.15%,-2.98%,-2.78%,0.89%,-4.74%,3.68%,4.89%,3.80%,7.94%,4.05%,3.23%,3.59%,-3.37%,-0.07%,5.51%,6.69%,38.29%,38.20%,25.39%,25.77%,5.42%,3.01%,13.74%,11.77%,8.37%,8.30%,1.10%,1.76%,1.27%,1.67%,-1.64%,2.12%
Common Stock,"4,159","4,160","4,164","4,273","4,273","4,384","4,392","4,499","4,497","4,670","4,672","4,681","4,685","4,685","4,690","4,693","4,700","4,688","4,688","4,668","4,970","5,233","5,294","5,752","5,831","5,838","5,842","5,824","5,929","5,933","5,936","6,438","6,932","6,940","7,292","7,380","7,541","7,542","7,557","7,535"
