,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,-,"44,225","47,626","88,485","99,088","127,012","274,410","221,568","81,193","66,209","63,383"
Market Cap Growth,-,-,7.69%,85.79%,11.98%,28.18%,116.05%,-19.26%,-63.36%,-18.46%,-
Enterprise Value,"-4,723","36,630","37,303","76,078","89,445","117,244","267,497","215,271","73,311","55,829","53,003"
PE Ratio,-,36.01,33.99,49.30,48.17,51.65,65.31,53.15,33.57,15.59,15.40
PS Ratio,-,4.78,4.39,6.76,6.41,7.15,12.79,8.73,2.95,2.22,2.13
PB Ratio,-,3.21,3.24,5.53,6.44,7.52,13.71,10.20,4.01,3.15,3.01
P/FCF Ratio,-,23.91,19.13,47.47,21.26,37.53,50.14,45.27,15.88,15.52,14.86
P/OCF Ratio,-,17.37,15.08,34.96,18.08,31.20,44.12,38.22,13.97,13.67,13.09
EV/Sales Ratio,-0.59,3.96,3.44,5.81,5.79,6.60,12.47,8.48,2.66,1.88,1.78
EV/EBITDA Ratio,-2.66,17.48,15.84,25.32,28.38,29.99,42.77,40.13,15.65,8.61,8.18
EV/EBIT Ratio,-3.75,24.62,22.87,34.58,37.65,39.11,52.81,52.52,21.78,10.32,9.80
EV/FCF Ratio,-2.73,19.80,14.99,40.81,19.19,34.65,48.88,43.99,14.34,13.09,12.43
Debt / Equity Ratio,0.13,-,-,0.06,0.13,0.29,0.45,0.37,0.51,0.46,0.46
Debt / EBITDA Ratio,0.62,-,-,0.33,0.63,1.27,1.43,1.50,2.22,1.49,1.49
Debt / FCF Ratio,0.63,-,-,0.54,0.43,1.47,1.63,1.64,2.04,2.27,2.27
Quick Ratio,1.29,1.47,1.48,1.40,1.24,1.40,1.30,1.19,1.23,1.24,1.24
Current Ratio,1.32,1.52,1.53,1.43,1.27,1.43,1.33,1.22,1.28,1.29,1.29
Asset Turnover,0.39,0.36,0.35,0.36,0.36,0.36,0.34,0.34,0.36,0.38,0.38
Return on Equity (ROE),5.40%,11.20%,10.00%,11.80%,13.70%,15.20%,23.30%,19.80%,12.00%,21.10%,21.10%
Return on Assets (ROA),2.00%,4.80%,4.50%,4.90%,4.80%,5.00%,6.60%,5.60%,3.10%,5.50%,5.50%
Return on Capital (ROIC),4.51%,8.76%,9.26%,10.21%,10.93%,10.21%,9.42%,14.56%,8.98%,12.84%,12.84%
Earnings Yield,-,2.78%,2.94%,2.03%,2.08%,1.94%,1.53%,1.88%,2.98%,6.41%,6.70%
FCF Yield,-,4.18%,5.23%,2.11%,4.70%,2.66%,1.99%,2.21%,6.30%,6.44%,6.73%
Buyback Yield / Dilution,-,-0.41%,0.90%,-0.25%,1.47%,1.25%,0.08%,0.08%,2.36%,4.40%,4.40%
Total Shareholder Return,-,-0.41%,0.90%,-0.25%,1.47%,1.25%,0.08%,0.08%,2.36%,4.40%,4.40%
