,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Current Liabilities,"6,761","7,996","8,406","7,469","6,435","7,702","7,668","8,458","7,334","7,945","8,514","10,472","8,591","11,619","13,204","15,299","14,905","20,734","21,565","23,470","24,824","26,404","28,204","31,478","28,820","32,131","35,023","40,721","40,470","40,370","45,943","45,398","46,699","45,312","47,835","51,295","52,529","59,893","67,280","60,397"
Total Current Liabilities,"16,270","17,097","17,920","16,779","14,336","17,362","18,457","19,310","17,684","17,341","14,323","16,756","15,256","18,685","20,693","24,183","25,394","29,903","31,301","34,620","34,910","37,000","39,224","45,221","40,189","43,658","48,200","56,834","55,453","55,741","61,782","64,254","61,948","61,354","65,979","69,300","68,854","77,709","86,295","81,814"
Long-Term Debt,"3,234","3,232","3,230","3,228","3,226","2,225","1,994","1,995","1,987","1,984","3,938","3,935","3,937","3,955","3,964","3,969","3,973","3,981","3,986","4,012","12,272","13,162","13,748","14,768","15,492","14,727","24,886","25,078","25,269","25,947","25,759","26,206","26,154","26,431","26,637","27,202","26,496","26,451","26,331","25,713"
Other Long-Term Liabilities,"5,311","5,530","5,816","5,320","7,390","7,437","7,589","5,825","6,507","7,088","7,584","7,770","8,614","7,695","7,779","16,641","16,743","15,726","16,411","16,532","14,695","14,747","15,103","14,478","14,063","12,785","13,237","15,160","16,360","16,134","15,295","17,173","14,990","11,981","12,013","12,618","13,247","11,743","10,883","11,486"
Total Long-Term Liabilities,"8,545","8,762","9,046","8,548","10,616","9,662","9,583","7,820","8,494","9,072","11,522","11,705","12,551","11,650","11,743","20,610","20,716","19,707","20,397","20,544","26,967","27,909","28,851","29,246","29,555","27,512","38,123","40,238","41,629","42,081","41,054","43,379","41,144","38,412","38,650","39,820","39,743","38,194","37,214","37,199"
Total Liabilities,"24,815","25,859","26,966","25,327","24,952","27,024","28,040","27,130","26,178","26,413","25,845","28,461","27,807","30,335","32,436","44,793","46,110","49,610","51,698","55,164","61,877","64,909","68,075","74,467","69,744","71,170","86,323","97,072","97,082","97,822","102,836","107,633","103,092","99,766","104,629","109,120","108,597","115,903","123,509","119,013"
Total Debt,"6,243","5,241","5,239","5,237","5,235","5,233","5,231","5,220","5,208","4,203","3,938","3,935","3,937","3,955","3,964","3,969","5,302","3,981","3,986","4,012","12,272","13,162","13,748","14,768","15,492","14,727","24,886","25,078","25,269","25,947","25,759","26,206","26,154","26,431","26,637","27,202","26,496","26,451","26,331","25,713"
Debt Growth,21.48%,5.05%,-0.15%,-0.15%,-16.15%,-0.15%,-0.15%,-0.32%,-0.52%,-19.68%,-24.72%,-24.62%,-24.40%,-5.90%,0.66%,0.86%,34.67%,0.66%,0.55%,1.08%,131.46%,230.62%,244.91%,268.10%,26.24%,11.89%,81.02%,69.81%,63.11%,76.19%,3.51%,4.50%,3.50%,1.87%,3.41%,3.80%,1.31%,0.08%,-1.15%,-5.47%
Common Stock,"26,652","27,111","27,948","28,767","29,527","30,722","31,864","32,982","33,695","34,293","35,337","36,307","37,698","38,509","39,609","40,247","41,487","42,243","43,111","45,049","46,532","47,937","49,040","50,552","53,688","55,937","57,307","58,510","59,436","60,436","61,193","61,774","62,832","64,402","66,258","68,184","70,269","72,248","74,591","76,534"
Retained Earnings,"64,714","68,136","70,949","75,066","79,292","81,990","85,969","89,223","91,168","94,737","99,798","105,131","109,420","111,505","118,237","113,247","120,008","121,282","128,405","134,885","138,720","145,346","147,125","152,122","151,068","151,681","155,567","163,401","170,580","176,939","183,782","191,484","195,221","196,845","196,220","195,563","196,625","200,884","205,647","211,247"
Comprehensive Income,345,502,-82,27,-371,-929,"-1,592","-1,874","-1,294","-1,151","-1,032","-2,402","-2,169","-1,728",-746,-992,-670,"-1,525","-1,676","-2,306","-1,780","-1,091","-1,196","-1,232","-1,097",-296,46,633,-3,190,-408,"-1,623","-4,049","-5,828","-8,852","-7,603","-6,000","-5,991","-7,036","-4,402"
Shareholders' Equity,"91,711","95,749","98,815","103,860","108,448","111,783","116,241","120,331","123,569","127,879","134,103","139,036","144,949","148,286","157,100","152,502","160,825","162,000","169,840","177,628","183,472","192,192","194,969","201,442","203,659","207,322","212,920","222,544","230,013","237,565","244,567","251,635","254,004","255,419","253,626","256,144","260,894","267,141","273,202","283,379"
Net Cash / Debt,"53,136","55,963","56,918","59,158","60,201","64,547","67,536","67,846","70,056","74,257","79,118","82,398","88,502","90,758","96,179","97,902","97,583","98,273","102,430","105,128","101,216","107,894","107,429","104,907","101,737","106,353","107,710","111,616","109,835","109,916","116,244","113,443","107,816","98,566","89,622","86,560","88,606","91,881","93,604","85,203"
Net Cash / Debt Growth,18.19%,13.19%,11.00%,10.63%,13.30%,15.34%,18.65%,14.69%,16.37%,15.04%,17.15%,21.45%,26.33%,22.22%,21.56%,18.82%,10.26%,8.28%,6.50%,7.38%,3.72%,9.79%,4.88%,-0.21%,0.51%,-1.43%,0.26%,6.40%,7.96%,3.35%,7.92%,1.64%,-1.84%,-10.33%,-22.90%,-23.70%,-17.82%,-6.78%,4.44%,-1.57%
Net Cash Per Share,3.88,4.08,4.14,4.30,4.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Working Capital,"59,044","60,808","62,195","61,877","65,977","66,802","69,646","70,804","73,271","76,897","84,223","88,652","93,538","93,701","98,652","100,125","98,367","94,254","98,401","101,056","103,297","110,437","109,134","107,357","106,829","105,411","116,169","117,462","116,684","119,956","122,328","123,889","115,905","111,017","100,130","95,495","93,131","91,079","90,015","89,716"
Book Value Per Share,6.82,7.09,7.30,7.65,7.96,8.19,8.48,8.75,8.98,9.31,9.76,10.09,10.48,10.72,11.34,10.97,11.56,11.66,12.21,12.77,13.20,13.84,14.06,14.60,14.82,15.19,15.65,16.45,17.06,17.72,18.34,18.95,19.21,19.39,19.44,19.79,20.37,21.04,21.67,22.64
