Date,Open,High,Low,Close,Adj Close,Volume,Close_Pct_Change,Price Change,RSI,MACD,Signal_Line,MACD_Histogram
1993-07-22,22.75,23.0,22.625,23.0,4.555870532989502,3159100,,,,0.0,0.0,0.0
1993-07-23,23.0,23.625,23.0,23.25,4.605389595031738,609900,1.0869286491717478,0.25,,0.019943019943017504,0.0039886039886035006,0.015954415954414002
1993-07-26,23.25,23.25,22.75,22.75,4.506350040435791,218400,-2.150514143315707,-0.5,,-0.004545417650831496,0.0022817996607165016,-0.0068272173115479975
1993-07-27,22.875,22.875,22.75,22.75,4.506350040435791,183800,0.0,0.0,,-0.023679715849418415,-0.0029105034413104813,-0.02076921240810793
1993-07-28,22.75,23.125,22.75,23.0,4.555870532989502,192900,1.0989047035707467,0.25,,-0.01845810086712163,-0.006020022926472711,-0.012438077940648919
1993-07-29,23.0,23.125,22.875,22.875,4.531108856201172,114100,-0.5435114235364802,-0.125,,-0.024128253221540774,-0.009641668985486324,-0.01448658423605445
1993-07-30,22.875,22.875,22.75,22.875,4.531108856201172,57200,0.0,0.0,,-0.028295714431163077,-0.013372478074621675,-0.014923236356541402
1993-08-02,22.875,23.0,22.75,22.75,4.506350040435791,79800,-0.5464184717499432,-0.125,,-0.04120987105487828,-0.018939956670672997,-0.02226991438420528
1993-08-03,22.875,23.0,22.75,23.0,4.555870532989502,155100,1.0989047035707467,0.25,,-0.030915151930376084,-0.021334995722613614,-0.00958015620776247
1993-08-04,23.0,23.125,22.875,23.125,4.580627918243408,81000,0.5434172256352676,0.125,,-0.012525669403430584,-0.01957313045877701,0.007047461055346427
1993-08-05,23.0,23.125,22.875,22.875,4.531108856201172,94500,-1.081054015433458,-0.25,,-0.01791823244467139,-0.019242150855955886,0.0013239184112844964
1993-08-06,22.875,23.0,22.875,23.0,4.555870532989502,137000,0.5464816135335671,0.125,,-0.01196746864570386,-0.017787214413905482,0.0058197457682016215
1993-08-09,22.875,23.0,22.875,22.875,4.531108856201172,119200,-0.5435114235364802,-0.125,,-0.017140317878467926,-0.01765783510681797,0.0005175172283500458
1993-08-10,22.875,22.875,22.5,22.5,4.456827640533447,75700,-1.6393606515558545,-0.375,39.99999999999999,-0.05091231864057022,-0.02430873181356842,-0.0266035868270018
1993-08-11,22.625,22.625,22.25,22.375,4.432069301605225,37100,-0.5555148398168508,-0.125,38.095238095238095,-0.08676317600528805,-0.03679962065191235,-0.0499635553533757
1993-08-12,22.375,22.375,22.25,22.25,4.407308578491211,21400,-0.5586718399246515,-0.125,30.0,-0.12383421039638876,-0.05420653860080763,-0.06962767179558113
1993-08-13,22.125,22.5,22.0,22.375,4.432069301605225,49500,0.5618105170773102,0.125,41.17647058823529,-0.1414957420658105,-0.07166437929380821,-0.06983136277200229
1993-08-16,22.375,22.375,22.375,22.375,4.432069301605225,9800,0.0,0.0,41.17647058823529,-0.15372063733882158,-0.0880756309028109,-0.06564500643601068
1993-08-17,22.375,22.5,22.25,22.5,4.456827640533447,29900,0.5586180459600465,0.125,37.5,-0.1515752346343291,-0.10077555164911454,-0.05079968298521455
1993-08-18,22.375,22.375,22.125,22.125,4.382547378540039,61500,-1.666662208739067,-0.375,33.33333333333333,-0.1780815403828413,-0.1162367493958599,-0.061844790986981396
1993-08-19,22.125,22.5,22.125,22.375,4.432069301605225,56300,1.1299803239476436,0.25,39.99999999999999,-0.1768761498395648,-0.1283646294846009,-0.048511520354963894
1993-08-20,22.25,22.25,22.125,22.25,4.407308578491211,37100,-0.5586718399246515,-0.125,39.99999999999999,-0.18388758289153273,-0.13946922016598726,-0.044418362725545474
1993-08-23,22.5,22.75,22.5,22.75,4.506350040435791,51700,2.247209610598344,0.5,45.45454545454546,-0.14739924601895638,-0.1410552253365811,-0.006344020682375273
1993-08-24,23.0,23.5,23.0,23.5,4.654909133911133,87400,3.296661203464235,0.75,55.55555555555556,-0.05730269438352664,-0.12430471914597022,0.06700202476244357
1993-08-25,23.5,23.625,23.25,23.5,4.654909133911133,42200,0.0,0.0,60.0,0.013938794155723855,-0.09665601648563141,0.11059481064135526
1993-08-26,23.5,23.5,23.25,23.375,4.630149841308594,25100,-0.5318963676899102,-0.125,55.99999999999999,0.05962441857644052,-0.06539992947321703,0.12502434804965756
1993-08-27,23.375,23.5,23.25,23.5,4.654909133911133,22000,0.534740633697095,0.125,60.0,0.10471002838097121,-0.03137793790237939,0.1360879662833506
1993-08-30,23.5,23.625,23.375,23.5,4.654909133911133,38600,0.0,0.0,68.18181818181819,0.13884023516935784,0.002665696711968056,0.13617453845738978
1993-08-31,23.625,24.125,23.625,24.0,4.753950595855713,79300,2.1276776644910234,0.5,76.0,0.20388424065690103,0.04290940550095466,0.16097483515594638
1993-09-01,24.125,24.75,24.125,24.5,4.852991104125977,69200,2.08333061678434,0.5,82.14285714285714,0.2924072165727054,0.09280896771530481,0.1995982488574006
1993-09-02,24.625,24.625,24.125,24.25,4.803471088409424,46800,-1.0204019470476888,-0.25,75.86206896551724,0.33848752856858866,0.14194467988596157,0.19654284868262709
1993-09-03,24.375,24.5,24.125,24.5,4.852991104125977,27800,1.030921490004233,0.25,77.41935483870968,0.3906759493224179,0.19169093377325286,0.19898501554916503
1993-09-07,24.5,24.625,24.375,24.5,4.852991104125977,23900,0.0,0.0,76.66666666666666,0.42711216559026255,0.23877518013665483,0.18833698545360772
1993-09-08,24.5,24.5,24.25,24.5,4.852991104125977,36800,0.0,0.0,85.18518518518519,0.4507916835711647,0.28117848082355684,0.16961320274760788
1993-09-09,24.375,24.625,24.375,24.5,4.852991104125977,20800,0.0,0.0,84.0,0.46420678531037396,0.3177841417209203,0.14642264358945367
1993-09-10,24.625,24.75,24.5,24.75,4.902509689331055,10700,1.0203724701448147,0.25,88.46153846153847,0.48937010678342574,0.3521013347334214,0.13726877205000432
1993-09-13,24.75,25.25,24.625,25.0,4.95203161239624,24600,1.0101341191218083,0.25,87.5,0.5234511124186305,0.38637129027046324,0.13707982214816727
1993-09-14,24.875,25.25,24.75,25.0,4.95203161239624,25500,0.0,0.0,83.33333333333333,0.5441875001679328,0.4179345322499572,0.12625296791797563
1993-09-15,25.0,26.0,24.875,25.625,5.075833797454834,51700,2.5000281651814227,0.625,86.95652173913044,0.6040899407103453,0.45516561394203486,0.1489243267683104
1993-09-16,25.625,25.625,25.375,25.625,5.075833797454834,16600,0.0,0.0,90.9090909090909,0.6441378363978707,0.492960058433202,0.1511777779646687
1993-09-17,25.5,25.875,25.375,25.875,5.125351905822754,38100,0.9755659925813509,0.25,91.30434782608695,0.6881168106670401,0.5319914088799697,0.15612540178707046
1993-09-20,25.75,25.875,25.625,25.625,5.075833797454834,28200,-0.966140652930858,-0.25,84.0,0.6947884650298732,0.5645508201099504,0.13023764491992285
1993-09-21,25.625,25.625,25.125,25.5,5.051070690155029,53200,-0.487862847523135,-0.125,77.27272727272727,0.6821262174220628,0.5880658995723729,0.09406031784968993
1993-09-22,25.5,25.75,25.375,25.5,5.051070690155029,26100,0.0,0.0,72.22222222222223,0.6644321349097098,0.6033391466398402,0.06109298826986953
1993-09-23,25.375,25.625,25.375,25.5,5.051070690155029,20700,0.0,0.0,81.25,0.6429973735691519,0.6112707920257026,0.03172658154344932
1993-09-24,25.25,25.375,25.25,25.375,5.026313781738281,23000,-0.4901318935211396,-0.125,73.33333333333333,0.6089046417659318,0.6107975619737485,-0.0018929202078166174
1993-09-27,25.5,25.625,25.5,25.625,5.075833797454834,35400,0.9852153659102969,0.25,76.47058823529412,0.5951977477119463,0.6076775991213881,-0.012479851409441745
1993-09-28,25.875,26.5,25.75,26.5,5.249154090881348,235900,3.414617190843039,0.875,83.33333333333333,0.6474764176387424,0.615637362824859,0.03183905481388338
1993-09-29,26.5,26.875,26.5,26.75,5.298673152923584,36300,0.9433722307420789,0.25,84.61538461538461,0.7009998608276753,0.6327098624254223,0.06828999840225303
1993-09-30,26.875,27.5,26.5,27.375,5.4224724769592285,66100,2.3364212221193004,0.625,86.20689655172414,0.7848031298694025,0.6631285159142183,0.1216746139551842
1993-10-01,27.375,27.625,27.25,27.375,5.4224724769592285,55500,0.0,0.0,85.18518518518519,0.8415173363280815,0.698806279996991,0.1427110563310905
1993-10-04,26.75,27.0,26.625,26.875,5.323434352874756,88600,-1.826438483649262,-0.5,74.19354838709677,0.8364755626267275,0.7263401365229383,0.11013542610378924
1993-10-05,26.75,26.875,26.5,26.625,5.2739129066467285,43900,-0.9302537224167073,-0.25,64.28571428571428,0.8030499500387513,0.7416820992261008,0.061367850812650504
1993-10-06,26.5,26.5,26.25,26.375,5.224391937255859,34200,-0.938979658318928,-0.25,60.0,0.7477672057030027,0.7428991205214812,0.0048680851815214865
1993-10-07,25.75,26.0,25.625,25.875,5.18034553527832,204200,-0.8430914545947132,-0.5,50.0,0.65604691078806,0.725528678574797,-0.06948176778673698
1993-10-08,25.875,26.0,25.75,25.875,5.18034553527832,126000,0.0,0.0,53.33333333333333,0.5767099627972883,0.6957649354192953,-0.11905497262200704
1993-10-11,25.75,26.5,25.75,26.25,5.255425930023193,20300,1.4493317913558679,0.375,59.375,0.5378937219179463,0.6641906927190255,-0.12629697080107927
1993-10-12,26.125,27.25,26.125,26.875,5.380553245544434,76100,2.380916736099592,0.625,64.86486486486487,0.5512098440561459,0.6415945229864496,-0.09038467893030366
1993-10-13,27.0,27.0,26.5,26.5,5.305476665496826,48800,-1.3953319783570062,-0.375,60.0,0.5254465797022441,0.6183649343296085,-0.09291835462736442
1993-10-14,26.625,26.625,26.125,26.25,5.255425930023193,19600,-0.9433786750798201,-0.25,58.53658536585366,0.4793306708243712,0.590558081628561,-0.11122741080418985
1993-10-15,26.125,26.5,26.0,26.5,5.305476665496826,74900,0.9523630651457449,0.25,58.53658536585366,0.4576805351414315,0.5639825723311351,-0.10630203718970366
1993-10-18,26.375,26.75,26.375,26.625,5.330503940582275,10000,0.47172528810106584,0.125,51.42857142857143,0.44547395550219093,0.5402808489653463,-0.0948068934631554
1993-10-19,26.75,26.875,26.25,26.25,5.255425930023193,12500,-1.408459901652015,-0.375,44.444444444444436,0.40091923976772037,0.5124085271258212,-0.11148928735810082
1993-10-20,26.375,26.375,26.25,26.25,5.255425930023193,40600,0.0,0.0,35.48387096774192,0.3614428187248393,0.4822153854456248,-0.12077256672078551
