,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"8,014","8,287","7,897","7,949","8,568","8,951","9,144","8,512","8,811","7,585","7,122","7,880","14,341","14,540","14,698","15,217","15,739","16,188","16,263","16,475","12,653","13,274","14,462","14,810","15,574","8,368","9,163","9,329","12,849","15,990","14,528","22,828","22,304","21,025","17,313","19,008","20,343","16,162","15,562","15,058","18,637"
Market Cap Growth,46.61%,33.54%,19.63%,16.00%,6.91%,8.01%,15.80%,7.08%,2.84%,-15.26%,-22.11%,-7.43%,62.76%,91.71%,106.36%,93.11%,9.75%,11.33%,10.65%,8.27%,-19.60%,-18.00%,-11.07%,-10.11%,23.08%,-36.96%,-36.64%,-37.01%,-17.50%,91.10%,58.54%,144.70%,73.59%,31.48%,19.17%,-16.73%,-8.80%,-23.13%,-10.11%,-20.78%,-
Enterprise Value,"11,767","11,798","14,331","13,752","14,016","15,143","15,059","15,236","15,569","15,108","16,097","17,313","24,900","23,711","26,195","25,003","28,434","26,545","27,008","25,866","20,570","24,053","25,849","25,099","26,757","19,086","12,687","12,341","14,672","14,778","8,335","20,854","23,832","23,563","24,123","25,010","25,138","25,560","20,664","16,868","20,447"
PE Ratio,13.15,13.69,12.76,13.36,14.27,14.50,14.09,13.17,13.33,11.38,11.25,13.21,22.17,21.62,19.06,16.57,14.18,13.10,12.35,11.59,9.56,9.85,10.63,10.94,11.65,8.14,11.27,12.71,17.92,13.46,14.54,21.60,19.35,19.40,10.47,10.08,9.57,7.13,6.84,6.79,8.52
PS Ratio,3.05,3.14,2.96,2.96,3.13,3.25,3.24,2.98,3.05,2.59,2.43,2.57,4.31,4.06,3.79,3.75,3.83,3.90,3.90,3.91,2.96,3.07,3.29,3.36,3.56,2.08,2.45,2.52,3.41,3.57,3.09,4.24,3.74,3.41,2.56,2.79,2.92,2.25,2.15,2.08,2.58
PB Ratio,1.32,1.34,1.26,1.26,1.35,1.39,1.41,1.29,1.34,1.06,0.95,0.76,1.39,1.39,1.38,1.42,1.46,1.43,1.42,1.51,1.14,1.16,1.24,1.24,1.32,0.71,0.74,0.72,0.99,1.18,0.71,1.17,1.16,1.14,0.97,1.11,1.15,0.86,0.83,0.82,1.01
P/FCF Ratio,8.80,9.54,8.67,10.15,10.34,13.72,17.85,15.09,9.37,6.59,6.12,6.40,13.10,11.57,11.53,10.61,8.94,9.54,8.66,8.76,7.83,7.33,7.80,10.97,10.62,5.65,6.91,5.10,10.67,27.38,10.14,15.91,12.29,7.72,6.59,6.53,5.34,5.14,5.53,5.04,6.24
P/OCF Ratio,7.91,8.66,8.00,9.59,9.64,12.53,15.44,12.89,8.53,6.10,5.77,5.98,11.80,10.25,9.88,9.31,8.05,8.74,8.14,8.27,7.33,6.88,7.32,10.01,9.89,5.31,6.40,4.82,9.71,22.40,9.07,14.01,10.82,6.96,5.97,6.00,5.05,4.89,5.25,4.83,5.98
Debt / Equity Ratio,0.79,0.74,1.24,1.08,1.06,1.11,1.13,1.19,1.16,1.17,1.32,1.07,1.16,1.01,1.23,1.03,1.32,1.01,1.06,0.98,0.96,1.07,1.13,1.01,1.06,1.07,0.80,0.73,0.66,0.55,0.38,0.42,0.39,0.39,0.61,0.62,0.66,1.06,0.87,0.73,0.73
Return on Capital (ROIC),Upgrade,5.88%,5.94%,4.66%,4.81%,4.84%,4.76%,4.91%,4.71%,4.86%,4.49%,3.89%,3.02%,3.19%,3.57%,3.56%,4.58%,4.73%,5.73%,5.87%,6.88%,6.41%,6.01%,5.78%,5.96%,5.82%,4.51%,3.99%,3.67%,3.80%,6.19%,4.07%,4.42%,4.90%,4.84%,6.17%,7.21%,7.63%,6.17%,6.86%,7.40%
Dividend Yield,2.00%,2.00%,2.10%,2.10%,2.00%,2.00%,2.00%,2.30%,2.30%,2.70%,3.00%,2.80%,2.20%,2.20%,2.30%,2.30%,2.40%,2.50%,2.80%,3.20%,4.20%,4.20%,4.10%,4.00%,3.80%,7.20%,6.60%,6.50%,4.80%,3.80%,4.20%,3.90%,3.90%,4.20%,5.10%,4.70%,4.40%,5.50%,5.80%,6.00%,4.82%
Payout Ratio,27.80%,29.40%,26.30%,27.80%,31.60%,31.60%,26.10%,33.30%,33.30%,33.30%,36.80%,58.30%,38.10%,47.10%,34.80%,33.30%,28.90%,37.90%,36.70%,42.40%,46.70%,43.80%,42.40%,44.10%,51.70%,500.00%,115.40%,55.60%,53.60%,30.60%,-300.00%,65.20%,59.60%,51.70%,44.30%,39.70%,36.90%,38.80%,43.10%,44.30%,41.06%
Buyback Yield / Dilution,1.29%,0.71%,1.08%,1.36%,1.40%,2.24%,1.73%,1.84%,2.46%,1.88%,1.20%,-16.92%,-13.41%,-37.15%,-36.79%,-16.22%,-32.90%,-1.46%,-1.27%,0.25%,12.13%,5.26%,5.55%,4.75%,2.41%,2.91%,2.98%,1.88%,1.06%,-0.62%,-9.37%,-44.20%,-41.95%,-40.67%,-30.07%,1.50%,0.17%,-0.34%,-0.17%,-0.17%,-0.17%
Total Shareholder Return,3.29%,2.71%,3.18%,3.46%,3.40%,4.24%,3.73%,4.14%,4.76%,4.58%,4.20%,-14.12%,-11.21%,-34.95%,-34.49%,-13.92%,-30.50%,1.04%,1.53%,3.45%,16.33%,9.46%,9.65%,8.75%,6.21%,10.11%,9.58%,8.38%,5.86%,3.18%,-5.17%,-40.30%,-38.05%,-36.47%,-24.97%,6.20%,4.57%,5.16%,5.63%,5.83%,4.64%
