,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,300","1,304","3,520","5,045","3,149","3,257","1,890","1,842","1,477","1,858","2,695","2,423","2,081","2,434","2,634","2,846","2,542","2,622","3,187","2,973","2,624","2,334","5,256","6,466","6,312","6,363","10,404","11,197","10,562","12,151","11,231","11,643","11,127","10,549","11,841","9,021","12,221","14,140","14,602","13,294"
Short-Term Investments,"5,463","5,422","3,661","1,193","1,142","1,380","1,299","1,211","1,171","1,526","1,677","1,956","2,219","2,936","3,722","4,407","4,860","4,241","4,146","4,158","3,660","1,981","1,553",973,998,826,0,0,501,500,501,522,25,0,0,116,175,359,640,624
Cash & Cash Equivalents,"6,763","6,726","7,180","6,238","4,292","4,636","3,189","3,054","2,649","3,384","4,372","4,379","4,300","5,370","6,356","7,253","7,402","6,863","7,332","7,131","6,284","4,315","6,809","7,439","7,310","7,189","10,404","11,197","11,063","12,651","11,732","12,165","11,152","10,549","11,841","9,137","12,396","14,499","15,242","13,918"
Cash Growth,30.32%,29.63%,20.62%,-5.38%,-36.54%,-31.07%,-55.59%,-51.05%,-38.29%,-27.02%,37.08%,43.41%,62.35%,58.71%,45.39%,65.63%,72.14%,27.79%,15.36%,-1.68%,-15.10%,-37.12%,-7.14%,4.32%,16.33%,66.60%,52.80%,50.52%,51.34%,75.98%,12.76%,8.65%,0.80%,-16.62%,0.93%,-24.89%,11.15%,37.44%,28.72%,52.33%
Receivables,535.96,627.16,841.13,843.56,643.89,706.78,889.87,890.53,645.17,857.14,982.99,"1,105",860.12,934.25,"1,231","1,438","1,218","1,530","1,715","1,719","1,523","1,491","1,973","1,788","1,680",667,566,859,529,586,"1,290","1,555","1,358","1,611","2,249","2,284","2,229","2,048","2,805","3,447"
Other Current Assets,181.79,502.66,487.29,222.33,178.05,624.39,614.48,354.76,259.56,623.99,559.69,349.32,241.45,683.45,685.88,433.51,415,"1,112",985.9,617.62,600,"1,271","1,238",829,843,"1,404",483,527,614,871,767,632,635,715,834,989,"1,173","1,085","1,302","1,114"
Total Current Assets,"7,481","7,856","8,509","7,304","5,114","5,967","4,693","4,299","3,553","4,865","5,914","5,834","5,402","6,988","8,273","9,125","9,035","9,505","10,033","9,468","8,407","7,077","10,020","10,056","9,833","9,260","11,453","12,583","12,206","14,108","13,789","14,352","13,145","12,875","14,924","12,410","15,798","17,632","19,349","18,479"
"Property, Plant & Equipment",135.05,149.37,168.68,203.79,198.95,214.86,246.1,257.14,274.79,299.85,320.45,339.81,347.02,381.2,425.1,457.55,480,573.04,613.46,642.86,656,"1,330","1,355","1,316","1,358","1,316","1,313","1,312","1,285","1,214","1,205","1,207","1,318","1,331","1,303","1,281","1,314","1,321","1,340","1,376"
Long-Term Investments,0,0,0,"1,965","3,756","4,974","6,395","6,328","7,931","7,594","7,954","9,296","9,591","10,141","10,264","11,114","10,873","9,433","9,445","9,114","8,408","8,445","4,618","4,319","4,477","2,056","2,946","3,672","3,759","3,788","4,319","3,283","3,175","2,200","2,381","2,650","2,789",806,440,420
Goodwill and Intangibles,"2,788","2,770","2,882","5,658","5,661","5,610","5,613","5,590","5,543","5,507","5,443","4,457","4,391","4,354","4,333","4,946","4,915","4,895","5,013","4,962","5,035","4,985","4,956","4,870","4,867","4,288","4,277","3,703","3,707","3,644","3,611","3,549","4,944","4,875","4,767","4,663","4,636","4,593","4,543","4,464"
