,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30
Long-Term Debt,"1,201","1,199","1,195","1,084","1,082","1,079","1,079","2,067","2,048","1,993","1,993","3,473","3,472","3,471","3,472","3,472","3,469","3,468","3,467","3,466","3,465","3,464","6,138","6,185","6,221","12,319","12,369","12,306","12,376","12,344","12,313","12,252","12,202","11,697","11,658","11,592","11,617","11,713","11,736","11,715"
Other Long-Term Liabilities,"1,515","1,544","1,408","1,446","1,505","1,479","1,517","1,600","1,659","1,770","1,635","1,631","1,687","1,907","2,126","2,075","3,518","3,216","3,316","3,204","3,214","3,347","2,841","2,802","2,674","2,684","3,046","3,019","2,984","2,955","2,992","2,884","2,748","2,613","2,689","2,584","2,598","2,558","2,618","2,343"
Total Long-Term Liabilities,"2,716","2,743","2,603","2,530","2,587","2,558","2,596","3,667","3,707","3,763","3,628","5,104","5,159","5,378","5,598","5,547","6,987","6,684","6,783","6,670","6,679","6,811","8,979","8,987","8,895","15,003","15,415","15,325","15,360","15,299","15,305","15,136","14,950","14,310","14,347","14,176","14,215","14,271","14,354","14,058"
Total Liabilities,"6,670","7,770","7,416","7,467","8,173","8,890","7,872","9,178","8,687","9,121","8,991","10,329","10,430","10,852","11,654","12,297","12,770","12,724","13,491","13,948","13,960","14,677","17,049","17,251","17,175","23,287","24,034","24,196","24,254","24,973","23,574","23,993","23,768","25,040","25,266","24,375","23,763","23,527","22,815","23,057"
Total Debt,"1,327","1,373","1,347","1,287","1,251","1,260","1,208","2,171","2,055","2,038","2,059","3,537","3,501","3,802","3,814","4,711","3,486","3,810","3,486","3,481","3,487","3,479","6,821","6,922","6,656","13,015","12,966","12,805","12,850","12,813","12,790","12,723","12,657","12,627","12,591","12,525","12,566","12,144","12,177","12,177"
Debt Growth,313.40%,0.59%,-2.04%,-7.28%,-5.73%,-8.23%,-10.32%,68.69%,64.27%,61.75%,70.45%,62.92%,70.36%,86.56%,85.24%,33.19%,-0.43%,0.21%,-8.60%,-26.11%,0.03%,-8.69%,95.67%,98.85%,90.88%,274.10%,90.09%,84.99%,93.06%,-1.55%,-1.36%,-0.64%,-1.50%,-1.45%,-1.56%,-1.56%,-0.72%,-3.83%,-3.29%,-2.78%
Common Stock,"5,726","5,868","6,073","6,378","6,520","6,776","7,032","7,411","7,542","7,789","8,002","8,199","8,398","5,713","8,820","9,044","9,328","6,387","6,528","6,710","6,913","7,166","7,299","7,722","7,974","8,302","8,698","9,339","9,648","9,968","10,524","10,993","11,189","11,487","11,651","11,854","12,077","12,415","12,593","12,874"
Retained Earnings,"5,374","4,871","4,808","4,797","4,737","4,685","5,029","4,887","4,113","4,151","4,078","3,725","4,095","6,907","3,759","3,301","1,078","3,517","2,494","1,810","1,851","1,643","1,721","1,577","1,128",-191,927,"1,730","2,729","3,179","3,886","3,786","3,521","3,476","3,535","2,859","2,152","1,358","1,242","1,151"
Comprehensive Income,33,85,224,525,"1,111","1,246",833,"1,107",645,318,85,399,229,-213,-586,-587,-624,-92,-30,209,197,231,180,52,-57,-56,-401,-429,-446,-380,-67,145,99,318,636,559,302,231,136,121
Shareholders' Equity,"11,133","10,824","11,105","11,700","12,368","12,707","12,894","13,405","12,300","12,258","12,165","12,323","12,722","12,407","11,993","11,758","9,782","9,812","8,992","8,729","8,961","9,040","9,200","9,351","9,045","8,055","9,224","10,640","11,931","12,767","14,343","14,924","14,809","15,281","15,822","15,272","14,531","14,004","13,971","14,146"
Net Cash / Debt,"3,702","3,769","3,232","3,426","4,110","4,664","4,200","3,945","3,051","3,419","2,728","2,406","2,659","2,377","1,705","1,678","1,265","1,435",783,560,559,"1,184","-3,177","-3,420","-3,474","-4,228","-3,486",-993,-322,663,905,"2,380",810,370,-715,"-1,904","-1,764","-1,469","-3,387","-2,250"
Net Cash / Debt Growth,-0.51%,-18.07%,-23.10%,-9.82%,11.02%,23.75%,29.95%,15.15%,-25.77%,-26.69%,-35.05%,-39.01%,-12.85%,-30.48%,-37.50%,-30.26%,-52.43%,-39.63%,-54.08%,-66.63%,-55.81%,-17.49%,-,-,-,-,-,-,-,-,-,-,-,-44.19%,-,-,-,-,-,-
Net Cash Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.01,0.78,0.88,0.48,0.35,0.35,0.74,-1.99,-2.15,-2.18,-2.67,-2.19,-0.62,-0.20,0.41,0.56,1.47,0.50,0.23,-0.45,-1.21,-1.13,-0.94,-2.19,-1.47
Working Capital,"9,456","8,669","8,727","9,096","9,621","9,255","9,962","11,244","10,276","9,667","9,226","10,786","10,934","10,587","10,136","9,832","9,572","9,094","8,793","8,288","8,515","8,659","8,158","8,105","7,464","12,272","13,318","14,736","15,806","16,617","18,121","18,320","18,144","17,483","17,958","17,248","16,487","15,946","15,789","15,632"
Book Value Per Share,6.29,6.16,6.39,6.79,7.16,7.39,7.54,7.87,7.22,7.28,7.25,7.40,7.69,7.48,7.30,7.23,6.03,6.11,5.64,5.52,5.70,5.76,5.89,5.99,5.81,5.18,5.91,6.76,7.56,8.08,9.07,9.43,9.38,9.72,10.10,9.80,9.41,9.12,9.14,9.30
