,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Current Liabilities,"1,594","1,917","1,941","2,218","1,946","2,556","2,634","2,578","2,777","2,516","2,500","3,420","2,993","3,380","3,448","3,368","3,152","3,152","3,175","3,295","3,149","3,211","4,432","4,864","4,639","3,447","3,804","3,742","3,166","3,347","4,212","4,298","3,947","5,018","3,926","3,273","3,015","3,187","5,022","3,434"
Long-Term Debt,591.01,586.09,583.98,580.3,580.67,576.21,"6,529","6,522","6,536","6,538","6,530","6,513","5,953","5,954","5,938","5,935","5,929","5,928","5,931","5,937","6,379","6,372","4,869","4,872","4,864","7,839","7,834","7,828","7,647","7,633","6,621","6,604","6,588","6,552","6,634","6,614","6,610","6,589","7,215","7,188"
Other Long-Term Liabilities,903.81,850.06,748.63,702.3,"1,023","1,054",998.18,"1,031","1,034","1,057",960.8,815.6,783.3,851.7,837.6,"1,751","2,971","2,618","2,626","3,026","3,096","3,756","4,191","4,160","4,080","2,937","2,552","2,362","2,379","2,275","2,093","2,015","1,859","1,648","1,527","1,279","1,187",920.8,"1,476","1,423"
Total Long-Term Liabilities,"1,495","1,436","1,333","1,283","1,604","1,630","7,527","7,552","7,570","7,595","7,490","7,328","6,736","6,806","6,776","7,686","8,901","8,547","8,558","8,962","9,475","10,128","9,060","9,031","8,944","10,776","10,386","10,191","10,026","9,908","8,713","8,619","8,447","8,200","8,161","7,893","7,797","7,510","8,691","8,611"
Total Liabilities,"3,089","3,353","3,273","3,501","3,550","4,186","10,161","10,130","10,347","10,111","9,990","10,748","9,729","10,185","10,224","11,055","12,053","11,699","11,732","12,257","12,624","13,339","13,492","13,895","13,582","14,223","14,190","13,933","13,192","13,256","12,925","12,918","12,394","13,218","12,087","11,166","10,811","10,696","13,714","12,045"
Total Debt,594.56,589.48,587.2,583.4,583.93,579.47,"6,534","6,526","6,541","6,543","6,535","6,517","6,514","6,514","6,512","5,938","5,933","5,928","5,931","5,937","6,379","6,372","6,364","6,368","6,365","7,839","7,834","7,828","7,647","7,633","7,619","7,604","7,588","7,551","6,634","6,614","6,610","6,589","7,715","7,338"
Debt Growth,-35.03%,-19.20%,-15.91%,-2.10%,-1.79%,-1.70%,1012.82%,1018.67%,1020.09%,1029.15%,0.00%,-0.14%,-0.40%,-0.45%,-0.35%,-8.89%,-8.93%,-8.99%,-8.91%,-0.03%,7.53%,7.47%,7.30%,7.26%,-0.22%,23.03%,23.10%,22.94%,20.14%,-2.62%,-2.74%,-2.87%,-0.78%,-1.07%,-12.93%,-13.01%,-12.89%,-12.74%,16.30%,10.95%
Common Stock,"2,330","2,044","2,065","1,585","1,631","1,640","-1,269.22","-2,611.6","-2,593.2","-2,542.5","-2,611.6","-2,611.6","-2,977","-2,957.7","-2,917.8","-2,879.2","-2,977","-2,977","-2,929.2","-2,977","-2,977","-2,977","-2,977","-2,977","-2,976.9","-2,977","-2,977","-2,977","-2,977","-2,977","-2,977","-2,908.8","-2,858","-2,977","-2,977","-2,903.7","-2,885.8","-2,806.3","-2,734.8","-2,674.5"
Retained Earnings,"6,829","7,544","8,400","9,284","10,106","11,034","11,999","12,208","13,179","14,229","15,030","15,072","14,781","14,882","16,108","15,810","17,335","15,500","16,944","16,257","17,027","16,183","17,065","16,455","15,673","14,467","13,961","13,976","13,834","13,901","13,544","13,912","14,216","14,960","15,916","16,467","16,854","17,446","17,378","17,628"
Comprehensive Income,-22.36,-26.68,-37.99,-59.5,-70.54,-101.03,-157.42,-224,-259.3,-282.8,-300.9,-319.9,-325.2,-338.8,-329.4,-318.4,-303.9,-261.6,-248.3,-240.4,-219.8,-252.9,-92.3,-135.2,-149.3,-181,-225.5,-299,-174.3,-171.8,-136.6,-106.7,-115.2,-110.4,-163.6,-164.9,-172,-172.8,-159.3,-153.7
Shareholders' Equity,"9,137","9,561","10,428","10,809","11,667","12,573","10,573","9,373","10,327","11,404","12,118","12,140","11,479","11,585","12,861","12,613","14,054","12,261","13,767","13,040","13,830","12,953","13,996","13,343","12,547","11,309","10,759","10,700","10,682","10,752","10,430","10,896","11,242","11,873","12,776","13,398","13,797","14,467","14,484","14,799"
Net Cash / Debt,665.65,983.59,"1,274","1,262","1,568","1,789",-691.94,"-3,097.8","-2,955.1","-2,746.3","-2,218.5","-1,622.3","-3,634","-3,620.9","-3,003.2","-2,249.2",-16.7,"-2,704.2","-1,502.7","-2,398.5","-2,470.3","-3,419.3","-1,926.6","-1,891.6","-2,505","-3,511","-4,254.3","-5,218.1","-5,109.7","-4,582.3","-4,664.2","-3,801","-3,835.8","-2,753.5","-1,722.9","-1,721.2","-1,568.4",-510.7,"-5,427.3","-6,288.3"
Net Cash / Debt Growth,-75.49%,-,-,101.34%,135.57%,81.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,2.80,4.14,5.38,5.34,6.66,7.59,-2.97,-14.04,-13.48,-12.52,-10.11,-7.48,-16.83,-17.06,-14.18,-10.60,-0.08,-13.04,-7.44,-11.98,-12.54,-17.96,-10.46,-10.62,-14.47,-21.82,-27.06,-33.86,-33.55,-30.53,-31.39,-25.77,-25.99,-18.83,-11.90,-11.84,-10.80,-3.51,-37.48,-43.10
Working Capital,"1,931","2,008","2,431","2,317","3,313","3,063","6,637","4,123","4,425","4,932","5,592","5,312","3,867","3,729","4,120","4,505","7,043","4,280","5,544","4,346","5,794","4,699","4,016","3,518","3,369","5,047","4,039","3,145","3,554","3,837","2,951","3,558","3,969","4,723","5,839","6,518","6,748","7,245","3,432","3,425"
Book Value Per Share,38.59,40.40,44.15,45.86,49.65,53.43,45.53,42.51,47.18,52.05,55.36,56.05,53.24,54.67,60.84,59.66,66.48,59.20,68.36,65.26,70.34,68.07,76.06,75.17,72.61,70.42,68.57,69.75,70.32,71.82,70.47,74.28,76.43,81.37,88.47,93.17,95.54,99.98,100.03,102.28
