,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Free Cash Flow Per Share,0.17,0.07,0.02,0.30,0.23,0.24,-0.06,0.32,0.26,0.11,0.05,0.20,-0.05,-0.17,-0.17,0.06,0.43,0.32,-0.10,0.24,0.46,-0.33,0.15,0.31,0.71,0.19,-0.43,-0.74,0.43,0.79,0.32,0.06,-0.01,0.38,0.09,0.38,1.68,-0.89,0.40,0.66
Gross Margin,63.85%,61.37%,62.45%,64.74%,58.55%,66.73%,65.77%,61.67%,66.00%,66.45%,63.48%,64.78%,60.64%,61.42%,57.30%,55.13%,66.58%,63.69%,63.64%,62.61%,56.93%,59.51%,58.35%,61.27%,53.91%,60.21%,62.42%,59.02%,62.49%,63.25%,63.04%,62.32%,62.07%,60.73%,60.91%,61.99%,61.19%,59.50%,61.96%,61.72%
Operating Margin,22.49%,13.42%,16.71%,28.21%,19.06%,24.00%,20.07%,13.31%,15.19%,9.26%,10.57%,15.42%,11.47%,6.75%,1.03%,-0.89%,8.08%,13.42%,5.34%,3.78%,1.74%,2.31%,-1.15%,5.06%,-8.37%,-0.54%,-9.68%,-3.27%,2.55%,-25.77%,-42.82%,1.25%,-12.44%,6.71%,7.50%,10.30%,6.71%,4.84%,10.75%,13.33%
Profit Margin,13.43%,9.37%,10.45%,17.04%,10.86%,16.10%,13.06%,3.02%,9.11%,6.24%,6.21%,5.35%,7.73%,5.78%,2.86%,0.47%,-2.19%,12.77%,8.55%,5.45%,1.81%,5.54%,0.66%,4.67%,-7.20%,2.77%,-21.77%,-0.52%,11.42%,-24.57%,-21.53%,20.92%,-6.21%,21.40%,17.84%,3.89%,8.68%,13.16%,3.32%,14.36%
Free Cash Flow Margin,21.81%,9.70%,3.31%,35.72%,26.39%,28.11%,-7.25%,34.32%,24.97%,10.53%,4.35%,14.27%,-2.98%,-11.30%,-11.61%,3.63%,24.30%,16.78%,-5.58%,13.65%,23.50%,-16.61%,7.84%,13.90%,24.43%,7.67%,-18.22%,-28.43%,12.25%,25.86%,9.46%,1.71%,-0.20%,10.51%,2.32%,8.55%,35.58%,-18.90%,7.88%,11.84%
Effective Tax Rate,40.65%,30.60%,37.90%,38.82%,42.32%,32.54%,35.57%,77.24%,40.12%,34.16%,40.04%,63.85%,33.39%,17.57%,9.25%,33.12%,129.31%,12.93%,-69.56%,-8.99%,30.89%,-28.79%,-34.18%,27.64%,-,-2789.36%,-,-,-185.77%,-,-,-,-,24.31%,25.53%,41.84%,15.99%,-7.77%,-,14.44%
EBITDA,10.15,6.05,7.36,13.45,9.77,11.3,10.22,7.63,9.51,6.16,7.03,11.53,10.43,7.16,4.3,2.91,9.43,17.26,7.75,8.31,5.4,7.78,3.24,11.15,-5.17,3.02,-9.13,2.47,13.93,-44.28,-46.01,3.64,-30.45,79.8,76.37,28.78,42.67,49.97,-3.05,79.75
EBITDA Margin,25.36%,16.71%,19.80%,30.34%,20.86%,25.24%,21.87%,15.15%,16.96%,11.09%,11.96%,16.04%,12.71%,9.04%,5.40%,3.22%,9.96%,17.05%,7.81%,7.92%,4.71%,6.72%,2.88%,8.52%,-3.01%,2.05%,-6.47%,1.48%,6.16%,-22.70%,-21.03%,1.57%,-14.00%,31.12%,26.74%,9.23%,12.69%,14.57%,-0.81%,19.28%
Depreciation & Amortization,1.1,1.16,1.11,1.1,0.95,0.62,0.75,0.95,0.98,0.9,0.94,0.9,0.91,1.6,1.8,2.28,2.36,2.41,2.75,3.07,2.39,2.8,2.69,2.71,6.73,2.88,2.93,5.88,4.89,5.4,5.83,6.28,6.76,7.31,7.93,7.92,7.94,8.08,9.06,10.33
EBIT,9.06,4.89,6.25,12.35,8.82,10.68,9.47,6.68,8.52,5.26,6.09,10.63,9.52,5.56,2.51,0.63,7.07,14.85,5,5.24,3.01,4.98,0.55,8.44,-11.9,0.14,-12.06,-3.41,9.04,-49.68,-51.84,-2.64,-37.21,72.49,68.44,20.86,34.73,41.88,-12.11,69.42
EBIT Margin,22.63%,13.50%,16.82%,27.85%,18.84%,23.86%,20.28%,13.27%,15.21%,9.47%,10.36%,14.79%,11.60%,7.01%,3.15%,0.70%,7.47%,14.67%,5.04%,5.00%,2.63%,4.30%,0.49%,6.45%,-6.92%,0.10%,-8.54%,-2.05%,4.00%,-25.47%,-23.70%,-1.14%,-17.10%,28.27%,23.96%,6.69%,10.33%,12.21%,-3.23%,16.79%
