,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-03-27,2016-06-26,2016-09-25,2016-12-31,2017-03-26,2017-06-25,2017-09-24,2017-12-31,2018-03-25,2018-06-24,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-03-28,2021-06-27,2021-09-26,2021-12-31,2022-03-27,2022-06-26,2022-09-25,2022-12-31,2023-03-26,2023-06-25,2023-09-24,2023-12-31
Other Long-Term Liabilities,"13,972","14,615","14,061","16,392","16,261","16,292","16,364","17,984","17,749","17,509","17,580","19,376","19,378","19,438","19,419","20,970","19,298","17,286","15,803","16,425","17,138","17,175","17,171","18,981","18,670","18,755","18,911","19,070","18,730","18,662","15,518","14,247","14,316","12,203","12,237","12,298","12,509","12,772","12,978","11,393"
Total Long-Term Liabilities,"20,124","20,784","20,226","22,534","24,665","24,242","23,824","32,289","32,069","31,816","31,884","33,658","33,654","33,721","33,687","34,483","32,771","30,765","29,289","29,029","29,759","29,812","29,823","30,385","30,109","30,929","30,586","30,739","30,387","30,327","27,186","25,917","25,461","23,847","23,717","27,727","27,994","30,034","30,199","28,684"
Total Liabilities,"32,119","32,931","32,359","33,646","36,232","36,866","36,804","46,207","46,981","47,411","46,309","46,200","47,251","47,362","46,771","47,396","46,745","44,646","44,493","43,427","45,162","44,944","45,338","44,357","45,761","45,817","45,787","44,672","45,104","45,569","42,212","39,914","41,508","40,326","40,064","43,614","44,976","47,738","47,392","45,621"
Total Debt,"6,152","6,169","6,165","6,142","8,404","8,402","8,412","15,261","15,276","14,809","14,304","14,282","14,276","14,283","14,268","14,263","14,223","14,229","14,726","14,104","13,921","13,537","13,552","12,654","12,689","12,674","12,675","12,169","12,163","12,171","11,674","11,670","11,645","11,644","11,480","15,547","15,600","17,545","17,389","17,459"
Debt Growth,-2.41%,0.47%,0.15%,-0.16%,36.61%,36.20%,36.45%,148.47%,81.77%,76.26%,70.04%,-6.42%,-6.55%,-3.55%,-0.25%,-0.13%,-0.37%,-0.38%,3.21%,-1.11%,-2.12%,-4.86%,-7.97%,-10.28%,-8.85%,-6.38%,-6.47%,-3.83%,-4.15%,-3.97%,-7.90%,-4.10%,-4.26%,-4.33%,-1.66%,33.22%,33.96%,50.68%,51.47%,12.30%
Common Stock,315,315,314,314,313,309,306,303,303,301,291,289,288,286,285,284,213,283,283,281,281,281,281,280,279,278,368,500,343,398,372,365,265,264,261,346,254,251,354,240
Retained Earnings,"13,922","13,988","14,124","14,956","14,922","14,129","13,828","14,238","14,128","13,800","13,023","13,324","13,087","12,616","13,173","11,405","14,123","14,528","14,737","15,434","16,278","16,408","17,265","18,401","18,708","18,876","19,844","21,636","21,977","21,961","21,476","21,600","20,716","19,336","19,839","16,943","17,478","17,068","17,066","15,398"
Comprehensive Income,"-9,437","-9,984","-9,864","-11,870","-11,715","-11,456","-11,321","-11,444","-11,254","-11,104","-10,991","-12,102","-11,892","-11,637","-11,360","-12,539","-14,589","-14,395","-14,077","-14,321","-14,094","-13,839","-13,653","-15,554","-15,541","-15,403","-15,259","-16,121","-16,008","-15,837","-12,217","-11,006","-10,979","-8,168","-8,134","-8,023","-8,086","-8,079","-8,146","-8,803"
Shareholders' Equity,"4,800","4,319","4,574","3,400","3,520","2,982","2,813","3,097","3,177","2,997","2,323","1,511","1,483","1,265","2,098",-850,-253,416,943,"1,394","2,465","2,850","3,893","3,127","3,446","3,751","4,953","6,015","6,312","6,522","9,631","10,959","10,002","11,432","11,966","9,266","9,646","9,240","9,274","6,835"
Net Cash / Debt,"-2,888","-2,733","-3,202","-4,696","-4,918","-5,200","-5,112","-14,171","-13,824","-13,540","-11,409","-12,445","-12,060","-11,831","-11,327","-11,402","-11,830","-13,048","-13,829","-13,332","-12,930","-12,370","-11,013","-11,140","-10,701","-9,819","-9,090","-9,009","-9,230","-9,426","-8,947","-8,066","-9,762","-9,869","-9,050","-13,000","-13,160","-13,872","-13,838","-16,017"
Working Capital,"2,239","2,016","1,551","1,210","3,651","2,663","2,075",655,855,478,"2,685","2,566","2,989","2,925","4,124","4,592","3,842","2,623","1,655","1,705","2,628","2,968","4,288","3,123","3,570","4,682","5,089","5,445","5,535","5,432","6,331","5,818","4,343","4,494","4,613","5,104","5,162","6,383","6,129","3,584"
Book Value Per Share,14.93,13.61,14.41,10.76,11.15,9.47,9.06,10.08,10.40,9.84,7.67,5.16,5.11,4.37,7.29,-2.96,-0.89,1.46,3.31,4.90,8.72,10.09,13.79,11.09,12.22,13.38,17.72,21.50,22.54,23.47,34.78,39.74,36.73,42.96,45.13,35.36,37.78,36.48,36.83,27.55
