,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"6,672","6,582","6,428","6,959","6,575","5,954","6,563","5,455","4,473","5,045","6,431","7,843","7,710","7,877","7,389","7,059","7,897","8,082","9,803","9,287","8,625","8,225","10,908","9,067","7,721","13,778","14,036","14,275","11,718","11,427","11,087","10,959","9,281","8,248","7,449","9,627","6,869","8,626","7,770","7,925"
Short-Term Investments,"1,531","2,207","2,336","2,145","2,376","3,883","3,800","2,103","1,919","1,927","2,189","1,520","1,885","1,944","2,781","3,758","2,383","1,768","1,850","1,623","2,059","1,718","1,456","1,349","1,070","1,349",972,945,942,891,"1,049",564,493,411,516,483,371,143,164,170
Cash & Cash Equivalents,"8,203","8,789","8,764","9,104","8,951","9,837","10,363","7,558","6,392","6,972","8,620","9,363","9,595","9,821","10,170","10,817","10,280","9,850","11,653","10,910","10,684","9,943","12,364","10,416","8,791","15,127","15,008","15,220","12,660","12,318","12,136","11,523","9,774","8,659","7,965","10,110","7,240","8,769","7,934","8,095"
Cash Growth,60.00%,68.08%,41.54%,12.49%,9.12%,11.92%,18.25%,-16.98%,-28.59%,-29.12%,-16.82%,23.88%,50.11%,40.86%,17.98%,15.53%,7.14%,0.30%,14.58%,0.86%,3.93%,0.94%,6.10%,-4.53%,-17.72%,52.14%,21.38%,46.12%,44.01%,-18.57%,-19.14%,-24.29%,-22.80%,-29.70%,-34.37%,-12.26%,-25.93%,1.27%,-0.39%,-19.93%
Receivables,"8,081","8,350","8,315","7,960","8,158","8,237","7,936","8,075","8,397","8,730","8,627","8,177","8,155","8,442","8,587","8,866","8,778","8,600","8,568","7,508","7,307","7,407","7,583","7,493","7,452","6,717","6,878","6,827","6,675","6,947","7,239","6,830","7,119","7,738","7,363","7,440","7,862","7,994","7,833","7,530"
Inventory,"4,407","4,511","4,485","4,405","4,507","4,447","4,441","4,420","4,743","4,678","4,587","4,366","4,652","4,651","4,751","4,613","4,766","4,792","5,061","4,326","4,548","4,600","4,601","4,421","4,584","4,753","4,705","4,489","4,607","4,723","4,967","5,138","5,472","5,576","5,501","5,538","5,776","5,890","6,000","6,178"
Other Current Assets,840,803,794,722,656,659,739,0,0,0,0,"1,152","1,178","1,150","1,136","1,706","1,763","1,537","1,346","1,618","1,795","1,818","1,640","1,973","1,786","1,724","1,609","1,639","1,645","1,664","1,691","1,881","1,916","1,874","1,696","1,894","1,632","1,530","1,553","1,699"
Total Current Assets,"21,531","22,453","22,358","22,191","22,272","23,180","23,479","20,053","19,532","20,380","21,834","23,058","23,580","24,064","24,644","26,002","25,587","24,779","26,628","24,362","24,334","23,768","26,188","24,303","22,613","28,321","28,200","28,175","25,587","25,652","26,033","25,372","24,281","23,847","22,525","24,982","22,510","24,183","23,320","23,502"
"Property, Plant & Equipment","5,284","5,316","5,189","5,383","5,300","5,381","5,451","5,789","6,027","6,086","5,725","5,793","5,816","5,718","5,757","5,926","6,083","5,968","5,966","5,296","5,276","5,260","5,240","5,325","5,214","5,327","5,419","5,570","5,547","5,520","5,514","5,562","5,470","5,342","5,339","5,471","5,472","5,486","5,486","5,660"
Long-Term Investments,465,488,447,465,464,491,471,517,592,561,639,587,533,570,643,667,737,897,754,742,747,747,631,588,613,626,673,685,746,"1,358","1,243","1,222","1,035",797,807,945,905,911,895,939
Goodwill and Intangibles,"15,473","15,427","15,211","14,996","14,875","14,904","14,755","20,472","21,414","21,245","22,693","22,341","22,419","22,604","22,855","22,773","22,982","22,398","22,388","19,685","19,594","19,506","19,213","19,297","18,862","19,069","19,160","19,618","20,780","20,883","20,600","21,369","21,397","20,913","20,194","20,719","20,755","21,369","21,103","21,280"
Other Long-Term Assets,"3,024","2,912","2,976","2,416","2,446","2,456","2,469","2,485","2,800","2,909","2,665","2,367","2,431","2,712","2,869","4,102","5,559","5,818","6,191","7,688","8,609","8,469","8,832","9,166","10,120","10,261","10,007","10,538","10,901","10,532","10,801","10,945","11,169","11,359","11,422","10,158","10,241","10,388","10,492","10,144"
Total Long-Term Assets,"24,246","24,143","23,823","23,260","23,085","23,232","23,146","29,263","30,833","30,801","31,722","31,088","31,199","31,604","32,124","33,468","35,361","35,081","35,299","33,411","34,226","33,982","33,916","34,376","34,809","35,283","35,259","36,411","37,974","38,293","38,158","39,098","39,071","38,411","37,762","37,293","37,373","38,154","37,976","38,023"
Total Assets,"45,777","46,596","46,181","45,451","45,357","46,412","46,625","49,316","50,365","51,181","53,556","54,146","54,779","55,668","56,768","59,470","60,948","59,860","61,927","57,773","58,560","57,750","60,104","58,679","57,422","63,604","63,459","64,586","63,561","63,945","64,191","64,470","63,352","62,258","60,287","62,275","59,883","62,337","61,296","61,525"
Accounts Payable,"5,133","5,276","5,212","5,365","5,263","5,352","5,363","5,580","5,511","5,598","5,418","5,690","5,805","5,971","6,061","6,584","6,641","6,808","7,050","5,607","5,582","5,602","5,522","5,730","5,676","5,366","5,270","5,750","5,792","6,139","6,116","6,484","6,285","6,245","6,118","6,329","6,443","6,445","6,428","6,849"
Current Debt,"2,552","2,405","2,129","2,637","4,046","4,157","4,968","6,514","4,257","4,406","6,250","3,593","4,686","5,181","5,330","5,309","5,549","4,580","4,192","6,458","7,514","7,575","7,510","4,892","4,570","4,498","4,535","6,042","5,203","5,218","6,903","5,345","6,733","6,586","4,749","4,447","4,492","3,773","3,603","3,881"
Other Current Liabilities,"6,668","6,643","6,606","6,771","6,123","6,065","6,036","6,277","5,891","5,907","6,545","7,048","6,790","6,829","6,834","6,968","6,565","6,630","6,658","6,859","6,497","6,717","6,883","7,476","7,131","7,477","7,379","7,405","6,955","6,786","7,188","7,679","7,009","7,116","7,242","9,162","6,961","6,956","7,196","7,809"
Total Current Liabilities,"14,353","14,324","13,947","14,773","15,432","15,574","16,367","18,371","15,659","15,911","18,213","16,331","17,281","17,981","18,225","18,861","18,755","18,018","17,900","18,924","19,593","19,894","19,915","18,098","17,377","17,341","17,184","19,197","17,950","18,143","20,207","19,508","20,027","19,947","18,109","19,938","17,896","17,174","17,227","18,539"
Long-Term Debt,"6,804","6,839","6,760","6,046","5,661","5,562","5,599","5,554","9,700","9,607","9,608","12,182","11,181","11,329","11,453","12,573","12,738","12,504","14,059","9,756","8,598","8,608","11,101","11,110","11,542","17,591","17,687","16,342","16,124","16,138","14,346","14,254","12,636","12,491","12,236","15,123","14,670","17,600","16,683","16,562"
Other Long-Term Liabilities,"6,577","6,616","6,411","6,848","6,587","6,679","6,763","6,973","6,634","6,721","6,364","6,086","5,842","5,808","5,862","11,371","11,681","11,565","11,552","10,735","11,413","11,188","10,782","10,765","10,638","10,306","10,275","11,257","11,235","11,462","11,524","11,466","11,638","11,630","11,612","9,895","9,802","9,669","9,611","9,990"
Total Long-Term Liabilities,"13,381","13,455","13,171","12,894","12,248","12,241","12,362","12,527","16,334","16,328","15,972","18,268","17,023","17,137","17,315","23,944","24,419","24,069","25,611","20,491","20,011","19,796","21,883","21,875","22,180","27,897","27,962","27,599","27,359","27,600","25,870","25,720","24,274","24,121","23,848","25,018","24,472","27,269","26,294","26,552"
Total Liabilities,"27,734","27,779","27,118","27,667","27,680","27,815","28,729","30,898","31,993","32,239","34,185","34,599","34,304","35,118","35,540","42,805","43,174","42,087","43,511","39,415","39,604","39,690","41,798","39,973","39,557","45,238","45,146","46,796","45,309","45,743","46,077","45,228","44,301","44,068","41,957","44,956","42,368","44,443","43,521","45,091"
Total Debt,"9,356","9,244","8,889","8,683","9,707","9,719","10,567","12,068","13,957","14,013","15,858","15,775","15,867","16,510","16,783","17,882","18,287","17,084","18,251","16,214","16,112","16,183","18,611","16,002","16,112","22,089","22,222","22,384","21,327","21,356","21,249","19,599","19,369","19,077","16,985","19,570","19,162","21,373","20,286","20,443"
Debt Growth,21.52%,20.02%,3.26%,-1.65%,3.75%,5.14%,18.88%,38.98%,43.78%,44.18%,50.07%,30.72%,13.68%,17.82%,5.83%,13.36%,15.25%,3.48%,8.75%,-9.33%,-11.89%,-5.27%,1.97%,-1.31%,-,36.50%,19.40%,39.88%,32.37%,-3.32%,-4.38%,-12.44%,-9.18%,-10.67%,-20.07%,-0.15%,-1.07%,12.04%,19.43%,4.46%
Common Stock,"-3,860","-3,914","-3,920","-3,999","-4,170","-4,159","-5,300","-5,329","-6,222","-6,432","-6,517","-6,627","-6,641","-7,144","-7,333","-8,744","-9,626","-10,282","-10,746","-12,361","-12,782","-14,418","-15,371","-16,002","-17,638","-17,623","-17,693","-18,979","-19,512","-20,454","-21,044","-21,363","-22,136","-23,459","-23,764","-24,921","-25,340","-25,686","-26,644","-27,988"
Retained Earnings,"21,039","21,773","22,576","23,115","23,811","24,585","25,433","26,147","26,874","27,702","28,190","28,710","29,526","30,406","31,247","27,481","29,395","30,104","31,110","33,978","34,794","35,741","36,775","37,693","38,635","39,080","39,203","39,905","40,682","41,467","42,079","42,827","43,288","43,883","44,767","45,093","45,797","46,596","47,426","47,979"
Comprehensive Income,748,837,281,"-1,459","-2,099","-1,969","-2,373","-2,535","-2,455","-2,499","-2,482","-2,714","-2,562","-2,837","-2,840","-2,235","-2,174","-2,222","-2,125","-3,437","-3,245","-3,453","-3,295","-3,197","-3,353","-3,310","-3,436","-3,377","-3,184","-3,075","-3,193","-2,895","-2,787","-2,883","-3,296","-3,475","-3,538","-3,611","-3,551","-4,135"
Shareholders' Equity,"17,927","18,696","18,937","17,657","17,542","18,457","17,760","18,283","18,197","18,771","19,191","19,369","20,323","20,425","21,074","16,502","17,595","17,600","18,239","18,180","18,767","17,870","18,109","18,494","17,644","18,147","18,074","17,549","17,986","17,938","17,842","18,569","18,365","17,541","17,707","16,697","16,919","17,299","17,231","15,856"
Net Cash / Debt,"-1,153",-455,-125,421,-756,118,-204,"-4,510","-7,565","-7,041","-7,238","-6,412","-6,272","-6,689","-6,613","-7,065","-8,007","-7,234","-6,598","-5,304","-5,428","-6,240","-6,247","-5,586","-7,321","-6,962","-7,214","-7,164","-8,667","-9,038","-9,113","-8,076","-9,595","-10,418","-9,020","-9,460","-11,922","-12,604","-12,352","-12,348"
Working Capital,"7,178","8,129","8,411","7,418","6,840","7,606","7,112","1,682","3,873","4,469","3,621","6,727","6,299","6,083","6,419","7,141","6,832","6,761","8,728","5,438","4,741","3,874","6,273","6,205","5,236","10,980","11,016","8,978","7,637","7,509","5,826","5,864","4,254","3,900","4,416","5,044","4,614","7,009","6,093","4,963"
