,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Other Long-Term Liabilities,638.49,648.43,707.2,697.53,849.76,787.95,790.51,768.04,794.88,744.89,727.71,712.55,857.89,804.65,759.63,751.44,924.18,876.43,856.75,869.4,878.18,846.44,857.48,882.6,997.43,917.15,940.07,983.91,"1,022","1,024","1,049","1,027","1,069","1,181","1,186","1,163","1,092","1,112","1,107","1,137"
Total Long-Term Liabilities,"1,138","1,148","1,207","1,198","1,350","1,288","1,291","1,268","1,045",994.89,977.71,"1,013","1,408","1,355","1,310","1,301","3,474","3,441","3,347","3,333","3,310","3,952","4,453","4,476","4,556","4,447","4,424","4,464","4,328","4,271","4,320","4,241","4,267","5,416","5,291","5,204","5,005","5,050","4,956","5,020"
Total Liabilities,"4,322","4,571","4,714","4,833","4,934","5,047","5,158","5,032","4,986","5,207","5,384","5,414","5,652","5,934","6,111","6,104","8,948","9,198","9,004","8,994","9,211","10,498","10,951","10,848","10,950","11,028","10,393","10,441","10,222","10,607","10,841","10,778","10,849","12,665","12,585","12,699","12,691","12,968","12,856","12,821"
Total Debt,764.66,899.76,806.36,835.39,765.47,893.7,850,625,625,700,775,775,875,"1,025","1,130","1,145","3,245","3,316","3,177","2,914","3,143","4,138","4,607","4,215","4,183","4,439","3,973","3,686","3,466","3,407","3,319","3,214","3,199","4,355","4,119","4,043","4,165","4,229","4,266","4,237"
Debt Growth,52.93%,-1.64%,-10.41%,0.18%,0.11%,-0.67%,5.41%,-25.19%,-18.35%,-21.67%,-8.82%,24.00%,40.00%,46.43%,45.81%,47.74%,270.86%,223.49%,181.15%,154.49%,-3.13%,24.81%,45.02%,44.66%,33.07%,7.26%,-13.76%,-12.54%,-17.12%,-23.24%,-16.46%,-12.81%,-7.73%,27.82%,24.10%,25.78%,30.21%,-2.90%,3.58%,4.80%
Common Stock,168.71,170.88,175.12,179.22,179.53,181.9,186.02,189.97,191.43,194.67,199.01,203.74,205.02,205.06,208.44,212.77,214.78,214.87,218.96,224.32,224.32,223.49,230.03,235.85,244.16,248.13,252.08,257.54,261.52,262.33,255.27,260.73,262.16,267.69,264.67,273.2,281.27,288.24,294.22,303.84
Retained Earnings,"3,578","3,625","3,703","3,765","3,842","3,826","3,867","3,883","3,886","3,900","3,921","3,984","4,002","3,964","4,001","4,042","4,050","4,114","4,236","4,349","4,341","4,517","4,630","4,675","4,572","4,488","3,810","3,923","3,980","4,086","3,982","3,996","4,086","4,133","4,329","4,466","4,542","4,645","4,789","4,970"
Comprehensive Income,-397.66,-393.76,-351.42,-446.85,-720.21,-827.68,-809.5,-914.59,-930.62,-862.52,-882.17,-865.51,"-1,013.02",-950.27,-921.39,-876.93,-852.59,-819.26,-943.35,-962.28,"-1,115.08","-1,189.99","-1,195.18","-1,268.58","-1,141.31","-1,333.33","-1,212.37","-1,166.57","-1,036.5","-1,023.76","-1,003.55","-1,073.09",-857.74,-804.88,-953.23,"-1,074.32","-1,032.54","-1,006.8","-1,011.86","-1,087.26"
Shareholders' Equity,"3,349","3,402","3,527","3,497","3,301","3,180","3,244","3,159","3,147","3,232","3,238","3,322","3,194","3,219","3,288","3,378","3,412","3,510","3,512","3,611","3,450","3,551","3,665","3,642","3,675","3,403","2,849","3,014","3,205","3,325","3,234","3,183","3,491","3,596","3,641","3,664","3,790","3,926","4,071","4,186"
Net Cash / Debt,-567.77,-796.28,-653.5,-699.86,-627.74,-727.2,-626.16,-425.71,-413.37,-494.87,-541.37,-549.82,-632.12,-847.08,-926.86,-934.92,"-2,930.11","-2,989.75","-2,821.83","-2,554.84","-2,809.73","-3,781.38","-4,044.57","-3,763.9","-3,905.63","-4,084.35","-2,989.54","-2,786.3","-2,476.27","-2,289.31","-2,331.76","-2,295.19","-2,483.84","-3,744.42","-3,599.88","-3,413.59","-3,511.38","-3,577.64","-3,736.21","-3,582.3"
Net Cash Per Share,-3.66,-5.14,-4.23,-4.54,-4.07,-4.74,-4.09,-2.80,-2.73,-3.29,-3.61,-3.67,-4.24,-5.69,-6.28,-6.35,-19.91,-20.29,-19.16,-17.33,-19.11,-25.78,-27.56,-25.75,-26.74,-28.05,-20.72,-19.21,-16.86,-15.76,-16.08,-15.98,-17.37,-26.21,-25.30,-24.02,-24.73,-25.24,-26.45,-25.42
Working Capital,"2,038","1,924","2,006","1,950","2,008","1,875","1,896","1,859","1,615","1,558","1,460","1,507","1,704","1,614","1,500","1,514","1,839","1,824","1,866","1,889","1,675","1,341","1,686","1,686","1,544","1,412","1,323","1,399","1,220","1,342","1,200","1,245","1,175","1,178","1,232","1,328","1,131","1,267","1,184","1,230"
Book Value Per Share,21.74,22.13,22.98,22.86,21.58,20.83,21.32,20.87,20.90,21.60,21.69,22.31,21.51,21.73,22.36,23.02,23.27,23.92,23.93,24.61,23.57,24.32,25.09,25.02,25.29,23.46,19.75,20.89,22.21,23.02,22.43,22.28,24.54,25.34,25.71,25.93,26.87,27.88,28.96,29.83
