,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Long-Term Debt,"19,330","20,458","20,473","20,666","21,805","21,353","23,054","23,245","23,468","24,186","24,787","28,707","30,231","31,096","30,155","30,886","30,948","31,120","32,115","32,188","31,144","37,279","37,052","34,029","28,998","34,615","37,146","33,145","33,957","33,248","34,585","34,775","37,426","36,659","38,259","38,162","34,584","40,158","39,223","33,057"
Other Long-Term Liabilities,"11,873","11,944","12,082","12,327","13,367","13,366","13,297","13,332","13,459","13,786","13,864","15,673","16,424","16,733","17,040","17,444","16,631","16,853","17,006","17,256","17,075","25,400","25,886","26,182","30,852","26,311","26,161","25,764","24,644","24,581","24,818","24,574","24,573","24,482","23,956","24,628","28,328","24,049","24,427","23,225"
Total Long-Term Liabilities,"31,203","32,402","32,555","32,993","35,172","34,719","36,351","36,577","36,927","37,972","38,651","44,380","46,655","47,829","47,195","48,330","47,579","47,973","49,121","49,444","48,219","62,679","62,938","60,211","59,850","60,926","63,307","58,909","58,601","57,829","59,403","59,349","61,999","61,141","62,215","62,790","62,912","64,207","63,650","56,282"
Total Liabilities,"38,197","38,753","39,798","40,572","42,370","42,740","43,087","43,323","45,046","45,490","45,917","53,407","54,770","55,671","56,697","56,889","57,215","57,312","58,039","58,656","55,866","72,455","72,441","72,402","69,790","71,374","72,844","76,469","69,444","69,665","71,079","72,572","70,672","71,722","75,381","74,962","76,362","76,969","77,636","77,915"
Total Debt,"22,776","23,346","24,418","24,886","25,955","26,375","26,986","27,328","28,802","28,988","29,572","34,735","35,095","36,114","37,038","36,734","37,324","37,436","37,810","38,224","35,175","42,771","41,963","41,273","32,309","39,724","40,556","38,398","37,014","38,702","39,709","41,505","40,581","41,757","43,884","43,994","41,344","48,056","48,597","41,889"
Debt Growth,6.00%,9.48%,10.58%,14.03%,13.96%,12.97%,10.52%,9.81%,10.97%,9.91%,9.58%,27.10%,21.85%,24.58%,25.25%,5.76%,6.35%,3.66%,2.08%,4.06%,-5.76%,14.25%,10.98%,7.98%,-8.15%,-7.12%,-3.35%,-6.97%,14.56%,-2.57%,-2.09%,8.09%,9.64%,7.89%,10.51%,6.00%,1.88%,15.08%,10.74%,-4.78%
Common Stock,"5,783","5,785","5,861","5,788","5,876","6,170","6,530","6,606","6,680","6,778","8,160","8,592","8,550","8,629","8,717","9,789","9,865","10,316","10,782","10,862","12,588","20,834","22,256","23,727","26,211","26,289","26,371","24,317","23,989","23,697","23,756","23,960","23,393","23,440","25,210","25,263","25,388","25,435","25,487","25,503"
Retained Earnings,"6,183","6,213","6,023","6,202","6,095","6,250","6,278","6,487","6,458","6,565","6,585","6,837","6,854","7,023","6,938","7,119","7,936","8,924","8,820","9,128","9,219","7,806","7,124","7,336","7,576","6,455","4,480","4,035","4,189","4,673","4,434","4,562","5,373","5,516","4,483","4,684","4,065","4,486","4,507","4,090"
Comprehensive Income,-324,-299,-317,-417,-416,-409,-386,-501,-474,-463,-493,-471,-799,-735,-682,-628,-659,"-1,551","-1,538","-1,520","-1,700","-1,731","-1,683","-1,777","-1,793","-2,018","-1,980","-2,016","-1,717","-1,671","-1,640","-1,616","-1,458","-1,436","-1,396","-1,374","-1,572","-1,565","-1,566","-1,565"
Shareholders' Equity,"11,642","11,699","11,567","11,573","11,555","12,011","12,422","12,592","12,664","12,880","14,252","14,958","14,605","14,917","14,973","16,280","17,142","17,689","18,064","18,470","20,107","26,909","27,697","29,286","31,994","30,726","28,871","26,336","26,461","26,699","26,550","26,906","27,308","27,520","28,297","28,573","27,881","28,356","28,428","28,028"
Net Cash / Debt,"-21,773","-22,646","-23,999","-24,668","-25,101","-26,100","-26,715","-26,847","-27,940","-28,770","-28,679","-34,484","-34,834","-35,628","-36,778","-36,507","-37,204","-37,247","-37,620","-37,914","-34,907","-42,349","-41,581","-40,840","-32,174","-38,532","-39,881","-37,985","-36,842","-38,225","-39,469","-41,325","-40,176","-41,313","-41,016","-43,161","-40,205","-46,000","-48,200","-41,531"
Working Capital,"-1,054",-873,"-1,682","-2,133","-1,583","-2,968","-2,284","-2,623","-3,930","-3,807","-3,123","-5,228","-3,867","-3,557","-5,591","-4,565","-5,302","-5,058","-4,308","-3,510","-2,486","-3,801","-3,776","-5,922","-3,844","-3,912","-3,413","2,269","-3,957","-5,174","-4,753","-3,925","-1,404","-2,198","-1,778","-3,473","-3,600","-3,157","-6,009","3,046"
Book Value Per Share,20.06,20.12,19.89,19.86,19.79,20.42,21.08,21.19,21.27,21.60,23.13,24.27,23.30,23.75,23.80,25.34,26.64,27.15,27.68,28.25,30.69,33.66,34.52,36.45,38.87,36.67,34.40,31.35,32.44,33.14,32.92,33.28,33.72,33.96,34.88,34.32,33.46,33.95,34.01,33.49
