,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,185,175,212,214,196,268,309,293,202,240,207,181,197,222,195,191,194,193,193,226,195,186,207,204,680,704,650,564,540,609,717,459,487,456,461,493,599,410,439,548
Cash & Cash Equivalents,185,175,212,214,196,268,309,293,202,240,207,181,197,222,195,191,194,193,193,226,195,186,207,204,680,704,650,564,540,609,717,459,487,456,461,493,599,410,439,548
Cash Growth,3.93%,-25.21%,-4.50%,-9.70%,5.95%,53.14%,45.75%,36.92%,3.06%,-10.45%,-33.01%,-38.23%,-2.48%,-7.50%,-5.80%,5.52%,-1.52%,-13.06%,-1.03%,18.32%,0.52%,-3.63%,7.25%,-9.73%,248.72%,278.49%,214.01%,176.47%,-20.59%,-13.49%,10.31%,-18.62%,-9.81%,-25.12%,-35.70%,7.41%,23.00%,-10.09%,-4.77%,11.16%
Receivables,"1,167","1,226","1,126","1,200","1,216","1,188","1,120","1,038","1,106","1,177","1,163","1,211","1,405","1,437","1,425","1,386","1,749","1,707","1,772","1,483","1,582","1,518","1,470","1,375","1,436","1,326","1,454","1,515","1,669","1,740","1,707","1,580","1,648","1,635","1,594","1,277","1,337","1,205","1,149","1,154"
Inventory,"1,377","1,354","1,358","1,509","1,447","1,439","1,484","1,479","1,493","1,445","1,471","1,404","1,495","1,540","1,576","1,509","1,476","1,532","1,625","1,583","1,704","1,730","1,695","1,662","1,659","1,419","1,338","1,379","1,505","1,501","1,630","1,504","1,671","1,826","1,975","1,894","1,944","1,960","1,721","1,683"
Other Current Assets,220,231,194,250,307,272,269,68,62,68,59,70,68,63,49,57,64,66,57,73,70,82,68,80,76,77,92,83,83,888,821,"1,103","1,123",86,75,114,93,96,258,96
Total Current Assets,"2,949","2,986","2,890","3,173","3,166","3,167","3,182","2,878","2,863","2,930","2,900","2,866","3,165","3,262","3,245","3,143","3,483","3,498","3,647","3,365","3,551","3,516","3,440","3,321","3,851","3,526","3,534","3,541","3,797","4,738","4,875","4,646","4,929","4,003","4,105","3,778","3,973","3,671","3,567","3,481"
"Property, Plant & Equipment","4,301","4,343","4,352","5,087","4,957","5,011","5,045","5,130","5,185","5,162","5,197","5,276","5,321","5,403","5,485","5,607","5,632","5,570","5,570","5,600","5,576","5,550","5,534","5,571","5,498","5,478","5,489","5,549","5,466","5,181","5,172","4,996","4,997","4,959","4,982","5,160","5,258","5,402","5,426","5,548"
Goodwill and Intangibles,"4,374","4,582","4,524","7,391","7,240","7,251","7,200","7,168","7,164","7,105","7,017","6,940","6,918","6,940","6,924","6,900","6,889","6,792","6,740","6,652","6,607","6,574","6,498","6,442","6,379","6,242","6,245","6,257","6,187","5,443","5,451","5,003","4,968","4,911","4,850","4,874","4,906","4,877","4,791","4,784"
Other Long-Term Assets,323,327,369,421,471,457,453,404,404,385,375,375,351,359,370,349,362,400,405,378,627,616,665,674,737,727,741,736,745,736,761,874,912,"1,002","1,048",855,846,821,810,820
Total Long-Term Assets,"8,998","9,252","9,245","12,899","12,668","12,719","12,698","12,702","12,753","12,652","12,589","12,591","12,590","12,702","12,779","12,856","12,883","12,762","12,715","12,630","12,810","12,740","12,697","12,687","12,614","12,447","12,475","12,542","12,398","11,360","11,384","10,873","10,877","10,872","10,880","10,889","11,010","11,100","11,027","11,152"
Total Assets,"11,947","12,238","12,135","16,072","15,834","15,886","15,880","15,580","15,616","15,582","15,489","15,457","15,755","15,964","16,024","15,999","16,366","16,260","16,362","15,995","16,361","16,256","16,137","16,008","16,465","15,973","16,009","16,083","16,195","16,098","16,259","15,519","15,806","14,875","14,985","14,667","14,983","14,771","14,594","14,633"
Accounts Payable,"1,259","1,274","1,398","1,721","1,413","1,570","1,549","1,625","1,334","1,467","1,531","1,512","1,332","1,384","1,402","1,589","1,440","1,406","1,425","1,608","1,490","1,495","1,438","1,618","1,420","1,176","1,419","1,689","1,692","1,873","1,970","2,133","2,053","2,169","2,121","2,125","1,957","1,943","1,940","2,035"
Current Debt,0,0,0,301,351,251,251,431,513,722,675,283,305,212,369,393,589,662,728,243,862,731,642,171,895,702,370,349,324,325,"1,046",747,984,979,"1,086","1,126","1,014",844,640,541
Other Current Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,91,99,0,0,0,0,0,35,0
Total Current Liabilities,"1,259","1,274","1,398","2,022","1,764","1,821","1,800","2,056","1,847","2,189","2,206","1,795","1,637","1,596","1,771","1,982","2,029","2,068","2,153","1,851","2,352","2,226","2,080","1,789","2,315","1,878","1,789","2,038","2,016","2,295","3,113","2,971","3,136","3,148","3,207","3,251","2,971","2,787","2,615","2,576"
Long-Term Debt,"4,635","4,773","4,563","7,248","7,293","7,072","7,029","6,577","6,565","6,082","5,933","6,311","6,578","6,669","6,325","6,147","6,311","6,033","5,898","5,925","5,602","5,624","5,567","5,611","5,399","5,431","5,495","5,269","5,200","5,223","4,442","4,412","4,379","4,012","3,979","4,025","4,636","4,593","4,580","4,305"
Other Long-Term Liabilities,"2,245","2,232","2,195","3,212","3,255","3,148","3,095","2,926","2,919","2,858","2,834","2,743","2,813","2,809","2,829","2,390","2,406","2,385","2,316","2,341","2,488","2,460","2,393","2,576","2,559","2,566","2,569","2,668","2,660","2,552","2,497","2,348","2,314","2,308","2,332","2,155","2,114","2,039","1,975","2,222"
Total Long-Term Liabilities,"6,880","7,005","6,758","10,460","10,548","10,220","10,124","9,503","9,484","8,940","8,767","9,054","9,391","9,478","9,154","8,537","8,717","8,418","8,214","8,266","8,090","8,084","7,960","8,187","7,958","7,997","8,064","7,937","7,860","7,775","6,939","6,760","6,693","6,320","6,311","6,180","6,750","6,632","6,555","6,527"
Total Liabilities,"8,139","8,279","8,156","12,482","12,312","12,041","11,924","11,559","11,331","11,129","10,973","10,849","11,028","11,074","10,925","10,519","10,746","10,486","10,367","10,117","10,442","10,310","10,040","9,976","10,273","9,875","9,853","9,975","9,876","10,070","10,052","9,731","9,829","9,468","9,518","9,431","9,721","9,419","9,170","9,103"
Total Debt,"4,635","4,773","4,563","7,549","7,644","7,323","7,280","7,008","7,078","6,804","6,608","6,594","6,883","6,881","6,694","6,540","6,900","6,695","6,626","6,168","6,464","6,355","6,209","5,782","6,294","6,133","5,865","5,618","5,524","5,548","5,488","5,159","5,363","4,991","5,065","5,151","5,650","5,437","5,220","4,846"
Debt Growth,-3.09%,2.01%,3.03%,77.46%,64.92%,53.43%,59.54%,-7.17%,-7.40%,-7.09%,-9.23%,-5.91%,-2.76%,1.13%,1.30%,-0.82%,0.25%,-2.70%,-1.02%,-5.69%,-6.32%,-5.08%,-6.29%,-6.26%,-2.63%,-3.49%,-5.54%,-2.84%,-12.23%,-9.54%,-6.43%,-8.17%,-2.91%,-10.04%,-7.71%,-0.16%,5.35%,8.94%,3.06%,-5.92%
Common Stock,-630,-722,-765,-758,-772,-766,-767,-815,-821,-831,-891,-908,-968,"-1,044","-1,130","-1,190","-1,269","-1,402","-1,512","-1,525","-1,638","-1,744","-1,806","-1,793","-1,819","-1,841","-1,824","-1,784","-1,779","-1,843","-1,973","-2,671","-2,656","-3,391","-3,529","-3,615","-3,605","-3,638","-3,628","-3,713"
Retained Earnings,"4,191","4,431","4,588","4,545","4,656","4,893","5,090","5,146","5,330","5,517","5,680","5,721","5,925","6,142","6,391","6,802","7,026","7,292","7,626","7,573","7,675","7,848","8,029","7,965","8,133","8,071","8,142","8,080","8,260","8,020","8,278","8,557","8,694","8,857","9,065","8,973","9,013","9,190","9,274","9,490"
Comprehensive Income,168,173,78,-277,-441,-363,-446,-390,-305,-311,-348,-281,-306,-286,-238,-209,-212,-193,-194,-245,-194,-235,-203,-214,-197,-209,-243,-273,-248,-233,-185,-182,-145,-143,-152,-205,-220,-271,-294,-319
Shareholders' Equity,"3,729","3,882","3,901","3,510","3,443","3,764","3,877","3,941","4,204","4,375","4,441","4,532","4,651","4,812","5,023","5,403","5,545","5,697","5,920","5,803","5,843","5,869","6,020","5,958","6,117","6,021","6,075","6,023","6,233","5,944","6,120","5,704","5,893","5,323","5,384","5,153","5,188","5,281","5,352","5,458"
Net Cash / Debt,"-4,450","-4,598","-4,351","-7,335","-7,448","-7,055","-6,971","-6,715","-6,876","-6,564","-6,401","-6,413","-6,686","-6,659","-6,499","-6,349","-6,706","-6,502","-6,433","-5,942","-6,269","-6,169","-6,002","-5,578","-5,614","-5,429","-5,215","-5,054","-4,984","-4,939","-4,771","-4,700","-4,876","-4,535","-4,604","-4,658","-5,051","-5,027","-4,781","-4,298"
Working Capital,"1,690","1,712","1,492","1,151","1,402","1,346","1,382",822,"1,016",741,694,"1,071","1,528","1,666","1,474","1,161","1,454","1,430","1,494","1,514","1,199","1,290","1,360","1,532","1,536","1,648","1,745","1,503","1,781","2,443","1,762","1,675","1,793",855,898,527,"1,002",884,952,905
Book Value Per Share,24.46,25.84,26.16,23.63,23.16,25.32,26.08,26.52,28.44,29.59,30.07,30.88,31.75,33.00,34.67,37.59,38.78,39.94,41.90,41.44,41.80,42.35,43.94,43.82,44.98,44.31,44.88,44.46,45.88,43.60,45.07,42.43,45.69,41.30,43.84,42.95,43.67,44.32,45.14,46.03
