,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Other Current Liabilities,"3,992","3,990","4,154","4,570","4,556","5,306","5,055","4,849","5,145","5,494","5,222","5,351","5,874","6,522","6,299","6,520","6,363","6,661","6,385","6,306","5,855","6,797","6,598","6,447","7,177","8,454","10,838","10,049","10,642","15,234","13,015","13,662","13,370","14,945","14,937","14,866","15,616","16,629","15,650","16,047"
Total Current Liabilities,"16,352","18,494","19,176","18,395","18,753","21,305","20,673","18,366","19,093","20,810","20,817","21,037","21,294","23,174","22,568","24,413","23,356","24,756","24,506","24,174","21,965","22,682","23,090","23,234","23,532","27,039","28,522","28,561","29,453","34,749","33,794","35,162","34,885","39,733","39,308","41,287","39,696","41,889","41,571","43,337"
Long-Term Debt,"13,574","13,932","14,038","14,538","14,020","14,764","15,468","15,720","15,325","14,865","14,202","14,242","14,359","15,450","15,088","13,777","17,382","18,110","17,515","17,300","17,217","17,396","17,436","18,820","17,787","19,005","19,873","19,094","19,335","22,534","22,217","21,761","21,157","19,883","21,165","21,258","22,349","25,201","24,859","24,045"
Other Long-Term Liabilities,"4,884","4,914","4,713","4,831","4,653","5,142","5,060","5,014","4,257","4,637","4,810","4,377","4,330","4,228","4,150","4,172","3,299","3,422","3,621","3,877","3,848","4,447","4,532","4,423","4,406","4,662","5,126","4,998","4,628","4,482","5,040","5,329","5,290","4,839","4,537","4,438","4,380","4,490","4,426","4,557"
Total Long-Term Liabilities,"18,458","18,847","18,750","19,369","18,672","19,906","20,528","20,734","19,581","19,501","19,012","18,619","18,688","19,677","19,238","17,949","20,681","21,532","21,137","21,177","21,065","21,843","21,968","23,243","22,193","23,667","24,999","24,092","23,963","27,016","27,257","27,090","26,447","24,722","25,702","25,696","26,729","29,691","29,285","28,602"
Total Liabilities,"34,809","37,340","37,927","37,764","37,425","41,212","41,201","39,100","38,674","40,312","39,829","39,656","39,983","42,852","41,806","42,362","44,037","46,288","45,642","45,351","43,030","44,525","45,058","46,477","45,725","50,706","53,521","52,653","53,416","61,765","61,051","62,252","61,332","64,455","65,010","66,983","66,425","71,580","70,856","71,939"
Total Debt,"14,492","15,041","14,797","15,263","15,044","15,839","16,633","16,260","15,865","15,804","15,570","15,610","15,727","17,143","16,292","16,231","19,932","19,886","19,286","19,419","19,211","19,342","19,296","20,230","20,085","21,683","21,476","20,843","20,035","23,234","23,241","22,785","23,031","23,255","23,588","23,772","24,114","25,466","25,124","24,844"
Debt Growth,-3.25%,1.77%,-0.30%,2.69%,3.81%,5.31%,12.41%,6.53%,5.45%,-0.23%,-6.39%,-3.99%,-0.87%,8.47%,4.64%,3.97%,26.74%,16.00%,18.37%,19.64%,-3.62%,-2.74%,0.05%,4.18%,4.55%,12.10%,11.30%,3.03%,-0.25%,7.15%,8.22%,9.32%,14.95%,0.09%,1.49%,4.33%,4.70%,9.51%,6.51%,4.51%
Common Stock,"10,768","10,006","10,158","10,097","10,065","9,946","8,710","8,691","8,558","8,619","8,680","8,744","8,808","8,896","8,900","8,768","8,550","8,492","9,751","9,723","9,539","9,485","9,497","9,527","9,451","9,341","9,363","9,355","9,247","9,255","9,111","9,140","9,150","9,153","9,136","9,171","9,086","8,699","8,763","8,832"
Retained Earnings,"13,814","14,012","13,744","13,864","14,014","14,150","14,352","14,762","14,779","15,310","15,918","16,364","16,561","17,358","17,667","17,307","18,054","19,241","19,757","20,182","19,988","21,136","21,679","22,104","22,573","23,360","25,346","24,678","23,802","24,793","25,874","26,700","27,088","28,058","28,825","29,604","29,647","30,707","31,608","32,103"
Comprehensive Income,183.2,327.4,475,333.1,171.9,237.9,0.4,-216.2,-292.6,-382.4,-364.9,-363.9,-267.9,-161.8,-134.9,-126,-101,-720.6,-782.8,-811,-986,-623,-383,-299,-296,"-1,008",-254,-112,150,-195,-17,-103,-178,"-1,236","-2,149","-2,784","-2,490","-2,050","-2,166","-2,512"
Shareholders' Equity,"24,765","24,345","24,377","24,294","24,251","24,334","23,063","23,236","23,044","23,547","24,234","24,744","25,100","26,092","26,432","25,948","26,503","27,012","28,725","29,094","28,541","29,998","30,793","31,332","31,728","31,693","34,455","33,921","33,199","33,853","34,968","35,737","36,060","35,975","35,812","35,991","36,243","37,356","38,205","38,423"
Net Cash / Debt,"5,881","6,924","7,227","6,607","6,502","6,491","4,885","4,720","4,630","5,841","6,228","6,649","6,996","9,412","9,060","10,033","4,670","4,202","4,937","4,524","2,929","4,166","5,411","6,230","5,537","4,113","10,040","8,923","10,698","14,277","9,611","11,172","9,997","10,787","10,205","12,129","10,178","12,704","13,160","14,051"
Net Cash / Debt Growth,4.31%,13.93%,28.79%,3.89%,10.57%,-6.25%,-32.41%,-28.56%,-28.79%,-10.02%,27.49%,40.88%,51.10%,61.14%,45.47%,50.90%,-33.25%,-55.35%,-45.51%,-54.91%,-37.28%,-0.87%,9.60%,37.71%,89.04%,-1.27%,85.55%,43.23%,93.21%,247.12%,-4.27%,25.20%,-6.55%,-24.44%,6.18%,8.57%,1.81%,17.77%,28.96%,15.85%
Working Capital,"13,394","13,313","13,252","13,832","13,195","13,435","12,529","13,174","11,770","12,155","12,141","11,887","13,021","14,808","14,563","12,561","12,907","12,218","12,865","12,934","12,356","13,929","14,715","16,270","15,501","14,217","18,242","16,889","16,298","19,746","16,444","16,742","16,237","14,164","14,347","14,316","15,921","17,934","18,172","17,848"
Book Value Per Share,83.83,86.19,87.16,88.58,89.84,91.21,87.18,88.83,88.27,90.10,92.16,94.02,95.28,98.69,99.75,98.82,103.22,105.63,112.56,111.92,110.35,116.72,119.73,122.48,125.13,125.60,136.66,134.87,133.49,138.23,142.82,146.57,148.57,149.09,148.54,149.96,151.75,157.32,161.16,163.05
