,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04,2021-10-03,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,178","2,219","2,328","2,301","1,997","1,760","1,688","1,711",915,"1,045","1,251","1,120","1,322","1,293","1,290","1,369","1,207","1,318","1,222","1,303","1,328","1,397","1,560","1,129","1,691","1,751","2,967","3,401","2,958","2,481","2,588","2,592","2,276","2,462","2,499","2,101","1,980","1,802","2,612","2,179"
Short-Term Investments,129,158,53,93,115,89,35,100,359,235,250,260,145,174,154,198,180,214,185,222,246,335,303,341,339,353,345,461,397,438,430,595,527,536,466,472,459,512,452,562
Cash & Cash Equivalents,"2,307","2,377","2,381","2,394","2,112","1,849","1,723","1,811","1,274","1,280","1,501","1,380","1,467","1,467","1,444","1,567","1,387","1,532","1,407","1,525","1,574","1,732","1,863","1,470","2,030","2,104","3,312","3,862","3,355","2,919","3,018","3,187","2,803","2,998","2,965","2,573","2,439","2,314","3,064","2,741"
Cash Growth,37.40%,49.78%,-10.52%,-15.97%,-8.45%,-22.21%,-27.64%,-24.35%,-39.68%,-30.77%,-12.88%,-23.80%,15.15%,14.61%,-3.80%,13.55%,-5.45%,4.43%,-2.56%,-2.68%,13.48%,13.05%,32.41%,-3.61%,28.97%,21.48%,77.78%,162.72%,65.27%,38.74%,-8.88%,-17.48%,-16.45%,2.71%,-1.76%,-19.27%,-12.99%,-22.82%,3.34%,6.53%
Receivables,"2,949","3,188","3,059","2,946","3,240","3,422","3,159","2,820","2,921","3,023","2,873","3,025","3,247","3,553","3,810","3,618","3,845","4,095","3,929","3,866","4,025","4,179","3,934","3,670","3,505","3,441","3,628","3,820","4,209","4,132","4,152","3,990","4,368","4,156","4,799","5,202","5,834","5,863","5,662","5,583"
Inventory,"2,580","2,745","2,833","2,866","2,936","2,986","3,059","2,707","2,759","2,778","2,820","2,675","2,894","2,982","3,146","3,166","3,411","3,559","3,831","3,759","3,893","3,896","3,821","3,486","3,579","3,655","3,470","3,425","3,753","4,076","4,322","4,355","4,586","4,765","5,543","5,603","5,878","6,026","5,906","5,677"
Other Current Assets,663,770,795,849,712,746,921,609,514,549,600,627,551,600,656,577,558,649,696,668,599,643,610,761,676,634,652,790,805,804,828,777,839,843,"1,091","1,073","1,217","1,207","1,280","1,197"
Total Current Assets,"8,499","9,080","9,068","9,055","9,000","9,003","8,862","7,947","7,468","7,630","7,794","7,707","8,159","8,602","9,056","8,928","9,201","9,835","9,863","9,818","10,091","10,450","10,228","9,387","9,790","9,834","11,062","11,897","12,122","11,931","12,320","12,309","12,596","12,762","14,398","14,451","15,368","15,410","15,912","15,198"
"Property, Plant & Equipment","3,232","3,329","3,464","3,686","3,637","3,653","3,717","3,745","3,712","3,703","3,677","3,800","3,802","3,787","3,816","3,927","3,892","3,824","3,870","4,096","4,066","4,077","4,056","4,245","4,128","4,067","4,087","4,255","4,196","4,174","4,185","4,422","4,381","4,389","5,201","5,521","5,590","5,723","5,801","6,249"
Long-Term Investments,966,934,981,981,968,995,959,975,"1,053","1,073","1,077",946,"1,059","1,162","1,213","1,156","1,288","1,303","1,255","1,222","1,303","1,274","1,250","1,237","1,304","1,362","1,418","1,441","1,592","1,494","1,543","1,538","1,592","1,544","1,826","1,759","1,860","1,861","1,785","1,800"
