,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"4,494","4,415","3,834","4,790","4,105","5,473","4,971","2,387","1,832","2,686","2,001","1,753","1,816","1,979","2,636","1,760","2,120","2,527","1,619","2,086","2,202","1,695","1,508",897,901,880,"1,006",963,"1,101","1,667","2,128","1,244","1,379","1,798","1,742","2,037","2,154","2,082","2,268","2,550"
Short-Term Investments,"7,320","6,173","6,474","8,763","3,730","7,784","8,735","2,914","4,299","5,327","6,085","6,292","5,333","4,775","6,381","4,270","3,743","2,279","2,388","2,752","2,713","2,746","2,969","2,189","1,850","3,550","4,297","2,697","2,392","1,700","15,092","13,317","5,944","3,771","1,483","1,457","5,317","4,788","4,864","6,167"
Cash & Cash Equivalents,"11,814","10,588","10,308","13,553","7,835","13,257","13,706","5,301","6,131","8,013","8,086","8,045","7,149","6,754","9,017","6,030","5,863","4,806","4,007","4,838","4,915","4,441","4,477","3,086","2,751","4,430","5,303","3,660","3,493","3,367","17,220","14,561","7,323","5,569","3,225","3,494","7,471","6,870","7,132","8,717"
Cash Growth,2.13%,-8.34%,-18.89%,6.67%,-33.68%,25.21%,32.96%,-60.89%,-21.75%,-39.56%,-41.00%,51.76%,16.60%,-15.71%,11.51%,-25.05%,-17.99%,-28.84%,-55.56%,-19.77%,-16.17%,-7.59%,11.73%,-36.21%,-44.03%,-0.25%,18.45%,18.60%,26.97%,-24.00%,224.72%,297.84%,109.65%,65.40%,-81.27%,-76.00%,2.02%,23.36%,121.15%,149.48%
Receivables,"10,159","10,458","10,802","10,717",600,"11,594","12,014",595,619,599,628,626,592,592,619,626,696,683,745,761,712,716,797,714,555,635,845,477,652,"1,364",622,660,681,626,605,633,763,779,789,908
Other Current Assets,"1,310","1,313","1,268","1,384","18,096","1,663","2,829","2,384","1,154","1,091","1,200","1,112","1,134","1,147","1,270","1,202","1,185","1,274","1,432","1,364","1,499","1,508","1,570","1,409","1,400","1,183","1,246","2,602","3,045","1,960","2,219","2,535","1,107","1,154","1,237","1,162","1,056",949,796,689
Total Current Assets,"23,283","22,359","22,378","25,654","26,531","26,514","28,549","8,280","7,904","9,703","9,914","9,783","8,875","8,493","10,906","7,858","7,744","6,763","6,184","6,963","7,126","6,665","6,844","5,209","4,706","6,248","7,394","6,739","7,190","6,691","20,061","17,756","9,111","7,349","5,067","5,289","9,290","8,598","8,717","10,314"
"Property, Plant & Equipment","2,760","2,686","2,685","2,825","1,486","2,947","2,781","1,535","1,554","1,497","1,502","1,526","1,516","1,496","1,538","1,546","1,597","1,548","1,576","1,580","1,597","2,278","2,243","2,150","2,043","2,007","1,900","1,800","1,722","1,798","1,626","1,563","1,525","1,762","1,714","1,721","1,751","1,721","1,697","1,647"
Long-Term Investments,"4,971","5,211","6,217","5,875","5,736","5,647","5,881","3,572","3,391","3,370","3,541","3,921","3,969","4,540","4,754","6,302","6,331","5,919","5,418","4,276","3,778","2,969","1,936","1,446","1,556","1,077",832,663,"1,884","2,074","2,446","2,367","7,966","5,961","5,065","4,388","1,797","1,657","1,499","1,352"
Goodwill and Intangibles,"10,208","10,062","10,081","9,862","4,804","9,446","8,185","4,532","4,541","4,601","4,561","4,844","4,603","4,734","4,757","4,747","4,842","4,868","5,322","5,276","5,252","5,316","5,279","5,176","4,572","4,900","4,966","4,556","4,297","4,596","4,215","4,141","4,178","4,141","4,113","4,058","4,262","4,287","4,244","4,238"
