,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,671","1,584","2,176","1,851","1,809","1,639","3,185","2,795","2,941","3,191","2,777","2,705","2,996","2,780","2,364","1,773","2,294","2,170","1,490","2,786","1,826","1,949","1,404","1,500","1,705","1,909","1,613","1,602","1,892","2,575","1,602","1,745","1,634","1,436","1,208","1,345","1,828","2,084","1,441","1,641"
Short-Term Investments,22.9,"2,032","2,262",101.9,26.9,26.6,27.2,26.9,23.7,0,41,0,0,0,0,0,0,0,0,0,0,10.5,"3,545",7.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"1,694","3,616","4,437","1,953","1,836","1,666","3,212","2,822","2,965","3,191","2,818","2,705","2,996","2,780","2,364","1,773","2,294","2,170","1,490","2,786","1,826","1,960","4,949","1,508","1,708","1,909","1,613","1,602","1,892","2,575","1,602","1,745","1,634","1,436","1,208","1,345","1,828","2,084","1,441","1,641"
Cash Growth,0.81%,109.38%,162.42%,51.42%,8.36%,-53.93%,-27.62%,44.51%,61.54%,91.55%,-12.28%,-4.13%,1.03%,-12.87%,-16.11%,-34.44%,-23.43%,-21.95%,-36.95%,57.08%,-20.38%,-9.69%,232.08%,-45.88%,-6.46%,-2.61%,-67.41%,6.27%,10.73%,34.93%,-0.68%,8.91%,-13.60%,-44.23%,-24.62%,-22.92%,11.88%,45.06%,19.35%,22.03%
Receivables,"1,984","1,654","1,423","1,628","1,612","1,579","1,598","1,666","2,102","1,770","1,647","1,864","1,839","1,732","1,816","2,073","2,071","2,010","2,242","2,663","2,511","2,463","2,513","2,610","2,642","2,460","2,505","2,525","2,778","2,739","2,780","2,745","3,261","3,180","2,947","3,170","3,081","3,018","3,103","3,380"
Other Current Assets,"26,855","22,223","19,933","35,536","29,345","25,564","25,366","31,172","41,752","34,539","25,659","31,239","34,680","28,147","26,823","35,504","34,350","27,644","26,224","26,234","36,587","29,920","22,047","37,248","31,358","27,196","30,697","37,535","42,083","35,428","47,666","46,617","59,009","50,189","33,814","41,629","46,609","37,069","35,935","43,522"
Total Current Assets,"30,533","27,493","25,793","39,116","32,793","28,809","30,176","35,659","46,819","39,500","30,124","35,808","39,514","32,659","31,003","39,350","38,714","31,823","29,956","31,683","40,924","34,342","29,509","41,365","35,709","31,564","34,815","41,662","46,752","40,742","52,048","51,107","63,904","54,805","37,969","46,144","51,518","42,171","40,480","48,543"
"Property, Plant & Equipment",767.5,667.1,650.7,650.3,646,672.7,680.3,679.6,668.8,685,701,733.2,750.6,779.9,800.4,799.9,794.6,793.7,787.7,772.7,765.8,764.2,"1,271","1,262","1,264","1,198","1,181","1,194","1,195","1,147","1,111","1,117","1,096","1,104","1,064","1,055","1,058","1,084","1,041","1,043"
Long-Term Investments,54.3,54.1,46.6,46.3,29.2,28.9,21.3,21,7.8,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodwill and Intangibles,"3,738","2,375","2,358","2,333","2,284","2,297","2,161","2,167","2,203","2,216","2,252","2,205","2,322","2,361","2,445","2,997","3,139","3,130","3,242","3,248","3,379","3,395","3,382","3,417","3,406","3,525","3,542","3,554","3,547","3,549","3,537","3,553","3,651","3,634","3,642","3,681","3,696","3,683","3,684","3,685"
Other Long-Term Assets,"1,504","1,471","1,359","1,358","1,356","1,303","1,342","1,373","1,427","1,268","1,252","1,253","1,269","1,380","1,414","1,399","1,418","3,102","3,431","3,103","3,128","3,387","3,553","3,016","3,005","2,879","2,852","2,916","2,914","3,336","3,291","3,326","3,417","3,526","3,690","3,573","3,610","4,034","4,118","3,798"
Total Long-Term Assets,"6,064","4,567","4,415","4,387","4,315","4,301","4,204","4,240","4,307","4,170","4,213","4,191","4,342","4,521","4,659","5,196","5,352","7,026","7,461","7,124","7,272","7,545","8,206","7,694","7,675","7,601","7,575","7,664","7,655","8,031","7,939","7,995","8,164","8,263","8,396","8,309","8,364","8,800","8,844","8,526"
Total Assets,"36,597","32,060","30,208","43,503","37,107","33,111","34,380","39,900","51,126","43,670","34,337","39,999","43,856","37,180","35,661","44,546","44,066","38,849","37,417","38,806","48,196","41,888","37,715","49,059","43,383","39,166","42,390","49,326","54,408","48,773","59,987","59,103","72,068","63,068","46,365","54,453","59,882","50,971","49,324","57,069"
